code,tod,hm,w,n,mean_bp,win_rev,t
IC0000,885,14:45,1,146,-34.124,0.493,-1.01
IC0000,885,14:45,2,156,-26.955,0.455,-0.85
IC0000,885,14:45,3,156,-28.175,0.462,-0.89
IC0000,885,14:45,5,173,-26.295,0.451,-0.92
IC0000,885,14:45,10,186,1.05,0.462,0.35
IC0000,885,14:45,15,205,-46.904,0.454,-1.38
IC0000,885,14:45,20,218,-22.249,0.459,-0.98
IC0000,885,14:45,30,223,-20.77,0.435,-0.94
IC0000,888,14:48,1,174,-55.733,0.448,-1.39
IC0000,888,14:48,2,194,-48.889,0.428,-1.36
IC0000,888,14:48,3,205,-22.004,0.439,-0.9
IC0000,888,14:48,5,203,-46.625,0.453,-1.35
IC0000,888,14:48,10,186,-26.594,0.468,-0.99
IC0000,888,14:48,15,203,-22.145,0.419,-0.9
IC0000,888,14:48,20,222,-42.893,0.441,-1.36
IC0000,888,14:48,30,239,-40.87,0.469,-1.4
IC0000,890,14:50,1,111,-86.133,0.387,-1.37
IC0000,890,14:50,2,135,-34.958,0.393,-0.96
IC0000,890,14:50,3,151,-62.551,0.371,-1.35
IC0000,890,14:50,5,178,-50.919,0.343,-1.3
IC0000,890,14:50,10,180,-26.269,0.422,-0.95
IC0000,890,14:50,15,188,-23.478,0.388,-0.88
IC0000,890,14:50,20,201,-46.475,0.408,-1.33
IC0000,890,14:50,30,218,-43.684,0.408,-1.36
IC0000,892,14:52,1,160,2.749,0.381,1.54
IC0000,892,14:52,2,166,1.737,0.422,1.01
IC0000,892,14:52,3,138,2.028,0.413,1.03
IC0000,892,14:52,5,162,-27.392,0.389,-0.9
IC0000,892,14:52,10,179,-23.83,0.391,-0.87
IC0000,892,14:52,15,185,3.127,0.389,1.73
IC0000,892,14:52,20,199,-21.315,0.387,-0.86
IC0000,892,14:52,30,218,-20.272,0.404,-0.9
IC0000,893,14:53,1,148,-30.736,0.446,-0.92
IC0000,893,14:53,2,157,-29.408,0.459,-0.93
IC0000,893,14:53,3,157,-28.866,0.452,-0.91
IC0000,893,14:53,5,139,-33.335,0.46,-0.94
IC0000,893,14:53,10,166,-26.477,0.428,-0.89
IC0000,893,14:53,15,173,-27.149,0.462,-0.95
IC0000,893,14:53,20,183,-25.025,0.448,-0.92
IC0000,893,14:53,30,213,-21.465,0.451,-0.92
IC0000,895,14:55,1,130,-34.981,0.392,-0.92
IC0000,895,14:55,2,141,3.252,0.362,1.99
IC0000,895,14:55,3,136,-31.794,0.346,-0.87
IC0000,895,14:55,5,148,-29.531,0.351,-0.88
IC0000,895,14:55,10,162,-25.804,0.327,-0.84
IC0000,895,14:55,15,165,-25.737,0.339,-0.86
IC0000,895,14:55,20,192,4.503,0.339,3.02
IC0000,895,14:55,30,211,-20.128,0.365,-0.86
IC0000,897,14:57,1,164,-29.206,0.427,-0.96
IC0000,897,14:57,2,201,-22.584,0.413,-0.91
IC0000,897,14:57,3,186,-24.494,0.398,-0.92
IC0000,897,14:57,5,175,-27.695,0.417,-0.98
IC0000,897,14:57,10,174,-26.56,0.385,-0.93
IC0000,897,14:57,15,180,-27.155,0.428,-0.98
IC0000,897,14:57,20,197,-23.495,0.396,-0.93
IC0000,897,14:57,30,223,-21.335,0.439,-0.96
IC0000,898,14:58,1,154,-31.268,0.396,-0.96
IC0000,898,14:58,2,164,-29.719,0.439,-0.97
IC0000,898,14:58,3,192,-24.94,0.417,-0.96
IC0000,898,14:58,5,178,-26.276,0.399,-0.94
IC0000,898,14:58,10,172,-27.672,0.395,-0.95
IC0000,898,14:58,15,176,-27.502,0.42,-0.97
IC0000,898,14:58,20,203,-23.481,0.389,-0.95
IC0000,898,14:58,30,215,-21.98,0.433,-0.94
IC0000,899,14:59,1,174,0.159,0.385,0.35
IC0000,899,14:59,2,180,0.839,0.372,1.6
IC0000,899,14:59,3,180,1.315,0.367,2.08
IC0000,899,14:59,5,179,1.301,0.363,2.02
IC0000,899,14:59,10,189,1.198,0.333,2.1
IC0000,899,14:59,15,188,0.933,0.34,1.88
IC0000,899,14:59,20,192,1.347,0.323,2.89
IC0000,899,14:59,30,219,0.989,0.333,2.37
IF0000,885,14:45,1,129,3.785,0.504,1.12
IF0000,885,14:45,2,133,3.396,0.481,1.07
IF0000,885,14:45,3,132,2.688,0.508,0.96
IF0000,885,14:45,5,139,-0.506,0.504,-0.15
IF0000,885,14:45,10,178,-4.661,0.545,-1.55
IF0000,885,14:45,15,174,-1.833,0.511,-0.57
IF0000,885,14:45,20,185,-2.319,0.535,-0.78
IF0000,885,14:45,30,195,-1.302,0.518,-0.46
IF0000,888,14:48,1,141,-3.553,0.518,-1.02
IF0000,888,14:48,2,150,-1.706,0.487,-0.55
IF0000,888,14:48,3,151,-1.599,0.51,-0.65
IF0000,888,14:48,5,151,2.498,0.497,1.15
IF0000,888,14:48,10,163,-2.97,0.552,-1.16
IF0000,888,14:48,15,176,-0.988,0.511,-0.45
IF0000,888,14:48,20,184,-0.39,0.511,-0.15
IF0000,888,14:48,30,202,-1.022,0.53,-0.43
IF0000,890,14:50,1,95,5.138,0.389,1.8
IF0000,890,14:50,2,119,1.943,0.437,0.58
IF0000,890,14:50,3,124,0.989,0.427,0.3
IF0000,890,14:50,5,144,1.989,0.444,0.78
IF0000,890,14:50,10,142,0.409,0.458,0.17
IF0000,890,14:50,15,164,0.702,0.439,0.28
IF0000,890,14:50,20,169,1.745,0.432,0.77
IF0000,890,14:50,30,190,1.477,0.437,0.72
IF0000,892,14:52,1,153,0.168,0.503,0.1
IF0000,892,14:52,2,155,-0.147,0.516,-0.09
IF0000,892,14:52,3,128,1.289,0.453,0.74
IF0000,892,14:52,5,138,4.107,0.42,2.06
IF0000,892,14:52,10,153,2.655,0.49,1.44
IF0000,892,14:52,15,165,0.824,0.473,0.45
IF0000,892,14:52,20,186,2.235,0.435,1.42
IF0000,892,14:52,30,193,1.865,0.482,1.11
IF0000,893,14:53,1,129,3.351,0.442,1.72
IF0000,893,14:53,2,144,0.851,0.5,0.48
IF0000,893,14:53,3,147,2.008,0.49,1.19
IF0000,893,14:53,5,141,3.387,0.454,1.96
IF0000,893,14:53,10,138,3.538,0.457,2.04
IF0000,893,14:53,15,156,0.732,0.526,0.46
IF0000,893,14:53,20,179,2.152,0.464,1.35
IF0000,893,14:53,30,194,1.604,0.495,1.09
IF0000,895,14:55,1,107,3.717,0.439,2.48
IF0000,895,14:55,2,124,5.032,0.363,4.54
IF0000,895,14:55,3,123,6.182,0.39,4.03
IF0000,895,14:55,5,130,4.291,0.423,3.01
IF0000,895,14:55,10,145,5.282,0.386,3.69
IF0000,895,14:55,15,144,3.903,0.431,3.23
IF0000,895,14:55,20,161,4.916,0.41,4.21
IF0000,895,14:55,30,188,4.568,0.394,3.78
IF0000,897,14:57,1,133,0.338,0.459,0.3
IF0000,897,14:57,2,177,1.407,0.424,1.39
IF0000,897,14:57,3,149,0.879,0.443,0.83
IF0000,897,14:57,5,147,1.056,0.401,1.08
IF0000,897,14:57,10,148,1.485,0.412,1.5
IF0000,897,14:57,15,157,1.989,0.427,2.03
IF0000,897,14:57,20,160,1.64,0.425,1.67
IF0000,897,14:57,30,192,1.053,0.427,1.12
IF0000,898,14:58,1,119,2.733,0.303,3.09
IF0000,898,14:58,2,131,1.563,0.382,1.65
IF0000,898,14:58,3,162,2.325,0.346,3.22
IF0000,898,14:58,5,140,2.031,0.35,2.88
IF0000,898,14:58,10,134,1.413,0.388,1.94
IF0000,898,14:58,15,142,2.438,0.352,3.23
IF0000,898,14:58,20,150,1.63,0.38,2.5
IF0000,898,14:58,30,188,1.755,0.388,2.5
IF0000,899,14:59,1,165,1.091,0.315,2.25
IF0000,899,14:59,2,161,1.021,0.329,2.14
IF0000,899,14:59,3,148,1.269,0.351,2.15
IF0000,899,14:59,5,163,1.325,0.362,2.37
IF0000,899,14:59,10,153,0.944,0.379,1.83
IF0000,899,14:59,15,151,0.37,0.391,0.84
IF0000,899,14:59,20,154,0.205,0.383,0.45
IF0000,899,14:59,30,183,1.083,0.366,2.07
IH0000,885,14:45,1,95,2.388,0.463,0.59
IH0000,885,14:45,2,99,6.885,0.424,1.87
IH0000,885,14:45,3,96,7.81,0.417,2.25
IH0000,885,14:45,5,109,4.201,0.431,1.08
IH0000,885,14:45,10,121,0.579,0.496,0.18
IH0000,885,14:45,15,128,3.95,0.461,1.19
IH0000,885,14:45,20,134,5.795,0.463,1.86
IH0000,885,14:45,30,139,5.754,0.446,1.98
IH0000,888,14:48,1,103,2.649,0.417,0.83
IH0000,888,14:48,2,107,1.325,0.43,0.41
IH0000,888,14:48,3,107,0.23,0.467,0.07
IH0000,888,14:48,5,114,1.035,0.465,0.31
IH0000,888,14:48,10,114,0.796,0.474,0.25
IH0000,888,14:48,15,133,2.201,0.444,0.89
IH0000,888,14:48,20,132,4.586,0.409,1.72
IH0000,888,14:48,30,148,3.41,0.439,1.44
IH0000,890,14:50,1,98,4.436,0.367,1.22
IH0000,890,14:50,2,104,4.636,0.365,1.83
IH0000,890,14:50,3,111,2.983,0.369,1.03
IH0000,890,14:50,5,111,3.576,0.405,1.12
IH0000,890,14:50,10,113,2.918,0.398,0.92
IH0000,890,14:50,15,129,3.69,0.395,1.77
IH0000,890,14:50,20,126,4.97,0.397,2.02
IH0000,890,14:50,30,145,4.533,0.386,2.07
IH0000,892,14:52,1,117,2.177,0.436,1.01
IH0000,892,14:52,2,122,3.299,0.426,1.82
IH0000,892,14:52,3,119,3.388,0.445,1.77
IH0000,892,14:52,5,120,4.621,0.408,2.43
IH0000,892,14:52,10,122,3.953,0.41,2.15
IH0000,892,14:52,15,135,3.925,0.393,1.94
IH0000,892,14:52,20,140,3.808,0.407,1.97
IH0000,892,14:52,30,146,4.372,0.411,2.38
IH0000,893,14:53,1,104,3.349,0.462,1.49
IH0000,893,14:53,2,109,4.542,0.422,2.22
IH0000,893,14:53,3,121,3.511,0.413,1.91
IH0000,893,14:53,5,115,4.306,0.4,2.39
IH0000,893,14:53,10,111,6.154,0.378,3.37
IH0000,893,14:53,15,122,3.133,0.434,1.68
IH0000,893,14:53,20,132,3.08,0.402,1.7
IH0000,893,14:53,30,145,3.744,0.407,2.21
IH0000,895,14:55,1,88,4.104,0.386,1.9
IH0000,895,14:55,2,106,4.665,0.321,2.85
IH0000,895,14:55,3,101,3.452,0.406,2.04
IH0000,895,14:55,5,107,4.895,0.318,3.18
IH0000,895,14:55,10,119,5.919,0.311,4.47
IH0000,895,14:55,15,125,4.277,0.344,2.97
IH0000,895,14:55,20,131,3.834,0.366,2.52
IH0000,895,14:55,30,133,4.395,0.368,2.99
IH0000,897,14:57,1,110,1.985,0.391,1.17
IH0000,897,14:57,2,133,3.623,0.323,2.75
IH0000,897,14:57,3,118,3.184,0.331,2.13
IH0000,897,14:57,5,118,3.375,0.305,2.68
IH0000,897,14:57,10,124,3.177,0.355,2.66
IH0000,897,14:57,15,130,3.33,0.338,2.9
IH0000,897,14:57,20,137,3.218,0.328,3.08
IH0000,897,14:57,30,141,2.144,0.39,1.88
IH0000,898,14:58,1,101,2.898,0.347,2.64
IH0000,898,14:58,2,115,3.081,0.313,2.69
IH0000,898,14:58,3,134,3.721,0.306,3.98
IH0000,898,14:58,5,122,2.861,0.32,2.87
