tod,n,mean_bp,win_reversal,t,code,hm
870,309,-28.455,0.447,-1.25,IC0000,14:30
871,313,-29.625,0.473,-1.32,IC0000,14:31
872,313,-28.474,0.473,-1.27,IC0000,14:32
873,310,-29.549,0.455,-1.3,IC0000,14:33
874,305,-29.294,0.443,-1.27,IC0000,14:34
875,306,-32.014,0.454,-1.38,IC0000,14:35
876,314,-31.925,0.452,-1.43,IC0000,14:36
877,309,-32.69,0.45,-1.44,IC0000,14:37
878,308,-32.1,0.442,-1.41,IC0000,14:38
879,310,-33.522,0.497,-1.49,IC0000,14:39
880,308,-32.863,0.481,-1.45,IC0000,14:40
881,316,-32.808,0.468,-1.49,IC0000,14:41
882,312,-34.422,0.474,-1.54,IC0000,14:42
883,313,-32.665,0.489,-1.46,IC0000,14:43
884,312,-32.457,0.484,-1.45,IC0000,14:44
885,313,-31.203,0.454,-1.4,IC0000,14:45
886,306,-31.854,0.454,-1.4,IC0000,14:46
887,311,-32.484,0.482,-1.45,IC0000,14:47
888,314,-32.527,0.475,-1.46,IC0000,14:48
889,307,-33.278,0.466,-1.46,IC0000,14:49
890,310,-30.771,0.419,-1.36,IC0000,14:50
891,308,-30.24,0.425,-1.33,IC0000,14:51
892,308,-13.596,0.412,-0.85,IC0000,14:52
893,304,-13.814,0.428,-0.85,IC0000,14:53
894,309,-13.205,0.434,-0.82,IC0000,14:54
895,307,-12.537,0.371,-0.78,IC0000,14:55
896,313,-14.738,0.463,-0.93,IC0000,14:56
897,311,-15.099,0.437,-0.95,IC0000,14:57
898,309,-15.05,0.414,-0.93,IC0000,14:58
899,308,1.005,0.347,2.22,IC0000,14:59
870,261,0.913,0.46,0.23,IF0000,14:30
871,260,-0.208,0.477,-0.05,IF0000,14:31
872,259,-0.058,0.471,-0.02,IF0000,14:32
873,262,-0.584,0.477,-0.16,IF0000,14:33
874,259,-1.758,0.494,-0.47,IF0000,14:34
875,267,-2.508,0.506,-0.7,IF0000,14:35
876,271,-2.724,0.513,-0.8,IF0000,14:36
877,275,-3.314,0.513,-1.01,IF0000,14:37
878,274,-3.859,0.522,-1.26,IF0000,14:38
879,273,-4.849,0.538,-1.61,IF0000,14:39
880,271,-3.454,0.528,-1.24,IF0000,14:40
881,268,-4.045,0.537,-1.45,IF0000,14:41
882,267,-4.28,0.543,-1.57,IF0000,14:42
883,265,-4.08,0.551,-1.52,IF0000,14:43
884,270,-3.046,0.544,-1.22,IF0000,14:44
885,273,-2.079,0.52,-0.9,IF0000,14:45
886,276,-0.882,0.496,-0.41,IF0000,14:46
887,277,-1.582,0.513,-0.77,IF0000,14:47
888,275,-1.549,0.524,-0.77,IF0000,14:48
889,277,-1.595,0.509,-0.85,IF0000,14:49
890,272,0.348,0.449,0.2,IF0000,14:50
891,277,1.369,0.473,0.92,IF0000,14:51
892,278,1.286,0.475,0.98,IF0000,14:52
893,280,1.463,0.475,1.23,IF0000,14:53
894,280,1.979,0.468,1.83,IF0000,14:54
895,276,3.748,0.402,3.9,IF0000,14:55
896,277,1.51,0.473,1.84,IF0000,14:56
897,280,1.129,0.421,1.58,IF0000,14:57
898,278,1.808,0.378,3.12,IF0000,14:58
899,279,1.272,0.333,3.06,IF0000,14:59
870,217,2.312,0.484,0.55,IH0000,14:30
871,210,3.56,0.467,0.86,IH0000,14:31
872,210,4.619,0.433,1.13,IH0000,14:32
873,210,5.19,0.419,1.29,IH0000,14:33
874,206,6.266,0.413,1.59,IH0000,14:34
875,212,4.915,0.429,1.28,IH0000,14:35
876,213,3.256,0.455,0.92,IH0000,14:36
877,214,2.313,0.458,0.69,IH0000,14:37
878,214,1.109,0.481,0.34,IH0000,14:38
879,213,0.285,0.474,0.09,IH0000,14:39
880,208,0.902,0.471,0.3,IH0000,14:40
881,205,-0.307,0.493,-0.1,IH0000,14:41
882,204,-0.389,0.5,-0.13,IH0000,14:42
883,205,-1.09,0.522,-0.35,IH0000,14:43
884,210,-0.968,0.51,-0.35,IH0000,14:44
885,207,2.075,0.469,0.82,IH0000,14:45
886,212,1.379,0.462,0.61,IH0000,14:46
887,213,0.484,0.469,0.22,IH0000,14:47
888,210,0.922,0.467,0.42,IH0000,14:48
889,216,1.307,0.477,0.63,IH0000,14:49
890,215,2.15,0.419,1.08,IH0000,14:50
891,216,2.7,0.458,1.57,IH0000,14:51
892,218,2.802,0.44,1.87,IH0000,14:52
893,219,2.714,0.406,1.92,IH0000,14:53
894,220,2.824,0.432,2.12,IH0000,14:54
895,215,4.306,0.363,3.58,IH0000,14:55
896,224,2.289,0.433,2.13,IH0000,14:56
897,219,2.159,0.37,2.23,IH0000,14:57
898,220,3.012,0.327,4.15,IH0000,14:58
899,222,0.3,0.333,0.71,IH0000,14:59
870,130,7.656,0.385,1.77,IM0000,14:30
871,126,7.341,0.405,1.69,IM0000,14:31
872,129,5.66,0.411,1.38,IM0000,14:32
873,130,6.574,0.385,1.6,IM0000,14:33
874,132,7.852,0.394,1.89,IM0000,14:34
875,133,6.38,0.421,1.48,IM0000,14:35
876,134,6.54,0.388,1.64,IM0000,14:36
877,137,5.769,0.372,1.44,IM0000,14:37
