code,tod,hm,n,mean_noisy,mean_smooth,t_noisy_minus_smooth,corr_ratio_sfwd,t_ex15
IC0000,780,13:00,558,-1.41,16.21,-1.62,-0.04,-0.98
IC0000,781,13:01,820,-1.71,19.0,-2.43,-0.009,-1.07
IC0000,782,13:02,818,-1.97,18.24,-2.36,-0.053,-0.38
IC0000,783,13:03,819,-1.92,17.12,-2.25,-0.081,-0.62
IC0000,784,13:04,831,-4.18,18.27,-2.7,-0.105,-0.86
IC0000,785,13:05,823,-2.7,18.68,-2.56,-0.097,-0.62
IC0000,786,13:06,822,-2.64,18.93,-2.61,-0.131,-0.56
IC0000,787,13:07,823,-4.27,19.71,-2.94,-0.172,-0.85
IC0000,788,13:08,829,-3.5,17.28,-2.54,-0.198,-0.43
IC0000,789,13:09,826,-3.07,16.21,-2.42,-0.198,-0.63
IC0000,790,13:10,823,0.05,14.37,-1.81,-0.155,-0.34
IC0000,791,13:11,826,1.59,16.11,-1.83,-0.107,-0.57
IC0000,792,13:12,821,1.47,16.68,-1.83,-0.035,-0.97
IC0000,793,13:13,816,-1.91,16.47,-2.29,-0.187,-1.0
IC0000,794,13:14,821,-2.55,16.99,-2.47,-0.113,-1.23
IC0000,795,13:15,836,-5.96,17.37,-2.99,-0.143,-1.94
IC0000,796,13:16,827,-5.43,16.82,-2.84,-0.198,-1.8
IC0000,797,13:17,819,-5.71,16.94,-2.87,-0.19,-1.76
IC0000,798,13:18,817,-0.31,17.17,-2.22,-0.063,-1.42
IC0000,799,13:19,828,0.13,15.83,-2.02,-0.079,-1.57
IC0000,800,13:20,825,0.53,17.82,-2.21,-0.094,-2.28
IC0000,801,13:21,826,0.53,18.11,-2.26,-0.097,-2.19
IC0000,802,13:22,830,-1.22,19.17,-2.61,-0.083,-2.39
IC0000,803,13:23,837,-0.44,18.72,-2.51,-0.124,-2.17
IC0000,804,13:24,847,-3.7,19.57,-3.09,-0.126,-2.9
IC0000,805,13:25,839,-1.0,18.12,-2.53,-0.086,-1.97
IC0000,806,13:26,843,-0.36,16.76,-2.29,-0.087,-1.31
IC0000,807,13:27,835,-2.68,16.44,-2.37,-0.143,-1.77
IC0000,808,13:28,840,-1.75,17.64,-2.43,-0.125,-1.69
IC0000,809,13:29,845,-2.28,16.83,-2.41,-0.178,-1.85
IC0000,810,13:30,839,1.08,16.59,-2.04,-0.036,-2.06
IC0000,811,13:31,836,-1.41,17.46,-2.53,-0.088,-1.73
IC0000,812,13:32,838,-4.15,16.02,-2.53,-0.182,-2.52
IC0000,813,13:33,828,-0.76,16.96,-2.37,-0.068,-2.77
IC0000,814,13:34,842,0.11,15.17,-2.04,-0.068,-2.64
IC0000,815,13:35,858,2.38,12.78,-1.42,-0.058,-2.21
IC0000,816,13:36,864,5.89,13.42,-1.01,-0.029,-1.59
IC0000,817,13:37,861,4.17,14.92,-1.45,-0.029,-2.04
IC0000,818,13:38,870,3.62,15.42,-1.57,0.018,-2.38
IC0000,819,13:39,863,6.2,16.24,-1.35,0.034,-2.06
IC0000,820,13:40,867,9.2,14.67,-0.74,0.017,-1.56
IC0000,821,13:41,862,5.38,15.43,-1.38,-0.002,-1.84
IC0000,822,13:42,871,2.79,14.71,-1.63,-0.041,-2.12
IC0000,823,13:43,864,3.35,16.45,-1.84,-0.057,-2.57
IC0000,824,13:44,864,5.14,16.08,-1.55,-0.074,-2.55
IC0000,825,13:45,872,7.87,14.31,-0.91,-0.05,-1.72
IC0000,826,13:46,865,5.38,15.72,-1.44,-0.063,-2.11
IC0000,827,13:47,876,5.99,13.6,-1.06,-0.014,-1.92
IC0000,828,13:48,878,4.15,13.85,-1.36,-0.005,-1.85
IC0000,829,13:49,883,2.36,14.51,-1.73,-0.043,-2.53
IC0000,830,13:50,886,2.67,14.44,-1.68,-0.015,-2.17
IC0000,831,13:51,892,0.57,16.41,-2.42,-0.053,-2.9
IC0000,832,13:52,886,5.12,15.58,-1.53,0.033,-1.94
IC0000,833,13:53,887,4.59,13.4,-1.36,-0.079,-1.55
IC0000,834,13:54,890,6.31,13.79,-1.09,0.078,-1.56
IC0000,835,13:55,887,6.04,12.94,-1.08,-0.013,-0.75
IC0000,836,13:56,893,4.55,13.39,-1.41,-0.035,-1.36
IC0000,837,13:57,890,3.29,14.29,-1.8,-0.08,-1.73
IC0000,838,13:58,884,4.6,15.64,-1.78,-0.005,-1.3
IC0000,839,13:59,887,6.46,14.8,-1.35,0.049,-1.26
IC0000,840,14:00,900,5.96,13.03,-1.17,-0.018,-1.18
IC0000,841,14:01,903,7.37,14.49,-1.19,-0.013,-0.89
IC0000,842,14:02,908,2.54,14.75,-1.89,-0.15,-1.45
IC0000,843,14:03,902,4.26,13.56,-1.57,-0.076,-1.96
