filter,code,best_hm,n,mean_bp,win_reversal,t,n_ex2015,mean_bp_ex2015
thresh_0.005,IC0000,14:49,501.0,-20.531,0.465,-1.47,428.0,0.422
thresh_0.005,IF0000,14:42,497.0,-2.478,0.515,-1.43,405.0,0.773
thresh_0.005,IH0000,13:17,350.0,-21.364,0.517,-1.28,290.0,1.532
thresh_0.005,IM0000,13:36,188.0,6.318,0.447,1.01,188.0,6.318
thresh_0.01,IC0000,14:42,312.0,-34.422,0.474,-1.54,249.0,2.108
thresh_0.01,IF0000,14:39,273.0,-4.849,0.538,-1.61,206.0,-1.018
thresh_0.01,IH0000,13:00,156.0,-43.102,0.519,-1.16,110.0,7.408
thresh_0.01,IM0000,13:37,96.0,2.481,0.448,0.25,96.0,2.481
thresh_0.015,IC0000,14:25,173.0,-74.265,0.37,-1.5,116.0,-34.154
thresh_0.015,IF0000,14:42,155.0,-4.622,0.516,-1.05,102.0,0.049
thresh_0.015,IH0000,13:15,87.0,-71.768,0.517,-1.11,50.0,10.051
thresh_0.015,IM0000,13:00,56.0,-9.03,0.5,-0.57,48.0,-7.35
thresh_0.02,IC0000,14:25,101.0,-130.289,0.347,-1.54,54.0,-73.281
thresh_0.02,IF0000,14:42,106.0,-5.757,0.491,-0.98,62.0,1.856
thresh_0.02,IH0000,13:00,46.0,-141.075,0.522,-1.16,7.0,-24.111
thresh_0.02,IM0000,14:39,41.0,-6.464,0.39,-0.55,36.0,-8.382
thresh_0.03,IC0000,13:34,34.0,-308.316,0.412,-1.49,6.0,-819.749
thresh_0.03,IF0000,14:47,43.0,-13.65,0.512,-1.54,5.0,14.994
thresh_0.03,IH0000,14:05,25.0,-31.901,0.56,-1.01,0.0,
thresh_0.03,IM0000,14:58,18.0,-1.874,0.389,-0.67,17.0,-2.61
at_fresh_high,IC0000,14:40,48.0,-16.021,0.646,-1.57,12.0,1.262
at_fresh_high,IF0000,14:42,53.0,-18.837,0.679,-2.55,22.0,-2.195
at_fresh_high,IH0000,14:43,29.0,-12.949,0.586,-1.43,0.0,
at_fresh_high,IM0000,13:28,11.0,-22.764,0.636,-1.48,0.0,
faded_off_high,IC0000,13:11,97.0,-127.588,0.577,-1.72,64.0,-88.941
faded_off_high,IF0000,13:09,95.0,-124.587,0.579,-1.63,55.0,-7.2
faded_off_high,IH0000,13:01,77.0,-101.917,0.571,-1.39,39.0,-8.922
faded_off_high,IM0000,13:37,49.0,-6.688,0.49,-0.38,45.0,-7.46
fast_spike,IC0000,13:34,35.0,-310.637,0.543,-1.56,5.0,-998.355
fast_spike,IF0000,14:43,46.0,-20.777,0.609,-1.8,5.0,-7.235
fast_spike,IH0000,14:43,36.0,-15.197,0.611,-1.16,5.0,-3.72
fast_spike,IM0000,13:44,10.0,-36.931,0.6,-2.04,5.0,-41.62
slow_grind,IC0000,14:48,147.0,-4.387,0.517,-1.72,130.0,-2.535
slow_grind,IF0000,14:39,113.0,-12.282,0.593,-2.63,91.0,-4.003
slow_grind,IH0000,14:39,112.0,-7.695,0.571,-1.75,97.0,-2.686
slow_grind,IM0000,13:57,59.0,1.024,0.525,0.11,57.0,2.202
market_wide,IC0000,14:26,32.0,-145.903,0.375,-0.93,25.0,-191.377
market_wide,IF0000,14:41,30.0,-1.949,0.467,-0.15,20.0,-2.092
market_wide,IH0000,13:05,20.0,-29.254,0.7,-2.63,8.0,-33.192
market_wide,IM0000,14:59,29.0,-0.213,0.448,-1.1,21.0,-0.357
highvol_day,IC0000,14:42,152.0,-69.654,0.461,-1.52,,
highvol_day,IF0000,14:39,125.0,-7.192,0.496,-1.17,,
highvol_day,IH0000,13:16,84.0,-66.601,0.452,-0.98,,
highvol_day,IM0000,14:59,56.0,0.028,0.321,0.21,,
calm_day,IC0000,13:03,98.0,-12.49,0.592,-2.39,,
calm_day,IF0000,13:00,115.0,-26.119,0.652,-4.39,,
calm_day,IH0000,13:01,78.0,-22.098,0.628,-3.29,,
calm_day,IM0000,13:35,51.0,-4.803,0.529,-0.78,,
