code,h,imb,n,p_up
IC0000,1,-0.433,15,0.6
IC0000,1,-0.367,231,0.4892
IC0000,1,-0.3,2244,0.496
IC0000,1,-0.233,16371,0.4915
IC0000,1,-0.167,49940,0.4943
IC0000,1,-0.1,67670,0.4934
IC0000,1,-0.033,55243,0.4988
IC0000,1,0.033,30454,0.4982
IC0000,1,0.1,10436,0.5034
IC0000,1,0.167,2226,0.5126
IC0000,1,0.233,321,0.5078
IC0000,1,0.3,72,0.5
IC0000,1,0.367,15,0.7333
IC0000,5,-0.433,11,0.8182
IC0000,5,-0.367,225,0.4933
IC0000,5,-0.3,2192,0.4927
IC0000,5,-0.233,15862,0.484
IC0000,5,-0.167,48228,0.4973
IC0000,5,-0.1,64912,0.4945
IC0000,5,-0.033,53162,0.5048
IC0000,5,0.033,29387,0.5034
IC0000,5,0.1,10209,0.5162
IC0000,5,0.167,2194,0.5524
IC0000,5,0.233,318,0.566
IC0000,5,0.3,72,0.5417
IC0000,5,0.367,15,0.8667
IC0000,30,-0.433,3,0.0
IC0000,30,-0.367,128,0.4062
IC0000,30,-0.3,1599,0.5285
IC0000,30,-0.233,11440,0.5174
IC0000,30,-0.167,34696,0.5043
IC0000,30,-0.1,45831,0.4982
IC0000,30,-0.033,38093,0.5032
IC0000,30,0.033,20736,0.4926
IC0000,30,0.1,7312,0.4919
IC0000,30,0.167,1641,0.5222
IC0000,30,0.233,241,0.444
IC0000,30,0.3,59,0.4407
IC0000,30,0.367,15,0.2667
IF0000,1,-0.567,3,0.0
IF0000,1,-0.5,17,0.3529
IF0000,1,-0.433,54,0.5926
IF0000,1,-0.367,115,0.5391
IF0000,1,-0.3,1261,0.4798
IF0000,1,-0.233,10414,0.4865
IF0000,1,-0.167,44550,0.4904
IF0000,1,-0.1,73940,0.495
IF0000,1,-0.033,61116,0.4923
IF0000,1,0.033,33647,0.4998
IF0000,1,0.1,11479,0.5002
IF0000,1,0.167,2715,0.519
IF0000,1,0.233,596,0.4916
IF0000,1,0.3,96,0.4479
IF0000,1,0.367,12,0.5
IF0000,1,0.433,1,1.0
IF0000,5,-0.567,5,0.0
IF0000,5,-0.5,17,0.3529
IF0000,5,-0.433,52,0.5769
IF0000,5,-0.367,115,0.5391
IF0000,5,-0.3,1256,0.4713
IF0000,5,-0.233,10210,0.4903
IF0000,5,-0.167,43374,0.487
IF0000,5,-0.1,71271,0.492
IF0000,5,-0.033,59041,0.4944
IF0000,5,0.033,32909,0.5099
