code,tod,hm,n,mean_hi,mean_lo,t_hi_minus_lo,corr_imb_fwd,t_hi_minus_lo_ex15,mean_hi_ex15,n_ex15
IC0000,780,13:00,233,-29.47,-63.63,0.54,0.031,-0.87,-46.82,184
IC0000,781,13:01,225,-32.91,-58.54,0.39,0.045,-1.06,-52.13,176
IC0000,782,13:02,225,-20.54,-69.42,0.74,0.061,-0.76,-43.71,178
IC0000,783,13:03,220,-28.2,-67.38,0.58,0.055,-0.86,-47.33,176
IC0000,784,13:04,223,-19.44,-65.7,0.7,0.057,-0.76,-41.39,178
IC0000,785,13:05,221,30.23,-101.95,1.99,0.074,1.1,12.55,176
IC0000,786,13:06,219,27.37,-104.66,1.98,0.065,1.15,14.46,176
IC0000,787,13:07,221,-25.99,-50.09,0.36,0.053,-1.03,-43.97,178
IC0000,788,13:08,216,-25.79,-53.67,0.41,0.063,-0.9,-41.03,174
IC0000,789,13:09,222,-31.43,-54.1,0.34,0.074,-1.07,-47.15,178
IC0000,790,13:10,226,-26.77,-53.27,0.4,0.057,-1.06,-46.49,181
IC0000,791,13:11,223,-31.97,-58.33,0.4,0.055,-1.02,-47.9,179
IC0000,792,13:12,226,-21.07,-62.48,0.64,0.059,-0.85,-40.59,181
IC0000,793,13:13,226,-26.23,-57.33,0.48,0.045,-1.01,-44.69,182
IC0000,794,13:14,228,-26.78,-65.63,0.6,0.046,-1.02,-46.69,181
IC0000,795,13:15,231,-23.14,-66.18,0.67,0.057,-1.05,-44.96,183
IC0000,796,13:16,229,-23.92,-58.45,0.53,0.052,-1.08,-42.82,182
IC0000,797,13:17,234,-18.04,-59.88,0.66,0.056,-1.07,-40.32,186
IC0000,798,13:18,230,-11.34,-73.11,0.96,0.049,-0.75,-37.18,184
IC0000,799,13:19,234,-11.29,-68.61,0.91,0.038,-0.89,-39.66,186
IC0000,800,13:20,236,-12.17,-60.49,0.77,0.039,-0.85,-35.52,187
IC0000,801,13:21,235,-11.15,-51.76,0.65,0.029,-0.85,-32.81,187
IC0000,802,13:22,235,-14.75,-47.55,0.52,0.036,-0.98,-36.75,185
IC0000,803,13:23,238,-18.85,-51.35,0.52,0.038,-0.94,-38.39,188
IC0000,804,13:24,239,-28.96,-35.05,0.1,0.032,-1.11,-41.01,190
IC0000,805,13:25,239,-34.94,-32.41,-0.04,0.025,-1.24,-47.58,189
IC0000,806,13:26,238,-37.26,-46.35,0.15,0.025,-1.21,-48.36,188
IC0000,807,13:27,239,-40.29,-39.49,-0.01,0.021,-1.32,-52.14,191
IC0000,808,13:28,241,-38.57,-36.15,-0.04,0.023,-1.29,-48.99,195
IC0000,809,13:29,241,-32.52,-39.85,0.12,0.027,-1.23,-48.45,191
IC0000,810,13:30,239,6.46,-84.5,1.47,0.045,0.73,-0.34,187
IC0000,811,13:31,241,6.32,-77.29,1.37,0.023,0.81,2.79,193
IC0000,812,13:32,239,5.16,-79.59,1.38,0.016,0.83,3.38,191
IC0000,813,13:33,240,9.41,-81.36,1.48,0.024,0.8,5.83,191
IC0000,814,13:34,239,6.9,-80.3,1.42,0.026,0.65,1.51,191
IC0000,815,13:35,241,-35.71,-42.65,0.11,0.028,0.65,0.18,194
