code,side,tod,hm,n,mean_hicounter,mean_locounter,t_hi_minus_lo,corr_counter_sfwd,t_ex15
IC0000,up,780,13:00,221,7.13,4.62,0.15,-0.019,0.32
IC0000,up,781,13:01,212,4.89,8.4,-0.21,-0.013,-0.23
IC0000,up,782,13:02,212,12.01,2.59,0.56,0.011,0.82
IC0000,up,783,13:03,208,10.72,6.72,0.24,-0.034,0.41
IC0000,up,784,13:04,210,14.41,5.47,0.54,-0.014,0.76
IC0000,up,785,13:05,209,19.82,9.41,0.63,0.007,0.67
IC0000,up,786,13:06,208,14.64,13.94,0.04,-0.011,-0.17
IC0000,up,787,13:07,210,14.59,14.2,0.03,0.034,0.37
IC0000,up,788,13:08,205,17.49,10.52,0.44,0.049,0.97
IC0000,up,789,13:09,209,13.12,8.81,0.28,0.058,0.35
IC0000,up,790,13:10,213,5.86,14.46,-0.58,0.015,-0.59
IC0000,up,791,13:11,211,5.63,9.04,-0.23,0.049,-0.08
IC0000,up,792,13:12,213,10.87,6.18,0.32,0.054,0.2
IC0000,up,793,13:13,213,6.31,10.9,-0.31,0.044,-0.57
IC0000,up,794,13:14,214,2.02,9.12,-0.45,0.071,-0.51
IC0000,up,795,13:15,217,9.97,3.85,0.39,0.09,-0.55
IC0000,up,796,13:16,216,11.3,7.32,0.26,0.077,-0.63
IC0000,up,797,13:17,221,14.49,6.53,0.53,0.057,-0.4
IC0000,up,798,13:18,217,18.5,-1.54,1.3,0.06,0.41
IC0000,up,799,13:19,221,20.43,-1.94,1.49,0.063,0.24
IC0000,up,800,13:20,223,18.64,6.02,0.84,0.065,0.11
IC0000,up,801,13:21,222,21.71,12.06,0.7,0.057,0.46
IC0000,up,802,13:22,222,18.62,15.53,0.22,0.041,-0.01
IC0000,up,803,13:23,225,14.34,9.98,0.29,0.065,0.23
IC0000,up,804,13:24,226,12.33,17.16,-0.35,0.028,-0.58
IC0000,up,805,13:25,226,8.6,17.07,-0.61,0.025,-0.86
IC0000,up,806,13:26,224,7.69,6.29,0.09,0.049,-0.85
IC0000,up,807,13:27,226,5.39,7.21,-0.12,0.045,-0.73
IC0000,up,808,13:28,228,4.69,12.71,-0.57,0.018,-1.28
IC0000,up,809,13:29,228,11.16,8.39,0.19,0.019,-0.81
IC0000,up,810,13:30,225,7.52,11.42,-0.26,0.023,-0.5
IC0000,up,811,13:31,228,7.28,13.17,-0.42,-0.022,-0.73
IC0000,up,812,13:32,226,6.14,11.34,-0.36,-0.038,-0.33
IC0000,up,813,13:33,226,11.0,12.78,-0.13,-0.022,-0.68
IC0000,up,814,13:34,225,5.54,16.66,-0.8,-0.021,-1.73
IC0000,up,815,13:35,227,6.1,9.95,-0.27,0.016,-1.62
IC0000,up,816,13:36,225,8.41,11.12,-0.19,0.008,-1.47
IC0000,up,817,13:37,229,6.58,14.13,-0.54,-0.01,-2.16
IC0000,up,818,13:38,229,9.95,14.86,-0.38,-0.021,-1.76
IC0000,up,819,13:39,225,5.77,23.02,-1.4,-0.063,-2.19
IC0000,up,820,13:40,229,10.03,14.11,-0.31,-0.019,-1.52
IC0000,up,821,13:41,234,11.86,20.01,-0.66,-0.07,-1.05
IC0000,up,822,13:42,234,7.25,18.06,-0.84,-0.08,-1.9
IC0000,up,823,13:43,235,10.94,14.87,-0.29,-0.045,-1.78
IC0000,up,824,13:44,231,9.4,20.82,-0.89,-0.103,-2.09
IC0000,up,825,13:45,236,10.66,20.79,-0.87,-0.133,-1.54
IC0000,up,826,13:46,238,10.27,13.95,-0.28,-0.072,-1.47
IC0000,up,827,13:47,238,11.99,16.39,-0.38,-0.103,-1.11
IC0000,up,828,13:48,242,12.44,11.64,0.06,-0.035,-0.77
IC0000,up,829,13:49,244,9.93,19.58,-0.79,-0.077,-1.69
IC0000,up,830,13:50,251,11.2,14.51,-0.27,-0.034,-0.89
IC0000,up,831,13:51,251,13.92,16.71,-0.22,-0.02,-0.74
IC0000,up,832,13:52,251,19.45,16.51,0.24,0.015,-1.0
IC0000,up,833,13:53,253,15.82,9.53,0.51,0.009,-0.49
IC0000,up,834,13:54,244,17.57,11.21,0.5,0.021,-0.7
IC0000,up,835,13:55,252,14.39,8.31,0.48,0.042,-0.36
IC0000,up,836,13:56,255,16.63,11.44,0.42,0.016,-0.33
IC0000,up,837,13:57,257,14.1,6.48,0.63,-0.0,-0.8
IC0000,up,838,13:58,255,14.61,7.39,0.6,-0.006,-0.49
IC0000,up,839,13:59,261,9.4,11.08,-0.14,-0.006,-0.46
IC0000,up,840,14:00,264,12.47,6.58,0.53,0.006,0.26
IC0000,up,841,14:01,269,12.02,10.78,0.11,0.007,-0.56
IC0000,up,842,14:02,268,12.67,13.02,-0.03,0.012,-1.1
IC0000,up,843,14:03,264,13.66,12.31,0.12,-0.015,-0.38
IC0000,up,844,14:04,264,13.46,13.61,-0.01,-0.025,-0.1
IC0000,up,845,14:05,265,9.43,15.54,-0.6,-0.039,-1.2
IC0000,up,846,14:06,266,12.12,18.46,-0.66,-0.048,-0.57
IC0000,up,847,14:07,262,11.48,15.69,-0.43,-0.047,-0.18
IC0000,up,848,14:08,263,13.16,14.45,-0.13,-0.056,0.25
IC0000,up,849,14:09,263,15.62,9.22,0.67,-0.022,0.24
IC0000,up,850,14:10,261,14.58,7.88,0.69,-0.032,0.79
IC0000,up,851,14:11,265,14.28,8.44,0.61,-0.03,0.71
IC0000,up,852,14:12,267,11.79,14.96,-0.34,-0.053,-0.18
IC0000,up,853,14:13,269,13.7,11.05,0.28,-0.036,0.51
IC0000,up,854,14:14,272,10.28,13.66,-0.37,-0.04,-0.11
IC0000,up,855,14:15,276,8.54,15.22,-0.75,-0.05,0.07
IC0000,up,856,14:16,274,8.35,16.34,-0.9,-0.041,0.34
IC0000,up,857,14:17,280,8.89,14.01,-0.6,-0.042,0.42
IC0000,up,858,14:18,281,6.72,19.51,-1.55,-0.042,-0.29
IC0000,up,859,14:19,281,7.65,14.84,-0.86,-0.073,0.56
IC0000,up,860,14:20,287,7.1,14.26,-0.87,-0.085,0.23
IC0000,up,861,14:21,286,7.5,15.36,-0.98,-0.094,0.19
IC0000,up,862,14:22,286,6.5,13.57,-0.89,-0.103,-0.07
IC0000,up,863,14:23,286,8.28,11.9,-0.46,-0.119,0.63
IC0000,up,864,14:24,282,8.06,12.43,-0.56,-0.107,0.35
IC0000,up,865,14:25,288,7.82,14.3,-0.87,-0.095,0.31
IC0000,up,866,14:26,285,7.15,15.9,-1.18,-0.097,0.26
IC0000,up,867,14:27,285,9.16,10.73,-0.21,-0.091,0.97
IC0000,up,868,14:28,285,7.64,8.71,-0.15,-0.077,1.01
IC0000,up,869,14:29,291,6.35,7.93,-0.23,-0.083,1.02
IC0000,up,870,14:30,298,4.69,6.11,-0.22,-0.076,0.96
IC0000,up,871,14:31,302,3.41,4.52,-0.17,-0.017,1.38
IC0000,up,872,14:32,302,2.66,7.55,-0.77,-0.033,0.69
IC0000,up,873,14:33,299,3.12,4.68,-0.23,-0.025,1.3
IC0000,up,874,14:34,295,2.27,5.71,-0.54,-0.017,0.83
IC0000,up,875,14:35,295,1.25,5.08,-0.6,-0.009,0.48
IC0000,up,876,14:36,303,0.09,3.83,-0.67,-0.02,0.54
IC0000,up,877,14:37,298,1.04,2.34,-0.23,0.005,0.5
IC0000,up,878,14:38,298,1.86,-0.27,0.37,0.021,1.03
IC0000,up,879,14:39,300,-0.76,-1.07,0.06,0.039,0.44
IC0000,up,880,14:40,298,2.9,-4.09,1.24,0.064,0.95
IC0000,up,881,14:41,306,1.93,-4.5,1.17,0.063,1.26
IC0000,up,882,14:42,302,1.85,-5.5,1.33,0.067,1.02
IC0000,up,883,14:43,303,3.05,-4.81,1.52,0.064,1.28
IC0000,up,884,14:44,303,2.42,-3.25,1.22,0.042,1.3
IC0000,up,885,14:45,303,2.67,-1.22,0.89,0.058,0.18
IC0000,up,886,14:46,296,2.58,-1.14,0.92,-0.0,0.46
IC0000,up,887,14:47,300,0.96,-0.79,0.5,-0.011,0.29
IC0000,up,888,14:48,304,0.52,-1.74,0.65,-0.005,0.45
IC0000,up,889,14:49,298,0.66,-1.6,0.7,0.003,0.43
IC0000,up,890,14:50,299,1.79,2.81,-0.35,-0.01,-0.05
IC0000,up,891,14:51,297,1.75,3.92,-0.76,0.013,-0.25
IC0000,up,892,14:52,299,2.07,2.67,-0.23,0.063,0.49
IC0000,up,893,14:53,295,3.25,1.24,0.82,0.091,0.88
IC0000,up,894,14:54,300,3.46,1.04,1.14,0.087,1.5
IC0000,up,895,14:55,298,4.83,1.97,1.38,0.069,1.12
IC0000,up,896,14:56,304,2.01,-0.59,1.58,0.089,1.34
IC0000,up,897,14:57,302,1.93,-0.48,1.55,0.096,1.32
IC0000,up,898,14:58,300,1.8,0.28,1.12,0.013,1.16
IC0000,up,899,14:59,300,0.28,0.79,-0.71,-0.079,-0.43
IC0000,down,780,13:00,196,3.37,19.86,-0.68,-0.069,-0.95
IC0000,down,781,13:01,206,9.36,19.8,-0.45,-0.053,-0.94
IC0000,down,782,13:02,212,1.15,17.62,-0.73,-0.052,-1.19
IC0000,down,783,13:03,211,0.42,18.98,-0.8,-0.087,-1.35
IC0000,down,784,13:04,210,1.75,17.27,-0.67,-0.094,-0.96
IC0000,down,785,13:05,211,11.19,5.11,0.27,-0.063,0.61
IC0000,down,786,13:06,208,15.52,9.77,0.25,-0.058,0.09
IC0000,down,787,13:07,212,13.67,14.34,-0.03,-0.062,-0.23
IC0000,down,788,13:08,212,22.15,16.24,0.27,-0.053,0.16
IC0000,down,789,13:09,211,24.2,17.8,0.3,-0.047,-0.05
IC0000,down,790,13:10,211,21.04,16.42,0.22,-0.019,-0.2
IC0000,down,791,13:11,211,20.21,21.84,-0.08,-0.051,-0.25
IC0000,down,792,13:12,212,14.68,24.77,-0.47,-0.074,-0.68
IC0000,down,793,13:13,216,8.61,35.77,-1.31,-0.073,-1.19
IC0000,down,794,13:14,214,11.98,31.58,-0.94,-0.092,-0.5
IC0000,down,795,13:15,214,9.93,29.56,-0.95,-0.096,-0.65
IC0000,down,796,13:16,220,12.2,30.78,-0.92,-0.092,-1.4
IC0000,down,797,13:17,216,13.48,26.3,-0.63,-0.065,-0.58
IC0000,down,798,13:18,215,8.97,34.33,-1.22,-0.067,-1.26
IC0000,down,799,13:19,219,12.51,31.76,-0.94,-0.081,-0.68
IC0000,down,800,13:20,220,24.5,18.02,0.32,-0.054,-0.09
IC0000,down,801,13:21,217,18.47,24.37,-0.29,-0.048,-1.04
IC0000,down,802,13:22,213,20.79,29.79,-0.43,-0.046,0.13
IC0000,down,803,13:23,206,24.78,27.85,-0.14,-0.06,-0.42
IC0000,down,804,13:24,214,20.46,32.48,-0.59,-0.086,-0.4
IC0000,down,805,13:25,217,22.91,25.57,-0.13,-0.058,-0.08
IC0000,down,806,13:26,214,20.73,28.33,-0.37,-0.064,-0.19
IC0000,down,807,13:27,211,16.48,27.03,-0.51,-0.062,-0.73
IC0000,down,808,13:28,213,19.35,20.54,-0.06,-0.039,-0.13
IC0000,down,809,13:29,218,22.19,21.15,0.05,-0.022,-0.05
IC0000,down,810,13:30,217,18.22,22.54,-0.22,-0.045,-0.6
IC0000,down,811,13:31,213,14.37,23.71,-0.48,-0.056,-0.97
IC0000,down,812,13:32,216,12.11,24.29,-0.62,0.014,-1.47
IC0000,down,813,13:33,220,14.79,19.56,-0.25,0.038,-0.91
IC0000,down,814,13:34,223,14.2,18.0,-0.2,0.037,-0.66
IC0000,down,815,13:35,224,23.94,15.74,0.43,0.044,0.21
IC0000,down,816,13:36,224,19.88,19.17,0.04,0.029,-0.37
IC0000,down,817,13:37,221,22.03,19.35,0.14,0.046,-0.33
IC0000,down,818,13:38,226,20.21,22.59,-0.13,0.023,-0.51
IC0000,down,819,13:39,228,17.63,25.82,-0.43,0.003,-0.57
IC0000,down,820,13:40,228,24.84,23.78,0.05,0.032,-0.27
IC0000,down,821,13:41,230,10.2,22.28,-0.68,0.01,-0.58
IC0000,down,822,13:42,231,20.96,22.15,-0.06,0.03,-0.62
IC0000,down,823,13:43,233,28.13,25.22,0.15,0.057,-0.81
IC0000,down,824,13:44,234,28.96,18.42,0.54,0.043,-0.25
IC0000,down,825,13:45,230,22.04,23.45,-0.07,0.04,-1.55
IC0000,down,826,13:46,238,22.96,23.21,-0.01,0.065,-1.05
IC0000,down,827,13:47,240,16.07,19.69,-0.18,0.057,-1.22
IC0000,down,828,13:48,237,8.97,20.16,-0.63,0.01,-1.16
IC0000,down,829,13:49,233,9.88,19.23,-0.53,-0.012,-1.25
IC0000,down,830,13:50,243,6.55,19.54,-0.76,0.001,-1.21
IC0000,down,831,13:51,233,5.78,23.26,-1.02,-0.056,-1.86
IC0000,down,832,13:52,234,13.12,21.93,-0.53,-0.024,-1.16
IC0000,down,833,13:53,241,9.38,23.13,-0.84,-0.049,-1.75
IC0000,down,834,13:54,237,9.86,27.72,-1.09,-0.036,-2.04
IC0000,down,835,13:55,245,18.24,18.37,-0.01,-0.02,-0.85
IC0000,down,836,13:56,246,12.56,21.52,-0.57,-0.02,-1.32
IC0000,down,837,13:57,245,12.13,20.3,-0.53,-0.036,-1.08
IC0000,down,838,13:58,243,17.1,23.99,-0.43,-0.028,-1.44
IC0000,down,839,13:59,245,16.44,25.2,-0.57,0.003,-1.49
IC0000,down,840,14:00,248,15.44,22.51,-0.47,0.017,-1.2
IC0000,down,841,14:01,248,22.32,21.89,0.03,0.059,-0.98
IC0000,down,842,14:02,244,22.01,18.44,0.24,0.061,-0.43
IC0000,down,843,14:03,245,21.97,16.46,0.36,0.065,-0.56
IC0000,down,844,14:04,244,21.02,14.71,0.42,0.066,-0.24
IC0000,down,845,14:05,236,23.19,21.13,0.14,0.057,-0.75
IC0000,down,846,14:06,243,26.46,18.43,0.48,0.071,-0.78
IC0000,down,847,14:07,246,26.27,17.52,0.53,0.088,-1.2
IC0000,down,848,14:08,244,26.01,18.07,0.48,0.074,-1.59
IC0000,down,849,14:09,247,19.36,16.86,0.18,0.019,-1.2
IC0000,down,850,14:10,247,27.58,13.19,0.93,0.076,-0.94
IC0000,down,851,14:11,248,30.3,12.25,1.19,0.096,-0.81
IC0000,down,852,14:12,249,25.76,9.57,1.12,0.062,-0.68
IC0000,down,853,14:13,251,24.3,9.29,1.05,0.067,-0.87
IC0000,down,854,14:14,255,20.08,12.47,0.55,0.076,-1.54
IC0000,down,855,14:15,265,15.75,9.53,0.47,0.056,-1.57
IC0000,down,856,14:16,269,16.49,10.6,0.47,0.053,-1.74
IC0000,down,857,14:17,256,16.99,11.29,0.44,0.033,-1.47
IC0000,down,858,14:18,262,17.05,12.38,0.37,0.037,-1.61
IC0000,down,859,14:19,263,15.05,8.96,0.49,0.046,-1.78
IC0000,down,860,14:20,262,17.15,8.71,0.67,0.03,-0.73
IC0000,down,861,14:21,263,22.0,8.52,1.04,0.048,-0.51
IC0000,down,862,14:22,262,21.22,8.24,1.01,0.055,-0.74
IC0000,down,863,14:23,261,20.04,5.43,1.2,0.055,-0.45
IC0000,down,864,14:24,265,20.1,8.22,0.97,0.054,-0.74
IC0000,down,865,14:25,269,18.76,10.05,0.74,0.048,-0.53
IC0000,down,866,14:26,259,20.54,12.59,0.66,0.062,-0.92
IC0000,down,867,14:27,259,23.7,12.1,0.96,0.076,-0.7
IC0000,down,868,14:28,254,21.42,11.82,0.8,0.07,-1.1
IC0000,down,869,14:29,257,26.52,8.37,1.54,0.089,0.04
IC0000,down,870,14:30,252,23.5,12.5,0.93,0.075,-1.27
IC0000,down,871,14:31,259,27.46,8.05,1.71,0.105,-0.41
IC0000,down,872,14:32,256,18.78,11.0,0.69,0.061,-1.52
IC0000,down,873,14:33,252,20.21,12.2,0.73,0.06,-1.57
IC0000,down,874,14:34,251,18.74,11.17,0.75,0.095,-1.76
IC0000,down,875,14:35,265,16.93,9.86,0.76,0.104,-1.67
IC0000,down,876,14:36,265,20.45,8.98,1.2,0.131,-1.48
IC0000,down,877,14:37,266,18.79,7.07,1.25,0.143,-1.13
IC0000,down,878,14:38,269,17.14,6.86,1.14,0.142,-1.35
IC0000,down,879,14:39,269,13.32,6.28,0.82,0.101,-1.25
IC0000,down,880,14:40,267,12.31,7.23,0.61,0.097,-1.63
IC0000,down,881,14:41,271,9.74,7.22,0.32,0.046,-1.61
IC0000,down,882,14:42,276,9.21,4.84,0.58,0.054,-0.84
IC0000,down,883,14:43,272,10.05,3.79,0.91,0.123,-0.77
IC0000,down,884,14:44,278,8.3,-0.71,1.4,0.123,0.1
IC0000,down,885,14:45,273,6.98,1.58,0.85,0.121,-0.62
IC0000,down,886,14:46,275,6.96,3.07,0.67,0.115,-1.12
IC0000,down,887,14:47,275,8.85,0.37,1.42,0.12,-0.38
IC0000,down,888,14:48,277,8.24,-1.66,1.83,0.116,0.07
IC0000,down,889,14:49,281,4.99,-2.12,1.41,0.124,-0.46
IC0000,down,890,14:50,279,6.59,-0.51,1.62,0.094,0.27
IC0000,down,891,14:51,281,2.99,-0.59,0.93,0.047,-0.04
IC0000,down,892,14:52,279,3.35,-1.86,1.37,0.059,0.6
IC0000,down,893,14:53,283,1.18,-1.06,0.69,-0.003,0.19
IC0000,down,894,14:54,283,-1.86,0.9,-0.94,-0.069,-1.09
IC0000,down,895,14:55,282,1.12,3.08,-0.73,-0.073,-0.49
IC0000,down,896,14:56,280,2.2,1.44,0.29,-0.018,0.62
IC0000,down,897,14:57,280,2.05,1.29,0.33,0.006,0.86
IC0000,down,898,14:58,283,0.35,0.17,0.1,-0.048,0.43
IC0000,down,899,14:59,280,0.19,-0.87,0.84,-0.008,2.14
IF0000,up,780,13:00,207,-0.9,-6.72,0.35,0.055,0.1
IF0000,up,781,13:01,205,3.03,-4.29,0.44,0.025,-0.13
IF0000,up,782,13:02,203,1.63,2.71,-0.06,0.01,-0.79
IF0000,up,783,13:03,202,0.12,0.72,-0.04,-0.019,-0.89
IF0000,up,784,13:04,207,-0.26,3.96,-0.26,-0.029,-1.47
IF0000,up,785,13:05,204,0.98,6.52,-0.34,-0.023,-1.17
IF0000,up,786,13:06,194,7.4,8.87,-0.08,-0.026,-1.36
IF0000,up,787,13:07,201,1.96,13.58,-0.69,0.0,-1.27
IF0000,up,788,13:08,200,5.65,10.78,-0.31,-0.015,-1.19
IF0000,up,789,13:09,205,3.85,7.39,-0.22,-0.019,-1.56
IF0000,up,790,13:10,208,-1.4,8.44,-0.62,-0.012,-1.96
IF0000,up,791,13:11,205,3.08,6.91,-0.24,0.01,-1.74
IF0000,up,792,13:12,209,0.18,11.0,-0.69,-0.016,-1.88
IF0000,up,793,13:13,209,2.53,10.67,-0.51,-0.008,-1.51
IF0000,up,794,13:14,212,5.22,10.11,-0.31,-0.014,-1.55
IF0000,up,795,13:15,215,0.89,4.21,-0.21,-0.012,-1.56
IF0000,up,796,13:16,219,3.86,7.59,-0.23,-0.021,-1.02
IF0000,up,797,13:17,210,3.55,5.23,-0.1,-0.035,-0.98
IF0000,up,798,13:18,204,2.12,9.85,-0.44,-0.054,-1.35
IF0000,up,799,13:19,209,0.55,9.08,-0.51,-0.065,-1.04
IF0000,up,800,13:20,205,10.14,9.88,0.01,0.004,-1.04
IF0000,up,801,13:21,208,7.64,11.8,-0.26,-0.061,-1.02
IF0000,up,802,13:22,212,19.82,5.64,0.87,0.005,-0.48
IF0000,up,803,13:23,213,15.45,7.77,0.48,0.005,-0.68
IF0000,up,804,13:24,213,18.38,9.63,0.58,-0.056,-0.39
IF0000,up,805,13:25,211,11.32,12.98,-0.11,-0.061,-0.64
IF0000,up,806,13:26,217,14.1,10.96,0.21,-0.032,-0.45
IF0000,up,807,13:27,220,13.92,11.02,0.19,0.004,-0.72
IF0000,up,808,13:28,216,10.41,10.7,-0.02,0.004,-0.85
