fam,side,tod,hm,n,mean_hiLiq,mean_loLiq,t_hi_minus_lo,corr_liq_sfwd
IC,up,781,13:01,59,23.22,-6.51,1.41,0.107
IC,up,782,13:02,60,19.73,-1.99,1.0,0.105
IC,up,783,13:03,64,19.43,-7.0,1.29,0.087
IC,up,784,13:04,63,9.88,-0.12,0.47,0.046
IC,up,785,13:05,64,5.07,-0.18,0.25,0.036
IC,up,786,13:06,62,11.13,-3.2,0.68,0.099
IC,up,787,13:07,60,9.68,0.63,0.42,0.117
IC,up,788,13:08,62,8.98,-2.73,0.57,0.103
IC,up,789,13:09,59,15.92,-9.65,1.21,0.139
IC,up,790,13:10,59,18.55,-9.83,1.39,0.155
IC,up,791,13:11,60,18.16,-6.93,1.26,0.135
IC,up,792,13:12,59,19.22,-5.1,1.22,0.16
IC,up,793,13:13,58,20.08,-5.55,1.25,0.179
IC,up,794,13:14,60,11.75,0.38,0.57,0.179
IC,up,795,13:15,61,17.49,-0.64,0.93,0.225
IC,up,796,13:16,58,19.52,-4.33,1.17,0.249
IC,up,797,13:17,61,15.47,0.55,0.76,0.253
IC,up,798,13:18,61,18.6,-0.39,0.98,0.221
IC,up,799,13:19,63,16.64,0.3,0.86,0.201
IC,up,800,13:20,63,22.57,8.41,0.83,0.19
IC,up,801,13:21,61,25.24,0.82,1.38,0.267
IC,up,802,13:22,62,21.7,7.74,0.77,0.162
IC,up,803,13:23,64,22.69,8.26,0.83,0.187
IC,up,804,13:24,64,23.56,-1.15,1.42,0.264
IC,up,805,13:25,67,23.35,3.92,1.14,0.244
IC,up,806,13:26,65,27.92,3.55,1.42,0.28
IC,up,807,13:27,63,31.06,-1.37,1.91,0.33
IC,up,808,13:28,64,28.02,-1.44,1.73,0.329
IC,up,809,13:29,65,22.06,0.99,1.27,0.296
IC,up,810,13:30,40,2.48,15.03,-0.53,0.143
IC,up,811,13:31,67,22.98,-3.99,1.76,0.286
IC,up,812,13:32,67,21.85,-2.58,1.63,0.188
IC,up,813,13:33,70,20.13,-1.65,1.51,0.262
IC,up,814,13:34,68,23.52,-7.13,2.09,0.269
IC,up,815,13:35,67,21.24,-1.67,1.54,0.197
IC,up,816,13:36,67,17.75,-4.06,1.48,0.203
IC,up,817,13:37,66,17.5,-2.57,1.33,0.226
IC,up,818,13:38,67,15.59,1.17,0.98,0.225
IC,up,819,13:39,67,10.71,11.76,-0.08,0.11
IC,up,820,13:40,65,11.1,11.2,-0.01,0.096
IC,up,821,13:41,71,9.49,-0.77,0.74,0.231
IC,up,822,13:42,70,9.99,-2.14,0.84,0.279
IC,up,823,13:43,69,6.81,-0.39,0.5,0.229
IC,up,824,13:44,68,5.27,4.64,0.05,0.168
IC,up,825,13:45,66,5.09,7.64,-0.2,0.165
IC,up,826,13:46,68,7.29,2.61,0.37,0.173
IC,up,827,13:47,70,13.49,1.51,0.96,0.213
IC,up,828,13:48,71,9.72,4.46,0.44,0.176
IC,up,829,13:49,72,11.22,4.4,0.6,0.157
IC,up,830,13:50,72,8.8,7.48,0.11,0.164
IC,up,831,13:51,75,8.01,8.62,-0.06,0.12
IC,up,832,13:52,75,7.27,7.16,0.01,0.103
IC,up,833,13:53,76,5.05,9.48,-0.42,0.072
IC,up,834,13:54,77,6.31,11.59,-0.51,0.069
IC,up,835,13:55,77,6.08,10.53,-0.44,0.082
IC,up,836,13:56,76,6.56,11.98,-0.54,0.057
IC,up,837,13:57,76,4.56,14.18,-0.98,0.067
IC,up,838,13:58,80,1.84,14.33,-1.32,0.043
IC,up,839,13:59,77,3.28,15.62,-1.28,0.005
IC,up,840,14:00,77,5.28,10.18,-0.52,0.03
IC,up,841,14:01,77,-1.0,7.51,-0.89,0.045
IC,up,842,14:02,80,0.69,7.21,-0.7,0.036
IC,up,843,14:03,79,0.34,11.07,-1.16,0.026
IC,up,844,14:04,80,1.44,9.33,-0.88,-0.024
IC,up,845,14:05,82,-4.02,12.81,-1.86,-0.071
IC,up,846,14:06,80,-3.41,9.49,-1.38,-0.058
IC,up,847,14:07,81,-1.53,10.95,-1.35,-0.047
IC,up,848,14:08,81,1.32,9.69,-0.92,-0.041
IC,up,849,14:09,79,1.43,10.88,-1.09,-0.055
IC,up,850,14:10,80,-0.21,9.23,-1.13,-0.05
IC,up,851,14:11,81,0.12,12.69,-1.54,-0.109
IC,up,852,14:12,78,0.84,15.59,-1.74,-0.15
IC,up,853,14:13,81,-1.27,13.67,-1.87,-0.106
IC,up,854,14:14,81,0.26,12.6,-1.47,-0.118
IC,up,855,14:15,81,-1.06,14.33,-1.83,-0.148
IC,up,856,14:16,81,-1.47,11.41,-1.58,-0.146
IC,up,857,14:17,79,-0.38,10.75,-1.34,-0.138
IC,up,858,14:18,78,-2.67,12.92,-1.89,-0.129
IC,up,859,14:19,78,-1.16,10.96,-1.5,-0.096
IC,up,860,14:20,78,2.71,9.01,-0.79,-0.106
IC,up,861,14:21,79,1.64,10.65,-1.18,-0.112
IC,up,862,14:22,79,2.45,9.68,-0.93,-0.087
IC,up,863,14:23,80,1.41,11.13,-1.35,-0.099
IC,up,864,14:24,81,-0.25,10.11,-1.52,-0.115
IC,up,865,14:25,82,0.47,8.81,-1.28,-0.096
IC,up,866,14:26,82,0.73,9.52,-1.38,-0.097
IC,up,867,14:27,82,3.85,9.63,-0.89,-0.097
IC,up,868,14:28,85,1.24,9.39,-1.25,-0.083
IC,up,869,14:29,84,0.05,9.93,-1.55,-0.083
IC,up,870,14:30,84,0.18,9.03,-1.38,-0.09
IC,up,871,14:31,86,-2.03,4.3,-1.02,-0.105
IC,up,872,14:32,86,2.01,5.78,-0.61,-0.139
IC,up,873,14:33,81,2.39,4.68,-0.38,-0.06
IC,up,874,14:34,81,3.34,5.34,-0.33,-0.066
IC,up,875,14:35,79,3.82,5.71,-0.33,-0.057
IC,up,876,14:36,81,3.37,5.34,-0.34,-0.056
IC,up,877,14:37,82,5.16,9.05,-0.7,-0.101
IC,up,878,14:38,79,0.39,11.31,-1.94,-0.115
IC,up,879,14:39,79,2.15,8.98,-1.3,-0.044
IC,up,880,14:40,78,3.3,7.54,-0.82,0.065
IC,up,881,14:41,78,3.43,7.15,-0.73,0.024
IC,up,882,14:42,80,2.96,6.28,-0.73,-0.052
IC,up,883,14:43,81,3.61,7.12,-0.8,-0.084
IC,up,884,14:44,82,4.6,9.67,-1.25,-0.073
IC,up,885,14:45,82,3.89,6.24,-0.56,-0.056
IC,up,886,14:46,80,2.37,7.53,-1.24,-0.041
IC,up,887,14:47,81,2.41,5.9,-0.91,-0.059
IC,up,888,14:48,83,-0.03,2.87,-0.78,-0.045
IC,up,889,14:49,83,-1.27,3.09,-1.26,-0.086
IC,up,890,14:50,82,-0.95,2.26,-1.01,-0.121
IC,up,891,14:51,79,2.22,2.94,-0.22,-0.089
IC,up,892,14:52,81,2.46,4.01,-0.49,-0.089
IC,up,893,14:53,82,0.75,2.75,-0.69,-0.027
IC,up,894,14:54,80,0.4,2.29,-0.64,-0.079
IC,up,895,14:55,79,1.03,3.18,-0.78,-0.114
IC,up,896,14:56,78,2.3,6.03,-1.58,-0.135
IC,up,897,14:57,78,-0.69,2.53,-1.49,-0.1
IC,up,898,14:58,79,0.96,2.55,-0.92,-0.094
IC,up,899,14:59,83,0.43,0.92,-0.41,0.017
IC,down,781,13:01,47,-14.83,-7.65,-0.23,-0.081
IC,down,782,13:02,41,-12.38,5.2,-0.55,-0.08
IC,down,783,13:03,44,-9.5,3.16,-0.43,-0.081
IC,down,784,13:04,46,-20.07,16.88,-1.34,-0.137
IC,down,785,13:05,42,-4.72,3.09,-0.25,-0.101
IC,down,786,13:06,46,-10.37,1.87,-0.4,-0.083
IC,down,787,13:07,47,-12.68,5.78,-0.61,-0.106
IC,down,788,13:08,52,-5.78,7.09,-0.46,-0.102
IC,down,789,13:09,54,-13.49,12.5,-0.94,-0.113
IC,down,790,13:10,53,-8.43,20.44,-1.08,-0.0
IC,down,791,13:11,54,-5.65,12.92,-0.69,-0.001
IC,down,792,13:12,54,5.96,14.2,-0.32,0.01
IC,down,793,13:13,54,-0.99,10.18,-0.42,0.03
IC,down,794,13:14,54,-4.52,16.46,-0.76,0.023
IC,down,795,13:15,52,-4.56,22.65,-1.0,0.037
IC,down,796,13:16,51,-4.39,22.05,-0.95,0.035
IC,down,797,13:17,51,-0.39,23.31,-0.89,0.065
IC,down,798,13:18,53,5.33,13.94,-0.32,0.121
IC,down,799,13:19,53,4.04,18.85,-0.55,0.099
IC,down,800,13:20,51,9.84,24.61,-0.58,0.094
IC,down,801,13:21,54,6.6,32.03,-1.04,0.04
IC,down,802,13:22,52,10.48,17.99,-0.3,0.104
IC,down,803,13:23,57,3.4,17.17,-0.53,0.011
IC,down,804,13:24,54,0.92,12.79,-0.46,0.031
IC,down,805,13:25,55,-7.62,21.98,-1.14,0.017
IC,down,806,13:26,56,-8.13,18.22,-1.02,0.048
IC,down,807,13:27,54,4.42,12.24,-0.31,0.033
IC,down,808,13:28,54,5.6,8.28,-0.11,0.044
IC,down,809,13:29,52,-2.53,18.64,-0.83,0.044
IC,down,810,13:30,32,23.12,-0.58,0.8,0.05
IC,down,811,13:31,54,-0.34,18.77,-0.78,0.074
IC,down,812,13:32,55,-1.66,8.72,-0.42,0.072
IC,down,813,13:33,55,2.22,-0.0,0.09,0.042
IC,down,814,13:34,56,-15.75,10.67,-1.04,0.044
IC,down,815,13:35,57,12.67,-0.79,0.54,0.051
IC,down,816,13:36,55,2.7,18.65,-0.69,0.045
IC,down,817,13:37,58,3.11,16.02,-0.57,0.055
IC,down,818,13:38,57,2.13,13.86,-0.53,0.067
IC,down,819,13:39,56,3.66,14.33,-0.47,0.068
IC,down,820,13:40,58,9.59,10.24,-0.03,0.054
IC,down,821,13:41,56,8.35,7.81,0.02,0.083
IC,down,822,13:42,53,1.68,11.17,-0.45,0.076
IC,down,823,13:43,51,8.67,7.04,0.08,0.077
IC,down,824,13:44,53,2.44,4.58,-0.1,0.079
IC,down,825,13:45,53,2.27,3.71,-0.07,0.058
IC,down,826,13:46,54,9.11,-3.54,0.53,0.063
IC,down,827,13:47,54,10.92,-4.86,0.68,0.061
IC,down,828,13:48,53,3.89,6.22,-0.1,0.01
IC,down,829,13:49,55,4.89,3.57,0.06,0.01
IC,down,830,13:50,53,1.9,4.23,-0.1,0.023
IC,down,831,13:51,55,8.82,-0.15,0.41,0.069
IC,down,832,13:52,53,3.68,3.37,0.01,0.059
IC,down,833,13:53,53,1.53,-1.27,0.13,0.085
IC,down,834,13:54,53,5.11,-0.12,0.24,0.074
IC,down,835,13:55,51,10.59,0.71,0.47,0.102
