tod,n,mean_bp,win_reversal,t,code,days_ever_up1pct,hm
780,232,-47.002,0.487,-1.48,IC0000,887,13:00
781,224,-46.164,0.5,-1.39,IC0000,887,13:01
782,224,-45.505,0.496,-1.37,IC0000,887,13:02
783,219,-48.246,0.489,-1.43,IC0000,887,13:03
784,222,-43.104,0.482,-1.29,IC0000,887,13:04
785,220,-36.633,0.45,-1.09,IC0000,887,13:05
786,218,-39.376,0.463,-1.16,IC0000,887,13:06
787,220,-38.564,0.468,-1.15,IC0000,887,13:07
788,215,-40.229,0.465,-1.17,IC0000,887,13:08
789,221,-43.328,0.48,-1.3,IC0000,887,13:09
790,225,-40.531,0.489,-1.23,IC0000,887,13:10
791,222,-45.797,0.505,-1.38,IC0000,887,13:11
792,225,-42.368,0.484,-1.3,IC0000,887,13:12
793,225,-42.319,0.493,-1.29,IC0000,887,13:13
794,227,-46.766,0.48,-1.44,IC0000,887,13:14
795,230,-45.3,0.474,-1.41,IC0000,887,13:15
796,228,-41.776,0.474,-1.29,IC0000,887,13:16
797,233,-39.45,0.472,-1.24,IC0000,887,13:17
798,229,-42.801,0.472,-1.32,IC0000,887,13:18
799,233,-40.545,0.459,-1.28,IC0000,887,13:19
800,235,-36.902,0.468,-1.17,IC0000,887,13:20
801,234,-32.061,0.449,-1.02,IC0000,887,13:21
802,234,-31.746,0.432,-1.01,IC0000,887,13:22
803,237,-35.62,0.464,-1.14,IC0000,887,13:23
804,238,-32.49,0.416,-1.05,IC0000,887,13:24
805,238,-34.184,0.42,-1.1,IC0000,887,13:25
806,237,-42.368,0.456,-1.36,IC0000,887,13:26
807,238,-40.451,0.466,-1.3,IC0000,887,13:27
808,240,-37.873,0.471,-1.23,IC0000,887,13:28
809,240,-36.686,0.442,-1.19,IC0000,887,13:29
810,238,-39.69,0.454,-1.27,IC0000,887,13:30
811,240,-36.075,0.458,-1.17,IC0000,887,13:31
812,238,-37.839,0.45,-1.22,IC0000,887,13:32
813,239,-36.438,0.435,-1.18,IC0000,887,13:33
814,238,-37.383,0.433,-1.21,IC0000,887,13:34
815,240,-39.72,0.429,-1.29,IC0000,887,13:35
816,238,-36.864,0.437,-1.19,IC0000,887,13:36
817,241,-35.975,0.419,-1.18,IC0000,887,13:37
818,240,-12.779,0.429,-0.57,IC0000,887,13:38
819,236,-10.873,0.428,-0.48,IC0000,887,13:39
820,240,-13.013,0.425,-0.58,IC0000,887,13:40
821,246,-9.201,0.419,-0.42,IC0000,887,13:41
822,246,-12.683,0.415,-0.58,IC0000,887,13:42
823,247,-12.2,0.397,-0.56,IC0000,887,13:43
824,243,-11.136,0.403,-0.51,IC0000,887,13:44
825,248,-9.451,0.419,-0.44,IC0000,887,13:45
826,250,-12.437,0.408,-0.58,IC0000,887,13:46
827,248,-7.789,0.399,-0.37,IC0000,887,13:47
828,252,-8.854,0.401,-0.42,IC0000,887,13:48
829,254,-5.491,0.394,-0.26,IC0000,887,13:49
830,261,-6.716,0.395,-0.33,IC0000,887,13:50
831,261,-4.359,0.387,-0.21,IC0000,887,13:51
832,260,-2.363,0.392,-0.12,IC0000,887,13:52
833,263,-7.077,0.403,-0.35,IC0000,887,13:53
834,254,-6.267,0.366,-0.3,IC0000,887,13:54
835,262,-8.853,0.408,-0.43,IC0000,887,13:55
836,265,-6.29,0.404,-0.31,IC0000,887,13:56
837,267,-9.395,0.416,-0.47,IC0000,887,13:57
838,265,-8.386,0.404,-0.42,IC0000,887,13:58
839,271,-8.513,0.406,-0.44,IC0000,887,13:59
840,274,-9.653,0.431,-0.5,IC0000,887,14:00
841,279,-7.417,0.398,-0.39,IC0000,887,14:01
842,278,-6.999,0.399,-0.37,IC0000,887,14:02
843,274,-7.67,0.383,-0.4,IC0000,887,14:03
844,274,-7.355,0.401,-0.38,IC0000,887,14:04
845,275,-8.561,0.415,-0.44,IC0000,887,14:05
846,276,-5.12,0.388,-0.27,IC0000,887,14:06
847,272,-7.421,0.404,-0.38,IC0000,887,14:07
848,273,-6.887,0.388,-0.36,IC0000,887,14:08
849,273,-8.141,0.407,-0.42,IC0000,887,14:09
850,271,-9.556,0.417,-0.5,IC0000,887,14:10
851,274,-6.946,0.398,-0.37,IC0000,887,14:11
852,276,-4.465,0.388,-0.24,IC0000,887,14:12
853,278,-5.532,0.396,-0.3,IC0000,887,14:13
854,281,-5.022,0.384,-0.27,IC0000,887,14:14
855,286,-21.636,0.406,-0.88,IC0000,887,14:15
856,284,-21.919,0.384,-0.88,IC0000,887,14:16
857,290,-21.898,0.397,-0.9,IC0000,887,14:17
858,291,-20.646,0.402,-0.85,IC0000,887,14:18
859,291,-21.995,0.409,-0.91,IC0000,887,14:19
860,297,-21.497,0.391,-0.9,IC0000,887,14:20
861,296,-21.405,0.389,-0.9,IC0000,887,14:21
862,296,-23.518,0.392,-0.98,IC0000,887,14:22
863,296,-23.054,0.416,-0.97,IC0000,887,14:23
864,292,-23.615,0.39,-0.97,IC0000,887,14:24
865,299,-38.708,0.381,-1.34,IC0000,887,14:25
866,297,-39.072,0.387,-1.35,IC0000,887,14:26
867,296,-24.218,0.409,-1.02,IC0000,887,14:27
