tod,n,mean_bp,win_reversal,t,code,year,hm
882,63,-178.801,0.603,-1.63,IC0000,2015,14:42
882,13,-6.698,0.692,-0.9,IC0000,2016,14:42
882,12,-6.104,0.667,-1.07,IC0000,2017,14:42
882,10,5.728,0.4,0.55,IC0000,2018,14:42
882,37,3.609,0.486,0.62,IC0000,2019,14:42
882,40,-2.96,0.5,-0.58,IC0000,2020,14:42
882,18,0.245,0.5,0.04,IC0000,2021,14:42
882,25,11.728,0.28,2.51,IC0000,2022,14:42
882,6,1.496,0.333,0.49,IC0000,2023,14:42
882,29,-4.531,0.483,-0.29,IC0000,2024,14:42
882,31,6.316,0.387,1.79,IC0000,2025,14:42
882,28,8.633,0.25,2.01,IC0000,2026,14:42
879,67,-16.628,0.567,-1.67,IF0000,2015,14:39
879,14,-18.759,0.786,-2.9,IF0000,2016,14:39
879,5,14.272,0.0,2.88,IF0000,2017,14:39
879,26,-8.231,0.731,-1.84,IF0000,2018,14:39
879,26,1.097,0.5,0.2,IF0000,2019,14:39
879,28,5.561,0.571,0.94,IF0000,2020,14:39
879,27,-3.313,0.519,-0.91,IF0000,2021,14:39
879,25,1.549,0.52,0.33,IF0000,2022,14:39
879,9,-8.2,0.556,-1.77,IF0000,2023,14:39
879,18,-2.464,0.333,-0.13,IF0000,2024,14:39
879,18,9.187,0.389,1.93,IF0000,2025,14:39
879,10,1.477,0.5,0.34,IF0000,2026,14:39
780,39,-195.912,0.59,-1.36,IH0000,2015,13:00
780,10,-41.897,0.7,-1.61,IH0000,2016,13:00
780,13,2.248,0.538,0.08,IH0000,2018,13:00
780,19,10.669,0.526,0.33,IH0000,2019,13:00
780,10,52.708,0.2,1.43,IH0000,2020,13:00
780,16,29.945,0.438,1.39,IH0000,2021,13:00
780,21,-9.746,0.524,-0.87,IH0000,2022,13:00
780,6,-7.902,0.5,-0.21,IH0000,2023,13:00
780,10,39.351,0.5,0.77,IH0000,2024,13:00
780,5,-29.14,0.8,-1.04,IH0000,2025,13:00
817,5,11.317,0.4,0.74,IM0000,2022,13:37
817,6,-21.876,0.833,-1.41,IM0000,2023,13:37
817,37,-10.212,0.486,-0.44,IM0000,2024,13:37
817,28,10.12,0.464,1.08,IM0000,2025,13:37
817,20,20.366,0.25,1.6,IM0000,2026,13:37
