code,year,n,k_ticks,k_pts,s_sum,s_ss,s_n,hits
IC0000,2015,1,0,0.0,869487.5249999972,104705955.84312494,3583839,1541970
IC0000,2015,1,2,0.4,454847.8499999779,84596576.83499998,2152111,1064113
IC0000,2015,1,4,0.8,293086.44999998395,70679429.2937499,1598868,803468
IC0000,2015,1,6,1.2,181691.89999998768,57700835.678749986,1168250,594871
IC0000,2015,1,8,1.6,123376.2999999912,47508364.17249995,871737,447662
IC0000,2015,1,13,2.6,64667.57499999599,26945786.921875004,395728,205705
IC0000,2015,1,20,4.0,66931.37499999994,10461860.008125003,117307,59809
IC0000,2015,1,30,6.0,15128.749999999927,3591679.6337500014,28693,14830
IC0000,2015,2,0,0.0,1063448.3749999967,108334125.1381249,3583487,1597802
IC0000,2015,2,2,0.4,807853.2999999775,93875048.16874994,2539545,1227766
IC0000,2015,2,4,0.8,643807.6499999843,81998079.30249982,1993723,974874
IC0000,2015,2,6,1.2,509345.77499998844,70887152.60812493,1553721,767454
IC0000,2015,2,8,1.6,421395.6249999908,61828414.785624936,1234666,614006
IC0000,2015,2,13,2.6,259178.84999999483,42470338.81499995,679822,342574
IC0000,2015,2,20,4.0,129695.85000000005,24422746.07999998,294975,150266
IC0000,2015,2,30,6.0,57198.92500000029,11412756.433124997,100742,51457
IC0000,2015,3,0,0.0,1068090.399999998,109978899.53374983,3583135,1639942
IC0000,2015,3,2,0.4,897251.7249999808,98539801.78812486,2760468,1326012
IC0000,2015,3,4,0.8,752184.3749999867,88494526.923125,2246423,1088838
IC0000,2015,3,6,1.2,627991.2999999882,78883531.35624997,1816480,887538
IC0000,2015,3,8,1.6,532128.8249999915,70816712.73812489,1495664,735880
IC0000,2015,3,13,2.6,351465.6499999947,52674359.41874992,903837,450873
IC0000,2015,3,20,4.0,186104.8000000004,34168379.158749975,452715,229197
IC0000,2015,3,30,6.0,75058.65000000046,19156489.182499986,190268,97786
IC0000,2015,5,0,0.0,1017940.275,110962092.39187497,3582431,1670115
IC0000,2015,5,2,0.4,934189.6749999854,102660287.03562486,2990802,1431634
IC0000,2015,5,4,0.8,824844.6749999884,94968543.77812494,2549294,1227210
IC0000,2015,5,6,1.2,710746.5999999905,87157632.05499989,2153354,1043656
IC0000,2015,5,8,1.6,626052.8999999919,80488779.75374977,1845518,899021
IC0000,2015,5,13,2.6,432186.0749999956,64830163.479374945,1236364,611142
IC0000,2015,5,20,4.0,254433.50000000157,47208101.02125003,710493,357193
IC0000,2015,5,30,6.0,114840.75000000096,30838907.41249997,354736,181658
IC0000,2015,10,0,0.0,1053624.0750000007,111574581.0643749,3580671,1682334
IC0000,2015,10,2,0.4,1017718.1999999905,106169909.42124984,3193890,1519373
IC0000,2015,10,4,0.8,961753.7749999916,100833711.50687489,2871663,1367097
IC0000,2015,10,6,1.2,888064.8499999918,95356263.85374993,2553390,1218985
IC0000,2015,10,8,1.6,822917.2499999935,90530154.26124984,2289894,1095824
IC0000,2015,10,13,2.6,650924.3499999959,78728071.37999983,1717666,829199
IC0000,2015,10,20,4.0,441455.52500000154,63954394.089374974,1138499,558394
IC0000,2015,10,30,6.0,263690.35000000126,47985273.464999944,668928,333305
IC0000,2015,20,0,0.0,992765.5999999992,111739920.18624987,3577151,1692870
IC0000,2015,20,2,0.4,981667.8499999923,108241728.33749992,3322407,1582482
IC0000,2015,20,4,0.8,957775.8999999934,104748276.94999984,3098233,1474563
IC0000,2015,20,6,1.2,922475.3499999945,100979267.88749999,2866696,1364072
IC0000,2015,20,8,1.6,889055.8749999949,97625929.93187486,2663082,1267288
IC0000,2015,20,13,2.6,783424.6999999945,89034945.5637499,2185206,1042183
IC0000,2015,20,20,4.0,621105.4750000004,77601922.70812503,1629631,782502
IC0000,2015,20,30,6.0,431078.32499999984,63877358.73062497,1092650,531149
IC0000,2015,30,0,0.0,842551.2749999989,111668709.90562491,3573631,1707825
IC0000,2015,30,2,0.4,835619.4499999936,108932743.25499992,3371882,1619691
IC0000,2015,30,4,0.8,822105.8249999944,106107126.22687493,3190989,1531989
IC0000,2015,30,6,1.2,801831.1499999944,103158446.74124995,3002257,1440989
IC0000,2015,30,8,1.6,776382.0999999949,100419851.40874985,2833712,1360035
IC0000,2015,30,13,2.6,706345.124999995,93427121.93187502,2422786,1163893
IC0000,2015,30,20,4.0,592584.1499999986,83775203.96499999,1914011,922756
IC0000,2015,30,30,6.0,440140.99999999994,71769902.12624997,1378899,669947
IC0000,2016,1,0,0.0,508385.39999998396,13518600.000000065,3543913,1339091
IC0000,2016,1,2,0.4,-10372.400000025427,6069131.186250022,1012421,522372
IC0000,2016,1,4,0.8,-84265.35000001416,4035222.395000012,568573,311885
IC0000,2016,1,6,1.2,-86584.2750000073,2655270.0993750063,299978,171997
IC0000,2016,1,8,1.6,-72847.12500000367,1874224.2218750052,178609,105430
IC0000,2016,1,13,2.6,-34795.05000000114,818156.9875000039,50644,31330
IC0000,2016,1,20,4.0,-9141.025000000149,285733.1481249993,9893,6352
IC0000,2016,1,30,6.0,-2182.9749999999867,103988.90312499962,1968,1302
IC0000,2016,2,0,0.0,539513.2249999784,14350742.235625092,3543426,1421075
IC0000,2016,2,2,0.4,161382.74999996505,8660171.57,1506639,738796
IC0000,2016,2,4,0.8,14101.399999980706,5990062.195000012,881088,454987
IC0000,2016,2,6,1.2,-35550.700000010904,4124574.52125001,494126,265229
IC0000,2016,2,8,1.6,-45768.90000000586,3064293.3375000064,308291,169720
IC0000,2016,2,13,2.6,-33781.80000000177,1468645.681250004,96762,55840
IC0000,2016,2,20,4.0,-14887.450000000143,619469.3124999995,23436,14269
IC0000,2016,2,30,6.0,-4654.775000000036,273960.2618749998,5199,3273
IC0000,2016,3,0,0.0,556594.1499999792,15012838.675000073,3542939,1509926
IC0000,2016,3,2,0.4,279978.34999996197,10255900.788750023,1847384,886007
IC0000,2016,3,4,0.8,110580.12499997712,7418530.525625016,1137184,567941
IC0000,2016,3,6,1.2,27936.499999986594,5293956.770000013,672050,346741
IC0000,2016,3,8,1.6,-3396.250000007556,4039602.2400000105,435651,229639
IC0000,2016,3,13,2.6,-21461.400000002322,2067673.6425000057,148243,81583
IC0000,2016,3,20,4.0,-13503.800000000221,929541.5512500011,39162,22657
IC0000,2016,3,30,6.0,-5556.700000000001,399199.42374999984,9211,5546
IC0000,2016,5,0,0.0,563107.2749999777,15383524.506875074,3541965,1562025
IC0000,2016,5,2,0.4,409515.7249999608,11912382.545625025,2248071,1058308
IC0000,2016,5,4,0.8,255697.84999997335,9277147.327500017,1515617,730548
IC0000,2016,5,6,1.2,141984.14999998288,7027202.752500019,972596,480584
IC0000,2016,5,8,1.6,85848.72499998928,5600390.128125013,671731,337325
IC0000,2016,5,13,2.6,18522.774999996178,3124509.1981250043,262391,136250
IC0000,2016,5,20,4.0,-1802.9750000005279,1524039.2143749997,79814,43043
IC0000,2016,5,30,6.0,-3919.4250000000675,707448.8106249996,20433,11539
IC0000,2016,10,0,0.0,537779.3999999807,15602789.17500006,3539530,1608135
IC0000,2016,10,2,0.4,475964.84999996796,13406192.410000054,2667006,1250250
IC0000,2016,10,4,0.8,386713.8249999728,11443970.838125044,2040951,964184
IC0000,2016,10,6,1.2,291908.4499999792,9495402.571250036,1484018,709736
IC0000,2016,10,8,1.6,224352.09999998467,8099363.317500019,1129373,545623
IC0000,2016,10,13,2.6,110392.69999999295,5292026.905000012,550837,271880
IC0000,2016,10,20,4.0,41210.17499999858,2952416.0243750084,212262,106835
IC0000,2016,10,30,6.0,11733.224999999646,1473644.6893750017,66175,34082
IC0000,2016,20,0,0.0,409984.1499999848,15658569.552500073,3534660,1648584
IC0000,2016,20,2,0.4,388955.3749999747,14266777.284375064,2951644,1402123
IC0000,2016,20,4,0.8,352588.2749999777,12937109.104375059,2478954,1180596
IC0000,2016,20,6,1.2,301042.17499998066,11502573.97562506,2002113,958479
IC0000,2016,20,8,1.6,258956.79999998413,10384602.67375003,1659938,798813
IC0000,2016,20,13,2.6,164368.47499999029,7817963.840625014,994470,484939
IC0000,2016,20,20,4.0,88138.39999999694,5194024.361250007,486168,240269
IC0000,2016,20,30,6.0,41837.37499999883,3058169.5218750047,197077,97609
IC0000,2016,30,0,0.0,298540.3499999849,15638278.020000067,3529790,1670758
IC0000,2016,30,2,0.4,288868.5749999784,14552538.516875066,3065072,1471882
IC0000,2016,30,4,0.8,270002.02499997924,13497366.860625053,2673148,1285951
IC0000,2016,30,6,1.2,238697.9999999811,12335312.671250055,2258929,1091014
IC0000,2016,30,8,1.6,211667.62499998423,11400775.98937504,1945791,943254
