code,year,sp_sum,sp_n
IC0000,2015,9673789.600000009,3587711
IC0000,2016,7353249.4000000935,3549270
IC0000,2017,5456399.400000109,3564099
IC0000,2018,7650227.8000001,3990505
IC0000,2019,4701553.000000102,5891942
IC0000,2020,4978865.400000102,6338088
IC0000,2021,5510609.400000106,5386287
IC0000,2022,6874976.400000098,5721844
IC0000,2023,4113441.2000000793,4770068
IC0000,2024,6236075.400000085,5864705
IC0000,2025,5222212.600000088,6142273
IC0000,2026,2943842.5999999787,2601376
IF0000,2015,3871053.0000000466,5786815
IF0000,2016,2983663.8000000464,3526916
IF0000,2017,2139454.0000000447,3502269
IF0000,2018,3381887.4000000632,4613914
IF0000,2019,2794141.200000046,6115912
IF0000,2020,3339780.200000074,6243581
IF0000,2021,3888808.8000001027,5913755
IF0000,2022,3655292.4000000753,5880505
IF0000,2023,2367065.6000000476,4895550
IF0000,2024,2877574.200000047,5643949
IF0000,2025,2578385.400000055,6070588
IF0000,2026,1243414.4000000323,2476010
IH0000,2015,2606607.000000025,3433257
IH0000,2016,1976988.200000024,2259515
IH0000,2017,1640067.600000033,2719969
IH0000,2018,2816643.200000051,3973503
IH0000,2019,2409707.800000046,4923892
IH0000,2020,2842182.000000049,4903636
IH0000,2021,3182050.2000000514,5365786
IH0000,2022,2716370.000000049,5169292
IH0000,2023,1750795.2000000281,4459930
IH0000,2024,2169251.6000000327,4978627
IH0000,2025,1906539.8000000261,5288784
IH0000,2026,838969.6000000131,2121245
IM0000,2022,3540706.400000041,2531336
IM0000,2023,5005920.600000071,4644765
IM0000,2024,5729521.200000102,6232809
IM0000,2025,4356111.8000000985,6520525
IM0000,2026,2505412.399999977,2647707
