code,year,t1,t2,r,x,n_peak,g_sum,g_ss,rhits
IC0000,2015,10,60,1.5,20,499706,219669.85000000073,38204188.85125002,239889
IC0000,2015,10,60,2.0,20,130640,59656.90000000057,9604412.779999994,62949
IC0000,2015,10,60,3.0,20,7081,-353.52499999985685,478237.926875001,3560
IC0000,2015,10,60,5.0,20,65,103.20000000000073,1794.3600000000183,26
IC0000,2015,20,120,1.5,20,412746,97130.77500000033,32732463.330625005,205236
IC0000,2015,20,120,2.0,20,87205,-1280.8750000000464,7144456.285624996,44757
IC0000,2015,20,120,3.0,20,2581,-636.2250000000249,235892.95062500043,1368
IC0000,2016,10,60,1.5,20,479256,71875.87499999703,5485655.318125021,232315
IC0000,2016,10,60,2.0,20,121044,3198.899999999352,1554665.9250000047,61694
IC0000,2016,10,60,3.0,20,7779,-5653.000000000005,160505.30500000014,4622
IC0000,2016,10,60,5.0,20,14,-35.70000000000073,165.57000000001455,10
IC0000,2016,20,120,1.5,20,341734,-10021.200000002065,4446360.615000015,175367
IC0000,2016,20,120,2.0,20,65516,-19458.274999999972,1399097.713125,36225
IC0000,2016,20,120,3.0,20,2989,-4866.72499999998,167884.12562500045,1922
IC0000,2016,20,120,5.0,20,5,-40.49999999999909,362.1299999999856,5
IC0000,2017,10,60,1.5,20,509787,23680.99999999553,2097761.5050000176,246290
IC0000,2017,10,60,2.0,20,134130,56.74999999860847,599849.1325000036,66713
IC0000,2017,10,60,3.0,20,7600,-559.5000000000409,46020.43,3893
IC0000,2017,10,60,5.0,20,43,3.1000000000049113,20.23000000000131,14
IC0000,2017,20,120,1.5,20,361527,446.1999999975442,1664386.53500001,180439
IC0000,2017,20,120,2.0,20,65054,-3936.0000000004575,345379.8250000021,33573
IC0000,2017,20,120,3.0,20,1819,-401.1000000000158,22205.615000000053,951
IC0000,2018,10,60,1.5,20,650034,13660.449999995468,3778780.5450000195,322199
IC0000,2018,10,60,2.0,20,215312,68.42499999850133,1332314.301875006,108134
IC0000,2018,10,60,3.0,20,21707,-219.3750000002242,155116.73312500044,10954
IC0000,2018,10,60,5.0,20,1130,-47.85000000002992,10342.362499999957,592
IC0000,2018,20,120,1.5,20,500783,22864.824999997472,3138543.0118750203,247117
IC0000,2018,20,120,2.0,20,121764,8631.149999999387,869101.4250000032,59856
IC0000,2018,20,120,3.0,20,6536,945.4499999999452,54214.99125000027,3077
IC0000,2018,20,120,5.0,20,77,-19.200000000008004,907.8000000000019,34
IC0000,2019,10,60,1.5,20,822753,38202.84999999535,3035310.8525000205,397273
IC0000,2019,10,60,2.0,20,238126,8282.449999999008,900254.7475000038,116874
IC0000,2019,10,60,3.0,20,16094,463.0999999998685,60572.50500000015,7983
IC0000,2019,10,60,5.0,20,12,4.099999999999454,6.30999999999789,4
IC0000,2019,20,120,1.5,20,689557,16054.24999999643,2732479.507500015,338639
IC0000,2019,20,120,2.0,20,169484,3706.949999999406,734720.7675000037,83995
IC0000,2019,20,120,3.0,20,7286,771.249999999889,31675.302500000347,3470
IC0000,2020,10,60,1.5,20,882048,52360.699999994526,4316000.150000029,425994
IC0000,2020,10,60,2.0,20,256287,14083.999999998712,1240956.9600000097,125197
IC0000,2020,10,60,3.0,20,17770,1984.7999999998965,91137.78000000062,8672
IC0000,2020,10,60,5.0,20,3,1.8999999999996362,1.3699999999992358,0
IC0000,2020,20,120,1.5,20,729429,23015.44999999571,3586994.597500024,356965
IC0000,2020,20,120,2.0,20,174715,2643.949999999021,892106.7825000047,86418
IC0000,2020,20,120,3.0,20,7286,1193.7999999999884,41613.660000000214,3465
IC0000,2021,10,60,1.5,20,842824,30564.024999994035,2882940.6656250353,400744
IC0000,2021,10,60,2.0,20,282902,8980.39999999819,980221.3600000106,135746
IC0000,2021,10,60,3.0,20,28704,429.99999999985084,102750.47500000084,14063
IC0000,2021,10,60,5.0,20,32,33.79999999999836,275.44000000002654,10
IC0000,2021,20,120,1.5,20,666865,15867.899999996247,2326550.915000029,319920
IC0000,2021,20,120,2.0,20,172351,1108.2999999994354,629286.2400000067,83970
IC0000,2021,20,120,3.0,20,9891,934.2000000000262,39009.410000000236,4727
IC0000,2022,10,60,1.5,20,931793,59060.82499999128,4411155.558125028,442133
IC0000,2022,10,60,2.0,20,327673,21723.04999999712,1539140.9575000098,156355
IC0000,2022,10,60,3.0,20,37708,1510.4999999995107,167800.60000000225,18144
IC0000,2022,10,60,5.0,20,81,12.199999999998909,393.5200000000136,38
IC0000,2022,20,120,1.5,20,747211,41244.974999995036,3600031.656875023,355755
IC0000,2022,20,120,2.0,20,203051,10904.649999999012,994364.7125000056,96833
IC0000,2022,20,120,3.0,20,13546,628.7499999998608,62162.82250000072,6558
IC0000,2022,20,120,5.0,20,2,1.0,0.5,0
IC0000,2023,10,60,1.5,20,776782,7358.149999993674,1440827.1375000193,363072
IC0000,2023,10,60,2.0,20,278673,-2266.2000000020043,514150.8450000069,131825
IC0000,2023,10,60,3.0,20,33140,-879.8000000003576,57439.96500000097,15918
IC0000,2023,10,60,5.0,20,99,6.899999999988722,126.62999999997164,42
IC0000,2023,20,120,1.5,20,602591,-6939.600000003211,1108286.360000014,287306
IC0000,2023,20,120,2.0,20,157911,-2988.2500000006357,292326.8675000048,76047
IC0000,2023,20,120,3.0,20,10160,-207.1500000001388,18546.21250000044,4856
IC0000,2023,20,120,5.0,20,4,4.299999999999272,4.809999999998072,0
IC0000,2024,10,60,1.5,20,913097,35715.79999999424,4568699.085000023,438415
IC0000,2024,10,60,2.0,20,304848,5716.824999998466,1356776.1681250103,148119
IC0000,2024,10,60,3.0,20,30644,-645.5500000000238,117588.90250000168,15204
IC0000,2024,10,60,5.0,20,49,-22.19999999999527,129.19999999999527,30
IC0000,2024,20,120,1.5,20,726219,22808.474999996277,3456966.549375021,350900
IC0000,2024,20,120,2.0,20,184307,3840.399999999132,778682.7900000054,89571
IC0000,2024,20,120,3.0,20,9940,98.75000000002274,38252.70750000038,4850
IC0000,2024,20,120,5.0,20,17,3.6000000000012733,15.140000000002837,8
