code,n,k_ticks,k_pts,h,s_sum,s_ss,s_n,hits
IM0000,1,0,0.0,5,769631.1999998774,820144129.4000006,22326981,9017350
IM0000,1,0,0.0,10,918748.4999998647,1433268914.4299984,22318131,9164818
IM0000,1,0,0.0,20,955126.1999998492,2132381363.6800005,22300431,9237924
IM0000,1,0,0.0,40,1005049.9999998431,3624285832.539999,22265031,9261990
IM0000,1,0,0.0,80,1063159.2999998447,5757622331.349997,22194231,9240582
IM0000,1,0,0.0,120,1142463.4999998433,7613161118.709999,22123431,9218010
IM0000,1,1,0.2,5,63247.49999953303,553941455.5299991,10979357,5124004
IM0000,1,1,0.2,10,147028.7999995224,1065738364.1400001,10974844,5245693
IM0000,1,1,0.2,20,130879.19999951526,1552052390.300001,10966510,5320752
IM0000,1,1,0.2,40,148382.69999951049,2669080360.569994,10950991,5366423
IM0000,1,1,0.2,80,235952.09999951307,4156641601.350001,10922056,5379710
IM0000,1,1,0.2,120,257915.39999951306,5566340875.500006,10892837,5376129
IM0000,1,2,0.4,5,-259478.5000002379,437060100.6099994,6749758,3030036
IM0000,1,2,0.4,10,-224076.00000024468,820907167.6200002,6746906,3136503
IM0000,1,2,0.4,20,-234097.30000025095,1119961840.3900006,6742132,3207253
IM0000,1,2,0.4,40,-206585.50000025242,1967238446.7300007,6733514,3255371
IM0000,1,2,0.4,80,-169308.0000002509,3096021462.2599993,6717998,3279852
IM0000,1,2,0.4,120,-163117.1000002503,4155783429.0899987,6702270,3282819
IM0000,1,3,0.6,5,-331024.6000001443,376358927.4399997,4328398,1881943
IM0000,1,3,0.6,10,-317576.30000014714,669934416.8900005,4326560,1966731
IM0000,1,3,0.6,20,-318093.4000001505,918847992.06,4323605,2025216
IM0000,1,3,0.6,40,-296755.6000001522,1610717396.9599993,4318351,2067195
IM0000,1,3,0.6,80,-254894.30000014996,2579216189.2500005,4309190,2089464
IM0000,1,3,0.6,120,-277118.6000001509,3328184126.6800027,4299643,2094169
IM0000,1,4,0.8,5,-332951.80000010616,322587437.7199998,2641943,1116061
IM0000,1,4,0.8,10,-335352.80000010895,531123970.0799995,2640735,1176211
IM0000,1,4,0.8,20,-321830.4000001098,785887678.3000007,2638883,1219430
IM0000,1,4,0.8,40,-277207.2000001113,1354386422.9,2635746,1250084
IM0000,1,4,0.8,80,-287588.80000011047,2146012404.0000007,2630460,1267066
IM0000,1,4,0.8,120,-271298.7000001092,2800712251.230002,2624739,1271674
IM0000,1,6,1.2,5,-241065.70000003788,204976047.89000016,902871,357699
IM0000,1,6,1.2,10,-254283.90000003905,353420799.1899997,902377,383443
