code,n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
IM0000,1,0,0.0,10,918748.4999998647,1433268914.4299984,22318131,9164818
IM0000,1,1,0.2,10,147028.7999995224,1065738364.1400001,10974844,5245693
IM0000,1,2,0.4,10,-224076.00000024468,820907167.6200002,6746906,3136503
IM0000,1,3,0.6,10,-317576.30000014714,669934416.8900005,4326560,1966731
IM0000,1,4,0.8,10,-335352.80000010895,531123970.0799995,2640735,1176211
IM0000,1,6,1.2,10,-254283.90000003905,353420799.1899997,902377,383443
IM0000,1,8,1.6,10,-193478.40000001277,284289658.62000084,375433,154105
IM0000,1,10,2.0,10,-143454.000000002,253840373.92000023,146179,58165
IM0000,1,13,2.6,10,-110682.10000000136,230382717.36999974,57274,22330
IM0000,1,16,3.2,10,-91307.00000000051,221451061.54000056,23004,8889
IM0000,1,20,4.0,10,-77472.60000000008,204477564.87999982,8455,3208
IM0000,1,30,6.0,10,-71768.49999999997,204193759.13,1419,481
IM0000,1,45,9.0,10,-70444.10000000005,204113658.07000005,285,76
IM0000,1,60,12.0,10,-70174.40000000001,204093877.64000005,136,28
IM0000,1,90,18.0,10,-70035.90000000001,204080839.77,84,8
IM0000,2,0,0.0,10,1124582.399999858,1668945192.7399983,22316361,9830961
IM0000,2,1,0.2,10,753788.8999995014,1299875858.0099976,14064741,6901487
IM0000,2,2,0.4,10,418314.5999997007,1005890319.0799996,9288250,4528120
IM0000,2,3,0.6,10,258055.7999998064,852518477.5400019,6357410,3085074
IM0000,2,4,0.8,10,118140.49999985575,767048441.9300003,4144633,2004091
IM0000,2,6,1.2,10,-23067.200000059143,617867217.68,1697252,812503
IM0000,2,8,1.6,10,-73281.1000000241,505101704.43000054,826247,392147
IM0000,2,10,2.0,10,-93846.50000000602,421519901.5300001,365754,172572
IM0000,2,13,2.6,10,-111648.30000000414,394201547.97,150175,70881
IM0000,2,16,3.2,10,-112313.20000000189,367655568.57999986,60670,28722
IM0000,2,20,4.0,10,-109003.70000000017,341923588.91000044,21751,10338
IM0000,2,30,6.0,10,-100543.19999999995,301112292.2400001,3580,1642
IM0000,2,45,9.0,10,-101917.49999999999,300921975.23000014,563,209
IM0000,2,60,12.0,10,-102237.50000000001,300886226.47000015,234,67
IM0000,2,90,18.0,10,-102459.59999999999,300861337.15999997,133,15
IM0000,3,0,0.0,10,1006987.0999998534,1845263857.8300009,22314591,10121495
IM0000,3,1,0.2,10,805863.5999995462,1571172949.4200032,15656556,7695869
IM0000,3,2,0.4,10,574179.4999996873,1273189867.8699992,11122621,5464994
IM0000,3,3,0.6,10,427099.59999977984,1127929830.1400003,8094516,3976397
IM0000,3,4,0.8,10,261378.89999982718,1003257734.1899998,5633518,2766279
IM0000,3,6,1.2,10,40129.39999992014,834916384.0999993,2638787,1286531
IM0000,3,8,1.6,10,-55578.10000003633,739758333.3700017,1423958,689879
IM0000,3,10,2.0,10,-103060.90000000985,628616539.6899986,707747,341363
IM0000,3,13,2.6,10,-137070.4000000076,583581361.0399998,329841,158604
IM0000,3,16,3.2,10,-147571.00000000367,561728885.659999,147629,71421
IM0000,3,20,4.0,10,-156784.10000000134,521328687.54999924,57197,28054
IM0000,3,30,6.0,10,-147574.60000000015,456361857.0600003,9314,4623
IM0000,3,45,9.0,10,-144157.00000000003,431061019.05999994,1392,679
IM0000,3,60,12.0,10,-145663.80000000008,430970332.74000007,408,152
IM0000,3,90,18.0,10,-146400.19999999998,430926755.88,200,30
IM0000,4,0,0.0,10,902826.8999998505,1910305758.1499975,22312821,10244111
IM0000,4,1,0.2,10,764225.5999995804,1704725209.66,16529619,8121153
IM0000,4,2,0.4,10,584465.2999996927,1395312190.889998,12335135,6070124
IM0000,4,3,0.6,10,445242.79999977036,1255708703.1399965,9398235,4627800
IM0000,4,4,0.8,10,298375.69999981247,1104424420.8500001,6875331,3385117
IM0000,4,6,1.2,10,65942.2999999046,965569715.0299997,3540875,1733409
IM0000,4,8,1.6,10,-50868.70000004672,889532158.1100018,2047205,994940
IM0000,4,10,2.0,10,-129458.10000001463,782989132.6700016,1091155,527442
IM0000,4,13,2.6,10,-163919.40000001184,703586136.2400001,546309,262764
IM0000,4,16,3.2,10,-186527.00000000594,685839933.9600018,264385,127557
IM0000,4,20,4.0,10,-195835.30000000188,654059625.6899991,111899,54604
IM0000,4,30,6.0,10,-186811.80000000013,582849482.28,20218,10070
IM0000,4,45,9.0,10,-177107.9,532341175.7900003,3106,1547
IM0000,4,60,12.0,10,-176499.00000000006,523858379.1799999,817,361
IM0000,4,90,18.0,10,-177849.1,523785644.33000004,271,59
IM0000,5,0,0.0,10,831682.49999985,1956828019.8700001,22311051,10331969
IM0000,5,1,0.2,10,732762.2999996053,1721933902.3500001,17115921,8409338
IM0000,5,2,0.4,10,578511.0999997038,1476646416.9500017,13209534,6504974
IM0000,5,3,0.6,10,439638.79999976925,1349816682.180002,10406515,5130709
IM0000,5,4,0.8,10,305533.5999998046,1281766760.7599988,7891274,3891733
IM0000,5,6,1.2,10,59312.09999989194,1130360453.7299986,4353474,2136617
IM0000,5,8,1.6,10,-77560.50000005608,1038096698.9300008,2641800,1288853
IM0000,5,10,2.0,10,-153684.30000001844,922068697.2699984,1479403,717123
IM0000,5,13,2.6,10,-203629.70000001555,877596959.6499989,776603,374728
IM0000,5,16,3.2,10,-228633.70000000866,859707208.1100011,393370,189817
IM0000,5,20,4.0,10,-234392.90000000218,795001716.8699999,176598,85663
IM0000,5,30,6.0,10,-234293.00000000076,731461007.5999997,35334,17512
IM0000,5,45,9.0,10,-225352.20000000007,681932422.6599995,5920,2958
IM0000,5,60,12.0,10,-214510.20000000007,640143748.4399999,1528,695
IM0000,5,90,18.0,10,-216478.7,640014360.77,375,96
IM0000,6,0,0.0,10,774902.5999998546,1978771041.120002,22309281,10398225
IM0000,6,1,0.2,10,670598.6999996318,1788584718.6700013,17559974,8631180
IM0000,6,2,0.4,10,556155.8999997133,1584981066.8499992,13897615,6847052
IM0000,6,3,0.6,10,426315.0999997715,1483884162.0099993,11217468,5533677
IM0000,6,4,0.8,10,306574.49999979825,1422701610.829997,8735906,4314154
IM0000,6,6,1.2,10,73217.2999998817,1225600993.9300005,5080562,2499514
IM0000,6,8,1.6,10,-70403.60000006581,1170572779.8200006,3200283,1567195
IM0000,6,10,2.0,10,-170332.60000002067,1086133142.1799996,1860925,907489
IM0000,6,13,2.6,10,-229784.00000001953,1031274749.3400003,1012892,491680
IM0000,6,16,3.2,10,-261470.90000001102,982959820.2500006,531674,257488
IM0000,6,20,4.0,10,-278543.4000000032,946772626.0399984,248133,120417
IM0000,6,30,6.0,10,-270444.30000000144,860011222.6700009,53475,26441
IM0000,6,45,9.0,10,-261109.49999999974,793481610.8900002,9648,4775
IM0000,6,60,12.0,10,-249408.29999999993,751579999.6899997,2571,1258
IM0000,6,90,18.0,10,-249663.2,743078095.5000002,528,164
IM0000,8,0,0.0,10,692221.6999998592,2143724916.5700006,22305741,10483699
IM0000,8,1,0.2,10,600935.4999996667,1996382751.7300003,18216101,8949270
IM0000,8,2,0.4,10,511860.199999731,1723236703.7200015,14935766,7356279
IM0000,8,3,0.6,10,406342.8999997752,1644921145.6900027,12465696,6147240
IM0000,8,4,0.8,10,295612.099999796,1542742469.3700008,10082485,4977831
IM0000,8,6,1.2,10,69848.19999986792,1403243711.180001,6330400,3118369
IM0000,8,8,1.6,10,-72588.2000000785,1304523691.84,4223385,2073485
IM0000,8,10,2.0,10,-183833.10000002795,1199758548.1700013,2606963,1275026
IM0000,8,13,2.6,10,-246490.8000000257,1145102656.8599992,1503753,733209
IM0000,8,16,3.2,10,-290992.10000001406,1116721703.7499995,834863,407147
IM0000,8,20,4.0,10,-310104.20000000467,1080214784.0199978,411094,200582
IM0000,8,30,6.0,10,-312564.3000000016,994916608.4099997,98117,48472
IM0000,8,45,9.0,10,-304158.4000000004,931874610.1800003,19378,9741
IM0000,8,60,12.0,10,-284307.49999999965,863115533.75,5625,2821
IM0000,8,90,18.0,10,-276632.50000000006,829514621.9500002,970,396
IM0000,10,0,0.0,10,632069.399999863,2129317568.9200025,22302201,10538422
IM0000,10,1,0.2,10,564870.0999996947,1991264358.6499953,18676370,9172070
IM0000,10,2,0.4,10,481240.8999997467,1792520824.0899963,15683697,7721652
IM0000,10,3,0.6,10,386679.99999978155,1663230616.4199986,13387312,6600445
IM0000,10,4,0.8,10,269324.0999997955,1563241752.4900012,11107255,5482226
IM0000,10,6,1.2,10,48127.699999859324,1455218598.8900018,7358829,3627117
IM0000,10,8,1.6,10,-87584.10000008928,1382378470.3500018,5118546,2516655
IM0000,10,10,2.0,10,-197080.30000003343,1326360509.8900006,3304062,1620028
IM0000,10,13,2.6,10,-253054.70000003243,1218994801.9899988,1993984,974300
IM0000,10,16,3.2,10,-296182.40000001906,1199942747.2200007,1154293,563433
