code,n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
IM0000,1,0,0.0,10,955257.1749998644,1385898774.2543747,22318131,9165293
IM0000,1,1,0.2,10,183427.97499952264,1001709208.4556248,10974140,5245883
IM0000,1,2,0.4,10,-187783.17500024455,756871425.8543754,6745782,3136490
IM0000,1,3,0.6,10,-278181.50000014674,595845483.2674994,4325122,1966549
IM0000,1,4,0.8,10,-299316.0750001089,446993589.5793743,2639091,1175910
IM0000,1,6,1.2,10,-221769.20000003866,279320672.2562495,900409,382965
IM0000,1,8,1.6,10,-160949.82500001247,210184735.34812483,373291,153540
IM0000,1,10,2.0,10,-111040.2500000021,179732747.62875023,143951,57551
IM0000,1,13,2.6,10,-78407.0500000013,156270849.70499983,54955,21663
IM0000,1,16,3.2,10,-59067.32500000033,147336548.29187542,20661,8208
IM0000,1,20,4.0,10,-45263.70000000005,130361396.73624995,6092,2509
IM0000,1,30,6.0,10,-43426.125000000015,130155840.22687504,710,302
IM0000,1,45,9.0,10,-43842.025,130107867.46812503,119,37
IM0000,1,60,12.0,10,-44080.575,130098590.56687501,73,13
IM0000,1,90,18.0,10,-44132.875,130092664.26062503,54,3
IM0000,2,0,0.0,10,1149412.0249998579,1648267661.004375,22316361,9831270
IM0000,2,1,0.2,10,775497.424999502,1254236548.2506227,14064595,6901714
IM0000,2,2,0.4,10,433780.8749997005,976892986.3468758,9287982,4528280
IM0000,2,3,0.6,10,276664.5749998063,813481153.041877,6356992,3085165
IM0000,2,4,0.8,10,136747.49999985567,728010402.9112504,4144093,2004126
IM0000,2,6,1.2,10,-4079.6000000590866,578826244.7462502,1696495,812445
IM0000,2,8,1.6,10,-54455.550000023984,466056376.98250043,825286,391977
IM0000,2,10,2.0,10,-75135.22500000584,382475914.1931248,364684,172336
IM0000,2,13,2.6,10,-93068.32500000403,355158103.78312474,148961,70581
IM0000,2,16,3.2,10,-94156.15000000167,328611467.55124956,59440,28387
IM0000,2,20,4.0,10,-91690.35000000012,302888165.24250025,20632,10014
IM0000,2,30,6.0,10,-84720.37499999993,262097623.315625,2971,1472
IM0000,2,45,9.0,10,-87320.60000000003,261931819.73375,391,161
IM0000,2,60,12.0,10,-87955.47500000002,261902532.22562507,176,54
IM0000,2,90,18.0,10,-88457.525,261883691.80312502,114,11
IM0000,3,0,0.0,10,1032510.3249998535,1826307401.0318756,22314591,10121842
IM0000,3,1,0.2,10,827989.3249995471,1492249186.2818794,15656435,7696137
IM0000,3,2,0.4,10,593246.4249996877,1200870775.416875,11122406,5465218
IM0000,3,3,0.6,10,449046.5749997804,1065653378.939376,8094227,3976559
IM0000,3,4,0.8,10,283254.7499998271,940979423.6337496,5633113,2766366
IM0000,3,6,1.2,10,61819.22499992014,772641681.7418745,2638248,1286554
IM0000,3,8,1.6,10,-31585.975000036284,684490398.729377,1423284,689811
IM0000,3,10,2.0,10,-79274.10000000993,573351473.2412487,706984,341236
IM0000,3,13,2.6,10,-113748.25000000765,528313610.7825,328962,158410
IM0000,3,16,3.2,10,-124618.72500000379,506466247.51187515,146699,71180
IM0000,3,20,4.0,10,-134347.55000000112,466068484.74999934,56326,27809
IM0000,3,30,6.0,10,-126427.12500000012,401118376.35312515,8806,4472
IM0000,3,45,9.0,10,-124023.70000000001,375828948.175,1189,603
IM0000,3,60,12.0,10,-125718.39999999997,375747324.0062501,323,124
IM0000,3,90,18.0,10,-126636.02499999998,375711798.9331251,177,26
IM0000,4,0,0.0,10,926784.1749998495,1874297550.6531217,22312821,10244376
IM0000,4,1,0.2,10,788272.2999995808,1652075202.3974996,16529551,8121387
IM0000,4,2,0.4,10,605358.9499996922,1349259398.2087479,12334975,6070314
IM0000,4,3,0.6,10,469266.5749997702,1219697941.8956225,9397987,4627945
IM0000,4,4,0.8,10,319172.3249998126,1058379059.6081271,6875020,3385225
IM0000,4,6,1.2,10,83333.04999990451,929567249.7050002,3540415,1733430
IM0000,4,8,1.6,10,-33569.42500004676,853534089.0143759,2046654,994898
IM0000,4,10,2.0,10,-112261.00000001432,746991689.5012516,1090523,527351
IM0000,4,13,2.6,10,-147064.3000000118,667585709.9250005,545588,262608
IM0000,4,16,3.2,10,-170130.37500000588,649843741.7156262,263606,127357
IM0000,4,20,4.0,10,-179580.6500000019,618068616.9374996,111138,54398
IM0000,4,30,6.0,10,-171496.10000000012,546869637.45875,19707,9941
IM0000,4,45,9.0,10,-162874.4999999999,496380929.7200004,2897,1478
IM0000,4,60,12.0,10,-162899.90000000008,487903059.9312501,728,324
IM0000,4,90,18.0,10,-164463.525,487836561.6881251,251,49
IM0000,5,0,0.0,10,854684.0499998505,1920826183.208751,22311051,10332218
IM0000,5,1,0.2,10,755849.999999605,1669293953.2825007,17115833,8409556
IM0000,5,2,0.4,10,601600.6749997035,1403925116.3818758,13209380,6505162
IM0000,5,3,0.6,10,465800.5249997696,1287138470.8193755,10406301,5130862
IM0000,5,4,0.8,10,331677.34999980434,1219089547.044998,7890997,3891849
IM0000,5,6,1.2,10,82225.19999989211,1077728493.6012514,4353105,2136688
IM0000,5,8,1.6,10,-54693.575000056095,985467781.1481254,2641338,1288876
IM0000,5,10,2.0,10,-131062.42500001854,869442812.5106243,1478874,717099
IM0000,5,13,2.6,10,-181207.40000001556,824969376.1124992,776006,374647
IM0000,5,16,3.2,10,-206342.17500000843,807079922.8656251,392695,189672
IM0000,5,20,4.0,10,-212541.72500000193,742377670.9881244,175932,85498
IM0000,5,30,6.0,10,-213253.42500000075,678846366.554375,34860,17400
IM0000,5,45,9.0,10,-205628.85000000024,629329343.7312499,5706,2885
IM0000,5,60,12.0,10,-195082.84999999995,587553632.6537498,1422,653
IM0000,5,90,18.0,10,-197293.47500000003,587428495.245625,345,84
