n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
1,0,0.0,2,451479.09999990225,310065591.2687505,22332291,8723416
1,0,0.0,5,805881.2249998767,754840067.939375,22326981,9018074
1,0,0.0,10,955257.1749998644,1385898774.2543747,22318131,9165293
1,0,0.0,20,979601.0749998484,2083222720.224377,22300431,9238261
1,0,0.0,40,1042325.2999998434,3594776535.2762504,22265031,9262248
1,0,0.0,80,1104560.274999844,5734674657.519368,22194231,9240728
1,0,0.0,120,1173508.8499998427,7613866510.989992,22123431,9218074
1,1,0.2,2,-106193.25000044133,187327570.65124997,10981359,4925929
1,1,0.2,5,104925.79999953293,456237632.36375016,10978653,5124452
1,1,0.2,10,183427.97499952264,1001709208.4556248,10974140,5245883
1,1,0.2,20,161241.32499951517,1467864843.1806245,10965806,5320813
1,1,0.2,40,188486.6749995104,2596212466.4931216,10950287,5366383
1,1,0.2,80,276736.59999951284,4081979281.19,10921354,5379585
1,1,0.2,120,294518.5499995128,5516892465.746254,10892135,5375956
1,2,0.4,2,-347704.07500022394,161969439.5781249,6750465,2867824
1,2,0.4,5,-221219.95000023826,349397841.07249945,6748634,3030237
1,2,0.4,10,-187783.17500024455,756871425.8543754,6745782,3136490
1,2,0.4,20,-204026.8750002501,1035752698.2143757,6741008,3207095
1,2,0.4,40,-166722.30000025238,1894317483.9037511,6732390,3255118
1,2,0.4,80,-129145.00000025104,3018250621.8512497,6716878,3279508
1,2,0.4,120,-119956.4500002505,4106194954.0624986,6701152,3282439
1,4,0.8,2,-346641.22500010213,95893342.08437498,2641142,1033573
1,4,0.8,5,-291666.2750001063,224880515.4156249,2640297,1115969
1,4,0.8,10,-299316.0750001089,446993589.5793743,2639091,1175910
1,4,0.8,20,-289102.2750001097,691604909.5743747,2637239,1218996
1,4,0.8,40,-240283.30000011096,1268334658.0999994,2634102,1249572
1,4,0.8,80,-244788.30000010986,2059803376.4124997,2628822,1266457
1,4,0.8,120,-228496.37500010955,2750962377.5231237,2623105,1271043
1,8,1.6,2,-154608.3500000113,49978539.270000085,373703,124217
1,8,1.6,5,-133147.22500001226,90369762.15937492,373527,142629
1,8,1.6,10,-160949.82500001247,210184735.34812483,373291,153540
1,8,1.6,20,-160699.25000001283,327055937.0187498,372956,162759
1,8,1.6,40,-156034.37500001266,559283742.9381269,372473,169678
1,8,1.6,80,-183548.55000001282,1040371426.2499994,371702,173817
1,8,1.6,120,-177409.25000001286,1469066372.0687504,370854,175410
1,16,3.2,2,-28772.400000000343,32112479.868750017,20695,6065
1,16,3.2,5,-26042.350000000457,46496078.42125,20678,7688
1,16,3.2,10,-59067.32500000033,147336548.29187542,20661,8208
1,16,3.2,20,-64623.4250000005,189140965.15562463,20633,8648
1,16,3.2,40,-60187.32500000039,189263626.46312502,20612,9083
1,16,3.2,80,-79217.20000000049,273515170.61624974,20577,9353
1,16,3.2,120,-88701.47500000036,404124242.20312446,20518,9472
1,30,6.0,2,-9214.125000000024,24978803.191875007,713,244
1,30,6.0,5,-13584.82500000002,39208141.28937496,713,315
1,30,6.0,10,-43426.125000000015,130155840.22687504,710,302
1,30,6.0,20,-46643.47500000002,141927116.50187498,707,317
1,30,6.0,40,-51678.225000000035,158631723.50687495,705,324
1,30,6.0,80,-56577.97500000003,190889031.43187505,702,319
1,30,6.0,120,-60635.22500000003,202281260.01437497,698,310
1,45,9.0,2,-8764.425000000012,24971556.613124996,121,28
1,45,9.0,5,-13862.425000000014,39188724.768125005,121,38
1,45,9.0,10,-43842.025,130107867.46812503,119,37
1,45,9.0,20,-47273.87500000001,141831489.558125,119,38
1,45,9.0,40,-49674.174999999996,148485784.86312494,118,39
1,45,9.0,80,-57525.27500000001,170759333.11312503,117,34
1,45,9.0,120,-61067.87500000001,182017834.43312502,117,35
1,90,18.0,2,-8737.975000000004,24968660.185625,54,4
1,90,18.0,5,-14031.175000000007,39180701.25062501,54,7
1,90,18.0,10,-44132.875,130092664.26062503,54,3
1,90,18.0,20,-47600.075,141802934.70062503,54,3
1,90,18.0,40,-50207.175,148422589.86562502,53,2
1,90,18.0,80,-58297.575000000004,170609007.77562502,52,1
1,90,18.0,120,-61683.174999999996,181877725.43062502,52,1
2,0,0.0,2,568752.9999998994,422559253.1262505,22330521,9353900
2,0,0.0,5,994058.5999998694,966267923.9750001,22325211,9689449
2,0,0.0,10,1149412.0249998579,1648267661.004375,22316361,9831270
2,0,0.0,20,1151111.224999837,2468346790.4918795,22298661,9893099
2,0,0.0,40,1142166.5749998274,4091639723.875625,22263261,9910894
2,0,0.0,80,1185545.024999828,6614651550.386874,22192461,9879779
2,0,0.0,120,1211161.799999828,8599098127.092506,22121661,9852748
2,1,0.2,2,366225.3499995529,286122516.1737495,14073353,6632656
2,1,0.2,5,671953.374999516,699366097.6568755,14070045,6814329
2,1,0.2,10,775497.424999502,1254236548.2506227,14064595,6901714
2,1,0.2,20,779756.149999487,1943509043.0125005,14054206,6943941
2,1,0.2,40,751633.8499994809,3168517721.443751,14034338,6963360
2,1,0.2,80,816578.4499994828,5071336380.600013,13996668,6947865
2,1,0.2,120,836393.1499994845,6626913827.685013,13958799,6931911
2,2,0.4,2,181536.34999973525,233685090.59500018,9293822,4378773
2,2,0.4,5,386961.79999971204,557103515.0262502,9291528,4472895
