code,t1,t2,r,h,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss
IM0000,4,20,ALL,10,22284501,25832623.700000156,3431472836.9700027,892129.5999998508,1909797844.9399955,74905201.50000006,602893201.2899995
IM0000,4,20,1.5,10,118768,126849.90000000106,36938208.80999998,7729.899999999434,8529358.690000003,209772.1,1570715.2099999988
IM0000,4,20,2.0,10,572703,689888.0000000058,297132143.24000025,19127.89999999682,98134108.18999997,1509805.6000000008,12506470.719999993
IM0000,4,20,3.0,10,2844522,3390631.80000003,847875913.4200009,116061.3999999846,394910838.6999993,9136282.49999999,76699677.26999989
IM0000,4,20,4.0,10,6123744,7415257.400000069,1491422188.7399998,256207.69999996538,788840177.5900004,21682755.500000015,187552669.41000003
IM0000,4,20,ALL,20,22266801,37228722.1000001,5133176077.489992,906335.0999998328,2704155078.389989,74759788.0999999,560425288.5249999
IM0000,4,20,1.5,20,118698,166706.50000000096,25357997.04999998,7903.499999999167,8703501.93000002,186683.64999999985,1057228.4474999993
IM0000,4,20,2.0,20,572419,910322.8000000056,262533567.91999993,26273.69999999614,89119663.83000009,1378300.9500000027,9204558.577500021
IM0000,4,20,3.0,20,2843027,4663917.70000002,848744425.7500005,121624.99999998153,399019818.8600002,8667129.049999995,62796292.5325
IM0000,4,20,4.0,20,6119423,10424802.100000022,1797065687.0099998,251826.29999996052,890915062.4300013,20957257.3,162171588.01499984
IM0000,4,20,ALL,60,22196001,65951246.30000001,10993631873.529985,967837.59999982,5933941038.259999,74243674.78333326,504215958.0486109
IM0000,4,20,1.5,60,118552,288030.5000000011,57978450.61000003,10580.69999999932,9372803.609999986,164168.7000000004,648354.8766666661
IM0000,4,20,2.0,60,571379,1554210.2000000032,472180447.96000046,22338.299999995827,165363094.64999998,1236345.0833333354,6311864.555277782
IM0000,4,20,3.0,60,2835697,7999087.70000001,1487697199.8900003,138702.0999999787,692270946.8100007,8094133.250000005,48443463.36194441
IM0000,4,20,4.0,60,6100595,18043314.900000006,3283506441.309994,299549.6999999546,1641650602.3899992,19963855.68333334,132680673.3930555
IM0000,8,40,ALL,10,22249101,25745059.40000014,3431045481.2199974,678470.4999998574,2142962361.6700017,74493019.10000014,591608442.2099998
IM0000,8,40,1.5,10,39097,59823.70000000053,66848280.43000004,-9172.400000000192,30157783.619999975,98445.59999999999,1041772.5200000006
IM0000,8,40,2.0,10,328152,439619.9000000043,277911481.8099998,-24613.60000000128,117661878.13999997,1082226.1000000017,10617633.169999996
IM0000,8,40,3.0,10,2302304,2862448.3000000236,854011276.79,18529.799999988558,391462937.8200003,8270928.800000002,76620707.32000004
IM0000,8,40,4.0,10,5745965,7138203.200000055,1635312044.219999,116325.39999996968,907310854.3200017,21414899.49999999,193548495.9900004
IM0000,8,40,ALL,20,22231401,37105674.70000012,5132273256.850003,670049.2999998385,3022164446.2899995,74366119.20000009,550282468.4950007
IM0000,8,40,1.5,20,39086,74506.80000000061,66897856.03999999,-12280.200000000355,40266348.38,86741.99999999985,721479.8200000006
IM0000,8,40,2.0,20,328006,558856.800000004,238090115.70000038,-14053.000000002006,88142077.15999977,976508.2999999989,7878139.279999996
IM0000,8,40,3.0,20,2301090,3918743.2000000156,921257356.3999994,40909.09999998692,320046753.97000057,7772696.349999998,62446819.8575
IM0000,8,40,4.0,20,5741695,9985255.200000033,1978153766.8000002,131258.99999996304,901258153.9399992,20580358.050000012,166238834.98250028
IM0000,8,40,ALL,60,22160601,65765011.200000085,10991329756.460007,620836.799999819,6357995662.260003,73906324.05000007,496928980.8013885
IM0000,8,40,1.5,60,39053,126959.00000000064,116973721.56000005,-11435.900000000336,40485657.470000036,71925.4833333333,412042.510833333
IM0000,8,40,2.0,60,327627,935300.5000000014,422154573.9099999,-44590.50000000217,182187857.37,833514.8666666666,5072213.633888892
IM0000,8,40,3.0,60,2296013,6603022.300000013,1596366002.570001,-28781.400000016372,749672072.28,7001445.733333325,45388346.59722216
IM0000,8,40,4.0,60,5724828,17025730.400000025,3364230358.82,124316.29999995696,1602565386.1900015,19192418.883333318,131068618.54694417
IM0000,10,40,ALL,10,22249101,25745059.40000014,3431045481.2199974,619123.7999998652,2128624342.640001,74493019.10000014,591608442.2099998
IM0000,10,40,1.5,10,89917,141936.70000000147,156953207.7099999,-20472.20000000044,66936350.36,247577.0000000006,2475484.1799999974
IM0000,10,40,2.0,10,733148,932186.7000000098,411180383.1300002,-22529.80000000337,181102032.52000022,2512598.6999999983,23972135.810000017
IM0000,10,40,3.0,10,4508718,5578100.300000045,1342230886.990003,58576.3999999778,699990333.1399987,16582974.60000003,150128480.31999978
IM0000,10,40,4.0,10,9705422,11880000.800000086,2049138150.22,223192.49999994758,1241004929.3100004,36470723.49999997,323279170.86999965
IM0000,10,40,ALL,20,22231401,37105674.70000012,5132273256.850003,597205.2999998442,3055289775.690002,74366119.20000009,550282468.4950007
IM0000,10,40,1.5,20,89888,170371.30000000115,138636530.57000008,-23731.300000000723,77103976.52999984,221928.15000000005,1786131.9975000003
IM0000,10,40,2.0,20,732795,1242814.2000000079,428825626.00000024,-14722.800000004276,159027350.9000002,2314547.749999996,18682899.36749998
IM0000,10,40,3.0,20,4505759,7775961.700000038,1601221783.9899964,90423.3999999742,642195358.5999988,15869112.250000019,127563068.66250008
IM0000,10,40,4.0,20,9696637,16897561.600000035,2835664091.560003,201083.49999993862,1435221167.9299996,35579907.100000024,287501492.4849994
IM0000,10,40,ALL,60,22160601,65765011.200000085,10991329756.460007,479696.19999982027,6423614097.619996,73906324.05000007,496928980.8013885
IM0000,10,40,1.5,60,89791,269124.6000000006,188568344.5600002,-19498.700000000583,69192047.23000002,186794.89999999953,1089645.5366666687
IM0000,10,40,2.0,60,731816,2037345.6000000045,630398809.6000001,-55857.40000000523,286850475.9199999,2018071.349999997,12639188.726388894
IM0000,10,40,3.0,60,4493870,13183529.200000016,2709381369.279999,18026.899999967674,1259692210.0499997,14658254.733333351,98367010.37000003
IM0000,10,40,4.0,60,9663653,29328851.199999966,5591330750.240002,74290.399999925,3083512193.1999984,33934922.033333324,239023956.3738889
IM0000,10,50,ALL,10,22231401,25706677.9000001,3430873275.550004,616404.5999998647,2128453402.2399993,74315123.20000008,587322392.8000002
IM0000,10,50,1.5,10,26144,65233.00000000034,120147715.50000016,-18899.10000000021,58497217.430000074,74850.09999999996,831487.4900000003
IM0000,10,50,2.0,10,272174,403282.00000000314,332815113.32000005,-41311.500000001106,155974886.69000018,974752.1999999991,9942001.260000007
IM0000,10,50,3.0,10,2152074,2717995.7000000207,846096722.5500004,2460.4999999891916,381970106.15000015,8094506.500000001,77257112.24999996
IM0000,10,50,4.0,10,5630777,7032156.300000053,1612206927.1899981,83452.39999997204,869068944.2200023,21417916.199999984,196142321.9600001
IM0000,10,50,ALL,20,22213701,37053004.00000007,5131940724.5000105,592901.7999998457,3054959594.0000014,74194878.74999997,546398973.1675004
IM0000,10,50,1.5,20,26135,72298.00000000044,111832657.30000019,-22221.100000000224,68585559.3500002,66305.44999999997,601495.8025000001
IM0000,10,50,2.0,20,272067,506062.00000000326,312913979.01999974,-32511.6000000013,124631273.29999995,880284.5000000005,7470014.489999994
IM0000,10,50,3.0,20,2150978,3751550.4000000125,1042462544.7400004,10628.999999988273,361519568.58000076,7594722.899999997,63097264.15499995
IM0000,10,50,4.0,20,5626637,9815121.000000037,1922567116.020002,92672.59999996735,807809459.6799995,20555469.79999997,168392093.86499983
IM0000,10,50,ALL,60,22142901,65679275.90000005,10990416519.429995,474750.89999982103,6422707465.209997,73755730.89999999,494033028.43722284
IM0000,10,50,1.5,60,26115,112018.50000000022,161620302.5899998,-18874.800000000254,60406875.520000026,54013.76666666666,340761.1866666673
IM0000,10,50,2.0,60,271790,821979.2000000004,482655129.8600007,-67193.10000000194,232310543.68999973,742999.2499999988,4764207.97472222
IM0000,10,50,3.0,60,2146638,6248995.000000002,1704260239.9799995,-59338.50000001618,789140695.0299987,6773744.399999996,45277876.690555565
IM0000,10,50,4.0,60,5610699,16702761.800000021,3415122072.4200034,31772.999999959,1667721046.4799993,19031106.950000033,131290098.10138907
IM0000,10,60,ALL,10,22213701,25671096.50000019,3430729697.5299983,614618.3999998649,2128311041.4999971,74150538.20000008,583653875.8799995
IM0000,10,60,2.0,10,116967,219962.20000000135,287615823.0600002,-47398.60000000049,147305830.45999983,438441.20000000007,4796988.6400000015
IM0000,10,60,3.0,10,1118876,1435599.7000000144,522851010.0900003,-13890.400000005637,197503891.3799999,4362333.899999998,43816830.789999984
IM0000,10,60,4.0,10,3332045,4212106.000000037,1117487510.259998,29672.299999984032,507308147.0500009,12968895.199999988,123646527.31999996
IM0000,10,60,1.5,10,9510,39386.10000000014,90074461.51,-12767.60000000008,38426895.60000002,28803.199999999983,357728.4599999997
IM0000,10,60,ALL,20,22196001,37001403.80000006,5131626512.100008,590949.0999998443,3054648375.5499945,74034981.34999995,543040697.9425011
IM0000,10,60,2.0,20,116924,256816.8000000015,257527336.50000015,-37225.20000000058,115664836.51999992,391593.49999999953,3509743.615000004
IM0000,10,60,3.0,20,1118363,1965130.6000000094,652019188.3800008,-6951.50000000633,174710645.77000004,4029087.599999997,34762837.37499999
IM0000,10,60,4.0,20,3330032,5840686.500000021,1372840622.7700036,58028.89999998176,440820709.47000045,12263881.899999995,103067420.7050001
IM0000,10,60,1.5,20,9503,40108.500000000204,81746945.91,-15891.900000000127,48488455.63000009,25353.70000000001,259434.84
IM0000,10,60,ALL,60,22125201,65596844.999999985,10989606491.519989,471465.39999982057,6421904619.060004,73614028.14999995,491472419.92916644
IM0000,10,60,2.0,60,116791,410010.4000000013,388383544.1999997,-73409.80000000035,222273297.4,323536.76666666684,2151858.1072222213
IM0000,10,60,3.0,60,1116516,3276615.1000000047,1176262491.4300041,-44489.800000008225,487341988.1200003,3494282.5000000005,23653691.013888877
IM0000,10,60,4.0,60,3322226,9788285.200000014,2355146975.2800016,-8150.100000024549,1069632312.3700027,11048402.566666668,76031202.5677777
IM0000,10,60,1.5,60,9501,59424.50000000007,114847463.11000015,-12845.400000000074,40219025.16000005,20216.566666666677,144092.89722222212
IM0000,12,60,ALL,10,22213701,25671096.50000019,3430729697.5299983,517325.59999986825,2155525230.54,74150538.20000008,583653875.8799995
IM0000,12,60,1.5,10,18825,67763.30000000024,148507305.45000023,-28132.50000000016,86856870.03000009,60636.199999999975,730107.9200000003
IM0000,12,60,2.0,10,232765,370659.3000000027,352813633.0499999,-51830.400000000605,167658277.73999983,892674.2000000002,9425278.440000001
IM0000,12,60,3.0,10,2038557,2583848.400000026,771016493.5999993,-8831.3000000095,252779491.14999977,7951319.199999993,77439418.41999999
IM0000,12,60,4.0,10,5536026,6903214.200000055,1481625780.3399992,62398.99999997417,733597994.8600013,21400002.59999999,197780391.44000018
IM0000,12,60,ALL,20,22196001,37001403.80000006,5131626512.100008,523902.09999984904,3095667515.4500046,74034981.34999995,543040697.9425011
IM0000,12,60,1.5,20,18818,77820.30000000028,156793974.3299997,-31482.80000000024,96906278.36000016,53774.999999999956,535248.6999999998
IM0000,12,60,2.0,20,232684,475654.50000000326,386166271.5700003,-42148.800000001465,132805405.36000003,808681.0499999997,7153532.792500007
IM0000,12,60,3.0,20,2037445,3585005.2000000216,1016133272.1400013,719.5999999887572,228854635.42000008,7453911.149999999,63365838.08249989
IM0000,12,60,4.0,20,5531762,9698215.20000002,1974249167.8199985,95815.799999968,753209965.1000011,20522499.80000001,169875080.90500015
IM0000,12,60,ALL,60,22125201,65596844.999999985,10989606491.519989,375588.2999998242,6492327726.109991,73614028.14999995,491472419.92916644
IM0000,12,60,1.5,60,18802,107894.79999999997,198097569.45999986,-28244.80000000015,88572652.9,43044.08333333332,294531.9136111111
IM0000,12,60,2.0,60,232458,746829.5000000015,537396709.7699997,-88184.4000000013,274296684.85999906,678958.4833333332,4565923.51527778
IM0000,12,60,3.0,60,2033660,5980312.500000007,1779026772.4899993,-72441.20000001395,703739199.8399987,6604853.066666662,45169005.8327778
IM0000,12,60,4.0,60,5516895,16415828.80000001,3445702580.740004,25510.499999960364,1732072662.209999,18895481.849999987,131351451.1058332
IM0000,20,100,ALL,10,22142901,25541799.90000018,3430242234.9300013,314400.4999998903,2198625469.289996,73589460.20000005,573088443.64
IM0000,20,100,2.0,10,142467,305833.5000000011,436663293.4699994,-49528.20000000022,154017240.24000028,679342.3,7943870.510000001
IM0000,20,100,3.0,10,1719760,2234344.8000000166,773678201.18,-61060.60000000574,239833644.94000012,7367487.500000006,75119193.63000005
IM0000,20,100,4.0,10,5244334,6493621.300000047,1374839854.049999,-25615.400000021848,613951109.2800002,20979604.00000002,196793588.67999968
IM0000,20,100,1.5,10,6961,62780.10000000013,170313490.97000018,-40228.80000000013,125278568.96,33170.40000000001,484567.4199999997
IM0000,20,100,ALL,20,22125201,36817202.50000014,5130645025.5499935,237852.69999986538,3200470345.8900023,73489231.50000006,533285706.96999943
IM0000,20,100,2.0,20,142412,429361.2000000019,623994768.9200015,-63424.20000000068,188998425.67999983,617000.4999999988,6130725.990000003
IM0000,20,100,3.0,20,1718941,3110823.800000015,1081416657.7599971,-73159.7000000076,281631128.27000016,6901962.850000011,61863635.86249998
IM0000,20,100,4.0,20,5240219,9181893.700000035,2104394962.1699994,-70081.30000002819,919352719.5699997,20082507.34999998,169237448.71749997
IM0000,20,100,1.5,20,6954,64960.300000000105,168546937.70999992,-33893.09999999999,105184719.7100001,29356.15,355640.93250000017
IM0000,20,100,ALL,60,22054401,65236547.899999976,10985791158.369991,-18864.800000159114,6623077004.779995,73030528.84999986,480723651.1813897
IM0000,20,100,2.0,60,142294,655666.4000000013,872067816.939999,-111727.60000000056,446989762.47999907,511966.4500000002,3902866.5419444405
IM0000,20,100,3.0,60,1715906,5161262.100000005,1837836271.2900012,-84080.50000000976,801385280.9900001,6062357.916666663,43847842.49083331
IM0000,20,100,4.0,60,5225501,15528853.500000024,3702724946.489996,-103604.40000003293,1865959712.0200024,18347397.94999998,129521693.87583326
IM0000,20,100,1.5,60,6948,70278.40000000002,168116047.23999995,-41013.89999999996,126912881.84999995,22625.56666666669,186306.2988888888
IM0000,30,150,ALL,10,22054401,25357843.200000193,3429465314.2999988,33852.79999990355,2337743892.300006,72823258.49999996,557110490.5099998
IM0000,30,150,2.0,10,92719,287916.60000000027,537394329.5,-67747.40000000043,200371177.06000006,498511.69999999984,6147684.469999997
IM0000,30,150,3.0,10,1438420,1933933.2000000156,852223794.8999985,-75734.40000000426,317730395.5399999,6468394.89999999,67419625.96999997
IM0000,30,150,4.0,10,4897694,6034449.8000000585,1462965070.9,-136652.80000001745,814267614.0400001,19778783.599999968,184960063.96000013
IM0000,30,150,1.5,10,3349,83531.69999999994,245874997.59000015,-34960.399999999994,108629003.47999997,20487.800000000007,328953.6600000001
IM0000,30,150,ALL,20,22036701,36546596.300000146,5128969693.65001,126249.19999988072,3327786635.9800043,72720962.69999999,517800876.23999953
IM0000,30,150,2.0,20,92690,390884.9000000008,702081516.8700013,-87541.9000000003,271038623.36999935,457599.04999999946,4896928.167500001
IM0000,30,150,3.0,20,1437580,2699904.7000000095,1179609138.3500006,-69055.70000000639,452757929.40999955,6104757.449999997,56519312.0475
IM0000,30,150,4.0,20,4893251,8503917.900000049,2065419736.3299997,-103146.80000002256,1059565132.36,19014181.30000001,160735950.70499983
IM0000,30,150,1.5,20,3349,62749.09999999998,175464464.44999996,-28794.399999999983,88530685.79999998,18024.349999999995,237470.37750000003
IM0000,30,150,ALL,60,21965901,64800347.10000003,10981193521.489979,-142142.50000014217,6937159674.529993,72343584.41666666,468793827.9297221
