code,t1,t2,r,h,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss
IM0000,5,30,ALL,10,22266801,25787903.800000165,3431253257.0199957,819168.2999998503,1956150809.1299992,74690278.60000005,596791291.9600009
IM0000,5,30,0.3,10,2259778,2752422.7000000267,813168151.8900009,43002.09999998713,437481632.4700002,7492102.099999989,66294060.07000001
IM0000,5,30,0.5,10,237037,295312.70000000246,153200138.41000015,8415.899999998705,26215944.73000001,671576.3999999989,6239502.5799999945
IM0000,5,30,0.7,10,27097,28041.50000000018,8364576.489999992,514.1999999998561,43215.24000000043,44871.10000000002,428821.2099999999
IM0000,5,30,ALL,20,22249101,37163184.200000055,5132681962.779997,812347.599999835,2805549592.0600038,74553696.89999998,554908148.9849997
IM0000,5,30,0.3,20,2258612,3752680.200000016,821897774.7800002,59554.59999998556,411869360.7599996,7030050.850000009,53310441.432500035
IM0000,5,30,0.5,20,236933,387489.7000000025,149977209.37000042,6842.399999998509,36679520.500000075,597031.0500000009,4404189.5625
IM0000,5,30,0.7,20,27083,40372.1000000003,16723656.550000004,376.99999999979354,79832.02000000063,38817.800000000054,263721.64999999985
IM0000,5,30,ALL,60,22178301,65854834.20000011,10992395663.880009,873523.5999998151,6114114484.760007,74068281.41666669,500281541.6197223
IM0000,5,30,0.3,60,2253198,6374431.700000015,1427128377.6299973,41704.699999983255,703448945.8499988,6409500.383333335,39200132.865833364
IM0000,5,30,0.5,60,236631,642551.5000000007,238947559.7499997,-6901.100000001683,84183462.59000003,511865.0333333337,2778499.019444444
IM0000,5,30,0.7,60,27047,72807.20000000013,41801066.780000046,360.8999999997977,217047.23000000056,32651.416666666657,139853.45361111106
IM0000,5,60,ALL,10,22213701,25671096.50000019,3430729697.5299983,808045.6999998504,1955635301.429999,74150538.20000008,583653875.8799995
IM0000,5,60,0.3,10,227489,350725.3000000024,316147840.8099996,-16006.000000001317,77359983.70000005,823936.9000000007,8772110.190000003
IM0000,5,60,0.5,10,12827,28588.00000000005,48463534.25999997,-3656.3000000000256,10058877.930000009,41135.99999999996,505077.9000000003
IM0000,5,60,0.7,10,703,657.1999999999935,1407.7399999999298,-81.79999999999927,1401.5599999999295,1316.6000000000001,19796.260000000006
IM0000,5,60,ALL,20,22196001,37001403.80000006,5131626512.100008,800853.5999998328,2804509395.56,74034981.34999995,543040697.9425011
IM0000,5,60,0.3,20,227399,430159.60000000236,280816621.7799999,-8726.900000001273,57688749.269999966,723332.0999999996,6168173.670000004
IM0000,5,60,0.5,20,12822,32964.600000000115,46756031.29999992,-6666.60000000012,20125464.33999997,34574.850000000035,321462.33249999984
IM0000,5,60,0.7,20,703,867.0000000000118,2199.8199999999124,-97.00000000000546,2190.799999999914,1035.0,10191.130000000001
IM0000,5,60,ALL,60,22125201,65596844.999999985,10989606491.519989,861672.4999998137,6111369864.870003,73614028.14999995,491472419.92916644
IM0000,5,60,0.3,60,227105,678760.900000001,384498136.29000026,-31417.90000000167,128708944.0699999,597875.1666666671,3737639.386111105
IM0000,5,60,0.5,60,12810,52822.90000000008,71730097.11000007,-5935.90000000009,20197566.430000015,26996.466666666678,166934.37333333326
IM0000,5,60,0.7,60,703,1382.5999999999876,6317.879999999901,-207.79999999997654,6297.319999999898,784.5333333333334,4318.297777777778
IM0000,5,120,ALL,10,22107501,25472707.30000018,3429972693.449996,792769.1999998501,1954893625.1000004,73304342.70000018,567512830.2099994
IM0000,5,120,0.3,10,14557,66443.20000000032,153792038.49999994,-9708.700000000033,28413667.37000003,64653.70000000002,963502.6500000003
IM0000,5,120,0.5,10,473,6873.399999999989,20082695.87999999,-77.7000000000071,1363.7699999999297,1646.8000000000004,28981.960000000003
IM0000,5,120,0.7,10,16,25.400000000002365,125.07999999999984,-15.99999999999909,125.07999999999984,46.300000000000004,854.0300000000001
IM0000,5,120,ALL,20,22089801,36706196.20000008,5129954069.659995,783597.5999998343,2802873230.660004,73176619.89999998,526868960.6000004
IM0000,5,120,0.3,20,14547,71215.40000000026,148515222.70000002,-12438.700000000112,38458324.05000009,53589.649999999965,591285.8574999995
IM0000,5,120,0.5,20,471,3790.500000000007,10047559.650000006,-3252.0000000000086,10047542.500000006,1300.45,16074.412499999997
IM0000,5,120,0.7,20,16,30.299999999998363,167.40999999997752,-26.899999999998727,167.40999999997752,43.800000000000004,746.705
IM0000,5,120,ALL,60,22019001,65056956.50000015,10983839793.969986,837810.7999998156,6105727794.840007,72732992.61666675,475162885.91083384
IM0000,5,120,0.3,60,14517,111235.90000000033,226944125.57000023,-31565.500000000102,92742405.3699999,40610.73333333335,293818.3161111113
IM0000,5,120,0.5,60,471,4131.900000000002,10050996.810000008,-3360.6999999999985,10050944.850000009,931.416666666667,7188.018055555556
IM0000,5,120,0.7,60,16,54.400000000001455,637.4600000000006,-46.399999999999636,637.4600000000006,32.46666666666667,407.81611111111107
IM0000,10,60,ALL,10,22213701,25671096.50000019,3430729697.5299983,614618.3999998649,2128311041.4999971,74150538.20000008,583653875.8799995
IM0000,10,60,0.3,10,1763384,2248069.1000000155,737207963.0300003,1204.899999990912,256005828.38999987,6806173.400000005,66783359.799999945
IM0000,10,60,0.5,10,116967,219962.20000000135,287615823.0600002,-47398.60000000049,147305830.45999983,438441.20000000007,4796988.6400000015
IM0000,10,60,0.7,10,5748,17656.200000000055,36718220.20000002,-9459.800000000072,28397213.41999998,15590.200000000013,202086.37999999992
IM0000,10,60,ALL,20,22196001,37001403.80000006,5131626512.100008,590949.0999998443,3054648375.5499945,74034981.34999995,543040697.9425011
IM0000,10,60,0.3,20,1762511,3083708.6000000113,886649433.3199983,8764.499999990188,234727522.67000002,6344656.300000014,53981194.69499994
IM0000,10,60,0.5,20,116924,256816.8000000015,257527336.50000015,-37225.20000000058,115664836.51999992,391593.49999999953,3509743.615000004
IM0000,10,60,0.7,20,5742,16744.000000000142,28405462.79999999,-9437.800000000061,28405324.31999999,13505.049999999996,138764.54750000002
IM0000,10,60,ALL,60,22125201,65596844.999999985,10989606491.519989,471465.39999982057,6421904619.060004,73614028.14999995,491472419.92916644
IM0000,10,60,0.3,60,1759191,5157463.2000000095,1583206528.3200035,-39231.30000001348,615822685.5899984,5586752.816666661,37871591.54805556
IM0000,10,60,0.5,60,116791,410010.4000000013,388383544.1999997,-73409.80000000035,222273297.4,323536.76666666684,2151858.1072222213
IM0000,10,60,0.7,60,5740,24167.09999999998,36750577.47000005,-6769.1000000000295,20115183.090000007,10703.983333333332,74585.70583333336
IM0000,10,120,ALL,10,22107501,25472707.30000018,3429972693.449996,599414.9999998648,2127562731.840003,73304342.70000018,567512830.2099994
IM0000,10,120,0.3,10,115609,220998.1000000012,282768369.7499993,-30325.100000000282,97120640.51000014,539694.5999999999,6513139.760000003
IM0000,10,120,0.5,10,3568,57914.90000000001,163436385.35000008,-24933.30000000004,76799768.73000008,16984.000000000007,284395.89999999997
IM0000,10,120,0.7,10,78,106.70000000000528,447.3699999999867,-62.50000000000273,446.3699999999867,339.00000000000006,6376.959999999999
IM0000,10,120,ALL,20,22089801,36706196.20000008,5129954069.659995,574005.1999998451,3052995207.380002,73176619.89999998,526868960.6000004
IM0000,10,120,0.3,20,115544,291031.2000000012,352653744.2600007,-39874.60000000042,122288597.27999984,479329.1999999998,4790211.329999997
IM0000,10,120,0.5,20,3561,53216.30000000004,145001263.4299999,-27963.400000000038,86823953.22000007,14673.700000000006,197187.21000000002
IM0000,10,120,0.7,20,78,102.50000000000091,364.28999999998973,-47.30000000000109,364.1299999999893,296.7,4593.51
IM0000,10,120,ALL,60,22019001,65056956.50000015,10983839793.969986,446583.39999982115,6416201482.960005,72732992.61666675,475162885.91083384
IM0000,10,120,0.3,60,115375,490773.6000000008,607123031.7200001,-83516.90000000056,320224235.350001,389282.38333333284,2891321.954722223
IM0000,10,120,0.5,60,3557,67499.00000000009,177626925.52000025,-25520.700000000033,78410852.72999996,10900.216666666664,95255.74416666669
IM0000,10,120,0.7,60,78,218.40000000001146,2412.5200000000214,-164.59999999999854,2411.880000000021,216.64999999999998,2509.5502777777774
IM0000,20,120,ALL,10,22107501,25472707.30000018,3429972693.449996,310808.99999988946,2198358529.1400027,73304342.70000018,567512830.2099994
IM0000,20,120,0.3,10,1329370,1786521.0000000137,798421835.7399986,-66155.500000004,254485505.21000051,5883420.700000002,61588182.82999997
IM0000,20,120,0.5,10,50229,175056.40000000075,357838952.5599993,-43585.000000000124,133707470.26000004,253291.10000000056,3214961.9099999946
IM0000,20,120,0.7,10,1107,28898.39999999997,85161957.46000002,-22082.20000000002,68527606.94000003,5398.999999999999,83716.3
IM0000,20,120,ALL,20,22089801,36706196.20000008,5129954069.659995,232119.6999998649,3199786737.43,73176619.89999998,526868960.6000004
IM0000,20,120,0.3,20,1328664,2504043.200000013,1163699180.7799976,-95862.40000000528,355510810.6600001,5491070.1,50364272.94500002
IM0000,20,120,0.5,20,50211,225645.60000000036,439800623.7600007,-58571.10000000024,171935937.41000012,226777.75000000032,2397430.6575000016
IM0000,20,120,0.7,20,1107,32378.399999999994,95164884.98000002,-15851.400000000018,48423836.559999995,4630.35,56809.982500000006
IM0000,20,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-24957.400000158323,6621145624.03998,72732992.61666675,475162885.91083384
IM0000,20,120,0.3,60,1326116,4127687.1000000047,1835143393.4099998,-95829.20000000727,818711760.3800002,4803061.583333335,35561512.62416666
IM0000,20,120,0.5,60,50163,359033.20000000036,676535741.9199996,-108254.40000000011,413565187.83999956,184448.9500000002,1472056.8913888887
IM0000,20,120,0.7,60,1107,33363.3,94806350.03,-25850.0,78444765.8,3547.083333333333,30878.681944444445
