method,t1,t2,r,h,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss
norm,5,120,ALL,10,22107501,25472707.30000018,3429972693.449996,792769.1999998501,1954893625.1000004,73304342.70000018,567512830.2099994
norm,5,120,1.5,10,4049060,5180724.500000045,1443029576.309999,69512.5999999798,755062403.3399999,16656784.300000016,163686607.60999992
norm,5,120,2.0,10,2019056,2643616.400000022,963812420.3599992,-6620.000000008931,431326641.0800007,8463845.2,87475666.6799999
norm,5,120,3.0,10,599019,825616.4000000058,455582503.2800001,-4741.700000002124,105720762.58999996,2561876.0000000005,28401406.379999984
norm,5,120,ALL,20,22089801,36706196.20000008,5129954069.659995,783597.5999998343,2802873230.660004,73176619.89999998,526868960.6000004
norm,5,120,1.5,20,4046104,7160789.50000002,1759861057.5100005,51442.29999997615,803262984.8500006,15659796.84999998,135776961.6025001
norm,5,120,2.0,20,2017860,3609460.6000000103,1152840674.259998,-4943.3000000100255,419839674.7099992,7798029.599999994,69527195.3349999
norm,5,120,3.0,20,598728,1093822.4000000048,505726962.8799997,1952.6999999966602,86874884.74999976,2290709.149999999,21200763.58250001
norm,5,120,ALL,60,22019001,65056956.50000015,10983839793.969986,837810.7999998156,6105727794.840007,72732992.61666675,475162885.91083384
norm,5,120,1.5,60,4032446,12054279.200000014,2921749052.4399996,96883.79999997174,1436953819.8199947,14076755.483333316,100321227.59305553
norm,5,120,2.0,60,2012128,5969710.50000001,1764282570.730002,13871.59999998667,737015315.5200003,6805956.316666656,48259408.013611205
norm,5,120,3.0,60,597489,1818846.4,861744171.7399992,-524.9000000038632,287042024.2099997,1915676.4666666652,13461296.428333312
norm,10,20,ALL,10,22284501,25832623.700000156,3431472836.9700027,629027.6999998651,2129048350.9700005,74905201.50000006,602893201.2899995
norm,10,20,1.5,10,1404007,1584320.0000000142,460935887.7399998,-9155.500000008009,283989158.1899999,3552724.599999995,27282822.520000014
norm,10,20,ALL,20,22266801,37228722.1000001,5133176077.489992,606651.399999844,3056184082.8200088,74759788.0999999,560425288.5249999
norm,10,20,1.5,20,1403326,2158480.300000014,434838964.17000043,12470.499999991103,246428428.73000005,3367818.8499999987,21925066.747499954
