method,t1,t2,r,x,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss,rhits
norm,5,10,ALL,2,22316361,10777525.050000284,889577394.5075015,345295.749999901,525216029.1937501,75293073.5,778715666.25,9208337
norm,5,10,1.5,2,2220470,1086664.0250000304,195512628.98937455,65073.724999992985,46015430.26187498,5816473.5,62123547.75,908225
norm,5,10,ALL,5,22311051,17768732.20000024,2051195635.9662454,724412.4249998725,1190487230.585625,75238705.19999991,666787149.28,9776668
norm,5,10,1.5,5,2220222,1701403.5000000307,334702796.8512496,76025.59999998988,108448329.18124966,5408970.6000000015,43433593.71999997,982773
norm,5,10,ALL,10,22302201,25855522.850000188,3367750154.783744,852552.8749998494,1920634267.4306254,75153377.3,610794829.9300002,10021075
norm,5,10,1.5,10,2219619,2399516.1000000257,487113355.06749964,85868.49999998625,221151313.39250025,5145817.3000000045,33891794.15000005,1008169
norm,5,10,ALL,20,22284501,37281721.75000014,5094250369.328746,849084.6249998334,2779772433.8281283,74991337.45000002,567280956.6974992,10189374
norm,5,10,1.5,20,2218424,3329022.8750000154,454480301.16687393,103258.02499998464,202585124.39687532,4963572.900000005,27881730.715000004,1023654
norm,5,10,ALL,40,22249101,53589791.05000015,8330159908.57125,845095.1749998163,4541685631.643122,74699251.37500009,529839576.7731251,10283208
norm,5,10,1.5,40,2215685,4734415.075000018,691463149.5068754,108503.47499998205,257567041.60187507,4842621.800000001,24047896.692500006,1035615
norm,5,10,ALL,80,22178301,76405053.60000013,13219782436.18375,835329.6499998175,7394035042.653754,74193804.14999995,494481615.6096878,10349589
norm,5,10,1.5,80,2210877,6731884.824999996,1163391609.721878,76820.77499998226,515860725.9318749,4750020.987500006,21353036.768593762,1046230
norm,5,10,ALL,120,22107501,93286719.99999997,16893728923.726252,844841.6249998095,9526353284.105623,73745448.50000001,475097689.4113893,10350368
norm,5,10,1.5,120,2204763,8179523.199999999,1417422972.4037507,68071.54999998178,608043220.5137495,4709542.29999999,20230024.501944426,1047227
norm,5,20,ALL,2,22298661,10757933.40000026,889535812.4149997,341415.799999901,525174924.7412506,75024231.5,768588458.75,9201213
norm,5,20,1.5,2,3664128,1949385.7750000495,362970508.89062524,111289.27499998934,151766052.96562523,13249342.5,162338234.25,1511963
norm,5,20,2.0,2,1112025,626829.5250000154,207357016.84562463,37179.07499999708,32916485.515625026,3859418.0,52401851.0,460300
norm,5,20,3.0,2,100605,49416.5000000012,10095727.35000001,2666.30000000002,49034.930000000495,204234.5,2952034.75,41263
norm,5,20,ALL,5,22293351,17734629.350000255,2051067843.4787502,718801.274999873,1190360747.448126,74979231.80000003,657906899.640001,9769181
