code,n,k,h,s_sum,s_ss,s_n,hits
IM0000,5,0.0,5,694151.7999998737,1258915490.3199997,22319901,10179201
IM0000,5,0.0,10,831682.49999985,1956828019.8700001,22311051,10331969
IM0000,5,0.0,20,827334.7999998328,2806914807.539996,22293351,10398859
IM0000,5,0.0,40,827119.9999998164,4532907858.500008,22257951,10427588
IM0000,5,0.0,80,830088.8999998147,7366357584.910005,22187151,10394795
IM0000,5,0.0,120,825364.9999998093,9476635467.36002,22116351,10368460
IM0000,5,0.2,5,631777.99999963,1106254106.9200006,17122328,8311783
IM0000,5,0.2,10,732762.2999996053,1721933902.3500001,17115921,8409338
IM0000,5,0.2,20,740351.5999995873,2413442619.8600044,17103426,8451301
IM0000,5,0.2,40,720360.699999578,3817019281.5699983,17079145,8469972
IM0000,5,0.2,80,757526.3999995779,6086841202.7,17031269,8441067
IM0000,5,0.2,120,742182.7999995729,7974591836.199999,16983279,8420086
IM0000,5,0.4,5,525368.6999997244,951698626.0900013,13214169,6453700
IM0000,5,0.4,10,578511.0999997038,1476646416.9500017,13209534,6504974
IM0000,5,0.4,20,552024.9999996875,2052434565.9000013,13200860,6524363
IM0000,5,0.4,40,547154.0999996779,3235801905.9300017,13184584,6536898
IM0000,5,0.4,80,559544.1999996781,5200630532.34,13152980,6515754
IM0000,5,0.4,120,559219.1999996733,6779674875.639995,13120692,6499631
IM0000,5,0.8,5,312276.6999998174,813651360.089999,7893690,3885264
IM0000,5,0.8,10,305533.5999998046,1281766760.7599988,7891274,3891733
IM0000,5,0.8,20,267055.6999997959,1671967723.1699994,7887092,3893110
IM0000,5,0.8,40,260770.39999978797,2570333033.2399983,7879429,3902952
IM0000,5,0.8,80,271616.2999997892,4162934278.6099906,7865216,3892746
IM0000,5,0.8,120,246244.79999978596,5365612927.520014,7849698,3882828
IM0000,5,1.6,5,-1323.1000000526892,638104731.2500004,2642410,1294136
IM0000,5,1.6,10,-77560.50000005608,1038096698.9300008,2641800,1288853
IM0000,5,1.6,20,-58486.30000005954,1266172583.2499979,2640778,1289836
IM0000,5,1.6,40,-35814.4000000619,1772223401.9200006,2638992,1300827
IM0000,5,1.6,80,-87164.00000006224,2970965364.8200064,2635858,1299973
IM0000,5,1.6,120,-37968.600000063074,3699579257.980002,2631444,1298574
IM0000,10,0.0,5,483521.0999998897,1372488459.9899962,22311051,10386586
IM0000,10,0.0,10,632069.399999863,2129317568.9200025,22302201,10538422
IM0000,10,0.0,20,610229.6999998447,3056721229.1100016,22284501,10600232
IM0000,10,0.0,40,535446.199999826,4851677934.120007,22249101,10620831
IM0000,10,0.0,80,389734.799999824,7755339654.400006,22178301,10579082
IM0000,10,0.0,120,340605.8999998145,9942338824.310001,22107501,10556773
IM0000,10,0.2,5,441413.09999972134,1264898845.5299993,18683283,9060254
IM0000,10,0.2,10,564870.0999996947,1991264358.6499953,18676370,9172070
IM0000,10,0.2,20,537913.399999675,2777788368.300005,18662816,9213339
IM0000,10,0.2,40,476823.5999996571,4274148340.9399943,18636198,9226568
IM0000,10,0.2,80,376735.99999965687,6665008388.840006,18583002,9187061
IM0000,10,0.2,120,324880.39999964926,8704073735.65999,18529192,9167675
IM0000,10,0.4,5,390055.9999997725,1133878691.5999992,15689083,7651132
IM0000,10,0.4,10,481240.8999997467,1792520824.0899963,15683697,7721652
IM0000,10,0.4,20,441403.9999997269,2462403535.0999994,15673470,7740345
IM0000,10,0.4,40,393524.3999997114,3760416596.160009,15653714,7748689
IM0000,10,0.4,80,336453.699999711,5908656153.790019,15614100,7715113
IM0000,10,0.4,120,268933.6999997049,7644824958.070024,15573694,7698271
IM0000,10,0.8,5,264587.1999998138,1051296468.4199997,11110476,5464325
IM0000,10,0.8,10,269324.0999997955,1563241752.4900012,11107255,5482226
IM0000,10,0.8,20,243202.39999978166,2120118405.9000018,11101361,5477129
IM0000,10,0.8,40,174253.19999976936,3282723606.5399995,11090083,5482617
