code,t1,t2,r,h,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss
IM0000,5,30,ALL,10,22266801,25787903.800000165,3431253257.0199957,819168.2999998503,1956150809.1299992,74690278.60000005,596791291.9600009
IM0000,5,30,1.5,10,3829405,4700379.500000044,1179662070.8900018,100819.89999997854,647528326.6900002,13497627.099999983,119882748.22999993
IM0000,5,30,2.0,10,1513820,1852602.9000000213,611798109.4299989,18236.99999999185,324525463.75999993,4959961.499999994,44431105.42999998
IM0000,5,30,3.0,10,240660,298991.1000000021,153207286.4300002,8707.499999998654,26222966.510000017,679028.9999999998,6281946.379999994
IM0000,5,30,ALL,20,22249101,37163184.200000055,5132681962.779997,812347.599999835,2805549592.0600038,74553696.89999998,554908148.9849997
IM0000,5,30,1.5,20,3827083,6503603.10000003,1295733219.370001,108947.49999997427,642611993.6500002,12840637.700000001,99992582.2950001
IM0000,5,30,2.0,20,1513108,2506329.7000000146,612262924.9099997,31191.999999990538,297414906.44000024,4607651.849999996,34891850.95249998
IM0000,5,30,3.0,20,240555,392625.10000000277,149990613.3700001,7203.899999998483,36692631.26999998,603951.0500000005,4436390.517500002
IM0000,5,30,ALL,60,22178301,65854834.20000011,10992395663.880009,873523.5999998151,6114114484.760007,74068281.41666669,500281541.6197223
IM0000,5,30,1.5,60,3816625,11086032.900000032,2193886033.8699937,105898.99999997093,1115960373.6799984,11913259.749999989,77067474.4630555
IM0000,5,30,2.0,60,1509802,4235472.3000000045,1044524015.77,10781.799999988029,523867852.7799997,4147456.63333333,24893496.022777796
IM0000,5,30,3.0,60,240246,651058.2000000018,238984498.44000018,-6468.000000001712,84219808.18,518109.8833333333,2801086.6736111147
IM0000,5,60,ALL,10,22213701,25671096.50000019,3430729697.5299983,808045.6999998504,1955635301.429999,74150538.20000008,583653875.8799995
IM0000,5,60,1.5,10,4044606,5131109.300000051,1320938108.9500008,107175.799999979,630617495.5599995,15703372.099999998,149022119.71000007
IM0000,5,60,2.0,10,1888685,2424277.000000022,811275691.6200001,34748.89999999113,304587880.06999964,7235006.099999983,70986532.43000002
IM0000,5,60,3.0,10,476375,641561.5000000055,351694417.7700001,-4922.500000002422,77957105.28999984,1778924.0000000019,18443343.25999999
IM0000,5,60,ALL,20,22196001,37001403.80000006,5131626512.100008,800853.5999998328,2804509395.56,74034981.34999995,543040697.9425011
IM0000,5,60,1.5,20,4041948,7114501.100000028,1578412270.5700002,94394.69999997539,656554704.0700011,14839819.150000015,123961331.29749985
IM0000,5,60,2.0,20,1887736,3292138.300000013,883971238.73,40857.399999989175,268625658.04000026,6694553.950000006,56327285.07250005
IM0000,5,60,3.0,20,476176,831975.7000000026,335175063.4499996,4287.099999996946,58807131.610000014,1588704.6500000001,13529288.242500013
IM0000,5,60,ALL,60,22125201,65596844.999999985,10989606491.519989,861672.4999998137,6111369864.870003,73614028.14999995,491472419.92916644
IM0000,5,60,1.5,60,4030694,11975005.100000009,2644788962.53,114912.6999999716,1224564544.950002,13483407.516666668,92803225.12027772
IM0000,5,60,2.0,60,1883358,5475180.100000005,1440758158.9700007,27628.8999999871,557418421.4100012,5903097.399999995,39343585.1477778
IM0000,5,60,3.0,60,475500,1380977.500000004,580553052.850001,-6193.900000003628,199118254.75000003,1339997.6500000001,8589593.007499987
IM0000,5,120,ALL,10,22107501,25472707.30000018,3429972693.449996,792769.1999998501,1954893625.1000004,73304342.70000018,567512830.2099994
IM0000,5,120,1.5,10,4049060,5180724.500000045,1443029576.309999,69512.5999999798,755062403.3399999,16656784.300000016,163686607.60999992
IM0000,5,120,2.0,10,2019056,2643616.400000022,963812420.3599992,-6620.000000008931,431326641.0800007,8463845.2,87475666.6799999
