date,c1115,c1119,c1120,c1129,o1121,code,ym
2020-01-02,5385.8,5390.799999999999,5384.1,5362.4,5383.299999999999,IC0000,2020-01
2020-01-03,5369.3,5370.7,5367.7,5365.1,5366.6,IC0000,2020-01
2020-01-06,5462.6,5460.799999999999,5462.3,5482.9,5462.3,IC0000,2020-01
2020-01-07,5465.6,5466.6,5459.299999999999,5472.0,5459.299999999999,IC0000,2020-01
2020-01-08,5496.5,5500.700000000001,5500.5,5482.4,5500.5,IC0000,2020-01
2020-01-09,5469.1,5453.7,5452.1,5452.799999999999,5452.5,IC0000,2020-01
2020-01-10,5470.0,5466.700000000001,5463.6,5465.4,5463.7,IC0000,2020-01
2020-01-13,5514.7,5507.7,5512.6,5517.6,5512.5,IC0000,2020-01
2020-01-14,5544.8,5540.0,5541.2,5530.5,5541.1,IC0000,2020-01
2020-01-15,5495.4,5498.0,5502.5,5492.299999999999,5502.8,IC0000,2020-01
2020-01-16,5515.299999999999,5516.4,5519.0,5516.4,5519.700000000001,IC0000,2020-01
2020-01-17,5510.9,5509.7,5506.8,5487.4,5506.299999999999,IC0000,2020-01
2020-01-20,5536.4,5538.9,5540.200000000001,5550.5,5540.700000000001,IC0000,2020-01
2020-01-21,5507.0,5516.1,5520.9,5520.9,5521.7,IC0000,2020-01
2020-01-22,5463.3,5468.5,5480.4,5490.6,5480.5,IC0000,2020-01
2020-01-23,5418.5,5387.1,5385.3,5391.6,5384.200000000001,IC0000,2020-01
2020-01-02,4180.8,4181.1,4176.4,4164.5,4176.6,IF0000,2020-01
2020-01-03,4154.700000000001,4157.3,4155.0,4150.1,4155.299999999999,IF0000,2020-01
2020-01-06,4168.9,4168.700000000001,4169.3,4178.4,4169.5,IF0000,2020-01
2020-01-07,4154.4,4154.799999999999,4149.4,4159.6,4149.5,IF0000,2020-01
2020-01-08,4154.1,4157.4,4157.1,4145.6,4157.2,IF0000,2020-01
2020-01-09,4157.1,4146.700000000001,4147.6,4149.3,4147.299999999999,IF0000,2020-01
2020-01-10,4161.8,4161.200000000001,4159.700000000001,4160.1,4159.700000000001,IF0000,2020-01
2020-01-13,4178.8,4176.700000000001,4177.9,4176.9,4177.8,IF0000,2020-01
2020-01-14,4215.2,4212.0,4212.299999999999,4207.6,4212.1,IF0000,2020-01
2020-01-15,4167.299999999999,4168.299999999999,4169.4,4162.5,4169.5,IF0000,2020-01
2020-01-16,4155.8,4156.7,4157.700000000001,4155.1,4157.9,IF0000,2020-01
2020-01-17,4177.9,4176.799999999999,4176.799999999999,4172.4,4176.9,IF0000,2020-01
2020-01-20,4187.4,4187.4,4187.5,4194.8,4187.8,IF0000,2020-01
2020-01-21,4135.2,4136.0,4137.9,4134.9,4138.1,IF0000,2020-01
2020-01-22,4103.1,4104.799999999999,4111.200000000001,4112.2,4111.9,IF0000,2020-01
2020-01-23,4051.3,4042.3999999999996,4045.1000000000004,4052.8,4044.8999999999996,IF0000,2020-01
2020-01-02,3110.4,3110.3999999999996,3106.8,3099.5,3106.8,IH0000,2020-01
2020-01-03,3086.8999999999996,3088.8,3087.5,3083.3,3087.7,IH0000,2020-01
2020-01-06,3083.3999999999996,3083.3,3083.8,3090.2,3083.7,IH0000,2020-01
2020-01-07,3070.5,3070.7,3066.8999999999996,3074.3,3066.8,IH0000,2020-01
2020-01-08,3060.7,3062.2,3061.6000000000004,3055.2,3061.6000000000004,IH0000,2020-01
2020-01-09,3066.5,3059.8,3060.8999999999996,3062.6,3060.8,IH0000,2020-01
2020-01-10,3069.3,3068.8999999999996,3067.3,3067.9,3067.9,IH0000,2020-01
2020-01-13,3071.3,3069.9,3070.3999999999996,3068.5,3070.3,IH0000,2020-01
2020-01-14,3097.7,3095.5,3095.0,3092.7,3094.7,IH0000,2020-01
2020-01-15,3069.7,3071.4,3071.6,3066.6,3071.4,IH0000,2020-01
2020-01-16,3058.3,3058.1000000000004,3058.7,3057.6,3058.7,IH0000,2020-01
2020-01-17,3065.5,3065.4,3065.8999999999996,3065.3,3065.8,IH0000,2020-01
