tod,mean,n,code,year,month
572,-0.28124999999994316,16,IC0000,2020,1
573,-0.5499999999998408,16,IC0000,2020,1
574,-1.3062500000003183,16,IC0000,2020,1
575,-0.28125,16,IC0000,2020,1
576,0.47500000000019327,16,IC0000,2020,1
577,-0.3249999999998181,16,IC0000,2020,1
578,-0.6187499999998067,16,IC0000,2020,1
579,-1.5624999999998863,16,IC0000,2020,1
580,-0.41333333333356376,15,IC0000,2020,1
581,-1.400000000000091,16,IC0000,2020,1
582,-1.2266666666668242,15,IC0000,2020,1
583,-1.2312500000002728,16,IC0000,2020,1
584,2.6874999999998295,16,IC0000,2020,1
585,0.1562500000001137,16,IC0000,2020,1
586,-2.6562500000001137,16,IC0000,2020,1
587,-2.1625000000000227,16,IC0000,2020,1
588,0.31875000000019327,16,IC0000,2020,1
589,1.09375,16,IC0000,2020,1
590,0.12666666666670304,15,IC0000,2020,1
591,-1.1249999999999432,16,IC0000,2020,1
592,0.012499999999931788,16,IC0000,2020,1
593,-0.31875000000019327,16,IC0000,2020,1
594,0.04374999999998863,16,IC0000,2020,1
595,0.353333333333588,15,IC0000,2020,1
596,-1.75,16,IC0000,2020,1
597,-0.4375000000002274,16,IC0000,2020,1
598,0.2624999999998181,16,IC0000,2020,1
599,1.3625000000002387,16,IC0000,2020,1
600,0.04375000000015916,16,IC0000,2020,1
601,-1.1124999999999545,16,IC0000,2020,1
602,0.49374999999997726,16,IC0000,2020,1
603,1.6750000000000114,16,IC0000,2020,1
604,0.0714285714284415,14,IC0000,2020,1
605,-0.1687499999998181,16,IC0000,2020,1
606,0.4187500000000455,16,IC0000,2020,1
607,-0.9437499999996817,16,IC0000,2020,1
608,-0.8187500000000796,16,IC0000,2020,1
609,-0.6875000000001705,16,IC0000,2020,1
610,0.28124999999994316,16,IC0000,2020,1
611,-1.099999999999966,16,IC0000,2020,1
612,-1.1333333333334545,15,IC0000,2020,1
613,-0.2874999999997385,16,IC0000,2020,1
614,0.5187500000001251,16,IC0000,2020,1
615,0.39374999999984084,16,IC0000,2020,1
616,-0.25625000000002274,16,IC0000,2020,1
617,0.4749999999996817,16,IC0000,2020,1
618,1.481250000000216,16,IC0000,2020,1
619,-1.300000000000125,16,IC0000,2020,1
620,-1.0466666666667759,15,IC0000,2020,1
621,1.3333333333331514,15,IC0000,2020,1
622,1.0533333333332848,15,IC0000,2020,1
623,-2.106666666666509,15,IC0000,2020,1
624,1.1562499999998863,16,IC0000,2020,1
625,0.7999999999998408,16,IC0000,2020,1
626,1.099999999999909,14,IC0000,2020,1
627,-0.6062499999999886,16,IC0000,2020,1
628,-1.3937499999998408,16,IC0000,2020,1
629,-1.2428571428571817,14,IC0000,2020,1
630,0.7624999999999318,16,IC0000,2020,1
631,0.5187499999998977,16,IC0000,2020,1
632,1.0,15,IC0000,2020,1
633,0.9666666666666061,15,IC0000,2020,1
634,-0.49375000000020464,16,IC0000,2020,1
635,-0.03750000000025011,16,IC0000,2020,1
636,0.14999999999980673,16,IC0000,2020,1
637,1.6199999999999515,15,IC0000,2020,1
638,0.3562500000001023,16,IC0000,2020,1
639,0.8125,16,IC0000,2020,1
640,0.37499999999994316,16,IC0000,2020,1
641,-2.537499999999909,16,IC0000,2020,1
642,0.762500000000216,16,IC0000,2020,1
643,-0.9874999999997272,16,IC0000,2020,1
644,-1.0687500000000796,16,IC0000,2020,1
645,0.5812499999999545,16,IC0000,2020,1
646,1.7625000000000455,16,IC0000,2020,1
647,-0.2999999999998977,16,IC0000,2020,1
648,-1.1874999999998863,16,IC0000,2020,1
649,0.9866666666664969,15,IC0000,2020,1
650,-2.2749999999998067,16,IC0000,2020,1
651,1.4062500000000568,16,IC0000,2020,1
652,-0.3437499999998863,16,IC0000,2020,1
653,-1.0,16,IC0000,2020,1
654,-0.47499999999979536,16,IC0000,2020,1
655,0.5937500000000568,16,IC0000,2020,1
656,-0.693749999999909,16,IC0000,2020,1
657,0.28750000000002274,16,IC0000,2020,1
658,-0.08749999999997726,16,IC0000,2020,1
659,0.7750000000001478,16,IC0000,2020,1
660,0.2400000000001455,15,IC0000,2020,1
661,-1.437499999999659,16,IC0000,2020,1
662,1.1466666666666545,15,IC0000,2020,1
663,0.4375000000001137,16,IC0000,2020,1
664,0.9875000000000114,16,IC0000,2020,1
665,0.09333333333343034,15,IC0000,2020,1
666,-1.5200000000001335,15,IC0000,2020,1
667,0.8133333333332605,15,IC0000,2020,1
668,0.47500000000002274,16,IC0000,2020,1
669,-0.1533333333334061,15,IC0000,2020,1
670,-1.9266666666666423,15,IC0000,2020,1
671,-0.8812500000000227,16,IC0000,2020,1
672,-1.0812500000002956,16,IC0000,2020,1
673,1.3999999999999204,16,IC0000,2020,1
674,0.49374999999997726,16,IC0000,2020,1
675,-0.47500000000002274,16,IC0000,2020,1
676,-0.2125000000001478,16,IC0000,2020,1
677,0.49375000000009095,16,IC0000,2020,1
678,0.6000000000000227,16,IC0000,2020,1
679,1.662499999999966,16,IC0000,2020,1
680,-0.12499999999977263,16,IC0000,2020,1
681,-0.8062500000002615,16,IC0000,2020,1
682,-0.7066666666668122,15,IC0000,2020,1
683,0.112499999999784,16,IC0000,2020,1
684,2.0812499999998977,16,IC0000,2020,1
685,0.28749999999990905,16,IC0000,2020,1
686,0.7750000000000341,16,IC0000,2020,1
687,0.0999999999999659,16,IC0000,2020,1
688,-0.12499999999994316,16,IC0000,2020,1
689,0.40624999999994316,16,IC0000,2020,1
782,-0.8062499999999204,16,IC0000,2020,1
783,0.918750000000216,16,IC0000,2020,1
784,1.1812499999995794,16,IC0000,2020,1
785,-1.2000000000000455,16,IC0000,2020,1
786,-0.11249999999984084,16,IC0000,2020,1
787,-1.0437500000001592,16,IC0000,2020,1
788,0.6812499999999204,16,IC0000,2020,1
789,0.006249999999795364,16,IC0000,2020,1
790,3.53750000000025,16,IC0000,2020,1
791,-1.9062499999997726,16,IC0000,2020,1
792,0.8249999999999886,16,IC0000,2020,1
793,0.7124999999997499,16,IC0000,2020,1
794,-0.25333333333346675,15,IC0000,2020,1
795,-1.5499999999998977,16,IC0000,2020,1
796,-1.0133333333335637,15,IC0000,2020,1
797,0.04374999999998863,16,IC0000,2020,1
798,0.6133333333332606,15,IC0000,2020,1
799,-1.0625,16,IC0000,2020,1
800,0.3750000000001137,16,IC0000,2020,1
801,-2.2312499999999886,16,IC0000,2020,1
802,1.9625000000001478,16,IC0000,2020,1
803,1.2625000000001023,16,IC0000,2020,1
804,-1.573333333333115,15,IC0000,2020,1
805,-0.5066666666666909,15,IC0000,2020,1
806,-2.362500000000182,16,IC0000,2020,1
807,1.0733333333332362,15,IC0000,2020,1
808,0.7333333333331514,15,IC0000,2020,1
809,-1.4062500000000568,16,IC0000,2020,1
810,-0.8812499999999659,16,IC0000,2020,1
811,1.1999999999999886,16,IC0000,2020,1
812,-0.44374999999990905,16,IC0000,2020,1
813,-0.08124999999995453,16,IC0000,2020,1
814,0.11874999999992042,16,IC0000,2020,1
815,1.449999999999875,16,IC0000,2020,1
816,-0.9666666666666061,15,IC0000,2020,1
817,0.11250000000006821,16,IC0000,2020,1
818,0.6187499999999773,16,IC0000,2020,1
819,-0.8937500000002387,16,IC0000,2020,1
820,0.2562499999998522,16,IC0000,2020,1
821,-2.118750000000148,16,IC0000,2020,1
822,0.38125000000002274,16,IC0000,2020,1
823,-0.0687499999999659,16,IC0000,2020,1
824,-0.7187499999999432,16,IC0000,2020,1
825,-1.1249999999998863,16,IC0000,2020,1
826,1.106249999999818,16,IC0000,2020,1
827,0.6071428571429871,14,IC0000,2020,1
828,0.6400000000002668,15,IC0000,2020,1
829,0.806250000000091,16,IC0000,2020,1
830,0.5466666666665939,15,IC0000,2020,1
831,0.806250000000091,16,IC0000,2020,1
832,-0.3400000000000242,15,IC0000,2020,1
833,-0.6562500000001137,16,IC0000,2020,1
834,0.4000000000001478,16,IC0000,2020,1
835,0.47499999999990905,16,IC0000,2020,1
836,0.23125000000015916,16,IC0000,2020,1
837,-2.2624999999997044,16,IC0000,2020,1
838,1.849999999999909,16,IC0000,2020,1
839,0.7624999999999318,16,IC0000,2020,1
840,-0.08571428571420776,14,IC0000,2020,1
841,0.34375000000005684,16,IC0000,2020,1
842,0.12666666666670304,15,IC0000,2020,1
843,0.08125000000001137,16,IC0000,2020,1
844,-1.3187500000000227,16,IC0000,2020,1
845,1.5874999999998636,16,IC0000,2020,1
