tod,avg_spread,n,code,year,month
570,0.807915567282322,1895,IC0000,2020,1
571,0.7960215053763486,1860,IC0000,2020,1
572,0.8020573903627689,1847,IC0000,2020,1
573,0.7738029719317636,1817,IC0000,2020,1
574,0.7681592039801148,1809,IC0000,2020,1
575,0.7479512735326815,1806,IC0000,2020,1
576,0.7931567328918436,1812,IC0000,2020,1
577,0.7783333333333404,1800,IC0000,2020,1
578,0.8501664816870326,1802,IC0000,2020,1
579,0.8643874643874861,1755,IC0000,2020,1
580,0.7781818181818297,1760,IC0000,2020,1
581,0.8465573770491892,1830,IC0000,2020,1
582,0.8696832579185656,1768,IC0000,2020,1
583,0.8090285714285939,1750,IC0000,2020,1
584,0.8634035287422068,1757,IC0000,2020,1
585,0.8658662092624698,1749,IC0000,2020,1
570,0.49537329127237323,1902,IF0000,2020,1
571,0.44425711275027,1898,IF0000,2020,1
572,0.43397231096911076,1878,IF0000,2020,1
573,0.45557333333333905,1875,IF0000,2020,1
574,0.42563002680966183,1865,IF0000,2020,1
575,0.4313641245972492,1862,IF0000,2020,1
576,0.4348899624262179,1863,IF0000,2020,1
577,0.43658008658012926,1848,IF0000,2020,1
578,0.4178260869565396,1840,IF0000,2020,1
579,0.4493719279082405,1831,IF0000,2020,1
580,0.4171645844650158,1841,IF0000,2020,1
581,0.43525606469004563,1855,IF0000,2020,1
582,0.4608315098468623,1828,IF0000,2020,1
583,0.4516592920354236,1808,IF0000,2020,1
584,0.42705099778272054,1804,IF0000,2020,1
585,0.4422719825232087,1831,IF0000,2020,1
570,1.1207357859532006,2392,IC0000,2020,2
571,0.894851402260383,2389,IC0000,2020,2
572,0.896939203354319,2385,IC0000,2020,2
573,0.7703859060402812,2384,IC0000,2020,2
574,0.8320539856600825,2371,IC0000,2020,2
575,0.8006734006734135,2376,IC0000,2020,2
576,0.8639323467230651,2365,IC0000,2020,2
577,0.8692114093959952,2384,IC0000,2020,2
578,0.8708561788275082,2371,IC0000,2020,2
579,0.9392330383481026,2373,IC0000,2020,2
580,0.8770982707718455,2371,IC0000,2020,2
581,0.857455770850897,2374,IC0000,2020,2
582,0.806593406593436,2366,IC0000,2020,2
583,0.8707130730051132,2356,IC0000,2020,2
584,0.8811040339703038,2355,IC0000,2020,2
585,0.8671489361702291,2350,IC0000,2020,2
570,0.7193319415448948,2395,IF0000,2020,2
571,0.5537755527743079,2397,IF0000,2020,2
572,0.5603382663847876,2365,IF0000,2020,2
573,0.5387137452711297,2379,IF0000,2020,2
574,0.5565071368597995,2382,IF0000,2020,2
575,0.5496003365586982,2377,IF0000,2020,2
576,0.5514176893779174,2363,IF0000,2020,2
577,0.5295116772823849,2355,IF0000,2020,2
578,0.5386247877759087,2356,IF0000,2020,2
579,0.5349892933618882,2335,IF0000,2020,2
580,0.5546069315300237,2366,IF0000,2020,2
581,0.555498938428878,2355,IF0000,2020,2
582,0.5312128922816061,2358,IF0000,2020,2
583,0.5422619047619174,2352,IF0000,2020,2
584,0.5344885883347497,2366,IF0000,2020,2
585,0.5360410431808612,2339,IF0000,2020,2
570,1.0696279422930985,2634,IC0000,2020,3
571,0.8777567260325959,2639,IC0000,2020,3
572,0.8784982935153792,2637,IC0000,2020,3
573,0.8593406593406663,2639,IC0000,2020,3
574,0.9075815011372302,2638,IC0000,2020,3
575,0.9264594389689348,2638,IC0000,2020,3
576,0.9295144157815018,2636,IC0000,2020,3
577,0.8896420411272004,2626,IC0000,2020,3
578,0.9341685649202877,2634,IC0000,2020,3
579,0.9424553401748507,2631,IC0000,2020,3
580,0.9009480470231476,2637,IC0000,2020,3
581,0.9511823035850527,2622,IC0000,2020,3
582,0.9180677063522464,2629,IC0000,2020,3
583,0.8727480916030705,2620,IC0000,2020,3
584,0.9604269919939302,2623,IC0000,2020,3
585,0.932216298552934,2626,IC0000,2020,3
570,0.7552012148823118,2634,IF0000,2020,3
571,0.5629405077681013,2639,IF0000,2020,3
572,0.594465504169838,2638,IF0000,2020,3
573,0.5683093252464122,2638,IF0000,2020,3
574,0.5787717968157777,2638,IF0000,2020,3
575,0.5874857792946626,2637,IF0000,2020,3
576,0.5730345613368852,2633,IF0000,2020,3
577,0.6159635119726449,2631,IF0000,2020,3
578,0.5809741248097438,2628,IF0000,2020,3
579,0.5995438996579322,2631,IF0000,2020,3
580,0.6296352583586627,2632,IF0000,2020,3
581,0.5833968012185886,2626,IF0000,2020,3
582,0.5980908743795457,2619,IF0000,2020,3
583,0.559221076746858,2619,IF0000,2020,3
584,0.6165648854961937,2620,IF0000,2020,3
585,0.5960471303686874,2631,IF0000,2020,3
570,0.7693901952969465,2509,IC0000,2020,4
571,0.6287534846674763,2511,IC0000,2020,4
572,0.6487200000000234,2500,IC0000,2020,4
573,0.6119664938173249,2507,IC0000,2020,4
574,0.6327461969575756,2498,IC0000,2020,4
575,0.6328668532587188,2501,IC0000,2020,4
576,0.6240867121638314,2491,IC0000,2020,4
577,0.6115306536743977,2463,IC0000,2020,4
578,0.6410692588092511,2469,IC0000,2020,4
579,0.7058538554703415,2477,IC0000,2020,4
580,0.6548374146929105,2491,IC0000,2020,4
581,0.6363344051447105,2488,IC0000,2020,4
582,0.6399510803098478,2453,IC0000,2020,4
583,0.6206026058632169,2456,IC0000,2020,4
584,0.5964125560538384,2453,IC0000,2020,4
585,0.6219878296146195,2465,IC0000,2020,4
570,0.5294305057746004,2511,IF0000,2020,4
571,0.43724082934609826,2508,IF0000,2020,4
572,0.4438848920863445,2502,IF0000,2020,4
573,0.4388083735909834,2484,IF0000,2020,4
574,0.452686868686866,2475,IF0000,2020,4
575,0.431078904991948,2484,IF0000,2020,4
576,0.42865236746257157,2471,IF0000,2020,4
577,0.42735462735462804,2442,IF0000,2020,4
578,0.40924092409241636,2424,IF0000,2020,4
579,0.42487725040916907,2444,IF0000,2020,4
580,0.4340202020202155,2475,IF0000,2020,4
581,0.44334012219960195,2455,IF0000,2020,4
582,0.45182481751825565,2466,IF0000,2020,4
583,0.4258677685950437,2420,IF0000,2020,4
584,0.41276595744681305,2444,IF0000,2020,4
585,0.41626213592233785,2472,IF0000,2020,4
570,0.750325581395364,2150,IC0000,2020,5
571,0.6634168987929598,2154,IC0000,2020,5
572,0.6392175128085957,2147,IC0000,2020,5
573,0.6037558685446172,2130,IC0000,2020,5
574,0.6223055295220342,2134,IC0000,2020,5
575,0.6614232209737909,2136,IC0000,2020,5
576,0.6640831758034189,2116,IC0000,2020,5
577,0.6222540592168139,2094,IC0000,2020,5
578,0.6337564645040185,2127,IC0000,2020,5
579,0.6379196217494184,2115,IC0000,2020,5
580,0.6481498829040013,2135,IC0000,2020,5
581,0.619241706161154,2110,IC0000,2020,5
582,0.609224916785563,2103,IC0000,2020,5
583,0.6083173996176132,2092,IC0000,2020,5
584,0.6223584905660458,2120,IC0000,2020,5
585,0.647695202257776,2126,IC0000,2020,5
570,0.5020901068276867,2153,IF0000,2020,5
571,0.41005586592179244,2148,IF0000,2020,5
572,0.4457595526561092,2146,IF0000,2020,5
573,0.445258215962449,2130,IF0000,2020,5
574,0.431194379391119,2135,IF0000,2020,5
575,0.43684950773560405,2133,IF0000,2020,5
576,0.44017053529133404,2111,IF0000,2020,5
577,0.4271090047393293,2110,IF0000,2020,5
578,0.4228327806726738,2111,IF0000,2020,5
579,0.4201323251417795,2116,IF0000,2020,5
580,0.42201138519925346,2108,IF0000,2020,5
581,0.43594339622642403,2120,IF0000,2020,5
582,0.43352435530087097,2094,IF0000,2020,5
583,0.40433070866142445,2032,IF0000,2020,5
584,0.4275307473983124,2114,IF0000,2020,5
585,0.4252721249408462,2113,IF0000,2020,5
570,0.763423799582482,2395,IC0000,2020,6
571,0.63921240050273,2387,IC0000,2020,6
572,0.6459595959596183,2376,IC0000,2020,6
573,0.5984006734006965,2376,IC0000,2020,6
574,0.5935674989420138,2363,IC0000,2020,6
575,0.6067425200168698,2373,IC0000,2020,6
576,0.6070856178827789,2371,IC0000,2020,6
577,0.6010989010989214,2366,IC0000,2020,6
578,0.5969217614365295,2339,IC0000,2020,6
579,0.6249681528662583,2355,IC0000,2020,6
580,0.6316856780735303,2367,IC0000,2020,6
581,0.6457892509521933,2363,IC0000,2020,6
582,0.6385994876174519,2342,IC0000,2020,6
583,0.60572419774501,2306,IC0000,2020,6
584,0.6158484065460946,2322,IC0000,2020,6
585,0.6358450404427445,2349,IC0000,2020,6
570,0.5675427617855842,2397,IF0000,2020,6
571,0.4622129436325694,2395,IF0000,2020,6
572,0.42576584137642787,2383,IF0000,2020,6
573,0.44258714825704887,2381,IF0000,2020,6
574,0.4420963651732938,2366,IF0000,2020,6
575,0.4717345653087039,2381,IF0000,2020,6
576,0.43182011030972317,2357,IF0000,2020,6
