code,tick,mean,n
IC0000,1,0.0,5162
IC0000,2,0.059240604416896415,5162
IC0000,3,0.03920960867880342,5162
IC0000,4,-0.015633475397137615,5162
IC0000,5,-0.07764432390547678,5162
IC0000,6,-0.1574583494769549,5162
IC0000,7,-0.2134444013948197,5162
IC0000,8,-0.2547849670670302,5162
IC0000,9,-0.29988376598218697,5162
IC0000,10,-0.34372336303758677,5162
IC0000,11,-0.3735180162727712,5162
IC0000,12,-0.3834753971329092,5162
IC0000,13,-0.40670282836110855,5162
IC0000,14,-0.40501743510268146,5162
IC0000,15,-0.4055986051917972,5162
IC0000,16,-0.408543200309976,5162
IC0000,17,-0.4061216582719921,5162
IC0000,18,-0.4081751259201943,5162
IC0000,19,-0.40807826423868465,5162
IC0000,20,-0.4164083688492975,5162
IC0000,21,-0.4228787291747622,5162
IC0000,22,-0.4191786129407196,5162
IC0000,23,-0.42446726075165464,5162
IC0000,24,-0.4289228981015171,5162
IC0000,25,-0.44151491669896487,5162
IC0000,26,-0.44037194885704445,5162
IC0000,27,-0.4476559473072567,5162
IC0000,28,-0.44862456412244606,5162
IC0000,29,-0.46026733824099636,5162
IC0000,30,-0.45321580782644216,5162
IC0000,31,-0.43769856644712524,5162
IC0000,32,-0.44554436265014014,5162
IC0000,33,-0.434192173576146,5162
IC0000,34,-0.4309569934134198,5162
IC0000,35,-0.42814800464936414,5162
IC0000,36,-0.4299690042619279,5162
IC0000,37,-0.4261139093374773,5162
IC0000,38,-0.42533901588532114,5162
IC0000,39,-0.4333591631150895,5162
IC0000,40,-0.44573808601318493,5162
IC0000,41,-0.4524602867105943,5162
IC0000,42,-0.445466873304935,5162
IC0000,43,-0.45493994575747343,5162
IC0000,44,-0.45666408368849976,5162
IC0000,45,-0.4384734598992733,5162
IC0000,46,-0.4379697791553776,5162
IC0000,47,-0.42886478109260806,5162
IC0000,48,-0.4315575358388304,5162
IC0000,49,-0.4254746222394523,5162
IC0000,50,-0.4365555986052117,5162
IC0000,51,-0.44128244866332456,5162
IC0000,52,-0.4513948082138856,5162
IC0000,53,-0.4497675319643665,5162
IC0000,54,-0.458058891902368,5162
IC0000,55,-0.47053467648198877,5162
IC0000,56,-0.48748547074778337,5162
IC0000,57,-0.4872530027121378,5162
IC0000,58,-0.49308407593956277,5162
IC0000,59,-0.49837272375049335,5162
IC0000,60,-0.4911468423091908,5162
IC0000,61,-0.4829910887253175,5162
IC0000,62,-0.4729368461836496,5162
IC0000,63,-0.46886865555986423,5162
IC0000,64,-0.4618752421542161,5162
IC0000,65,-0.45629600929873,5162
IC0000,66,-0.44794653235181014,5162
IC0000,67,-0.4432003099573844,5162
IC0000,68,-0.4491476172026512,5162
IC0000,69,-0.43729174738474186,5162
IC0000,70,-0.4375629600929983,5162
IC0000,71,-0.4318868655559939,5162
IC0000,72,-0.4294072065091158,5162
IC0000,73,-0.4185586981790052,5162
IC0000,74,-0.4255133669120667,5162
IC0000,75,-0.42425416505231606,5162
IC0000,76,-0.41882991088726584,5162
IC0000,77,-0.4067803177063253,5162
IC0000,78,-0.3923091824874262,5162
IC0000,79,-0.396726075164678,5162
IC0000,80,-0.3777411855869868,5162
IC0000,81,-0.36470360325455803,5162
IC0000,82,-0.3528773493509052,5161
IC0000,83,-0.3364851772912315,5161
IC0000,84,-0.31358527131783853,5160
IC0000,85,-0.2982558139534938,5160
IC0000,86,-0.27725862737496465,5158
IC0000,87,-0.2747478665632353,5156
IC0000,88,-0.25648040357005675,5154
IC0000,89,-0.24509994178149216,5153
IC0000,90,-0.2321490972626807,5151
IC0000,91,-0.21126213592234017,5150
IC0000,92,-0.21564321803342468,5146
IC0000,93,-0.20175063217273484,5141
IC0000,94,-0.2062134787690071,5134
IC0000,95,-0.1844804055371582,5129
IC0000,96,-0.19017769966804685,5121
IC0000,97,-0.19714565004888787,5115
IC0000,98,-0.18634939287114305,5106
IC0000,99,-0.18642969363709638,5092
IC0000,100,-0.17226377952756933,5080
IC0000,101,-0.16328063241107543,5060
IC0000,102,-0.1420436507936621,5040
IC0000,103,-0.1481459330143554,5016
IC0000,104,-0.1451204819277161,4980
IC0000,105,-0.11965153970827251,4936
IC0000,106,-0.11630813357919778,4881
IC0000,107,-0.11174147963426109,4812
IC0000,108,-0.09550727694580032,4741
IC0000,109,-0.1084964508496542,4649
IC0000,110,-0.09613857016770497,4532
IC0000,111,-0.0768461713247088,4401
IC0000,112,-0.07589962121213722,4224
IC0000,113,-0.03510901883053244,4036
IC0000,114,-0.0006047856955076632,3803
IC0000,115,0.07941764202111536,3503
IC0000,116,0.14460522176784232,3179
IC0000,117,0.27223021582732937,2780
IC0000,118,0.4196714223951593,2313
IC0000,119,0.6119089316987613,1713
IC0000,120,0.887800000000012,1000
IF0000,1,0.0,5128
IF0000,2,0.0068837753510084,5128
IF0000,3,-0.014138065522621082,5128
IF0000,4,-0.04056162246490223,5128
IF0000,5,-0.063065522620903,5128
IF0000,6,-0.10854134165367252,5128
IF0000,7,-0.1531396255850205,5128
IF0000,8,-0.1781786271450847,5128
IF0000,9,-0.1986154446177848,5128
IF0000,10,-0.2146450858034298,5128
IF0000,11,-0.23094773790951278,5128
IF0000,12,-0.24138065522620802,5128
IF0000,13,-0.246392355694226,5128
IF0000,14,-0.25062402496099884,5128
IF0000,15,-0.25241809672386917,5128
IF0000,16,-0.2567667706708307,5128
IF0000,17,-0.2568252730109229,5128
IF0000,18,-0.2557527301092018,5128
IF0000,19,-0.25557722308891717,5128
IF0000,20,-0.25631825273010594,5128
IF0000,21,-0.25645475819032804,5128
IF0000,22,-0.25501170046802,5128
IF0000,23,-0.26446957878315225,5128
IF0000,24,-0.2742004680187192,5128
IF0000,25,-0.2691107644305746,5128
IF0000,26,-0.2742394695787783,5128
IF0000,27,-0.2825468018720758,5128
IF0000,28,-0.2710218408736279,5128
IF0000,29,-0.2649570982839307,5128
IF0000,30,-0.26417706708268435,5128
IF0000,31,-0.2615054602184005,5128
IF0000,32,-0.2613689547581867,5128
IF0000,33,-0.25793681747269603,5128
IF0000,34,-0.2661856474258956,5128
IF0000,35,-0.26296801872074416,5128
IF0000,36,-0.26883775351013833,5128
IF0000,37,-0.2704758190327632,5128
IF0000,38,-0.27277691107644664,5128
IF0000,39,-0.2655031201248106,5128
IF0000,40,-0.26511310452418635,5128
IF0000,41,-0.27371294851794203,5128
IF0000,42,-0.27862714508580433,5128
IF0000,43,-0.27663806552262205,5128
IF0000,44,-0.2765210608424355,5128
IF0000,45,-0.2799921996879861,5128
IF0000,46,-0.2884360374414988,5128
IF0000,47,-0.2927067082683288,5128
IF0000,48,-0.2984789391575697,5128
IF0000,49,-0.30101404056162856,5128
IF0000,50,-0.29531981279251485,5128
IF0000,51,-0.3039196567862737,5128
IF0000,52,-0.2976794071762897,5128
IF0000,53,-0.3015405616224636,5128
IF0000,54,-0.29272620904836566,5128
IF0000,55,-0.2972503900156025,5128
IF0000,56,-0.29877145085803625,5128
IF0000,57,-0.30263260530421787,5128
IF0000,58,-0.29999999999999916,5128
IF0000,59,-0.29278471138845635,5128
IF0000,60,-0.2931942277691122,5128
IF0000,61,-0.28254680187207515,5128
IF0000,62,-0.27849063962558573,5128
IF0000,63,-0.267960218408735,5128
IF0000,64,-0.267453198127925,5128
IF0000,65,-0.2679602184087352,5128
IF0000,66,-0.2595748829953199,5128
IF0000,67,-0.2552262090483612,5128
IF0000,68,-0.25875585023401143,5128
IF0000,69,-0.2569617784711329,5128
IF0000,70,-0.25493369734789517,5128
IF0000,71,-0.2501950078003157,5128
IF0000,72,-0.24167316692667445,5128
IF0000,73,-0.2299141965678622,5128
IF0000,74,-0.23317082683306822,5128
IF0000,75,-0.22035881435257534,5128
IF0000,76,-0.21827223088923772,5128
IF0000,77,-0.21072752096743091,5127
IF0000,78,-0.20583187048956428,5127
IF0000,79,-0.19840062414668302,5127
IF0000,80,-0.1894459617635536,5126
IF0000,81,-0.18279360124854024,5126
IF0000,82,-0.17416585365853585,5125
IF0000,83,-0.16310243902439106,5125
IF0000,84,-0.15881319539332003,5123
IF0000,85,-0.14502147598594445,5122
IF0000,86,-0.14051201876099267,5117
IF0000,87,-0.12572825024437767,5115
IF0000,88,-0.1183062781146125,5113
IF0000,89,-0.11183721385247807,5111
IF0000,90,-0.10527037617555325,5104
IF0000,91,-0.0942952362281902,5101
IF0000,92,-0.09081452404317651,5095
IF0000,93,-0.08636810056963291,5091
IF0000,94,-0.08514364423455847,5082
IF0000,95,-0.0739344909234409,5068
IF0000,96,-0.07802850356294776,5052
IF0000,97,-0.06674626865671517,5025
IF0000,98,-0.059384369378375775,5003
IF0000,99,-0.058587479935794176,4984
IF0000,100,-0.04521405492729679,4952
IF0000,101,-0.034817978442140685,4917
IF0000,102,-0.03190749079001751,4886
IF0000,103,-0.02477803014660541,4843
IF0000,104,-0.02010858216747019,4789
IF0000,105,-0.014170726540986809,4721
IF0000,106,0.006215053763439706,4650
IF0000,107,0.0037231712658781307,4566
IF0000,108,0.005625280143427099,4462
IF0000,109,0.021894303363072274,4371
IF0000,110,0.05468934561776271,4233
IF0000,111,0.0785170635894955,4073
IF0000,112,0.08817645550140973,3899
IF0000,113,0.10124830393487132,3685
IF0000,114,0.13015133876600574,3436
IF0000,115,0.17477735368956815,3144
IF0000,116,0.23335727109514873,2785
IF0000,117,0.34710327455919004,2382
IF0000,118,0.48873456790123054,1944
IF0000,119,0.6311050477489795,1466
IF0000,120,0.8142857142857266,854
IH0000,1,0.0,5109
IH0000,2,0.0009395184967691947,5109
IH0000,3,-0.009140732041497858,5109
IH0000,4,-0.026032491681347265,5109
IH0000,5,-0.04355059698571238,5109
IH0000,6,-0.06975924838520688,5109
IH0000,7,-0.09113329418673098,5109
IH0000,8,-0.10982579761206443,5109
IH0000,9,-0.13176746917205417,5109
IH0000,10,-0.1457232335094927,5109
IH0000,11,-0.16719514582110195,5109
IH0000,12,-0.17586611861421406,5109
IH0000,13,-0.18075944411822087,5109
IH0000,14,-0.18089645723234155,5109
IH0000,15,-0.18052456449403045,5109
IH0000,16,-0.18471325112546713,5109
IH0000,17,-0.19549814053631473,5109
IH0000,18,-0.1974750440399322,5109
IH0000,19,-0.19886474848307453,5109
IH0000,20,-0.20056762575846906,5109
IH0000,21,-0.19923664122137566,5109
IH0000,22,-0.20197690350362116,5109
IH0000,23,-0.20138970444314003,5109
IH0000,24,-0.20822078684674544,5109
IH0000,25,-0.21513016245841055,5109
IH0000,26,-0.2157760814249428,5109
IH0000,27,-0.22178508514386847,5109
IH0000,28,-0.2223331376003164,5109
IH0000,29,-0.21926012918379362,5109
IH0000,30,-0.2242708944999067,5109
IH0000,31,-0.21820317087492921,5109
IH0000,32,-0.21898610295556836,5109
IH0000,33,-0.22806811509101768,5109
IH0000,34,-0.2259150518692543,5109
IH0000,35,-0.2195928753180725,5109
IH0000,36,-0.21327069876688703,5109
IH0000,37,-0.2147191231160737,5109
IH0000,38,-0.21010180109631732,5108
IH0000,39,-0.2251028000783258,5107
IH0000,40,-0.22128451145486505,5107
IH0000,41,-0.2196005482670875,5107
IH0000,42,-0.22475518997258456,5106
IH0000,43,-0.223706896551728,5104
IH0000,44,-0.22929075235110175,5104
IH0000,45,-0.2286442006269614,5104
IH0000,46,-0.2318306546452413,5102
IH0000,47,-0.22821568627451036,5100
IH0000,48,-0.2314571484604841,5099
IH0000,49,-0.23153559521475572,5099
IH0000,50,-0.23108320251177955,5096
IH0000,51,-0.22912411626080462,5092
IH0000,52,-0.2271512770137542,5090
IH0000,53,-0.22376179245283484,5088
IH0000,54,-0.22349468713105788,5082
IH0000,55,-0.22608353033885395,5076
IH0000,56,-0.22630747977106722,5067
IH0000,57,-0.22501976284585715,5060
IH0000,58,-0.21847158978420295,5051
IH0000,59,-0.21262386048355306,5046
IH0000,60,-0.2074206349206364,5040
IH0000,61,-0.20166964818128033,5031
IH0000,62,-0.1974098425981326,5019
IH0000,63,-0.19842378292099608,5012
IH0000,64,-0.19769953990798872,4999
IH0000,65,-0.18824709185720323,4986
IH0000,66,-0.1749396135265758,4968
IH0000,67,-0.17842264914054695,4945
IH0000,68,-0.17341746387136495,4913
IH0000,69,-0.172807196892258,4891
IH0000,70,-0.16396877567790036,4868
IH0000,71,-0.1627560521415283,4833
IH0000,72,-0.1646141044310364,4807
IH0000,73,-0.1487743557511001,4773
IH0000,74,-0.14661733615222286,4730
IH0000,75,-0.14421725239617397,4695
IH0000,76,-0.1391397849462347,4650
IH0000,77,-0.12680434782609293,4600
IH0000,78,-0.1252860915492975,4544
IH0000,79,-0.11045474810521896,4486
IH0000,80,-0.10775842569554638,4421
IH0000,81,-0.10290950744558977,4365
IH0000,82,-0.09855914478271036,4303
IH0000,83,-0.08719037508846338,4239
IH0000,84,-0.06951102588686536,4172
IH0000,85,-0.058636696799420074,4093
IH0000,86,-0.05557759048091536,4034
IH0000,87,-0.05241466498103878,3955
IH0000,88,-0.032962771458120245,3868
IH0000,89,-0.030858652575954652,3785
IH0000,90,-0.021271989174559452,3695
IH0000,91,-0.011749930226067263,3583
IH0000,92,-0.0047769784172632815,3475
IH0000,93,-0.009074573225520625,3339
IH0000,94,0.013298037994396054,3211
IH0000,95,0.028076424870461844,3088
IH0000,96,0.046883468834685145,2952
IH0000,97,0.05740544361965153,2829
IH0000,98,0.06726124117428009,2691
IH0000,99,0.10648184303006755,2561
IH0000,100,0.13746908491344506,2426
IH0000,101,0.17366129734436186,2297
IH0000,102,0.22875000000000628,2160
IH0000,103,0.22447968285431863,2018
IH0000,104,0.24970666666666633,1875
IH0000,105,0.26693735498840054,1724
IH0000,106,0.236517913262108,1591
IH0000,107,0.2908657123381073,1467
IH0000,108,0.28717179294824263,1333
IH0000,109,0.3078772802653428,1206
IH0000,110,0.2834101382488433,1085
IH0000,111,0.3088050314465365,954
IH0000,112,0.300000000000014,826
IH0000,113,0.362021857923501,732
IH0000,114,0.2866666666666596,615
IH0000,115,0.2792156862745037,510
IH0000,116,0.415207373271889,434
IH0000,117,0.36676829268293293,328
IH0000,118,0.5374485596707984,243
IH0000,119,0.15688622754493087,167
IH0000,120,0.6274725274725564,91
