win,avg_spread,n,code,year,month
570,0.8096571597459012,27068,IC0000,2020,1
585,0.8285931437258311,24999,IC0000,2020,1
600,0.8392309282613888,24185,IC0000,2020,1
615,0.8489986591116155,23119,IC0000,2020,1
630,0.809146604538846,23178,IC0000,2020,1
645,0.8540055488122749,23068,IC0000,2020,1
660,0.8720536888405904,22053,IC0000,2020,1
675,0.8253672518811115,22328,IC0000,2020,1
780,0.864207387015441,21795,IC0000,2020,1
795,0.849798205213502,21061,IC0000,2020,1
810,0.8074018410671278,21292,IC0000,2020,1
825,0.8761125223445921,21258,IC0000,2020,1
840,0.8541891768153904,21842,IC0000,2020,1
855,0.8257494792139145,22082,IC0000,2020,1
870,0.8151655778329298,22195,IC0000,2020,1
885,0.6735172472605769,23453,IC0000,2020,1
900,0.974999999999909,8,IC0000,2020,1
690,1.300000000000182,6,IC0000,2020,1
570,0.44121879271898007,27798,IF0000,2020,1
585,0.4386050593308283,26209,IF0000,2020,1
600,0.4305608236250842,25837,IF0000,2020,1
615,0.44568227030982593,24631,IF0000,2020,1
630,0.4333333333333798,24126,IF0000,2020,1
645,0.4368242553018202,24473,IF0000,2020,1
660,0.45210663527042333,23782,IF0000,2020,1
675,0.46422450728367565,23340,IF0000,2020,1
690,0.6799999999999272,10,IF0000,2020,1
780,0.4478397587766938,23215,IF0000,2020,1
795,0.44703019378102893,22190,IF0000,2020,1
810,0.4482740494130625,22828,IF0000,2020,1
825,0.45716577540111036,22440,IF0000,2020,1
840,0.4508700771948652,22929,IF0000,2020,1
855,0.4754028294226333,23397,IF0000,2020,1
870,0.47066468007621576,24162,IF0000,2020,1
885,0.3995467864817976,25595,IF0000,2020,1
900,0.7454545454546943,11,IF0000,2020,1
570,0.5694345262808491,24086,IH0000,2020,1
585,0.5636168237995374,20471,IH0000,2020,1
600,0.5580080753701374,18575,IH0000,2020,1
615,0.5599928981476192,16897,IH0000,2020,1
630,0.5357085816082151,16279,IH0000,2020,1
645,0.5054619581509725,16679,IH0000,2020,1
660,0.5070207201770379,14913,IH0000,2020,1
675,0.521479549821582,14572,IH0000,2020,1
780,0.5072405414786693,14405,IH0000,2020,1
795,0.5079208648966768,13597,IH0000,2020,1
810,0.49726241134752247,14100,IH0000,2020,1
825,0.5148181276088303,13416,IH0000,2020,1
840,0.5094259690743645,14163,IH0000,2020,1
855,0.5332577743146643,14117,IH0000,2020,1
870,0.5285216797541852,14645,IH0000,2020,1
885,0.44939687795649386,16912,IH0000,2020,1
900,0.9333333333332424,6,IH0000,2020,1
690,0.6500000000000341,8,IH0000,2020,1
570,0.8769122767607302,35612,IC0000,2020,2
585,0.8949700736649006,34752,IC0000,2020,2
600,0.9064314003665721,33834,IC0000,2020,2
615,0.9228524629945002,32968,IC0000,2020,2
630,0.8804866120553417,32716,IC0000,2020,2
645,0.8593849080533497,31540,IC0000,2020,2
660,0.8628540235053124,31142,IC0000,2020,2
675,0.8336287749380328,31027,IC0000,2020,2
690,0.7999999999999678,17,IC0000,2020,2
780,0.8163972134595966,30432,IC0000,2020,2
795,0.8362219933042262,31064,IC0000,2020,2
810,0.8383298936339819,31495,IC0000,2020,2
825,0.8427002736764634,29597,IC0000,2020,2
840,0.7936596036436925,30629,IC0000,2020,2
855,0.7770849673203443,30600,IC0000,2020,2
870,0.7728416200198378,30370,IC0000,2020,2
885,0.6428351309708287,31152,IC0000,2020,2
900,0.705882352941123,17,IC0000,2020,2
570,0.5568913551731756,35501,IF0000,2020,2
585,0.5416164192950489,34496,IF0000,2020,2
600,0.5357211136336967,33476,IF0000,2020,2
615,0.5399045041209753,32881,IF0000,2020,2
630,0.535342314419904,32587,IF0000,2020,2
645,0.5241842904939199,32579,IF0000,2020,2
660,0.5266338461538974,32500,IF0000,2020,2
675,0.5421002957277351,31786,IF0000,2020,2
690,0.7000000000001104,14,IF0000,2020,2
780,0.5193590353800179,31515,IF0000,2020,2
795,0.49572069186422507,31220,IF0000,2020,2
810,0.5051888750519268,31317,IF0000,2020,2
825,0.5155883404283248,30773,IF0000,2020,2
840,0.5078438180613369,31681,IF0000,2020,2
855,0.5150778024770106,31490,IF0000,2020,2
870,0.5104289847780052,31796,IF0000,2020,2
885,0.4219851870608877,31594,IF0000,2020,2
900,0.6133333333334728,15,IF0000,2020,2
570,0.6781072749692123,32440,IH0000,2020,2
585,0.6639780947874027,29582,IH0000,2020,2
600,0.6379947427713248,26630,IH0000,2020,2
615,0.6205670958060274,25322,IH0000,2020,2
630,0.5989115312218768,24438,IH0000,2020,2
645,0.595297110965217,24368,IH0000,2020,2
660,0.5942031372226246,24289,IH0000,2020,2
675,0.6152096597146195,22775,IH0000,2020,2
690,1.050000000000125,8,IH0000,2020,2
780,0.5850157939227013,22477,IH0000,2020,2
795,0.6055047628165378,20891,IH0000,2020,2
810,0.5953701447439157,20519,IH0000,2020,2
825,0.6031963695555808,20273,IH0000,2020,2
840,0.5892136329017701,21008,IH0000,2020,2
855,0.5759988901220984,21624,IH0000,2020,2
870,0.563145338295649,20958,IH0000,2020,2
885,0.48154654408146275,24364,IH0000,2020,2
900,0.7857142857143182,14,IH0000,2020,2
570,0.9212116607148201,39483,IC0000,2020,3
585,0.93790948441468,39043,IC0000,2020,3
600,0.9117176543916083,38506,IC0000,2020,3
615,0.9134641070634276,38183,IC0000,2020,3
630,0.9093537994081073,38177,IC0000,2020,3
645,0.9208407044597189,37873,IC0000,2020,3
660,0.9052265175888132,37922,IC0000,2020,3
675,0.9251054852321435,37920,IC0000,2020,3
690,1.3263157894738182,19,IC0000,2020,3
780,0.9157235003787368,38293,IC0000,2020,3
795,0.8844662511604161,37705,IC0000,2020,3
810,0.8945102432779345,37488,IC0000,2020,3
825,0.9043513187844012,37345,IC0000,2020,3
840,0.8539433181191938,37684,IC0000,2020,3
855,0.8700808338652433,37608,IC0000,2020,3
870,0.8482905075388578,37672,IC0000,2020,3
885,0.6990214753543833,38323,IC0000,2020,3
900,0.7250000000000796,16,IC0000,2020,3
570,0.6002432658440512,39463,IF0000,2020,3
585,0.5899178222907874,38940,IF0000,2020,3
600,0.5877597911227933,38300,IF0000,2020,3
615,0.5718221731472805,38037,IF0000,2020,3
630,0.5711246924359905,37797,IF0000,2020,3
645,0.5892740772395516,37442,IF0000,2020,3
660,0.5748559594297694,37663,IF0000,2020,3
675,0.6051582962153768,37493,IF0000,2020,3
690,0.9600000000000591,20,IF0000,2020,3
780,0.5742808976926403,37964,IF0000,2020,3
795,0.5679798331948467,37289,IF0000,2020,3
810,0.5780193820300906,37251,IF0000,2020,3
825,0.5976384122781835,37009,IF0000,2020,3
840,0.5857119723632402,37052,IF0000,2020,3
855,0.6103870757888555,36892,IF0000,2020,3
870,0.6077590607453599,37221,IF0000,2020,3
885,0.5021812124898698,37823,IF0000,2020,3
900,0.7857142857141882,14,IF0000,2020,3
570,0.7073787262697955,38611,IH0000,2020,3
585,0.6709850878652296,36078,IH0000,2020,3
600,0.6958110834223822,33708,IH0000,2020,3
615,0.6648776245496673,32196,IH0000,2020,3
630,0.6443680399197241,32866,IH0000,2020,3
645,0.6316582278481334,31600,IH0000,2020,3
660,0.6227228636691187,31959,IH0000,2020,3
675,0.6740252219791936,31084,IH0000,2020,3
780,0.6641880708637713,32626,IH0000,2020,3
795,0.6391780195367637,30609,IH0000,2020,3
810,0.6339726572869899,30136,IH0000,2020,3
825,0.6475949193741967,29209,IH0000,2020,3
840,0.6421165510539516,29841,IH0000,2020,3
855,0.6415365903101912,29598,IH0000,2020,3
870,0.6152474783017113,29841,IH0000,2020,3
885,0.5119855887195048,32197,IH0000,2020,3
900,0.9999999999999432,16,IH0000,2020,3
690,1.0266666666667335,15,IH0000,2020,3
570,0.6437867282046779,37267,IC0000,2020,4
585,0.6460658397734723,36361,IC0000,2020,4
600,0.649449314452772,35592,IC0000,2020,4
615,0.6369772268502354,35173,IC0000,2020,4
630,0.6276364053187364,34896,IC0000,2020,4
645,0.6193115078212124,34394,IC0000,2020,4
660,0.6168847298039543,34623,IC0000,2020,4
675,0.6205492561552781,34483,IC0000,2020,4
690,0.9894736842105359,19,IC0000,2020,4
780,0.6117211455019677,34570,IC0000,2020,4
795,0.6000235508847037,33969,IC0000,2020,4
810,0.6119199433227851,33876,IC0000,2020,4
825,0.6228482003130594,33228,IC0000,2020,4
840,0.5972928725955285,34206,IC0000,2020,4
855,0.59858909649052,33879,IC0000,2020,4
870,0.5765946472577915,34898,IC0000,2020,4
885,0.4932736169860872,36171,IC0000,2020,4
900,1.0000000000000957,19,IC0000,2020,4
570,0.43959464937174064,37005,IF0000,2020,4
585,0.43210190378827407,36191,IF0000,2020,4
600,0.434653913634086,35338,IF0000,2020,4
615,0.42847330447334153,34650,IF0000,2020,4
630,0.41824685900422404,34384,IF0000,2020,4
645,0.4314469510568645,33733,IF0000,2020,4
660,0.4333832156111917,33412,IF0000,2020,4
675,0.43158403577150944,33099,IF0000,2020,4
690,0.5684210526315885,19,IF0000,2020,4
780,0.4230457270483546,34028,IF0000,2020,4
795,0.4111809797580902,33396,IF0000,2020,4
810,0.4171238469681343,33065,IF0000,2020,4
825,0.41827499456473993,32197,IF0000,2020,4
840,0.423855299014801,33393,IF0000,2020,4
855,0.4360154866592989,33319,IF0000,2020,4
870,0.4336119717075231,34214,IF0000,2020,4
885,0.36581506791056306,35267,IF0000,2020,4
900,0.6631578947368134,19,IF0000,2020,4
570,0.5037266341231431,33596,IH0000,2020,4
585,0.4878088216272327,30924,IH0000,2020,4
600,0.48456690707935046,28562,IH0000,2020,4
615,0.47209561508014625,26021,IH0000,2020,4
630,0.450043884754837,26205,IH0000,2020,4
645,0.4460757301424951,25406,IH0000,2020,4
660,0.4594850279697415,24312,IH0000,2020,4
675,0.469105077928622,23868,IH0000,2020,4
690,0.9500000000000455,12,IH0000,2020,4
780,0.44358083542054977,24754,IH0000,2020,4
795,0.43011078414402804,23108,IH0000,2020,4
810,0.4284374614404054,24313,IH0000,2020,4
825,0.4279651110511728,22242,IH0000,2020,4
840,0.4399189379213529,24179,IH0000,2020,4
855,0.4569695427165657,23574,IH0000,2020,4
870,0.4357157970462688,23631,IH0000,2020,4
885,0.3927795954789156,26896,IH0000,2020,4
900,0.7799999999999272,10,IH0000,2020,4
570,0.6405674293067926,31863,IC0000,2020,5
585,0.5942546133780647,31051,IC0000,2020,5
600,0.6183833072648685,30049,IC0000,2020,5
615,0.6058321040173462,29149,IC0000,2020,5
630,0.579477611940374,28944,IC0000,2020,5
645,0.5754070508283268,28252,IC0000,2020,5
660,0.5684349212953925,28842,IC0000,2020,5
675,0.5768209865904312,29009,IC0000,2020,5
690,0.6444444444445657,9,IC0000,2020,5
780,0.5863027666372793,29422,IC0000,2020,5
795,0.5618488988796433,28471,IC0000,2020,5
810,0.5713667175356364,28177,IC0000,2020,5
825,0.5565977571567406,27911,IC0000,2020,5
840,0.5471934754301199,29182,IC0000,2020,5
855,0.5457604773800312,28824,IC0000,2020,5
870,0.5504405584926753,29508,IC0000,2020,5
885,0.44250930217387396,30638,IC0000,2020,5
900,0.41428571428579225,14,IC0000,2020,5
570,0.4338087591700919,31761,IF0000,2020,5
585,0.40387252661140977,30626,IF0000,2020,5
600,0.41786983450099496,29547,IF0000,2020,5
615,0.4053770630256805,28417,IF0000,2020,5
630,0.4058846275530233,28447,IF0000,2020,5
645,0.4052503363269702,27503,IF0000,2020,5
660,0.40962918019917444,28019,IF0000,2020,5
675,0.40957112223019637,27980,IF0000,2020,5
690,0.5571428571428052,14,IF0000,2020,5
780,0.40162257495594833,28350,IF0000,2020,5
795,0.3901480328640538,27629,IF0000,2020,5
810,0.3833867698544644,27135,IF0000,2020,5
825,0.3948666443477553,26883,IF0000,2020,5
840,0.3895437943135683,27926,IF0000,2020,5
855,0.4077102384795016,27885,IF0000,2020,5
870,0.4091955612403989,28927,IF0000,2020,5
885,0.3489797283736352,29894,IF0000,2020,5
900,0.7384615384615315,13,IF0000,2020,5
570,0.4781654627232083,29348,IH0000,2020,5
585,0.4525737602008981,25488,IH0000,2020,5
600,0.44957083443944085,22602,IH0000,2020,5
615,0.44638299985105817,20141,IH0000,2020,5
630,0.43699659386897044,19964,IH0000,2020,5
645,0.4186049052275059,18307,IH0000,2020,5
660,0.41849723174268333,18965,IH0000,2020,5
