code,year,month,S,sum,sumsq,n
IC0000,2020,1,0,-54.2999999999638,59926.20999999899,3693
IC0000,2020,1,10,445.89999999994325,50468.2499999994,3693
IC0000,2020,1,20,402.8999999999951,49214.269999999604,3693
IC0000,2020,1,30,268.89999999998327,51170.0299999994,3693
IC0000,2020,1,40,38.49999999996271,55089.289999999186,3693
IC0000,2020,1,50,-73.09999999992488,59290.54999999917,3693
IF0000,2020,1,0,-112.20000000001664,19714.27999999997,3679
IF0000,2020,1,10,117.40000000006921,16117.639999999925,3679
IF0000,2020,1,20,101.60000000000582,16134.34000000008,3679
IF0000,2020,1,30,200.19999999998709,16688.02000000032,3679
IF0000,2020,1,40,94.60000000002265,18399.400000000038,3679
IF0000,2020,1,50,87.1000000000563,19870.509999999966,3679
IH0000,2020,1,0,-154.6999999999921,8758.890000000172,3630
IH0000,2020,1,10,-37.799999999960164,7139.920000000075,3630
IH0000,2020,1,20,-8.699999999994361,6934.110000000008,3630
IH0000,2020,1,30,62.09999999998536,7349.890000000095,3630
IH0000,2020,1,40,52.9000000000342,7853.210000000169,3630
IH0000,2020,1,50,-1.3000000000033651,8653.970000000158,3630
IC0000,2020,2,0,-3269.69999999999,29179394.929999966,4521
IC0000,2020,2,10,142.50000000000273,23360857.61,4521
IC0000,2020,2,20,-4330.800000000013,34891264.64000026,4521
IC0000,2020,2,30,-2117.7000000000507,29088855.930000056,4521
IC0000,2020,2,40,-7059.89999999998,40647123.76999983,4521
IC0000,2020,2,50,79.19999999999345,11711633.859999996,4521
IF0000,2020,2,0,-1908.2999999999756,3288392.9499999927,4608
IF0000,2020,2,10,-1355.0999999999813,3274006.7299999865,4608
IF0000,2020,2,20,-1354.099999999953,3269321.809999999,4608
IF0000,2020,2,30,-1462.800000000011,3288477.980000012,4608
IF0000,2020,2,40,-1449.2000000000157,3288661.1600000025,4608
IF0000,2020,2,50,-1545.0000000000246,3289413.759999987,4608
IH0000,2020,2,0,136.30000000000155,20661.10999999973,4570
IH0000,2020,2,10,357.1999999999707,16977.15999999979,4570
IH0000,2020,2,20,264.69999999997526,16991.969999999837,4570
IH0000,2020,2,30,185.00000000002956,17549.819999999858,4570
IH0000,2020,2,40,121.19999999996026,19054.81999999984,4570
IH0000,2020,2,50,25.600000000010823,20166.019999999968,4570
IC0000,2020,3,0,-555.2000000000635,241967.81999999745,5118
IC0000,2020,3,10,473.2000000000453,195450.21999999692,5118
IC0000,2020,3,20,187.20000000000437,210331.8999999989,5118
IC0000,2020,3,30,-11.999999999968168,231001.55999999828,5118
IC0000,2020,3,40,-406.3999999999696,240409.69999999783,5118
IC0000,2020,3,50,-1049.0999999999758,247316.24999999884,5118
IF0000,2020,3,0,36.299999999965166,94520.10999999905,5088
IF0000,2020,3,10,629.399999999981,76789.31999999932,5088
IF0000,2020,3,20,376.9000000000033,81380.52999999947,5088
IF0000,2020,3,30,199.90000000000327,89890.24999999958,5088
IF0000,2020,3,40,-69.10000000000309,94283.06999999972,5088
IF0000,2020,3,50,-522.2999999999697,98697.18999999929,5088
IH0000,2020,3,0,-76.30000000004475,45301.849999999366,5065
IH0000,2020,3,10,482.40000000003147,36330.399999999354,5065
IH0000,2020,3,20,269.099999999984,38368.88999999928,5065
IH0000,2020,3,30,135.2999999999911,42084.88999999927,5065
IH0000,2020,3,40,-161.79999999997153,43000.059999999445,5065
IH0000,2020,3,50,-554.7000000000207,45238.84999999927,5065
IC0000,2020,4,0,-8.500000000046384,59025.0499999993,4865
IC0000,2020,4,10,11.299999999965621,56983.44999999914,4865
IC0000,2020,4,20,77.29999999995471,61604.35000000004,4865
IC0000,2020,4,30,-59.80000000002474,63262.8999999991,4865
IC0000,2020,4,40,-199.800000000012,63440.279999999104,4865
IC0000,2020,4,50,-360.6000000000222,63264.15999999895,4865
IF0000,2020,4,0,165.50000000001774,18464.809999999758,4810
IF0000,2020,4,10,152.49999999992815,17472.969999999972,4810
IF0000,2020,4,20,-7.999999999967713,18806.53999999982,4810
IF0000,2020,4,30,-94.00000000000227,19075.27999999986,4810
IF0000,2020,4,40,-254.70000000002483,19359.869999999857,4810
IF0000,2020,4,50,-276.900000000001,19577.26999999972,4810
IH0000,2020,4,0,186.6999999999889,8239.190000000073,4748
IH0000,2020,4,10,241.99999999999454,7810.780000000162,4748
IH0000,2020,4,20,117.50000000002092,8211.870000000252,4748
IH0000,2020,4,30,23.200000000001637,8246.680000000135,4748
IH0000,2020,4,40,-95.299999999987,8537.33000000013,4748
IH0000,2020,4,50,-172.80000000000655,8655.04000000021,4748
IC0000,2020,5,0,-319.1999999999789,39656.27999999954,4177
IC0000,2020,5,10,119.99999999994725,36052.699999999924,4177
IC0000,2020,5,20,365.59999999999764,39393.319999999396,4177
IC0000,2020,5,30,532.1000000000131,42632.68999999961,4177
IC0000,2020,5,40,530.5999999999449,41811.75999999952,4177
IC0000,2020,5,50,342.19999999999436,41917.53999999931,4177
IF0000,2020,5,0,85.69999999999663,11959.370000000023,4109
IF0000,2020,5,10,223.60000000001764,10705.359999999979,4109
IF0000,2020,5,20,211.90000000000828,11314.33000000013,4109
IF0000,2020,5,30,259.90000000001874,11776.909999999982,4109
IF0000,2020,5,40,288.6999999999821,11801.349999999997,4109
IF0000,2020,5,50,142.09999999999582,12347.930000000088,4109
IH0000,2020,5,0,168.4000000000151,5876.140000000009,4046
IH0000,2020,5,10,170.10000000000764,5485.290000000012,4046
IH0000,2020,5,20,203.0999999999758,5652.750000000073,4046
IH0000,2020,5,30,144.09999999999036,5850.430000000017,4046
IH0000,2020,5,40,164.79999999999927,5787.740000000094,4046
IH0000,2020,5,50,60.499999999983174,5956.510000000039,4046
IC0000,2020,6,0,126.60000000004038,38218.39999999951,4617
IC0000,2020,6,10,106.59999999998581,36805.259999999675,4617
IC0000,2020,6,20,68.40000000001601,37126.73999999937,4617
IC0000,2020,6,30,211.70000000000528,37776.10999999951,4617
IC0000,2020,6,40,-32.700000000041655,38357.449999999786,4617
IC0000,2020,6,50,-208.59999999999854,38881.89999999996,4617
IF0000,2020,6,0,47.99999999996726,15423.759999999991,4571
IF0000,2020,6,10,18.50000000000591,13702.649999999954,4571
IF0000,2020,6,20,-25.700000000034834,13418.850000000088,4571
IF0000,2020,6,30,-33.80000000002428,13852.219999999945,4571
IF0000,2020,6,40,-141.6000000000081,14028.840000000077,4571
IF0000,2020,6,50,-308.99999999997453,15315.719999999941,4571
IH0000,2020,6,0,12.499999999997726,7601.250000000161,4515
IH0000,2020,6,10,43.99999999998863,7079.560000000114,4515
IH0000,2020,6,20,-12.600000000007185,6780.480000000077,4515
IH0000,2020,6,30,-26.500000000015007,6817.250000000068,4515
IH0000,2020,6,40,-103.89999999998327,6770.970000000111,4515
IH0000,2020,6,50,-233.9999999999477,7563.780000000094,4515
IC0000,2020,7,0,11.799999999918327,347045.87999999884,5350
IC0000,2020,7,10,475.79999999995107,307414.6599999975,5350
IC0000,2020,7,20,145.90000000004056,322364.7099999987,5350
IC0000,2020,7,30,-281.4999999999827,333980.75000000006,5350
IC0000,2020,7,40,-208.80000000001473,340600.3599999987,5350
IC0000,2020,7,50,-350.8000000000311,349989.45999999845,5350
IF0000,2020,7,0,-972.2999999999884,147627.74999999796,5340
IF0000,2020,7,10,39.19999999992979,124332.55999999864,5340
IF0000,2020,7,20,178.4000000000624,126842.19999999738,5340
IF0000,2020,7,30,105.10000000002583,134596.64999999932,5340
IF0000,2020,7,40,25.899999999953252,139995.24999999814,5340
IF0000,2020,7,50,-8.9999999999809,147195.0399999982,5340
IH0000,2020,7,0,-2573.600000000053,8950607.740000023,5311
IH0000,2020,7,10,1581.3000000000325,3012056.53000001,5311
IH0000,2020,7,20,1682.3000000000097,3015524.1500000027,5311
IH0000,2020,7,30,-5013.600000000019,8933733.26000004,5311
IH0000,2020,7,40,-7070.299999999974,11897066.230000021,5311
IH0000,2020,7,50,-5408.500000000031,8942086.449999975,5311
IC0000,2020,8,0,-474.8000000000211,183833.91999999853,4882
IC0000,2020,8,10,-665.5999999999913,176556.81999999844,4882
IC0000,2020,8,20,-498.0000000000373,191772.15999999866,4882
IC0000,2020,8,30,-103.69999999996071,187482.96999999764,4882
IC0000,2020,8,40,-307.00000000002274,181809.05999999956,4882
IC0000,2020,8,50,-419.5000000000291,188448.78999999858,4882
IF0000,2020,8,0,-92.4999999999909,75561.94999999831,4874
IF0000,2020,8,10,-421.40000000003874,73418.17999999879,4874
IF0000,2020,8,20,-515.3999999999787,76688.39999999845,4874
IF0000,2020,8,30,-395.69999999999163,75823.10999999857,4874
IF0000,2020,8,40,-467.60000000001946,74593.7999999985,4874
IF0000,2020,8,50,-541.199999999998,78870.53999999817,4874
IH0000,2020,8,0,-34.60000000002856,33629.29999999934,4843
IH0000,2020,8,10,-120.80000000002474,31463.73999999939,4843
IH0000,2020,8,20,-217.70000000001164,32333.689999999406,4843
IH0000,2020,8,30,-130.90000000003965,32703.62999999939,4843
IH0000,2020,8,40,-162.59999999995625,31660.879999999266,4843
IH0000,2020,8,50,-321.50000000004,34008.80999999934,4843
IC0000,2020,9,0,384.59999999994943,121782.27999999843,5112
IC0000,2020,9,10,-43.10000000004766,121690.22999999962,5112
IC0000,2020,9,20,322.99999999999545,128332.69999999936,5112
IC0000,2020,9,30,393.09999999995307,130043.42999999825,5112
IC0000,2020,9,40,657.2000000000899,129300.51999999778,5112
IC0000,2020,9,50,357.09999999996217,123661.14999999822,5112
IF0000,2020,9,0,-202.10000000001855,47695.369999999115,5077
IF0000,2020,9,10,-227.19999999996344,45224.85999999892,5077
IF0000,2020,9,20,-76.20000000001528,46904.879999999146,5077
IF0000,2020,9,30,33.399999999963256,48237.91999999916,5077
IF0000,2020,9,40,26.400000000000546,48397.099999998994,5077
IF0000,2020,9,50,-66.50000000005912,48138.78999999906,5077
IH0000,2020,9,0,-206.4000000000433,20902.57999999983,5053
IH0000,2020,9,10,-215.09999999999354,20374.809999999452,5053
IH0000,2020,9,20,-41.50000000002683,20383.88999999955,5053
IH0000,2020,9,30,103.39999999997735,20758.199999999644,5053
IH0000,2020,9,40,106.09999999996762,21090.74999999976,5053
IH0000,2020,9,50,-13.600000000018099,21339.73999999957,5053
IC0000,2020,10,0,-264.90000000003147,62461.06999999909,3708
IC0000,2020,10,10,87.70000000000618,59922.42999999852,3708
IC0000,2020,10,20,-171.60000000004402,62041.59999999939,3708
IC0000,2020,10,30,-135.50000000002274,59469.569999999185,3708
IC0000,2020,10,40,-267.700000000008,58614.8099999997,3708
IC0000,2020,10,50,-331.1999999999807,59249.25999999912,3708
IF0000,2020,10,0,-131.00000000008004,27037.93999999989,3677
IF0000,2020,10,10,99.40000000000146,24372.019999999946,3677
IF0000,2020,10,20,169.00000000001182,23621.22000000007,3677
IF0000,2020,10,30,216.79999999999836,23399.499999999858,3677
