code,year,month,F,X,sum,sumsq,n
IC0000,2020,1,30,60,696.8999999999442,28830.910000000404,3706
IC0000,2020,1,30,80,889.6000000000049,37620.880000000354,3703
IC0000,2020,1,30,100,1141.9999999999973,46445.83999999994,3667
IC0000,2020,1,30,110,1218.600000000024,51610.8000000003,3634
IC0000,2020,1,30,120,1151.4999999999409,57446.84999999961,3573
IC0000,2020,1,30,140,1067.699999999978,67813.25000000038,3310
IC0000,2020,1,30,160,1164.200000000008,73070.85999999983,2912
IC0000,2020,1,30,180,1193.4999999999927,70320.63000000043,2388
IC0000,2020,1,30,200,1051.6999999999534,60113.19000000034,1663
IC0000,2020,1,30,220,584.6000000000131,36659.70000000049,770
IC0000,2020,1,30,240,0.0,0.0,0
IC0000,2020,1,40,60,755.4999999999263,28925.870000000683,3706
IC0000,2020,1,40,80,945.399999999986,36010.36000000057,3703
IC0000,2020,1,40,100,1197.7999999999765,45175.8400000002,3667
IC0000,2020,1,40,110,1277.400000000005,50399.04000000079,3634
IC0000,2020,1,40,120,1188.8999999999314,56466.61000000045,3573
IC0000,2020,1,40,140,1102.4999999999554,68012.57000000143,3310
IC0000,2020,1,40,160,1095.199999999999,73259.78000000113,2912
IC0000,2020,1,40,180,1113.2999999999756,70333.11000000063,2388
IC0000,2020,1,40,200,928.8999999999633,59198.83000000012,1663
IC0000,2020,1,40,220,444.39999999997053,35666.2200000003,770
IC0000,2020,1,40,240,0.0,0.0,0
IC0000,2020,1,50,60,588.2999999999038,33935.30999999966,3706
IC0000,2020,1,50,80,775.1999999999653,38937.39999999982,3703
IC0000,2020,1,50,100,1038.399999999957,47885.35999999968,3667
IC0000,2020,1,50,110,1127.3999999999742,53179.39999999969,3634
IC0000,2020,1,50,120,1034.0999999998867,59208.329999999216,3573
IC0000,2020,1,50,140,925.8999999999114,71168.92999999969,3310
IC0000,2020,1,50,160,985.399999999916,75668.6599999994,2912
IC0000,2020,1,50,180,993.8999999999214,73131.34999999944,2388
IC0000,2020,1,50,200,844.8999999999196,60791.469999999674,1663
