code,Lbucket,s1_sum,s1_ss,s1_n,s3_sum,s3_ss,s3_n
IC0000,10,2.0000000000009095,4.560000000001164,8,3.0,3.799999999998181,8
IC0000,20,-26.599999999999454,138.55999999999713,89,2.9999999999990905,85.50000000003207,89
IC0000,30,-8.000000000008185,1163.400000000042,645,65.89999999999873,1188.47000000003,645
IC0000,40,-258.7000000000089,6260.250000000094,2381,300.5999999999931,5871.820000000211,2381
IC0000,50,-780.5000000000118,21518.629999999765,6183,953.9000000000469,19785.39000000079,6183
IC0000,60,-1857.2000000000144,55572.059999997306,12219,1957.0000000003147,52694.89999999968,12219
IC0000,70,-3100.500000000099,127547.00999999138,21242,9297.100000000166,23235910.869999938,21242
IC0000,80,-8210.300000000107,6865592.789999995,33688,3889.9000000002443,6849548.769999981,33688
IC0000,90,-8046.500000000346,14944938.229999855,51166,14794.500000000291,9151393.869999947,51166
IC0000,100,-15106.100000000104,47712905.56999965,76960,9906.899999999987,94304473.94999981,76960
IC0000,110,4840.09999999978,24067007.33000029,123325,36055.300000000876,23653335.30999981,123325
IC0000,120,12449.699999999919,9404936.030000003,21570,160.60000000011314,8834448.539999904,21570
IC0000,130,-42.39999999998963,1783.3999999998996,193,9.10000000000582,1778.5300000000718,193
IF0000,10,1.9000000000014552,1.8900000000012005,3,-1.9000000000014552,2.349999999998181,3
IF0000,20,-6.900000000006457,35.18999999998656,74,-2.0999999999862666,30.8900000000032,74
IF0000,30,-25.700000000011187,325.44999999997646,470,67.19999999996708,302.1000000000316,470
IF0000,40,-194.49999999999181,1738.3900000000392,1775,162.1000000000231,1757.049999999964,1775
IF0000,50,-618.8000000000134,6753.620000000249,4937,414.0000000000455,6155.420000000293,4937
IF0000,60,-1453.4000000001338,18001.55999999946,10836,1381.3999999999041,17609.760000000355,10836
IF0000,70,-2070.500000000099,40844.0699999967,19159,2925.600000000179,40801.739999999234,19159
IF0000,80,-4381.500000000012,84654.6699999904,31780,4214.799999999716,83971.43999999041,31780
IF0000,90,-8241.600000000011,4506999.140000004,50631,10269.899999999872,4507955.169999973,50631
IF0000,100,-10358.500000000395,371550.9099999755,79969,16698.800000000083,4694962.560000009,79969
IF0000,110,-1651.000000000523,28393176.319999956,125592,18838.79999999947,31225726.819999732,125592
IF0000,120,11807.899999999983,8074448.629999966,21810,-38.80000000007931,7823915.640000002,21810
IF0000,130,-8.599999999998545,840.5400000000064,197,33.70000000000482,780.2700000000012,197
IH0000,10,-20.299999999997908,98.39000000000331,306,4.900000000007367,70.55000000000247,306
IH0000,20,-66.89999999999964,654.7100000000065,1361,79.00000000000273,544.8600000000212,1361
IH0000,30,-316.4999999999859,2547.5100000000234,4097,278.40000000008376,2161.080000000066,4097
IH0000,40,-851.4999999999836,6670.730000000427,9390,512.199999999968,5755.100000000373,9390
IH0000,50,-1532.1999999999957,15057.919999999496,17878,1384.1000000000213,12798.790000000272,17878
IH0000,60,-2560.6000000000117,29734.779999996288,29193,2366.1000000000045,26095.929999997996,29193
IH0000,70,-3729.2000000000985,55240.85999999226,42372,3856.500000000025,48602.1899999955,42372
IH0000,80,-4925.799999999979,98119.37999998112,54723,5270.9,85729.26999997837,54723
IH0000,90,-4142.600000000247,163609.47999998272,62886,6016.600000000167,141279.45999997418,62886
IH0000,100,-2183.7999999999897,3230439.299999985,62506,8252.000000000115,12070261.179999527,62506
IH0000,110,6071.199999999859,6406012.119999837,53155,5982.100000000121,18129488.469999664,53155
IH0000,120,2051.899999999991,165542.82999999865,4964,-477.1000000000181,95546.6699999989,4964
IH0000,130,-0.7000000000007276,624.4699999999874,183,36.899999999999636,495.4699999999718,183
IM0000,10,-0.499999999998181,6.630000000000946,7,1.699999999999818,5.569999999998508,7
IM0000,20,-6.9999999999972715,87.3600000000059,76,-4.699999999999818,103.28999999999449,76
IM0000,30,-45.49999999999727,861.0899999999743,398,58.500000000009095,762.6699999999253,398
IM0000,40,-225.90000000000782,3645.2700000000386,1350,187.69999999998345,3251.0700000000675,1350
IM0000,50,-528.2000000000062,13454.479999999852,3237,547.5000000000491,11690.330000000076,3237
IM0000,60,-996.4999999999791,30954.02999999978,6229,1379.2000000000044,30212.900000000405,6229
IM0000,70,-2173.99999999997,71456.33999999717,10163,2526.8000000000757,71169.83999999995,10163
IM0000,80,-2634.29999999999,134666.64999999525,14962,3392.499999999992,129602.02999999677,14962
IM0000,90,-3817.299999999981,236588.84999998836,21461,4449.499999999946,233623.02999999168,21461
IM0000,100,-9787.60000000015,24130612.380000018,33504,15932.200000000157,24138052.879999816,33504
IM0000,110,-24080.30000000016,25771659.0099995,81706,25230.50000000059,34177860.689999595,81706
IM0000,120,7312.899999999787,38154872.37000004,32877,11931.500000000302,110906964.51000121,32877
IM0000,130,13.399999999990541,1446.5999999999929,127,-13.599999999992178,1603.0799999999717,127
