code,year,month,sum_K20,n_K20,sum_K42,n_K42,sum_K60,n_K60,sum_K90,n_K90,sum_close,n_close
IC0000,2020,1,589.2999999999929,3725,757.8999999999751,3710,589.6999999999653,3557,1.4999999999863576,2435,54.500000000009095,3725
IF0000,2020,1,409.4999999999941,3711,532.799999999962,3688,597.1999999999862,3612,225.8999999999919,2988,121.39999999998508,3711
IH0000,2020,1,273.4000000000028,3561,331.59999999999354,2960,252.20000000000073,2287,-111.99999999999591,776,172.900000000006,3677
IC0000,2020,2,6348.000000000001,4559,4719.799999999997,4559,-171.19999999998527,4554,3809.6999999999807,4215,3280.8000000000084,4559
IF0000,2020,2,975.9999999999486,4647,1247.7999999999993,4647,2968.6999999999716,4633,2374.7000000000035,4321,1928.1999999999694,4647
IH0000,2020,2,573.6000000000004,4603,491.3999999999819,4303,355.30000000002156,3679,-162.49999999999636,1649,-130.19999999999573,4610
IC0000,2020,3,2149.5000000000737,5162,2299.5000000000746,5162,2535.300000000043,5162,1195.8000000000684,5151,509.5000000000664,5162
IF0000,2020,3,1314.3999999999833,5128,1428.8000000000047,5128,1503.5000000000073,5128,537.3000000000238,5104,-92.99999999999227,5128
IH0000,2020,3,1024.7000000000185,5109,1147.6000000000167,5106,1045.4000000000074,5040,78.59999999999718,3695,78.30000000002246,5109
IC0000,2020,4,211.00000000001273,4907,575.8000000000147,4907,542.2000000000489,4907,203.00000000001455,4810,-2.1999999999743522,4907
IF0000,2020,4,131.99999999999545,4851,232.59999999995853,4851,226.699999999978,4850,-49.29999999998654,4615,-164.0000000000141,4851
IH0000,2020,4,108.09999999999854,4789,116.00000000002183,4699,62.400000000006,4181,-263.29999999999154,1661,-172.3999999999619,4790
IC0000,2020,5,460.0999999999631,4212,792.4999999999909,4211,1000.1999999999862,4210,579.3999999999751,4017,382.89999999998145,4212
IF0000,2020,5,171.60000000002265,4144,314.6000000000063,4143,349.30000000001246,4143,109.29999999999563,3809,-74.29999999998745,4144
IH0000,2020,5,55.799999999993815,4075,69.99999999999136,3880,-25.3999999999819,3180,-220.69999999999982,1078,-148.400000000011,4083
IC0000,2020,6,268.4999999999409,4657,483.69999999995343,4653,632.3999999999587,4611,111.89999999996417,4329,-96.80000000001837,4657
IF0000,2020,6,194.50000000003274,4611,400.0000000000464,4611,394.60000000003674,4610,116.80000000002292,4227,-34.899999999974625,4611
IH0000,2020,6,146.2000000000171,4535,251.8000000000302,4362,119.90000000003192,3737,-124.99999999999909,1352,7.2000000000189175,4555
IC0000,2020,7,2093.4000000000415,5396,2626.900000000095,5396,2407.9000000000806,5396,1298.5000000000719,5374,15.600000000119508,5396
IF0000,2020,7,2006.2999999999392,5385,2660.799999999982,5385,2682.8,5385,1759.199999999997,5377,1021.0000000000127,5385
IH0000,2020,7,4704.8000000000175,5357,5295.000000000054,5357,3607.50000000003,5344,-719.3999999999505,4534,2581.200000000033,5357
IC0000,2020,8,318.10000000001855,4923,1090.0000000000064,4923,1482.8999999999896,4923,989.6000000000104,4884,416.2999999999993,4923
IF0000,2020,8,111.89999999998781,4916,438.4999999999618,4916,613.8999999999933,4915,284.90000000000055,4868,37.49999999995907,4916
IH0000,2020,8,213.00000000002092,4884,394.39999999999964,4842,516.7000000000376,4704,-39.599999999988995,3408,-30.099999999983083,4884
IC0000,2020,9,-266.1000000000022,5156,276.2000000000153,5156,518.600000000044,5154,317.40000000003874,5065,-343.8999999999487,5156
IF0000,2020,9,220.39999999995507,5121,634.7999999999947,5121,699.9999999999955,5113,406.9999999999809,4930,257.3000000000029,5121
IH0000,2020,9,216.0000000000391,5091,493.90000000004284,4953,475.10000000002265,4702,-102.89999999997326,2800,204.9000000000392,5096
IC0000,2020,10,392.4999999999791,3740,740.1999999999862,3735,837.6999999999744,3677,456.2000000000062,3101,291.00000000000546,3740
IF0000,2020,10,309.5000000000646,3709,580.5000000000391,3683,470.40000000004966,3481,-100.79999999997563,2196,141.00000000001546,3709
IH0000,2020,10,122.00000000002274,3607,103.80000000002156,2768,-82.09999999997535,1612,-144.9000000000092,353,30.10000000003629,3694
IC0000,2020,11,754.9000000000442,4912,1210.8000000000065,4911,1357.5000000000346,4887,848.0000000000427,4248,820.1000000000276,4912
IF0000,2020,11,537.7999999999647,4894,857.5000000000337,4891,917.7000000000271,4807,390.8000000000011,3474,529.2999999999993,4894
IH0000,2020,11,301.000000000005,4851,478.79999999998836,4542,237.39999999998872,3587,-112.20000000000164,1483,226.59999999999627,4852
IC0000,2020,12,-23.10000000004311,5375,486.2000000000062,5372,578.6999999999825,5336,124.50000000001273,4946,-265.9000000000233,5375
IF0000,2020,12,348.40000000004784,5341,765.9000000000397,5333,755.6000000000131,5272,358.60000000004857,4832,226.00000000003638,5341
IH0000,2020,12,158.00000000003593,5326,498.100000000019,5262,450.5000000000082,5074,37.800000000007,3083,221.10000000004038,5329
IC0000,2021,1,499.10000000007403,4678,1217.0000000000591,4667,1267.2000000000535,4507,382.8000000000511,2985,497.2000000000644,4678
IF0000,2021,1,1162.2000000000153,4667,1769.0000000000045,4666,1772.8000000000166,4607,756.6999999999643,3349,822.9999999999891,4667
IH0000,2021,1,985.7000000000144,4674,1481.3000000000152,4658,1394.600000000015,4538,556.4999999999955,3177,693.8999999999901,4674
IC0000,2021,2,711.4000000000115,3507,1369.2999999999593,3505,1635.8999999999787,3448,1149.1000000000058,2687,922.7000000000135,3507
IF0000,2021,2,774.0999999999867,3514,1337.4999999999973,3513,1248.3000000000466,3483,667.0999999999485,2846,383.9000000000515,3514
IH0000,2021,2,563.50000000001,3489,703.5000000000114,3460,531.500000000015,3327,105.7000000000171,2275,42.800000000014734,3489
IC0000,2021,3,659.5999999999822,5380,973.9000000000096,5375,759.5000000000091,5339,-150.9000000000533,4740,-341.80000000001746,5380
IF0000,2021,3,933.5000000000182,5371,1127.199999999989,5371,1117.5000000000164,5371,691.0000000000118,5301,378.90000000000873,5371
IH0000,2021,3,457.999999999995,5367,748.7000000000021,5352,670.3000000000052,5270,96.60000000000582,3943,285.0000000000173,5367
IC0000,2021,4,64.49999999997817,4882,419.9999999999509,4746,364.90000000000146,4020,-26.400000000025102,1815,-11.500000000010004,4883
IF0000,2021,4,105.10000000000673,4878,588.0999999999922,4873,626.7000000000053,4842,189.60000000005311,4432,-249.6000000000322,4878
IH0000,2021,4,98.20000000001028,4838,418.9000000000183,4743,416.400000000001,4466,49.70000000001528,2642,147.70000000003756,4844
IC0000,2021,5,76.20000000001164,4209,300.6000000000158,4193,209.70000000004802,4044,-359.299999999952,2556,-403.89999999998963,4209
IF0000,2021,5,333.6000000000349,4215,460.69999999999527,4215,320.6000000000349,4187,-98.900000000006,3724,-394.19999999996344,4215
IH0000,2021,5,156.2999999999929,4181,185.1000000000122,4156,180.0000000000323,3926,-178.00000000000682,2552,-135.19999999999345,4181
IC0000,2021,6,-32.300000000032014,4899,411.39999999995325,4860,441.79999999998745,4551,-22.300000000010186,3032,84.29999999998472,4899
IF0000,2021,6,347.69999999995343,4901,780.4999999999782,4893,797.8999999999924,4848,515.8000000000384,4360,291.2999999999947,4901
IH0000,2021,6,206.4000000000101,4875,484.6999999999848,4864,562.9000000000296,4754,112.79999999998654,3176,295.9999999999982,4875
IC0000,2021,7,350.20000000005075,5144,1162.500000000031,5112,1013.00000000004,4816,410.00000000000637,2903,432.5000000000282,5144
