code,cnt,n_minutes
IC0000,1,1947
IC0000,5,1
IC0000,7,2
IC0000,8,2
IC0000,9,4
IC0000,10,2
IC0000,11,6
IC0000,12,7
IC0000,13,4
IC0000,14,6
IC0000,15,9
IC0000,16,14
IC0000,17,3
IC0000,18,9
IC0000,19,14
IC0000,20,16
IC0000,21,12
IC0000,22,10
IC0000,23,13
IC0000,24,25
IC0000,25,17
IC0000,26,17
IC0000,27,15
IC0000,28,18
IC0000,29,28
IC0000,30,42
IC0000,31,48
IC0000,32,48
IC0000,33,43
IC0000,34,62
IC0000,35,80
IC0000,36,81
IC0000,37,91
IC0000,38,104
IC0000,39,132
IC0000,40,129
IC0000,41,167
IC0000,42,187
IC0000,43,202
IC0000,44,243
IC0000,45,235
IC0000,46,249
IC0000,47,326
IC0000,48,355
IC0000,49,382
IC0000,50,437
IC0000,51,432
IC0000,52,494
IC0000,53,555
IC0000,54,584
IC0000,55,630
IC0000,56,755
IC0000,57,734
IC0000,58,855
IC0000,59,880
IC0000,60,936
IC0000,61,989
IC0000,62,1017
IC0000,63,1153
IC0000,64,1247
IC0000,65,1305
IC0000,66,1323
IC0000,67,1479
IC0000,68,1445
IC0000,69,1674
IC0000,70,1738
IC0000,71,1789
IC0000,72,1886
IC0000,73,2042
IC0000,74,2096
IC0000,75,2271
IC0000,76,2292
IC0000,77,2398
IC0000,78,2599
IC0000,79,2735
IC0000,80,2869
IC0000,81,2954
IC0000,82,3027
IC0000,83,3090
IC0000,84,3408
IC0000,85,3538
IC0000,86,3668
IC0000,87,3844
IC0000,88,3998
IC0000,89,4084
IC0000,90,4329
IC0000,91,4510
IC0000,92,4831
IC0000,93,4762
IC0000,94,5285
IC0000,95,5286
IC0000,96,5453
IC0000,97,5659
IC0000,98,6038
IC0000,99,6207
IC0000,100,6545
IC0000,101,6747
IC0000,102,7114
IC0000,103,7242
IC0000,104,7733
IC0000,105,7894
IC0000,106,8290
IC0000,107,8718
IC0000,108,9032
IC0000,109,9381
IC0000,110,9682
IC0000,111,10182
IC0000,112,10769
IC0000,113,11488
IC0000,114,12009
IC0000,115,12530
IC0000,116,13282
IC0000,117,14189
IC0000,118,15337
IC0000,119,17607
IC0000,120,23272
IC0000,121,184
IC0000,122,87
IC0000,123,46
IC0000,124,31
IC0000,125,18
IC0000,126,11
IC0000,127,10
IC0000,128,8
IC0000,129,2
IC0000,130,10
IC0000,131,7
IC0000,132,5
IC0000,133,9
IC0000,134,4
IC0000,135,6
IC0000,136,5
IC0000,137,9
IC0000,138,3
IC0000,139,1
IC0000,140,4
IC0000,141,3
IC0000,142,4
IC0000,143,1
IC0000,144,2
IC0000,145,5
IC0000,146,2
IC0000,147,3
IC0000,148,4
IC0000,149,2
IC0000,151,1
IC0000,152,2
IC0000,154,1
IC0000,158,1
IC0000,159,1
IC0000,162,1
IC0000,163,1
IC0000,164,1
IC0000,165,2
IC0000,166,1
IC0000,167,3
IC0000,168,1
IC0000,169,1
IC0000,171,1
IC0000,172,2
IC0000,173,2
IC0000,174,1
IC0000,175,1
IC0000,182,1
IC0000,184,1
IC0000,185,1
IC0000,186,1
IC0000,187,2
IC0000,188,3
IC0000,189,1
IC0000,190,1
IC0000,191,3
IC0000,192,2
IC0000,193,3
IC0000,194,2
IC0000,195,2
IC0000,196,1
IC0000,197,2
IC0000,198,2
IC0000,199,1
IC0000,201,1
IC0000,202,2
IC0000,203,2
IC0000,205,1
IC0000,207,3
IC0000,208,1
IC0000,209,3
IC0000,210,2
IC0000,211,3
IC0000,212,2
IC0000,214,2
IC0000,215,1
IC0000,217,2
IC0000,218,1
IC0000,220,1
IC0000,221,2
IC0000,222,1
IC0000,227,1
IC0000,229,2
IC0000,230,3
IC0000,233,1
IC0000,234,1
IC0000,237,2
IC0000,239,1
IC0000,241,1
IC0000,255,1
IC0000,259,1
IC0000,267,2
IC0000,278,1
IC0000,279,1
IC0000,283,1
IC0000,285,1
IC0000,286,3
IC0000,289,1
IC0000,290,2
IC0000,291,1
IC0000,292,2
IC0000,295,1
IC0000,297,1
IC0000,299,1
IC0000,300,1
IC0000,301,1
IC0000,306,1
IC0000,312,1
IF0000,1,2067
IF0000,17,1
IF0000,18,2
IF0000,19,1
IF0000,20,2
IF0000,21,5
IF0000,22,7
IF0000,23,5
IF0000,24,5
IF0000,25,5
IF0000,26,5
IF0000,27,10
IF0000,28,18
IF0000,29,19
IF0000,30,25
IF0000,31,21
IF0000,32,18
IF0000,33,40
IF0000,34,56
IF0000,35,47
IF0000,36,45
IF0000,37,67
IF0000,38,77
IF0000,39,101
IF0000,40,104
IF0000,41,113
IF0000,42,125
IF0000,43,166
IF0000,44,156
IF0000,45,188
IF0000,46,197
IF0000,47,210
IF0000,48,268
IF0000,49,330
IF0000,50,349
IF0000,51,366
IF0000,52,393
IF0000,53,465
IF0000,54,472
IF0000,55,496
IF0000,56,534
IF0000,57,633
IF0000,58,720
IF0000,59,722
IF0000,60,817
IF0000,61,894
IF0000,62,944
IF0000,63,979
IF0000,64,1057
IF0000,65,1207
IF0000,66,1195
IF0000,67,1313
IF0000,68,1412
IF0000,69,1450
IF0000,70,1518
IF0000,71,1628
IF0000,72,1770
IF0000,73,1801
IF0000,74,1945
IF0000,75,2078
IF0000,76,2148
IF0000,77,2212
IF0000,78,2397
IF0000,79,2466
IF0000,80,2713
IF0000,81,2693
IF0000,82,2897
IF0000,83,2961
IF0000,84,3197
IF0000,85,3268
IF0000,86,3589
IF0000,87,3757
IF0000,88,3799
IF0000,89,3966
IF0000,90,4233
IF0000,91,4448
IF0000,92,4589
IF0000,93,4793
IF0000,94,4984
IF0000,95,5300
IF0000,96,5610
IF0000,97,5860
IF0000,98,6161
IF0000,99,6280
IF0000,100,6710
IF0000,101,7009
IF0000,102,7303
IF0000,103,7781
IF0000,104,7989
IF0000,105,8332
IF0000,106,8851
IF0000,107,9008
IF0000,108,9522
IF0000,109,9860
IF0000,110,10338
IF0000,111,10951
IF0000,112,11121
IF0000,113,11719
IF0000,114,12237
IF0000,115,12739
IF0000,116,13463
IF0000,117,14546
IF0000,118,15344
IF0000,119,17506
IF0000,120,23763
IF0000,121,266
IF0000,122,132
IF0000,123,40
IF0000,124,16
IF0000,125,16
IF0000,126,7
IF0000,127,5
IF0000,128,8
IF0000,129,10
IF0000,130,7
IF0000,131,8
IF0000,132,9
IF0000,133,10
IF0000,134,10
IF0000,135,4
IF0000,136,5
IF0000,137,3
IF0000,138,8
IF0000,139,6
IF0000,140,6
IF0000,141,3
IF0000,142,2
IF0000,143,8
IF0000,144,3
IF0000,145,3
IF0000,146,5
IF0000,147,4
IF0000,148,3
IF0000,149,3
IF0000,150,4
IF0000,152,6
IF0000,153,4
IF0000,154,1
IF0000,155,1
IF0000,156,5
IF0000,157,4
IF0000,158,3
IF0000,160,2
IF0000,161,1
IF0000,162,2
IF0000,163,1
IF0000,165,3
IF0000,166,2
IF0000,172,4
IF0000,173,1
IF0000,174,1
IF0000,179,1
IF0000,180,1
IF0000,188,1
IF0000,189,1
IF0000,191,1
IF0000,194,1
IF0000,200,1
IF0000,201,1
IF0000,203,1
IF0000,209,2
IF0000,218,1
IF0000,219,1
IF0000,221,2
IF0000,222,1
IF0000,226,1
IF0000,227,1
IF0000,260,1
IF0000,277,1
IF0000,278,1
IF0000,279,1
IF0000,283,1
IF0000,286,1
IF0000,289,1
IF0000,296,1
IF0000,299,1
IF0000,300,2
IF0000,301,1
IF0000,302,3
IF0000,303,2
IF0000,305,1
IF0000,307,3
IF0000,308,2
IF0000,309,1
IF0000,310,2
IF0000,311,1
IF0000,312,2
IF0000,313,1
IF0000,316,2
IF0000,318,1
IF0000,322,1
IF0000,323,1
IH0000,1,1771
IH0000,3,1
IH0000,4,2
IH0000,5,1
IH0000,6,2
IH0000,7,8
IH0000,8,9
IH0000,9,5
IH0000,10,7
IH0000,11,8
IH0000,12,14
IH0000,13,21
IH0000,14,24
IH0000,15,24
IH0000,16,34
IH0000,17,51
IH0000,18,57
IH0000,19,76
IH0000,20,73
IH0000,21,73
IH0000,22,94
IH0000,23,112
IH0000,24,127
IH0000,25,150
IH0000,26,187
IH0000,27,186
IH0000,28,209
IH0000,29,226
IH0000,30,237
IH0000,31,329
IH0000,32,348
IH0000,33,350
IH0000,34,392
IH0000,35,479
IH0000,36,482
IH0000,37,510
IH0000,38,578
IH0000,39,641
IH0000,40,659
IH0000,41,735
IH0000,42,816
IH0000,43,904
IH0000,44,976
IH0000,45,972
IH0000,46,1107
IH0000,47,1202
IH0000,48,1297
IH0000,49,1334
IH0000,50,1480
IH0000,51,1483
IH0000,52,1703
IH0000,53,1685
IH0000,54,1806
IH0000,55,1954
IH0000,56,2081
IH0000,57,2086
IH0000,58,2322
IH0000,59,2256
IH0000,60,2514
IH0000,61,2553
IH0000,62,2702
IH0000,63,2873
IH0000,64,2894
IH0000,65,3110
IH0000,66,3283
IH0000,67,3528
IH0000,68,3643
IH0000,69,3602
IH0000,70,3878
IH0000,71,3907
IH0000,72,4074
IH0000,73,4178
IH0000,74,4434
IH0000,75,4664
IH0000,76,4591
IH0000,77,4815
IH0000,78,4883
IH0000,79,4943
IH0000,80,5185
IH0000,81,5235
IH0000,82,5514
IH0000,83,5553
IH0000,84,5752
IH0000,85,5781
IH0000,86,5916
IH0000,87,5896
IH0000,88,6102
IH0000,89,6167
IH0000,90,6305
IH0000,91,6617
IH0000,92,6468
IH0000,93,6454
IH0000,94,6539
IH0000,95,6675
IH0000,96,6574
IH0000,97,6620
IH0000,98,6591
IH0000,99,6619
IH0000,100,6610
IH0000,101,6718
IH0000,102,6501
IH0000,103,6600
IH0000,104,6434
IH0000,105,6628
IH0000,106,6585
IH0000,107,6414
IH0000,108,6229
IH0000,109,6186
IH0000,110,6307
IH0000,111,6049
IH0000,112,5894
IH0000,113,5798
IH0000,114,5607
IH0000,115,5536
IH0000,116,5460
IH0000,117,5234
IH0000,118,5119
IH0000,119,5423
IH0000,120,6193
IH0000,121,184
IH0000,122,97
IH0000,123,36
IH0000,124,26
IH0000,125,12
IH0000,126,12
IH0000,127,7
IH0000,128,3
IH0000,129,2
IH0000,130,2
IH0000,131,6
IH0000,132,1
IH0000,133,5
IH0000,134,4
IH0000,135,3
IH0000,136,1
IH0000,138,4
IH0000,139,1
IH0000,140,5
IH0000,141,1
IH0000,142,1
IH0000,143,1
IH0000,144,1
IH0000,145,1
IH0000,146,2
IH0000,147,2
IH0000,149,1
IH0000,150,1
IH0000,153,1
IH0000,154,4
IH0000,155,2
IH0000,156,1
IH0000,157,1
IH0000,158,1
IH0000,159,1
IH0000,160,1
IH0000,161,2
IH0000,162,2
IH0000,163,1
IH0000,165,2
IH0000,168,2
IH0000,169,1
IH0000,170,2
IH0000,171,1
IH0000,174,1
IH0000,175,2
IH0000,176,2
IH0000,177,1
IH0000,178,1
IH0000,180,1
IH0000,181,2
IH0000,182,2
IH0000,183,1
IH0000,187,2
IH0000,188,5
IH0000,189,1
IH0000,190,2
IH0000,192,1
IH0000,194,2
IH0000,195,3
IH0000,196,1
IH0000,197,2
IH0000,198,1
IH0000,201,3
IH0000,202,2
IH0000,203,4
IH0000,205,1
IH0000,206,2
IH0000,207,3
IH0000,209,2
IH0000,213,1
IH0000,214,1
IH0000,215,1
IH0000,216,1
IH0000,218,2
IH0000,219,1
IH0000,221,1
IH0000,222,1
IH0000,224,1
IH0000,229,1
IH0000,231,1
IH0000,232,1
IH0000,235,1
IH0000,242,2
IH0000,244,1
IH0000,247,1
IH0000,248,1
IH0000,253,1
IH0000,254,1
IH0000,256,1
IH0000,258,1
IH0000,264,2
IH0000,266,1
IH0000,267,2
IH0000,268,1
IH0000,270,1
IH0000,271,1
IH0000,273,1
IH0000,274,2
IH0000,276,2
IH0000,277,1
IH0000,279,1
IH0000,281,1
IH0000,284,1
IH0000,285,2
IH0000,286,1
IH0000,287,1
IH0000,289,1
IH0000,291,1
IH0000,294,1
IH0000,295,3
IH0000,298,3
IH0000,299,1
IH0000,303,1
IH0000,305,1
IH0000,306,1
IH0000,307,1
IH0000,308,1
IH0000,309,2
IH0000,310,1
IH0000,311,2
IH0000,312,2
IH0000,313,1
IH0000,316,2
IH0000,318,1
IH0000,323,1
IH0000,325,1
IH0000,326,1
IH0000,330,1
IH0000,340,1
IH0000,343,1
IH0000,344,1
IH0000,368,1
IH0000,404,1
IH0000,422,1
IM0000,1,1243
IM0000,11,1
IM0000,16,1
IM0000,17,1
IM0000,18,1
IM0000,19,3
IM0000,21,3
IM0000,22,4
IM0000,23,4
IM0000,24,7
IM0000,25,13
IM0000,26,12
IM0000,27,10
IM0000,28,13
IM0000,29,22
IM0000,30,20
IM0000,31,26
IM0000,32,36
IM0000,33,22
IM0000,34,47
IM0000,35,57
IM0000,36,42
IM0000,37,62
IM0000,38,48
IM0000,39,78
IM0000,40,84
IM0000,41,97
IM0000,42,118
IM0000,43,101
IM0000,44,114
IM0000,45,172
IM0000,46,167
IM0000,47,171
IM0000,48,193
IM0000,49,204
IM0000,50,199
IM0000,51,224
IM0000,52,252
IM0000,53,307
IM0000,54,310
IM0000,55,361
IM0000,56,408
IM0000,57,362
IM0000,58,426
IM0000,59,504
IM0000,60,520
IM0000,61,547
IM0000,62,541
IM0000,63,577
IM0000,64,677
IM0000,65,611
IM0000,66,698
IM0000,67,684
IM0000,68,762
IM0000,69,800
IM0000,70,816
IM0000,71,870
IM0000,72,931
IM0000,73,969
