win,mean,n,code,year,month
570,-0.46067961165051013,206,IC0000,2020,1
585,-0.3193277310924332,238,IC0000,2020,1
600,-0.18143459915607593,237,IC0000,2020,1
615,-0.0064655172414341934,232,IC0000,2020,1
630,0.13333333333330802,237,IC0000,2020,1
645,-0.002092050209140329,239,IC0000,2020,1
660,-0.05708154506437456,233,IC0000,2020,1
675,0.27531380753133583,239,IC0000,2020,1
780,0.19758454106277382,207,IC0000,2020,1
795,-0.38290598290599226,234,IC0000,2020,1
810,-0.13221757322178168,239,IC0000,2020,1
825,0.2531914893617447,235,IC0000,2020,1
840,-0.08638297872343599,235,IC0000,2020,1
855,0.28143459915612506,237,IC0000,2020,1
870,0.035294117647057296,238,IC0000,2020,1
885,0.18117154811718983,239,IC0000,2020,1
570,-0.05194174757283231,206,IF0000,2020,1
585,-0.13571428571426356,238,IF0000,2020,1
600,0.022689075630250573,238,IF0000,2020,1
615,-0.18855932203389444,236,IF0000,2020,1
630,-0.08983050847455044,236,IF0000,2020,1
645,0.13617021276603486,235,IF0000,2020,1
660,-0.250000000000042,238,IF0000,2020,1
675,-0.008510638297874275,235,IF0000,2020,1
780,0.1592233009708592,206,IF0000,2020,1
795,-0.1974358974359083,234,IF0000,2020,1
810,0.0034782608695699624,230,IF0000,2020,1
825,0.09489361702129478,235,IF0000,2020,1
840,0.1828451882844705,239,IF0000,2020,1
855,0.010970464135034145,237,IF0000,2020,1
870,0.04786324786326652,234,IF0000,2020,1
885,-0.23846153846152562,234,IF0000,2020,1
570,0.1242718446601871,206,IH0000,2020,1
585,-0.11512605042019902,238,IH0000,2020,1
600,0.022746781115855236,233,IH0000,2020,1
615,-0.061764705882396125,238,IH0000,2020,1
630,-0.13690987124460044,233,IH0000,2020,1
645,0.016455696202537784,237,IH0000,2020,1
660,-0.12881355932199381,236,IH0000,2020,1
675,-0.00808510638296363,235,IH0000,2020,1
780,0.04801980198020162,202,IH0000,2020,1
795,-0.15414847161573522,229,IH0000,2020,1
810,-0.06410256410257188,234,IH0000,2020,1
825,-0.060775862068931805,232,IH0000,2020,1
840,-0.07748917748919756,231,IH0000,2020,1
855,-0.09260869565213714,230,IH0000,2020,1
870,0.1418103448275611,232,IH0000,2020,1
885,-0.17489177489179694,231,IH0000,2020,1
570,-1.105813953488341,258,IC0000,2020,2
585,-0.5063333333333473,300,IC0000,2020,2
600,-0.047491638795940386,299,IC0000,2020,2
615,-0.430536912751712,298,IC0000,2020,2
630,0.05117056856187047,299,IC0000,2020,2
645,-8.474204946996501,283,IC0000,2020,2
660,0.011660777385133943,283,IC0000,2020,2
675,0.5350877192982647,285,IC0000,2020,2
780,-0.3597560975610052,246,IC0000,2020,2
795,-0.2427586206896508,290,IC0000,2020,2
810,7.75919732441474,299,IC0000,2020,2
825,-0.28718861209964675,281,IC0000,2020,2
840,0.30633802816901406,284,IC0000,2020,2
855,-8.583508771929806,285,IC0000,2020,2
870,-0.5407017543859598,285,IC0000,2020,2
885,-0.144366197183137,284,IC0000,2020,2
570,-0.11019607843136506,255,IF0000,2020,2
585,-0.14334470989760317,293,IF0000,2020,2
600,0.20238095238097095,294,IF0000,2020,2
615,-0.07239057239058004,297,IF0000,2020,2
630,0.04410774410776524,297,IF0000,2020,2
645,-0.05033557046976356,298,IF0000,2020,2
660,-0.12466666666664877,300,IF0000,2020,2
675,0.36599326599325466,297,IF0000,2020,2
780,-0.13906249999998543,256,IF0000,2020,2
795,-0.22121212121213132,297,IF0000,2020,2
810,0.11178451178451117,297,IF0000,2020,2
825,-0.1377551020408318,294,IF0000,2020,2
840,0.014046822742489517,299,IF0000,2020,2
855,-0.026666666666671213,300,IF0000,2020,2
870,-6.120945945945919,296,IF0000,2020,2
885,-0.1490974729241966,277,IF0000,2020,2
570,0.11098039215686167,255,IH0000,2020,2
585,0.04463087248322056,298,IH0000,2020,2
600,0.087796610169498,295,IH0000,2020,2
615,-0.04778156996587807,293,IH0000,2020,2
630,-0.09965517241378087,290,IH0000,2020,2
645,0.0949152542372866,295,IH0000,2020,2
660,-0.10336700336701195,297,IH0000,2020,2
675,0.12601351351352796,296,IH0000,2020,2
780,0.006772908366536763,251,IH0000,2020,2
795,-0.0972696245733866,293,IH0000,2020,2
810,0.19246575342464445,292,IH0000,2020,2
825,-0.030240549828201197,291,IH0000,2020,2
840,0.13586206896552697,290,IH0000,2020,2
855,0.11030927835052921,291,IH0000,2020,2
870,0.018088737201362705,293,IH0000,2020,2
885,-0.09103448275862884,290,IH0000,2020,2
570,-0.5821052631578902,285,IC0000,2020,3
585,-1.09756097560977,328,IC0000,2020,3
600,-0.3975609756097328,328,IC0000,2020,3
615,0.037993920972575264,329,IC0000,2020,3
630,-0.6326219512195316,328,IC0000,2020,3
645,-0.2433333333333587,330,IC0000,2020,3
660,-0.2960486322188715,329,IC0000,2020,3
675,0.6229357798164799,327,IC0000,2020,3
780,0.13661971830980857,284,IC0000,2020,3
795,-0.17951070336393884,327,IC0000,2020,3
810,0.1987841945288881,329,IC0000,2020,3
825,0.27553516819574203,327,IC0000,2020,3
840,0.31743119266050096,327,IC0000,2020,3
855,-0.2692307692307972,325,IC0000,2020,3
870,0.4203647416413794,329,IC0000,2020,3
885,0.07757575757578349,330,IC0000,2020,3
