hm,t,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29,2024-03-01,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-04-01,2024-04-02,2024-04-03,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-29,2024-04-30,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31,2024-06-03,2024-06-04,2024-06-05,2024-06-06,2024-06-07,2024-06-11,2024-06-12,2024-06-13,2024-06-14,2024-06-17,2024-06-18,2024-06-19,2024-06-20,2024-06-21,2024-06-24,2024-06-25,2024-06-26,2024-06-27,2024-06-28,2024-07-01,2024-07-02,2024-07-03,2024-07-04,2024-07-05,2024-07-08,2024-07-09,2024-07-10,2024-07-11,2024-07-12,2024-07-15,2024-07-16,2024-07-17,2024-07-18,2024-07-19,2024-07-22,2024-07-23,2024-07-24,2024-07-25,2024-07-26,2024-07-29,2024-07-30,2024-07-31,2024-08-01,2024-08-02,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-18,2024-09-19,2024-09-20,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-30,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-28,2024-10-29,2024-10-30,2024-10-31,2024-11-01,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,2024-11-18,2024-11-19,2024-11-20,2024-11-21,2024-11-22,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-30,2024-12-31
09:30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09:31,2,39.067,1.762,75.201,-54.952,-80.754,-30.733,-79.707,-24.326,-28.830,1.219,-65.012,-57.384,-10.261,-57.571,-0.309,-99.035,71.545,41.438,-18.613,-35.610,25.347,-41.708,-25.313,-26.975,-29.177,-181.448,52.098,29.258,-31.690,-6.825,37.603,12.115,-37.930,-49.316,29.301,-39.189,33.421,9.108,30.782,32.637,-26.485,-23.070,,-30.133,-42.237,21.050,-47.287,-53.382,-57.955,-11.746,-5.897,14.263,-74.193,-11.102,-1.708,12.250,18.950,15.410,81.216,14.809,18.799,-17.515,-55.025,-16.502,14.958,-44.072,18.936,-24.527,-52.604,9.322,-21.427,9.315,51.750,32.288,0.857,11.586,39.077,-15.994,40.863,-27.750,3.853,31.147,77.318,-18.247,-49.478,-35.701,-22.371,-19.821,-17.390,-3.274,-20.489,37.540,-17.126,-3.890,10.510,33.821,-61.837,9.735,-51.697,-41.180,-33.924,-18.620,16.161,53.827,3.676,-0.566,-6.904,27.275,1.430,22.295,-54.194,-4.046,-20.659,12.772,-6.743,29.481,34.143,-30.641,-6.997,44.267,-10.488,72.274,-8.289,-40.899,16.741,-50.677,-9.875,18.574,6.100,5.776,1.157,-0.863,37.971,33.927,-37.993,1.774,-26.611,-7.992,31.840,68.503,-48.977,5.295,4.157,49.771,43.357,-53.531,22.111,-35.919,26.819,36.483,57.307,-39.953,46.248,37.396,-10.582,-37.724,-2.725,25.859,39.521,-48.741,-14.967,95.705,-90.264,-13.162,38.633,-33.059,-31.638,-54.358,16.952,-17.637,7.836,-36.428,-2.870,18.113,-32.778,80.602,-75.035,-5.505,39.834,60.294,200.425,,29.865,98.567,-54.145,-30.168,73.058,-66.332,64.911,-8.697,-64.604,-80.981,-34.389,41.891,2.285,32.124,-2.263,0.508,6.689,58.262,-23.011,-105.266,53.855,71.489,71.595,15.892,69.127,-2.693,6.095,-35.779,30.292,12.098,-7.576,-27.878,-33.598,28.152,42.796,30.261,-31.812,-37.786,23.695,74.154,2.246,20.293,76.527,6.627,69.773,-29.962,-67.405,-1.269,8.621,-53.518,-8.516,-26.665,-23.529,14.744,-47.333
09:32,3,26.841,-22.581,85.538,26.501,-73.839,1.518,65.880,2.743,-39.769,-12.821,49.695,52.548,-11.520,25.323,-3.086,135.691,54.082,-53.739,-16.505,-34.685,-37.533,-53.732,-24.677,7.449,14.922,138.849,20.068,-57.754,11.872,4.454,45.574,-13.848,36.481,57.658,20.586,25.153,32.832,19.057,19.501,12.198,14.654,21.933,8.478,-32.086,-46.763,-32.264,38.807,-53.354,36.256,-15.105,2.810,-23.500,72.824,6.265,-17.624,-13.101,10.337,14.256,62.264,19.840,15.434,4.525,50.492,8.259,9.200,-45.491,,12.818,37.602,13.564,15.796,-20.912,-57.697,27.718,-3.143,-5.361,-55.046,0.000,-48.036,-34.902,-0.825,-39.443,-78.392,11.325,-55.486,28.583,-32.065,-24.797,0.814,-1.364,-18.579,33.716,-16.300,-6.391,4.979,-29.115,66.568,-19.485,-68.043,36.949,-32.821,14.459,16.170,46.538,5.657,-2.264,-6.047,-34.482,-8.296,-26.859,-64.439,-11.860,-21.838,9.872,-8.505,30.665,-32.123,34.729,-6.999,32.361,-20.091,70.257,-1.185,-43.911,7.339,41.200,3.194,7.544,10.456,2.888,-6.941,-2.875,-47.945,-37.360,-44.399,-9.444,-17.152,2.958,-38.647,-69.426,43.191,-5.296,-13.942,-55.417,24.040,33.725,-50.371,22.296,-37.348,-45.798,40.557,37.532,-45.655,36.803,-21.783,37.735,2.120,24.361,32.012,-54.188,-19.835,-96.333,63.792,5.824,27.619,40.725,-36.257,27.060,17.898,-12.603,-20.670,22.786,-19.133,-4.766,-46.282,41.715,-80.894,-19.671,-31.955,-14.006,-189.793,,-96.729,-15.932,32.450,19.464,63.083,62.660,61.528,-16.634,-84.063,-88.185,21.221,-52.967,-7.103,-3.545,-5.779,-9.664,-26.253,25.588,-23.015,122.928,47.860,59.216,33.364,9.769,53.511,0.490,-17.566,23.707,-50.720,-4.038,1.514,21.107,24.841,16.538,-64.764,-39.907,-42.066,-28.784,-24.453,-100.473,-16.707,17.778,71.327,-15.031,-78.976,13.954,44.549,-3.806,-14.932,54.238,-13.031,17.091,9.271,-7.231,46.399
09:33,4,11.981,16.721,-85.783,21.430,-90.776,-1.516,-59.181,-6.088,28.520,-40.353,47.840,-57.099,-25.852,34.829,-7.102,86.551,-45.426,-65.113,-24.289,-46.015,-32.941,-64.472,-44.321,-20.492,21.613,130.696,-47.450,-54.736,-2.971,-3.268,54.443,-5.186,-51.423,54.543,-35.094,-40.639,37.427,-1.704,8.483,3.968,15.785,-18.002,-3.394,-33.210,39.718,-36.733,29.520,51.676,42.987,-16.224,0.281,-33.310,67.782,-17.696,-25.285,2.565,-7.477,-14.259,52.120,10.069,-19.924,-4.527,50.213,2.279,-19.264,46.927,2.294,-6.839,27.825,-0.565,7.902,-29.711,-59.666,18.871,2.000,-13.281,56.437,-7.462,47.985,-33.808,-9.090,-43.868,68.634,-5.791,-70.171,17.882,33.164,-19.289,-11.118,-3.818,15.290,-43.305,4.139,-6.385,-6.645,14.957,43.952,-23.665,-73.393,-35.857,25.291,-16.400,22.311,37.810,-11.024,12.170,-10.370,17.802,-24.335,22.298,59.024,-21.714,9.889,-0.000,0.879,23.091,-37.688,28.338,-2.038,25.669,15.144,48.594,3.849,,-19.391,-62.310,-2.612,13.635,-7.552,-3.467,-2.027,1.150,33.710,-41.662,41.495,12.101,-5.607,0.000,27.988,71.803,29.331,-6.473,16.912,-64.314,11.409,22.621,47.125,3.914,-34.926,36.779,22.367,-42.957,22.627,35.318,-36.323,38.351,-11.209,17.144,27.489,-62.948,-22.885,-107.340,71.971,-4.601,29.768,27.275,-44.604,-40.986,-25.418,12.286,-32.538,-20.258,-9.540,-3.183,-36.834,-44.273,52.656,-41.302,27.513,-29.605,-222.504,,-135.524,-35.794,-27.415,2.817,67.870,45.120,-95.926,-4.486,-105.499,66.200,-34.893,-65.294,-28.118,-5.062,-22.838,-9.649,30.872,-51.990,-37.379,-134.775,42.201,50.281,-56.090,25.386,,-11.522,5.851,-39.693,21.788,-27.428,1.513,13.074,-33.096,-42.512,76.467,-39.100,-44.097,11.051,-34.796,58.515,23.696,-31.064,-76.074,17.075,69.256,-15.989,45.267,-14.216,8.610,-53.783,-16.049,-23.635,-19.038,-0.998,34.705
09:34,5,0.877,-8.507,72.044,15.159,68.751,-9.410,47.589,-16.432,-51.305,56.844,48.136,,-42.084,7.695,-6.787,-132.147,55.638,55.380,21.601,24.858,-45.370,68.819,33.404,12.723,25.783,114.801,31.272,36.959,-9.509,-9.216,47.004,13.556,36.166,47.396,-34.230,-65.957,31.347,-4.542,10.180,-12.479,12.971,-13.220,-5.372,-37.396,34.627,38.999,14.323,52.814,37.647,-20.424,-2.811,27.710,66.710,-21.131,14.219,6.554,7.472,3.705,52.322,-23.479,15.163,-7.649,37.482,,-20.416,42.357,-3.150,-23.317,32.699,-0.565,-8.190,-43.337,44.653,8.299,-11.432,11.018,56.913,9.673,-52.403,28.571,-7.714,32.533,64.830,-6.628,-78.328,9.360,26.251,-12.956,5.968,-12.807,20.201,43.327,-5.791,-11.672,-10.799,-13.573,44.778,-13.645,-71.169,-34.739,-23.072,-15.843,-33.443,29.351,-18.637,-17.834,-8.644,10.322,15.457,15.158,-61.840,-31.274,-20.955,1.745,0.586,19.881,-47.058,-41.717,-3.786,-28.579,-23.003,-59.487,-1.775,,17.323,-79.342,-4.937,-30.794,-11.619,-3.180,-9.565,-18.414,29.429,31.352,-59.807,9.750,-20.055,-6.210,31.278,-73.953,14.534,-6.760,-26.367,51.019,2.699,2.113,37.318,-22.022,26.217,28.353,16.623,-41.769,-6.830,36.516,-39.668,32.629,6.056,14.740,-37.128,54.229,-25.626,85.619,-85.468,-27.307,14.139,23.924,32.892,46.335,20.407,-39.128,-57.771,15.816,-27.629,-8.579,-44.997,-44.918,-56.345,51.400,9.062,21.443,190.961,4.225,97.988,32.528,-1.761,-48.192,60.216,9.894,94.509,-53.380,96.185,42.731,11.868,-63.773,-30.637,-19.518,-38.368,8.128,-20.336,-34.075,26.092,-129.247,29.928,-85.366,38.624,-41.071,-30.399,8.328,-9.988,31.842,-0.751,28.202,-6.052,-22.102,23.346,27.360,82.929,29.999,-49.962,12.345,24.703,40.611,18.709,-28.313,74.851,-31.042,-69.269,23.852,37.851,-21.840,-12.151,-57.878,-30.871,20.350,10.026,-4.987,36.710
09:35,6,-9.949,-15.840,57.674,9.210,57.145,-30.716,-68.793,,40.650,32.652,-46.626,50.774,7.148,-12.333,-13.564,123.977,51.046,-69.570,-20.387,12.293,37.186,82.101,3.752,-15.534,34.401,107.194,-63.878,-30.070,-34.219,11.296,-59.149,8.943,24.677,-60.284,15.354,-47.892,-30.520,7.671,-38.369,11.054,-18.882,-12.943,7.637,33.745,-36.884,34.533,6.175,49.725,-37.656,-24.074,-9.846,-25.192,66.766,-25.995,-13.078,-10.825,-12.079,5.987,-59.427,17.890,14.324,-17.584,-33.215,-0.285,-21.573,38.972,14.311,12.242,-39.891,-9.048,-17.802,31.439,41.826,-10.586,-15.152,-9.874,26.442,7.458,45.795,21.412,-17.648,-39.438,68.705,-16.855,65.543,2.755,16.290,16.262,4.614,-16.339,-22.129,29.653,-14.337,-18.352,-11.912,14.679,-47.859,13.921,-67.526,29.122,-33.404,15.295,-44.582,31.905,12.719,19.248,4.894,-10.616,-28.646,13.158,54.421,23.731,-20.383,-4.074,0.000,13.454,-52.367,33.860,-2.911,17.219,-32.002,53.898,-4.738,-40.377,18.495,83.411,-10.165,26.132,9.003,-1.156,7.533,-34.260,28.860,26.765,43.779,15.365,10.624,4.436,22.049,-78.148,13.372,12.649,-51.463,-49.221,-11.704,-7.242,28.972,3.919,-28.624,-33.168,-21.168,37.250,2.377,-40.700,41.180,19.959,-11.488,12.038,25.992,44.284,16.180,71.561,67.490,-22.404,13.840,16.569,-38.447,-45.698,16.649,26.797,53.752,-16.456,-27.299,5.406,31.480,24.789,-49.531,54.007,-23.729,-37.253,146.812,-100.079,-179.008,-17.918,-26.376,-110.463,56.644,-31.614,-91.967,29.771,42.514,13.893,-20.663,49.013,37.484,-36.827,-54.370,-0.000,-36.837,-58.727,20.717,129.350,-40.745,95.775,21.718,-60.080,-41.514,8.808,-5.850,10.627,-41.939,10.593,10.336,-22.102,-13.555,18.592,-80.595,36.262,-49.695,-33.620,-25.986,-65.964,7.739,-28.324,81.885,25.213,69.514,-21.579,-50.146,-32.025,-16.436,54.530,23.826,13.559,5.269,-13.980,34.241
09:36,7,0.000,9.685,-57.656,9.505,-60.711,20.948,85.857,-0.305,39.129,29.580,53.627,40.181,-0.931,,18.501,110.225,-60.561,73.763,-31.445,3.001,-54.498,89.523,-4.380,-12.430,0.319,109.626,-58.788,17.001,18.434,19.315,53.822,-29.680,-21.808,53.434,16.789,37.266,-40.318,-8.801,39.793,7.362,10.151,-20.266,6.788,27.013,32.921,20.503,-11.516,38.452,18.527,23.513,-23.640,12.591,38.096,-32.897,18.772,5.982,5.460,8.272,47.556,17.900,15.731,-22.984,28.394,-3.140,18.696,-43.841,-25.771,9.686,38.449,-11.031,1.693,-35.138,29.639,-0.573,-21.737,-28.461,-47.342,-5.249,-50.186,9.328,11.575,36.392,59.144,11.047,-65.267,-13.520,-19.336,11.019,3.255,13.617,-25.958,28.291,,18.072,-15.794,-15.797,-64.930,1.113,53.112,21.272,21.122,-34.457,-48.156,-39.510,14.699,-15.004,-11.810,-21.532,25.746,7.441,,-19.680,10.188,-14.855,-6.159,14.924,-61.456,29.788,2.329,8.764,-33.453,48.634,-9.772,24.489,15.264,-86.068,-9.585,-26.722,-11.038,1.734,-4.340,-35.724,-37.696,-26.189,50.791,-26.876,-19.173,-4.441,18.185,64.387,-12.499,-30.571,-47.872,-54.288,-6.606,-10.553,-46.828,2.714,22.004,25.338,23.280,33.041,-4.752,29.067,-49.103,-19.655,3.025,10.233,28.715,39.760,9.777,-74.036,66.640,-23.943,-12.607,-4.304,37.209,-48.138,-16.018,-29.645,43.812,-25.333,-35.233,2.228,-50.319,19.114,-55.970,-71.526,-43.100,0.826,-186.326,87.576,139.850,-27.784,5.286,-141.314,-43.441,20.883,59.365,-67.838,22.286,17.929,-7.573,-59.257,31.435,-46.796,45.876,-2.037,-60.580,48.430,7.408,-145.763,-78.396,72.850,15.039,26.191,44.404,11.743,-3.654,-7.658,24.281,-19.163,-16.901,-30.591,-15.061,,-97.635,-47.181,50.465,-36.914,-31.814,45.400,-15.472,27.319,63.196,-39.686,68.731,20.804,48.564,-34.854,1.518,-55.055,,14.556,-4.264,-4.238,-37.726
09:37,8,-3.219,-12.909,50.891,0.297,57.746,10.015,79.115,-5.790,25.148,-29.286,52.652,38.064,-4.352,0.925,5.555,83.780,57.500,-83.969,-41.314,7.208,39.592,-112.328,1.875,5.276,1.918,97.443,-67.067,21.803,-24.697,-23.779,44.040,25.675,16.926,41.114,-15.932,-34.422,29.639,-17.007,53.625,-10.481,10.718,-32.961,-26.562,15.491,29.257,13.495,-1.404,-56.235,-30.353,17.353,-32.110,9.229,-44.300,14.846,-19.616,11.396,-15.528,-14.825,41.608,-22.642,12.922,-29.805,-29.519,-6.281,25.308,-47.277,-51.589,3.991,32.394,10.742,-14.689,29.730,26.238,,24.309,-22.256,-47.079,-18.798,55.094,-4.935,-19.854,-45.513,60.797,6.901,62.872,5.238,-17.681,,-7.044,4.358,-25.146,-28.287,19.025,,-16.078,4.430,52.621,-10.561,56.750,-42.327,-17.792,-44.398,-59.542,-51.015,11.312,-14.724,-21.320,10.899,20.873,6.297,50.996,-18.530,-3.779,-16.020,3.518,13.174,47.353,30.957,2.619,-9.055,-38.392,47.752,0.296,4.174,-25.556,-89.613,11.036,-26.734,-1.161,,0.868,37.154,33.703,27.058,49.055,-31.892,-21.809,9.767,9.247,55.089,-13.369,24.693,50.265,-66.710,13.511,,42.959,-5.430,13.566,13.580,-39.944,18.303,-23.725,,-56.422,12.710,-9.673,-16.547,29.025,-38.234,-18.927,70.937,62.426,19.644,-23.041,1.229,-28.292,32.947,-27.928,36.877,-48.175,30.079,-33.642,-23.246,34.955,5.319,-69.176,-87.824,-60.462,11.276,109.436,101.813,173.570,30.133,1.515,-150.698,27.379,-33.480,55.966,34.006,-21.009,-16.643,-34.863,38.127,28.649,51.312,-74.022,-8.147,-59.578,43.045,3.573,149.712,78.833,53.958,-14.550,8.065,13.965,-29.371,-2.194,-0.742,-54.685,23.712,-4.283,29.855,-27.586,-37.175,-83.821,42.257,32.583,28.744,35.574,-41.225,-21.452,27.819,65.535,30.571,-82.797,25.621,35.514,-38.172,-14.435,,-28.603,-13.054,-8.275,-7.477,29.242
09:38,9,-8.480,7.929,44.121,-15.135,54.480,0.606,-76.754,-22.274,-44.575,-39.057,-55.701,36.872,-12.119,-9.246,3.089,-88.232,47.939,,36.548,-1.805,36.273,-98.595,-3.753,-6.213,-35.389,-100.376,60.530,10.454,-33.366,25.855,44.019,-20.191,4.013,-46.542,-13.616,39.835,-41.747,-16.155,59.020,11.610,12.131,-28.736,-32.191,13.521,17.440,-18.835,-3.928,42.996,23.313,19.312,23.357,-7.832,-42.593,5.993,17.917,7.695,-20.427,-20.795,21.909,-24.309,-12.078,-29.806,24.139,4.568,-25.890,39.557,-53.355,-12.530,-35.552,7.623,15.813,31.684,-25.656,6.296,-42.621,9.025,-58.520,13.816,42.975,-18.346,20.681,32.823,61.622,-18.503,61.522,-9.650,-27.360,-8.809,-22.207,-0.818,-32.543,13.744,-17.090,,-17.188,-1.937,32.804,-16.111,-55.932,44.269,12.503,38.021,55.113,45.114,7.922,-19.256,,-25.829,9.433,5.154,-51.836,-14.767,1.455,-20.974,-7.320,11.418,37.384,27.182,-1.455,-10.806,36.365,25.669,0.296,-18.753,10.855,83.655,5.226,-29.649,8.127,1.733,-6.943,36.841,-38.823,24.188,-57.783,21.567,17.689,,11.932,48.460,5.234,-34.350,45.546,50.698,-20.736,9.650,34.624,-6.940,1.507,-19.613,30.232,10.484,3.862,25.174,50.898,-11.497,-23.541,-17.448,-29.020,35.224,-19.229,53.211,60.305,38.959,-26.415,0.615,-40.908,20.545,-34.193,47.586,43.206,28.494,-29.512,-42.054,-36.820,-10.315,54.746,32.152,-71.972,-6.581,27.928,87.945,89.412,54.804,-31.539,-164.781,-22.818,-39.040,70.703,16.091,-24.409,-14.623,19.669,29.805,15.472,-65.552,-76.963,0.254,50.803,15.873,-36.802,150.340,-106.778,-72.098,-9.796,-1.955,11.313,-41.636,0.244,-14.850,-58.010,-37.564,-20.643,9.045,21.348,-61.585,-76.776,33.414,18.488,24.145,22.177,10.334,8.988,23.054,-76.512,26.753,-74.125,-25.893,8.671,25.681,-12.916,52.988,18.061,5.020,4.014,5.734,23.004
09:39,10,6.142,3.821,40.282,-16.615,59.276,0.303,80.399,21.051,41.226,-54.374,35.590,-37.162,0.623,-35.988,10.505,-92.121,-43.279,67.354,-41.624,-4.811,37.193,96.836,2.187,-4.973,39.856,-103.992,-52.954,-1.496,42.003,-37.457,-45.512,22.212,6.591,-51.971,,33.495,44.891,9.362,-57.030,21.518,12.978,16.892,32.765,1.409,8.155,-21.080,-24.939,38.759,-33.149,18.471,-32.092,-11.189,29.653,-14.555,,12.541,15.529,9.689,,29.061,-20.773,21.828,23.014,-7.424,-27.627,36.147,-52.210,-17.080,28.951,-21.465,-1.694,-36.832,22.807,-9.734,38.616,0.565,-69.435,14.919,25.962,-23.822,11.579,-38.624,,,64.285,-17.650,-30.404,-16.228,11.651,-3.815,37.737,4.124,-23.145,10.839,19.403,-6.370,28.074,19.729,-58.200,28.274,13.610,28.893,-60.652,38.390,6.509,-24.370,-19.888,-25.840,,2.291,50.697,-16.224,-2.908,-15.441,4.980,-12.293,35.629,19.301,-11.918,3.506,32.878,-38.629,-6.506,-27.656,6.454,-83.399,-11.906,16.261,-18.005,0.578,0.289,-44.643,32.549,-19.865,-60.100,23.935,,-1.183,-17.001,38.024,-12.492,32.891,-73.495,56.381,-22.845,-11.475,-33.427,-1.508,15.674,-18.703,37.481,1.497,-2.973,21.885,-59.720,13.316,19.624,11.440,-32.034,-37.034,10.086,45.572,54.862,-46.653,-31.007,-2.459,-34.452,-23.326,-37.952,47.585,-58.792,20.871,23.502,35.663,32.436,5.008,46.722,9.816,-83.444,-17.548,56.408,-26.628,-163.505,-80.433,21.481,144.113,-16.235,-8.867,-53.401,3.431,14.723,-4.046,-34.308,14.424,-25.076,-75.800,67.571,-14.254,50.536,-21.765,-63.049,153.199,-98.249,-76.160,-6.922,-2.198,-4.804,-50.021,-9.509,16.580,-73.165,37.093,14.116,-15.067,28.395,-62.853,-87.300,20.628,-30.266,15.166,22.676,-2.463,-2.248,-25.821,78.774,32.372,66.403,-31.246,-15.058,-20.091,10.128,32.674,12.288,-7.021,7.028,4.238,18.017
