code,H,hm,mean,sd,n,se,t
IF0000,30,09:31,-1.374815673714565,43.418901160864465,235,2.8323368128364583,-0.4853997827813948
IF0000,30,09:32,-1.0528319622953897,41.3872756772262,235,2.6998081791456565,-0.3899654688165861
IF0000,30,09:33,-4.882692518463793,42.18123320347669,234,2.7574734770760965,-1.7707124144821098
IF0000,30,09:34,3.005085524933958,40.77953783156978,234,2.6658417840829425,1.127255766968825
IF0000,30,09:35,0.3621979056704804,41.479553087588386,236,2.7000889222222013,0.13414295458550593
IF0000,30,09:36,-1.3055351294086532,41.77721887379383,232,2.7428087925588716,-0.47598473978591466
IF0000,30,09:37,2.453361316300744,41.55600618970013,230,2.7401219033802726,0.8953475074500244
IF0000,30,09:38,-0.19272281289649362,38.72057214674176,233,2.5366690227946873,-0.07597475711835987
IF0000,30,09:39,-1.8775177026824639,39.93366866924398,230,2.6331481351556603,-0.713031552465799
IF0000,30,09:40,-3.158288625850932,41.36158359473431,233,2.709687435425054,-1.1655545892714776
IF0000,30,09:41,-2.481646344637684,42.62609822542355,233,2.7925285432574434,-0.8886735824525827
IF0000,30,09:42,-4.130857284753952,44.03529381344496,235,2.8725458359666716,-1.4380474744848875
IF0000,30,09:43,-7.641130846097448,47.649815254315975,231,3.135127671109705,-2.4372630551893297
IF0000,30,09:44,5.536340585514168,48.788466555529034,231,3.210045426469833,1.7246922862405158
IF0000,30,09:45,2.9964758138633334,45.56720102402663,231,2.9981017148330844,0.9994576898569829
IF0000,30,09:46,-5.077881815147092,48.116563136984766,235,3.1387784913103562,-1.6177891588097417
IF0000,30,09:47,1.1180849467222305,47.97024511064919,233,3.1426352463722975,0.355779420476141
IF0000,30,09:48,2.0601918349641375,48.92576618994896,233,3.2052335136009247,0.6427587338713464
IF0000,30,09:49,-0.8182259440138636,47.96900085180429,229,3.169880800811832,-0.2581251458428056
IF0000,30,09:50,-0.6751688610409597,48.06945917213729,236,3.129055270528865,-0.21577402847436583
IF0000,30,09:51,0.26208410699936013,49.751678742418946,235,3.2454416725216055,0.08075452694724569
IF0000,30,09:52,2.532055388690533,49.35772183181987,234,3.226615214960694,0.7847404230136495
IF0000,30,09:53,4.76687609824806,46.920054105010905,234,3.067259890516408,1.554115486916077
IF0000,30,09:54,2.4123022384343864,46.67476160802232,233,3.057765300282628,0.7889102012543011
IF0000,30,09:55,4.707704862821481,46.336613940950606,234,3.029119213829777,1.5541497479953696
IF0000,30,09:56,2.8133203670193216,44.76496891773902,233,2.9326506212163723,0.9593097611649505
IF0000,30,09:57,1.425722960673327,44.37559474907966,232,2.9134005262651423,0.48936730388424976
IF0000,30,09:58,1.9778784824893871,46.437308610286316,230,3.0619854534676847,0.6459464006432325
IF0000,30,09:59,7.6198892909686595,45.267204715395515,231,2.9783634068585325,2.5584148910175593
IF0000,30,10:00,3.65364061741979,44.04354251651388,236,2.8669904179812784,1.2743818725395017
IF0000,30,10:01,2.0174262664776235,42.88071009301389,233,2.8092087213009043,0.7181475164805065
IF0000,30,10:02,-1.4732860449465084,45.4081097922676,232,2.981188459862648,-0.49419419965633
IF0000,30,10:03,2.1288664174604968,44.75123534673001,232,2.9380625397225235,0.724581723049895
IF0000,30,10:04,3.370818729665529,44.84306279208838,233,2.9377667210297043,1.1474085758872092
IF0000,30,10:05,4.634108220624555,46.727692420939405,234,3.05468481384015,1.517049549475076
IF0000,30,10:06,-4.201038513216204,54.968613500179764,231,3.6166692422031717,-1.1615766418985696
IF0000,30,10:07,6.17682258726742,47.15667514472345,232,3.0959873993891884,1.9951058549159644
IF0000,30,10:08,0.6062195948854482,50.07782763010913,234,3.273690003644389,0.18517929132281397
IF0000,30,10:09,2.3104732066077713,46.242584344646126,236,3.010135848384187,0.7675644299734884
IF0000,30,10:10,-2.878012925046163,41.30165837914463,231,2.7174496135207553,-1.059086030786558
IF0000,30,10:11,-1.6700958997135542,38.23827710062601,234,2.499714373105899,-0.6681146924952299
IF0000,30,10:12,0.3427441627553001,37.63942204831541,235,2.4553251655622836,0.13959216789797768
IF0000,30,10:13,0.08681755429148012,36.38815241735259,229,2.404596795358143,0.036104828243584776
IF0000,30,10:14,3.2210059960364634,33.12297828069871,233,2.169958455906233,1.4843629781341987
IF0000,30,10:15,-0.7302118280350742,37.56399191748931,235,2.450404646373088,-0.29799642647424823
IF0000,30,10:16,-6.599049389661741,38.94873238962356,233,2.55161629728635,-2.586223248644338
IF0000,30,10:17,7.661372778193513,37.36722506640248,236,2.4323991688851416,3.149718547924436
IF0000,30,10:18,5.17482019555782,36.86563782323066,233,2.4151482348286146,2.1426511718544843
IF0000,30,10:19,-3.8579656345370648,41.402601306320506,229,2.7359609050442786,-1.4100953078036134
IF0000,30,10:20,-0.9868038743487204,39.27245755110169,231,2.5839380010982933,-0.3818992073065542
IF0000,30,10:21,-1.9395305935533798,36.175202901290056,235,2.3598100400915833,-0.8219011533140639
IF0000,30,10:22,-4.242152978374196,35.20116657452755,232,2.3110698077010556,-1.8355797666683602
IF0000,30,10:23,-0.07010543244002061,34.27859825355528,234,2.2408620691472554,-0.031285027938689126
IF0000,30,10:24,-3.790209044221767,35.72794239342526,234,2.3356086595460805,-1.6227928547577761
IF0000,30,10:25,-2.274562977392774,34.49271431291166,230,2.2743822292353326,-1.0000794713197798
IF0000,30,10:26,-4.353356827929981,36.656848355749894,227,2.433000478349631,-1.7892955084344986
IF0000,30,10:27,3.0454337532155638,34.886199117998515,234,2.2805821802276642,1.3353755806824494
IF0000,30,10:28,-1.719144568807964,35.966300580640954,235,2.346182755263041,-0.7327411153080541
IF0000,30,10:29,0.8555322914508227,37.20852247813871,233,2.4376113554457537,0.35097157286354036
IF0000,30,10:30,2.1001307799983806,34.05662651625118,235,2.2216093550046896,0.9453195609153111
IF0000,30,10:31,0.03430450637894808,32.458598468710164,231,2.1356189878506413,0.01606302742863009
IF0000,30,10:32,-1.4404695462431754,32.32597403370004,236,2.1042416779208994,-0.6845551826853056
IF0000,30,10:33,2.1257102845267974,32.22876167934099,234,2.106860060280655,1.0089470699082081
IF0000,30,10:34,0.4198273118189678,31.281687605842627,230,2.0626533982159634,0.20353749795389092
IF0000,30,10:35,0.005454391554904294,34.89487144970904,233,2.2860390369600503,0.002385957311629063
IF0000,30,10:36,-0.6908497375890132,42.68375456492774,236,2.778475761690356,-0.24864342785150567
IF0000,30,10:37,-1.2758246129466555,37.16759960600913,234,2.4297219956980003,-0.5250907779596167
IF0000,30,10:38,1.5919863915054153,38.67377540203914,227,2.5668686281914956,0.6202056365568891
IF0000,30,10:39,1.9211163243208336,38.36030224701925,231,2.523922588259535,0.76116293473391
IF0000,30,10:40,5.52705755590165,33.345258423663495,231,2.193956929872091,2.5192188053681988
IF0000,30,10:41,0.7985945325048931,34.640530394057386,234,2.2645223133397763,0.35265474215050024
IF0000,30,10:42,-3.781094162195881,34.68839959708908,228,2.2972953840573256,-1.6458894178065913
IF0000,30,10:43,-0.5041514145392162,33.95048885772325,230,2.238628941502395,-0.2252054394511976
IF0000,30,10:44,-1.2102641038853217,35.919512883486554,231,2.3633304383819236,-0.5121010943835431
IF0000,30,10:45,1.3025331414478394,35.94220876303681,233,2.3546523856747106,0.5531742814235431
IF0000,30,10:46,-3.4450281921278734,38.284717178128865,233,2.508115214418059,-1.373552607282118
IF0000,30,10:47,2.318745755647016,37.56769574003605,231,2.471772908788961,0.938090124461749
IF0000,30,10:48,-2.947169452962417,37.52702749196894,232,2.4637700578995907,-1.1962031292298978
IF0000,30,10:49,3.9098081615521916,38.94992523295975,235,2.540812967279228,1.5388020337990171
IF0000,30,10:50,-4.936180974610912,43.998053371472274,231,2.894859379069056,-1.7051539740760449
IF0000,30,10:51,-3.1918635485706837,41.640051730199794,231,2.7397142614097416,-1.1650351985715055
IF0000,30,10:52,2.1258897263532046,36.37559543883721,232,2.388174840111054,0.8901734038259725
IF0000,30,10:53,0.5951783868437606,37.357422820437435,226,2.48497880173375,0.2395104483098646
IF0000,30,10:54,-3.7448498283739244,35.16808052899036,231,2.3138898192530855,-1.6184218441233935
IF0000,30,10:55,2.4910322585917557,34.3550055404422,232,2.255516614195735,1.1044176056668065
IF0000,30,10:56,1.1846037700956151,34.936283954531376,232,2.2936794117219383,0.5164644038925629
IF0000,30,10:57,0.05080023226972094,34.780679319569735,228,2.303406757973656,0.022054390564700228
IF0000,30,10:58,2.62986432974222,36.383378790316144,229,2.404281345204411,1.0938255354298523
IF0000,30,10:59,-2.2841216545882297,40.118468276048965,229,2.6511030058580594,-0.8615740880460236
IF0000,30,13:01,0.9673075690716234,41.522018644996386,232,2.726054076704683,0.35483799728614596
IF0000,30,13:02,-2.4087190070840867,45.68348743558078,233,2.9928247700446082,-0.8048312855443871
IF0000,30,13:03,-4.339069849840194,46.785093836624284,228,3.098418530746661,-1.4004143748761273
IF0000,30,13:04,1.7388775911362453,41.77853828032854,233,2.737003045092381,0.635321759781803
IF0000,30,13:05,2.866689519294342,42.6129995384895,232,2.7976804814260294,1.0246665186844843
