hm,mean,sd,n,se,t
09:31,-5.568111472962513,71.91494972413382,11,21.68317318656586,-0.2567941244140558
09:32,-21.34132032205747,71.67232100712981,12,20.690016913455835,-1.03147911436351
09:33,-24.812347387713295,70.08487960126996,9,23.361626533756652,-1.0620984524284047
09:34,49.06303550082725,65.11461003153326,11,19.63279362226433,2.4990348518301495
09:35,-1.0487198841207463,46.98958609021295,8,16.61332748476932,-0.06312521588960346
09:36,20.562526741019173,57.36477699418172,10,18.140335276924183,1.1335251761954033
09:37,-8.193574121887096,76.25006247522697,7,28.819814680369813,-0.2843034978801591
09:38,-3.8343254737657904,73.23114525478393,9,24.41038175159464,-0.15707765297506288
09:39,-10.153884378559841,91.21164980572252,5,40.791089861100204,-0.24892407663377822
09:40,49.859890793437216,56.445746221018965,8,19.956584961008723,2.4984179853844597
09:41,-4.798299626054665,62.84522670868134,6,25.656456367633062,-0.18702113640712933
09:42,36.86911290250824,50.213699685815094,9,16.7378998952717,2.2027323100984386
09:43,21.574759054547332,44.601568554255564,6,18.208514114281627,1.184872028499318
09:44,28.445234549907486,45.019250926747965,5,20.13322107366577,1.4128506534462992
09:45,2.1005181530303525,45.49211831323678,7,17.194404524335955,0.1221628902622014
09:46,-23.47291167635678,68.13106098974811,9,22.710353663249368,-1.033577549007588
09:47,8.45720968712851,80.43870513516575,3,46.44130806305288,0.18210532906709354
09:48,9.43756345298139,32.884605401583116,7,12.42921255072575,0.759305017471145
09:49,33.42137724447734,40.48058028114592,5,18.103465855455962,1.8461314265083069
09:50,-35.26507431779341,38.50151314422567,4,19.250756572112834,-1.831879915248596
09:51,-11.115793912278027,40.805394893725044,5,18.2487273662184,-0.6091270744093265
09:52,-24.79812475945342,51.49275939383586,8,18.205439674694315,-1.3621272104690216
09:53,39.926847421801654,55.40028826636251,6,22.617072975947707,1.7653410529409421
09:54,-2.933808986950934,87.9583070403758,6,35.90882848132899,-0.08170160684792002
09:55,-2.480438799831518,43.872688429399886,5,19.620462736761326,-0.12642101428036728
09:56,36.54531198172176,56.704049230511416,6,23.149331160735013,1.5786767975270268
09:57,19.560980558830956,51.7948190830832,6,21.145146345553787,0.9250813514915239
09:58,28.535988933019155,43.08267488603975,6,17.588428370836134,1.6224297209144325
09:59,-26.077765584474395,31.02742479909544,6,12.666893131726782,-2.05873415945678
10:00,9.96867228353534,24.570435286496522,7,9.286751624667978,1.0734294063659469
10:01,14.530811291023687,46.47443363389845,5,20.7839985642399,0.6991345407435126
10:02,19.37900986384315,32.101689908042104,9,10.7005633026807,1.811027075461376
10:03,-18.85615896248505,18.3937202292234,3,10.619619325740796,-1.7755965053078486
10:04,-36.042090758827946,31.57685399807495,3,18.230905155950083,-1.976977580132096
10:05,16.300822128243993,21.919432741915244,2,15.499379531570707,1.0517080438633577
10:06,-28.805122329911256,31.86866807285328,3,18.399384090576675,-1.5655481829233582
10:07,25.70471145139555,16.024846307058073,4,8.012423153529037,3.208107080574498
10:08,31.162631681009938,44.876851736960454,3,25.909662430717045,1.2027417093657409
10:09,-1.7782176660441322,26.308678447073476,5,11.765598681167978,-0.15113703214187887
10:10,0.6974873657564832,47.49791640737742,6,19.390943173907303,0.035969749356752845
10:11,2.904016659883671,34.946782660696684,6,14.266964278441593,0.2035483234700355
10:12,1.4553486340152912,36.34578363781765,8,12.85017503891996,0.1132551603077316
10:13,-7.150808466901569,20.047609534583597,5,8.965563541140368,-0.7975860562572096
10:14,-0.9650596192194123,30.42356619185571,8,10.75635498106948,-0.08971994889698764
10:15,-40.1926001443111,43.42457458850798,4,21.71228729425399,-1.8511453721850761
10:16,-8.99173035318358,50.004457149233396,7,18.899908294522483,-0.47575523717168183
10:17,25.357766130643324,57.07347690210994,5,25.524034813076383,0.9934857994180498
10:18,1.9970185291625189,26.343736702116686,5,11.781277209457807,0.16950781257904252
10:19,25.034665609000342,52.30615358172319,2,36.98603589542149,0.6768680395970575
10:20,-18.315245481904267,52.06106525310294,6,21.253840889306897,-0.8617381478149166
10:21,-25.858915857654676,50.9727849839314,5,22.795722445310226,-1.134375798779505
10:22,-24.197847469034063,27.775822599392683,4,13.887911299696341,-1.742367656795385
10:23,7.339148874109992,39.05362881042201,5,17.465313757629573,0.42021282731917414
10:24,3.795946153068236,53.1902476939151,3,30.709403824344754,0.12360859151746265
10:25,33.628988187817896,,1,,
10:26,-1.3334717013196133,31.171751633487006,3,17.99701919670588,-0.07409403116954434
10:27,-1.8157735906907781,44.91985167586823,4,22.459925837934115,-0.08084503946241858
10:28,-43.614556321928525,30.225622212421793,3,17.450771120765655,-2.499291063993677
10:29,18.399511663714964,47.7536534028795,3,27.57058464694057,0.6673602282770854
10:30,6.767903218983584,,1,,
10:31,24.579373779183527,28.27531041714196,3,16.324758080757142,1.5056501087239105
10:32,-60.9593830173925,61.39171986168574,3,35.44452598815836,-1.7198532444123638
10:33,-19.01055530564919,3.336775720503553,2,2.3594567392666903,-8.057174767933061
10:34,53.57285522400025,74.11198288315383,2,52.4050856638594,1.0222835159097199
10:35,-7.630957812410467,25.21762116482808,3,14.559400367835497,-0.5241258307085719
10:36,-1.6232633037399493,17.857825984933704,2,12.627389851195959,-0.1285509771115689
10:37,28.690228690229066,,1,,
10:38,23.52085302922788,27.25802219608952,4,13.62901109804476,1.7257930791913596
10:39,-16.28475049435779,,1,,
10:40,32.368086842009944,30.83103916294219,2,21.80083686314444,1.4847176301167615
