code,ts,open,high,low,close,pb,pa,nticks,vol,amt,vwap,mid_close
IF0000,2024-06-03 09:30:00,3570.6,3570.6,3561.6,3562.8,3562.6,3563.2,119,1549.0,1656580380.0,3564.8383473208523,3562.8999999999996
IF0000,2024-06-03 09:31:00,3563.0,3563.2,3557.4,3559.2,3559.0,3559.4,120,856.0,914258340.0,3560.1960280373833,3559.2
IF0000,2024-06-03 09:32:00,3559.2,3560.0,3556.0,3556.4,3556.4,3556.8,120,591.0,630798360.0,3557.8023688663284,3556.6000000000004
IF0000,2024-06-03 09:33:00,3556.8,3557.6,3555.4,3556.2,3555.8,3556.6,120,607.0,647592960.0,3556.2490939044483,3556.2
IF0000,2024-06-03 09:34:00,3556.4,3556.4,3554.6,3555.0,3554.8,3555.0,116,486.0,518360940.0,3555.2876543209877,3554.9
IF0000,2024-06-03 09:35:00,3555.0,3555.0,3552.8,3554.4,3554.0,3554.4,118,610.0,650397540.0,3554.084918032787,3554.2
IF0000,2024-06-03 09:36:00,3554.2,3559.0,3553.6,3558.6,3558.4,3558.6,120,539.0,575159880.0,3556.956586270872,3558.5
IF0000,2024-06-03 09:37:00,3558.4,3561.0,3557.8,3559.2,3559.2,3559.8,120,574.0,613045080.0,3560.0759581881534,3559.5
IF0000,2024-06-03 09:38:00,3559.2,3560.8,3557.6,3557.6,3557.8,3558.0,115,334.0,356672640.0,3559.6071856287426,3557.9
IF0000,2024-06-03 09:39:00,3558.0,3558.2,3554.4,3557.0,3556.4,3557.0,119,491.0,523821180.0,3556.151934826884,3556.7
IF0000,2024-06-03 09:40:00,3556.4,3558.2,3554.6,3554.6,3554.4,3554.8,116,449.0,479097960.0,3556.777728285078,3554.6000000000004
IF0000,2024-06-03 09:41:00,3554.6,3558.0,3553.6,3556.6,3556.2,3556.6,114,348.0,371203740.0,3555.591379310345,3556.3999999999996
IF0000,2024-06-03 09:42:00,3556.2,3559.2,3556.0,3558.8,3558.8,3559.0,117,413.0,440828100.0,3557.9346246973364,3558.9
IF0000,2024-06-03 09:43:00,3559.2,3561.8,3558.2,3561.4,3561.4,3561.6,116,367.0,391967820.0,3560.1073569482287,3561.5
IF0000,2024-06-03 09:44:00,3561.6,3566.6,3561.2,3565.6,3565.6,3566.0,119,760.0,812705460.0,3564.497631578947,3565.8
IF0000,2024-06-03 09:45:00,3565.6,3568.6,3565.2,3567.8,3567.4,3568.0,119,669.0,715999920.0,3567.513303437967,3567.7
IF0000,2024-06-03 09:46:00,3568.0,3568.4,3566.0,3567.0,3566.6,3567.0,117,380.0,406645320.0,3567.064210526316,3566.8
IF0000,2024-06-03 09:47:00,3566.6,3567.8,3564.2,3567.0,3567.0,3567.4,115,298.0,318852300.0,3566.5805369127515,3567.2
IF0000,2024-06-03 09:48:00,3567.0,3570.2,3566.6,3570.0,3570.0,3570.2,117,394.0,421841400.0,3568.8781725888325,3570.1
IF0000,2024-06-03 09:49:00,3570.2,3570.8,3567.0,3567.8,3567.4,3567.6,114,335.0,358695180.0,3569.1062686567166,3567.5
IF0000,2024-06-03 09:50:00,3567.8,3571.4,3567.2,3571.0,3571.0,3571.2,119,379.0,405812820.0,3569.1540897097625,3571.1
IF0000,2024-06-03 09:51:00,3571.2,3573.6,3570.0,3570.6,3570.6,3571.2,120,457.0,489713040.0,3571.9404814004374,3570.8999999999996
IF0000,2024-06-03 09:52:00,3570.6,3572.8,3570.4,3571.0,3571.0,3571.4,117,267.0,286096740.0,3571.7445692883894,3571.2
IF0000,2024-06-03 09:53:00,3571.0,3574.0,3570.2,3574.0,3573.8,3574.0,117,350.0,375084240.0,3572.230857142857,3573.9
IF0000,2024-06-03 09:54:00,3574.0,3575.4,3572.8,3572.8,3572.2,3572.8,112,343.0,367771740.0,3574.069387755102,3572.5
IF0000,2024-06-03 09:55:00,3572.6,3575.0,3572.2,3575.0,3574.6,3574.8,109,226.0,242300640.0,3573.7557522123893,3574.7
IF0000,2024-06-03 09:56:00,3575.0,3578.0,3574.4,3574.4,3574.6,3574.8,112,460.0,493572480.0,3576.6121739130435,3574.7
IF0000,2024-06-03 09:57:00,3574.6,3574.6,3572.8,3573.0,3573.2,3573.4,107,323.0,346269660.0,3573.4743034055728,3573.3
IF0000,2024-06-03 09:58:00,3573.0,3573.8,3572.6,3573.4,3573.2,3573.6,103,237.0,254044260.0,3573.0556962025316,3573.3999999999996
IF0000,2024-06-03 09:59:00,3573.4,3576.6,3573.4,3576.6,3576.6,3576.8,107,308.0,330375480.0,3575.492207792208,3576.7
IF0000,2024-06-03 10:00:00,3576.8,3577.8,3575.2,3576.8,3576.8,3577.0,118,416.0,446364960.0,3576.642307692308,3576.9
IF0000,2024-06-03 10:01:00,3576.8,3579.4,3576.8,3578.0,3577.4,3577.8,117,370.0,397196460.0,3578.3464864864864,3577.6000000000004
IF0000,2024-06-03 10:02:00,3577.4,3580.6,3577.2,3580.6,3580.6,3581.0,116,343.0,368334120.0,3579.534693877551,3580.8
IF0000,2024-06-03 10:03:00,3580.6,3583.8,3580.6,3582.6,3582.2,3582.4,119,628.0,674915100.0,3582.3519108280257,3582.3
IF0000,2024-06-03 10:04:00,3582.4,3583.6,3579.6,3580.2,3580.0,3580.4,116,378.0,406144740.0,3581.5232804232805,3580.2
IF0000,2024-06-03 10:05:00,3580.0,3581.2,3578.0,3578.0,3578.0,3578.4,108,325.0,348971220.0,3579.192,3578.2
IF0000,2024-06-03 10:06:00,3578.0,3578.8,3576.2,3577.6,3577.2,3577.6,115,279.0,299426460.0,3577.3770609318995,3577.3999999999996
IF0000,2024-06-03 10:07:00,3577.6,3580.0,3577.4,3579.4,3579.6,3579.8,106,156.0,167496060.0,3578.975641025641,3579.7
IF0000,2024-06-03 10:08:00,3579.4,3580.6,3576.6,3578.0,3577.6,3578.0,111,232.0,249060240.0,3578.4517241379313,3577.8
IF0000,2024-06-03 10:09:00,3578.0,3578.8,3576.8,3577.2,3577.2,3577.6,113,200.0,214671180.0,3577.853,3577.3999999999996
IF0000,2024-06-03 10:10:00,3577.6,3582.6,3577.6,3582.2,3582.0,3582.4,114,395.0,424375380.0,3581.226835443038,3582.2
IF0000,2024-06-03 10:11:00,3582.2,3584.6,3581.2,3584.6,3584.0,3584.6,117,354.0,380471820.0,3582.597175141243,3584.3
IF0000,2024-06-03 10:12:00,3584.4,3584.4,3580.0,3581.2,3581.2,3581.6,115,343.0,368585400.0,3581.9766763848397,3581.3999999999996
IF0000,2024-06-03 10:13:00,3581.6,3583.6,3581.2,3582.2,3581.6,3582.4,107,185.0,198829920.0,3582.521081081081,3582.0
IF0000,2024-06-03 10:14:00,3582.2,3584.2,3581.4,3584.0,3584.0,3584.2,111,297.0,319235100.0,3582.885521885522,3584.1
IF0000,2024-06-03 10:15:00,3584.2,3585.4,3582.6,3583.8,3583.4,3583.8,111,541.0,581717880.0,3584.2136783733827,3583.6000000000004
IF0000,2024-06-03 10:16:00,3583.8,3584.0,3582.2,3583.4,3583.0,3583.6,103,183.0,196720320.0,3583.248087431694,3583.3
IF0000,2024-06-03 10:17:00,3583.4,3583.8,3581.2,3582.0,3581.6,3582.0,114,295.0,317057820.0,3582.5742372881355,3581.8
IF0000,2024-06-03 10:18:00,3582.0,3584.0,3581.8,3584.0,3583.8,3584.0,104,185.0,198856320.0,3582.996756756757,3583.9
IF0000,2024-06-03 10:19:00,3584.0,3586.4,3583.2,3585.2,3585.2,3585.6,115,380.0,408731340.0,3585.3626315789475,3585.3999999999996
IF0000,2024-06-03 10:20:00,3585.2,3586.0,3583.0,3583.6,3583.6,3584.0,118,342.0,367743000.0,3584.2397660818715,3583.8
IF0000,2024-06-03 10:21:00,3584.0,3584.0,3581.4,3581.8,3581.8,3582.0,112,271.0,291255060.0,3582.473062730627,3581.9
IF0000,2024-06-03 10:22:00,3581.6,3582.4,3580.0,3581.8,3581.8,3582.2,117,265.0,284680440.0,3580.886037735849,3582.0
IF0000,2024-06-03 10:23:00,3581.8,3583.2,3581.0,3583.0,3582.4,3583.0,110,147.0,157976100.0,3582.2244897959185,3582.7
IF0000,2024-06-03 10:24:00,3583.0,3583.8,3581.8,3583.0,3582.8,3583.0,109,153.0,164448960.0,3582.7660130718955,3582.9
