hm,mean,sd,n,se,t
09:31,-1.3290569029895103,41.182116568120286,6,16.812528686618638,-0.07905157681885938
09:32,-64.43852564653321,,1,,
09:33,4.944447676110386,6.9925049619994395,2,4.944447676110385,1.0000000000000002
09:34,10.322284665671104,,1,,
09:35,-33.40385257766396,,1,,
09:36,12.956140369947988,43.11789030630758,4,21.55894515315379,0.6009635572570059
09:37,-18.832825152180355,41.37753994444382,5,18.50459841149785,-1.0177375770813033
09:38,-7.319786847806992,,1,,
09:39,33.64139246429805,6.715379909685113,2,4.748490672382248,7.084649583489791
09:40,26.540671391490548,,1,,
09:41,45.29297098956334,,1,,
09:43,16.312738500975588,,1,,
09:44,30.76698764722738,28.478673638484864,5,12.736050032936685,2.4157401680788713
09:45,9.232402630251322,15.496779672847286,3,8.947069915690701,1.0318911908869992
09:47,9.076535691279073,,1,,
09:50,35.5632718210083,,1,,
09:51,-13.592342980120426,,1,,
09:52,-32.85661474570554,55.09729253870658,2,38.95966917913839,-0.8433494287292145
09:53,28.978854044126628,,1,,
09:54,6.586860644940093,9.315227657535871,2,6.586860644940092,1.0000000000000002
09:57,-10.25925412449693,,1,,
09:58,44.93441250348972,,1,,
10:02,20.09225457735364,,1,,
10:03,-35.61736770692097,,1,,
10:06,-12.132738898019985,16.75476474906463,2,11.847407771248923,-1.0240838445236518
10:10,-5.862319245156353,,1,,
10:11,-31.157059906528822,,1,,
10:12,7.906990365186615,,1,,
10:17,34.47406037164515,,1,,
10:20,-7.41156208444121,9.249960110415518,2,6.540709519779878,-1.1331434398711286
10:21,-26.046090255364415,,1,,
10:22,17.00583867127714,,1,,
10:29,17.141694994042933,,1,,
10:42,-3.0473446546789327,,1,,
10:43,-7.591733445802947,,1,,
10:45,-10.638653597403788,30.70438473925022,2,21.711278661284574,-0.4900058519526339
10:51,23.27385570209364,,1,,
10:52,10.75862871099944,,1,,
10:57,22.739247386372586,,1,,
10:59,9.717633339811755,,1,,
13:01,12.672843504464938,,1,,
13:02,33.95919283769725,,1,,
13:04,-16.65001665001665,,1,,
13:07,-1.851366745861121,38.711293413005436,2,27.37301808083827,-0.06763473214366228
13:08,-20.28155771531044,25.819011045760117,2,18.256797793987353,-1.110904439221533
13:11,-24.249422632793408,,1,,
13:15,5.560270404730753,,1,,
13:20,-29.853268369617005,,1,,
13:21,18.3325812274381,,1,,
13:23,21.156354151572764,,1,,
13:26,7.745044605719336,,1,,
13:27,1.9514914970722557,,1,,
13:35,-19.762652578302813,34.434713752092605,2,24.349019602322343,-0.8116405876324443
14:01,-13.856213156523173,63.8271761056929,2,45.13262904832342,-0.3070109906889614
14:02,11.534674356450594,,1,,
14:03,-10.83582264394019,,1,,
14:12,-11.169664337266845,,1,,
14:17,44.337434301319455,,1,,
14:18,-49.09598706452982,,1,,
14:20,-2.602058517405143,,1,,
14:21,-17.523432267387253,1.7007495830280914,2,1.2026115632593566,-14.571148991694944
14:23,23.205263776291115,,1,,
14:24,2.769586332730364,8.290382625507528,3,4.786454640521768,0.5786300175673352
14:25,-2.92253997189884,1.6642192429923468,2,1.176780712101031,-2.483504311250072
14:28,-17.88174596194839,,1,,
14:29,39.90669701823853,,1,,
