hm,mean,sd,n,se,t
09:31,-0.00017229992057518905,0.007765218554237649,235,0.0005065470056324682,-0.34014596603933633
09:32,0.0004872040776913766,0.007078580033116455,234,0.00046274125278703926,1.0528650185324961
09:33,-0.00014077600203229922,0.0068168225455615145,232,0.000447546325947708,-0.3145506819527499
09:34,0.00022370539967871508,0.0067676226458987625,237,0.0004396043305231319,0.5088789717164621
09:35,-0.0008268514656217239,0.006851183839914317,236,0.00044597408152393205,-1.8540347968121842
09:36,-0.0002707871180483665,0.006774852434616456,235,0.00044194264338947746,-0.6127200488542262
09:37,0.0007908293810076835,0.006532935432183377,237,0.00042435975781779454,1.8635824119478321
09:38,-2.3824765766645502e-05,0.006616077429768337,234,0.00043250651176704544,-0.05508533425151731
09:39,-0.000209174989043133,0.006492337797762425,233,0.0004253271907938179,-0.4917978289907473
09:40,-0.00022374319341561207,0.0068093396658670735,237,0.00044231414216514226,-0.5058468000149888
09:41,0.00022211135604694688,0.006873647076042666,236,0.0004474363136482595,0.49640887266372835
09:42,-3.15339982212668e-05,0.0069334257604983535,237,0.00045037440016292983,-0.07001729718620528
09:43,-0.0007365915087289615,0.006933421411968197,236,0.0004513272914976329,-1.6320562097734892
09:44,0.00046157175752695997,0.007268674229247196,236,0.0004731503910900359,0.9755286399818855
09:45,0.00019721821359103945,0.007042001391956743,236,0.0004583952461721471,0.4302361667969295
09:46,-0.0003159537546354224,0.007146179514155473,234,0.00046716036910661235,-0.6763282494181724
09:47,-4.746663222301887e-05,0.007146439670618029,236,0.0004651935990539594,-0.1020362969730223
09:48,-0.0003344774162662795,0.00712965336434246,236,0.000464100903587256,-0.720699773865866
09:49,-0.00019239385742216852,0.006966821217508097,233,0.0004564116331449575,-0.42153583180265636
09:50,0.00013735276808369445,0.006833456493956587,236,0.0004448201295915235,0.30878271675750135
09:51,-0.0005498049085165626,0.006996463609864558,236,0.00045543098904261527,-1.2072189239303535
09:52,-9.764680531162329e-05,0.006931878520809131,234,0.00045315107491615954,-0.21548399797945877
09:53,0.0008320036826665274,0.006621391543609114,235,0.0004319319586574891,1.9262378390627142
