hm,mean,sd,n,se
9:31,0.00025855771422490944,0.006646644104234773,2651,0.00012909147442668824
9:32,-5.67E-05,0.0066128505806141175,2639,0.0001287268122598865
9:33,-1.44E-05,0.006445252289184863,2642,0.00012539306416914372
9:34,0.00015850253992180007,0.006272924492606651,2641,0.00012206351145698824
9:35,-0.000140588,0.0063009822100784565,2648,0.0001224473140473848
9:36,-0.00015702,0.006148237208586691,2652,0.00011938887367447028
9:37,0.00011164120060742893,0.006000220755921455,2637,0.00011684554646694232
9:38,8.347912714499274e-06,0.005852042121199076,2644,0.00011380902898618228
9:39,0.00010890988240609296,0.00574075415163829,2639,0.00011175044300478937
9:40,-0.000203763,0.005879031471842826,2639,0.0001144421715446646
9:41,-0.000142252,0.005777437795888742,2639,0.00011246453271978757
9:42,-3.68E-05,0.005674613989733846,2632,0.00011060974266273322
9:43,-0.000158465,0.005539163777106301,2623,0.00010815461629257101
9:44,-3.14E-05,0.005555849483566441,2628,0.00010837716620094097
9:45,1.759449312233612e-05,0.005621071452372721,2633,0.00010954528165330849
9:46,-4.54E-05,0.005604019909422466,2637,0.00010913011293490887
9:47,-3.68E-05,0.005491424799690048,2622,0.00010724293644921219
9:48,0.00020132289188875633,0.005465505415674568,2621,0.00010675711243930539
9:49,-0.000149335,0.005527712078591567,2632,0.00010774632629335417
9:50,0.00013372379193408516,0.0055471738971797566,2625,0.00010826974821831847
9:51,-8.93E-05,0.005357644870934941,2632,0.00010443137128349786
9:52,3.183002611468905e-05,0.005345202213692823,2626,0.00010430779834512863
9:53,8.04808226510461e-05,0.005260397323375671,2624,0.00010269200487754159
9:54,2.9064188378401363e-05,0.005348953621210619,2639,0.00010412359090691496
9:55,0.0001387829920602335,0.005320892003299167,2629,0.00010377414196794937
9:56,0.00012147435203726212,0.00523488690129741,2638,0.00010192246244467731
9:57,-1.41E-05,0.005072811132799077,2615,9.920026828174544e-05
9:58,5.124450290226778e-05,0.004993266834760949,2636,9.725502995196378e-05
9:59,-9.73E-06,0.005004686601652607,2618,9.781198343075834e-05
10:00,5.628762420043074e-05,0.005089197794472282,2633,9.917995359221705e-05
10:01,-1.75E-05,0.005006693118217481,2621,9.779518260795112e-05
10:02,-5.63E-05,0.004989430560281145,2642,9.706989863882358e-05
10:03,2.7185255971129555e-06,0.004973475433958263,2616,9.723913957145663e-05
10:04,7.479143247721639e-05,0.0048829260597408495,2632,9.517813826388944e-05
10:05,0.0001146473401601804,0.004853865352887397,2610,9.50095959339117e-05
10:06,-0.000101616,0.005033951602043054,2626,9.823396526326802e-05
10:07,-1.23E-05,0.004864809547398474,2621,9.502378652081625e-05
10:08,-3.49E-07,0.0048684255962298,2611,9.527634781768172e-05
10:09,-8.70E-05,0.004856698221761595,2621,9.486534889479823e-05
10:10,6.2103619386935375e-06,0.004859743621938515,2617,9.499735143216229e-05
10:11,2.4107928067480323e-05,0.004833518771221425,2621,9.44125872525718e-05
10:12,-0.0001792,0.004906988442045466,2617,9.59208842619166e-05
10:13,6.326923408406415e-05,0.004882577996060522,2624,9.531632166991292e-05
10:14,1.0805341886337667e-05,0.00484486253447135,2612,9.479706094268248e-05
10:15,-0.000109168,0.0048822772761783805,2629,9.521977421659422e-05
10:16,2.456230662712187e-05,0.004788565660739818,2620,9.355237151721421e-05
10:17,-0.000236691,0.004887981582759984,2612,9.564075031866064e-05
10:18,1.9349434555221187e-05,0.004826072637735568,2617,9.433915738567919e-05
10:19,-9.93E-05,0.00494220550306157,2618,9.659084798980904e-05
10:20,-0.000139089,0.0049461910653538525,2616,9.670568795154347e-05
10:21,8.113139801883447e-06,0.004865937771248937,2619,9.50821079502305e-05
10:22,-5.12E-05,0.004818939662877549,2600,9.450718221476485e-05
10:23,-6.11E-07,0.004748325016784765,2608,9.297937973339775e-05
10:24,-0.000187647,0.004953835315076931,2619,9.679965637433793e-05
10:25,0.0001761902221474133,0.004982281672214972,2613,9.746721835254551e-05
10:26,-5.20E-05,0.004950286002785955,2628,9.656452545250264e-05
10:27,4.580070501076495e-05,0.0049436758482621045,2607,9.682320874909221e-05
10:28,-3.79E-05,0.004873606529065423,2616,9.528654796611427e-05
10:29,-0.000189996,0.005025578676217715,2620,9.818280393671618e-05
10:30,4.793514550545225e-07,0.005039289170399811,2630,9.826331379313399e-05
10:31,5.006908281962182e-05,0.005091427115398047,2610,9.965963161157182e-05
10:32,-0.000246558,0.005017030734466274,2617,9.807197023244158e-05
10:33,2.3796801249563497e-05,0.004991680247529883,2618,9.755778623616751e-05
10:34,-6.98E-05,0.005002729226772541,2615,9.782979662460482e-05
10:35,3.862455395582553e-05,0.00500278442371484,2613,9.786830891480937e-05
10:36,2.1574119959732425e-05,0.005021499534946503,2620,9.810311131752453e-05
10:37,0.00016518492820707045,0.004797355861532896,2623,9.367048950014275e-05
10:38,0.00017876251945006866,0.00472446342453812,2621,9.22824212345147e-05
10:39,5.3042477753242605e-05,0.004765052359911008,2624,9.302201908043528e-05
10:40,4.399706363580688e-05,0.004737827926289486,2633,9.233234250940065e-05
10:41,2.1022762239428148e-05,0.004755462755100966,2610,9.308346276481287e-05
10:42,-0.000208731,0.004769006984394811,2609,9.336646561778623e-05
10:43,-0.000156195,0.004700174532218417,2615,9.191325329508612e-05
10:44,-0.000162448,0.0047221868128352815,2624,9.21852098626566e-05
10:45,5.737105510356877e-05,0.0049318459035398235,2607,9.659151612957342e-05
10:46,-6.98E-05,0.004884293084769798,2624,9.534980315187545e-05
10:47,7.84372699413406e-05,0.00500539186027692,2609,9.79943515610928e-05
10:48,9.591984743644192e-05,0.004979735104564343,2603,9.760434630608046e-05
10:49,0.00011628421438611672,0.00499620146167763,2621,9.759025024182679e-05
10:50,-0.000113503,0.005072588461468688,2624,9.902565281753769e-05
10:51,-9.34E-05,0.005029436330800256,2624,9.818324899503797e-05
10:52,-0.000148055,0.005128326987639797,2611,0.00010036268525405024
10:53,-1.17E-05,0.005114039990399798,2613,0.00010004477570742212
10:54,-6.76E-05,0.005265459212396998,2622,0.00010283001739783135
10:55,-3.75E-05,0.00531288837695624,2606,0.00010407429696406114
10:56,-0.000284053,0.00552037734987343,2614,0.00010797320023156769
10:57,-0.000160615,0.0057072517851272965,2620,0.00011150039013185901
10:58,-0.000167916,0.005822786181632396,2608,0.00011401895312022626
10:59,1.936511851513742e-05,0.006056462317485343,2606,0.00011864018459629822
11:00,0.00017683675753980875,0.006298664621769759,2633,0.00012275043928506644
11:01,4.387787356652647e-05,0.006254497873327377,2621,0.0001221684148000787
11:02,0.00016670486826464917,0.0062277081731574304,2627,0.00012150613797058478
11:03,-0.000107322,0.006255512329073684,2617,0.00012228157477908106
11:04,-0.000229871,0.006332844071165529,2607,0.00012403043854371297
11:05,1.994561435585964e-07,0.006444613981617645,2602,0.000126340695419208
11:06,0.00015081275840899381,0.006256232871563919,2605,0.0001225770152251689
11:07,7.772400528577544e-05,0.006140512376925508,2623,0.00011989621298273023
11:08,-3.43E-05,0.0061729388492381045,2621,0.00012057533140834561
11:09,2.5282949028838e-05,0.006290480445365124,2610,0.0001231299102660086
11:10,5.625118448304393e-05,0.006207513621115734,2607,0.0001215758082847216
11:11,1.696959082176327e-06,0.00606907108306034,2609,0.0001188188061922836
11:12,0.00020667262180929947,0.00594409938701482,2603,0.00011650618413742146
11:13,-0.000292816,0.005952011829587596,2601,0.00011670611430563914
11:14,-0.000234305,0.006025417906932319,2628,0.00011753697069391108
11:15,9.629408284060285e-05,0.006009979711713312,2615,0.0001175268670885527
11:16,-1.09E-05,0.005974641564275157,2623,0.00011665751219354587
11:17,-0.000261366,0.0060140840530925315,2619,0.00011751728362344678
11:18,0.00026813106303446096,0.005870510493984534,2623,0.00011462430710978128
11:19,-0.000116204,0.0058753677846588035,2622,0.00011474102203520605
11:20,9.349768200143368e-05,0.005785169922803647,2616,0.00011310902266192185
11:21,0.0001325877959463013,0.005639741341561159,2619,0.00011020249749557729
11:22,0.00023441538267613218,0.005439411414286111,2597,0.00010673723134503948
11:23,-3.51E-05,0.005387489472542148,2603,0.00010559645787511632
11:24,0.0001823875069921684,0.005253858174483239,2613,0.00010278000634556841
11:25,6.756771523513422e-05,0.005234923494573469,2620,0.00010227269339622406
11:26,0.0001499511234501583,0.0051893322529810715,2613,0.00010151770074058342
11:27,4.063286506920585e-05,0.005182255059454992,2603,0.00010157379998102008
11:28,-4.76E-05,0.005221197543914254,2595,0.0001024947083413919
11:29,-0.000189388,0.0053401775894684885,2603,0.00010466913035207566
13:00,0.0003188669844252323,0.004981073938165714,2630,9.712814940007626e-05
13:01,1.2423480757935353e-05,0.004850942462761265,2620,9.477100318485737e-05
13:02,-7.25E-05,0.004937633589898127,2606,9.67234220021735e-05
13:03,0.00014490161995375355,0.004796000360145631,2578,9.445778352425686e-05
13:04,-5.98E-05,0.004838022077071734,2605,9.479031838734624e-05
13:05,7.990014880728776e-05,0.004842142126754713,2610,9.478012541980986e-05
13:06,-2.89E-06,0.004629824665687773,2604,9.072856759651166e-05
13:07,4.812050531996632e-05,0.004568556898199224,2597,8.964850742404555e-05
13:08,1.871357874382679e-05,0.00457479484607373,2590,8.989214447592088e-05
13:09,0.00023282336043696245,0.0045461046338285795,2591,8.931115807697512e-05
13:10,-0.000119539,0.00448665870730375,2607,8.787240626950011e-05
13:11,-7.45E-06,0.004504053091162099,2608,8.81961662738319e-05
13:12,0.00010077350537212107,0.004283334863483304,2603,8.395468646055777e-05
13:13,-4.57E-05,0.004348299323991953,2601,8.526077105866575e-05
13:14,-0.000144414,0.004465244406799635,2592,8.770568332509235e-05
13:15,0.0001734065206080013,0.004493345286993008,2601,8.81048095488825e-05
13:16,-8.76E-07,0.004466245533288544,2597,8.764085788368969e-05
13:17,-9.16E-06,0.004470557868216402,2598,8.77085936669256e-05
13:18,-0.000181755,0.004477860273270018,2590,8.798743466567411e-05
13:19,1.3152129836758575e-05,0.004361638800194488,2601,8.55223294155782e-05
13:20,-0.000144021,0.004514478663814986,2619,8.821447536549456e-05
13:21,0.00018313771986957554,0.004542778840949898,2598,8.912550854386903e-05
13:22,1.6329194757816105e-05,0.004539056391692686,2595,8.910393776499348e-05
13:23,-2.62E-07,0.004503664186443478,2602,8.829017019061682e-05
13:24,-5.09E-05,0.004453519465846458,2611,8.715652755777983e-05
13:25,-0.000108123,0.004414616178123483,2607,8.646143413950382e-05
13:26,-0.000172885,0.004492650491054993,2607,8.798975695080133e-05
13:27,9.153573294672841e-05,0.004513380480212778,2590,8.868538674478287e-05
13:28,3.0204699122820275e-05,0.0045910182417366495,2608,8.989907534813923e-05
13:29,-7.74E-05,0.004655214587626091,2603,9.124364392863132e-05
13:30,-0.000155083,0.004727923784604363,2618,9.240290945069458e-05
13:31,0.000135539828384618,0.0047122089987398415,2609,9.225448838810994e-05
13:32,-8.99E-06,0.004684899867924242,2600,9.187844556066912e-05
13:33,0.0001453335095535462,0.004661035677784649,2602,9.137529269941459e-05
13:34,7.155230703247003e-07,0.004664009180413068,2617,9.11711714985069e-05
13:35,-8.32E-05,0.004741953354982116,2626,9.253582830718808e-05
13:36,5.377650486505676e-05,0.004750213988770521,2601,9.31414507602063e-05
13:37,0.0001644074816521274,0.004717438970538284,2610,9.233918492755694e-05
13:38,1.6529602789863814e-05,0.004723676747791186,2610,9.246128322514803e-05
13:39,1.5894705746515757e-05,0.0047575081861804145,2615,9.30344292477703e-05
13:40,-5.48E-06,0.004855612012774683,2609,9.506199792273269e-05
13:41,4.250302210002412e-06,0.004910376982639652,2598,9.633747559420201e-05
13:42,-7.87E-05,0.004929202421030786,2619,9.631832110024934e-05
13:43,0.00012402605577978187,0.004999502494448791,2595,9.814272409935185e-05
13:44,-0.000110032,0.005040934896570166,2600,9.886086693985424e-05
13:45,2.1742572060286812e-05,0.0049197254964195546,2612,9.626186798636221e-05
13:46,-5.52E-05,0.004966286387191447,2604,9.732205487677995e-05
13:47,-6.35E-05,0.005061917249144464,2598,9.931056844991555e-05
13:48,3.60541475311449e-05,0.0050048804501966766,2609,9.798433929819826e-05
13:49,-4.02E-05,0.005086327654813455,2604,9.967444898460226e-05
13:50,3.760164227867048e-05,0.0050786636271230815,2617,9.927675838979792e-05
13:51,-5.82E-05,0.005139707904804174,2613,0.0001005469111510799
