hm,mean,sd,n,se
9:31,0.00025645817289744077,0.00476008870703075,3772,7.750490782325888e-05
9:32,-6.65E-05,0.004711191917893609,3774,7.668843027750457e-05
9:33,-0.000194226,0.004658858254982136,3770,7.5876767744107e-05
9:34,4.230126466720621e-05,0.004664379748065174,3781,7.585610905994304e-05
9:35,-0.000177112,0.004733379008179099,3776,7.702918229179114e-05
9:36,0.00013048604228588502,0.004625875299017415,3749,7.55503013540765e-05
9:37,-0.000112471,0.004666770091646748,3765,7.605607613252816e-05
9:38,9.935162841693954e-05,0.004570810240721447,3749,7.465097279906252e-05
9:39,-5.40E-05,0.004619753825598864,3750,7.54402640665851e-05
9:40,-4.88E-05,0.004600223405498593,3754,7.50813009538955e-05
9:41,5.892869666910732e-05,0.0046220684163253084,3745,7.552843025700522e-05
9:42,-0.00015359,0.004436319533943389,3744,7.250282010291726e-05
9:43,-0.000137408,0.004562530717319155,3762,7.438689065950081e-05
9:44,1.8149290315645444e-05,0.004560499720485906,3738,7.459209155941494e-05
9:45,2.487439582274678e-05,0.004552940912829627,3765,7.420095995577148e-05
9:46,-0.000101017,0.004531215672215172,3768,7.381749218063932e-05
9:47,0.0001301968159129764,0.004401951935232853,3728,7.209536491105234e-05
9:48,5.208354635445624e-05,0.004347123252559646,3737,7.11115925564727e-05
9:49,-1.67E-05,0.004324155864170851,3736,7.074535104323088e-05
9:50,-8.76E-05,0.004347818534666147,3739,7.110394173079803e-05
9:51,-6.40E-05,0.004311615137757377,3732,7.057797124996298e-05
9:52,5.5955673781155505e-05,0.004228050564199274,3742,6.911754133278549e-05
9:53,0.0001647542987110344,0.0041734804297114455,3725,6.838096775362275e-05
9:54,5.167502433024365e-06,0.004274196184042144,3740,6.989058105903946e-05
9:55,0.00017171754341529317,0.004191690318581002,3735,6.85873283750287e-05
9:56,-5.92E-05,0.004192059372904341,3740,6.854750058037769e-05
9:57,6.276766446708758e-05,0.004085509545631118,3740,6.680522460164072e-05
9:58,6.227064581810961e-05,0.004008240547218236,3730,6.56295401276216e-05
9:59,-7.47E-06,0.004076745068038174,3742,6.664409317364006e-05
10:00,4.365726473316181e-05,0.00404693290230458,3751,6.60773278364097e-05
10:01,-9.46E-05,0.004005451517579493,3751,6.540002996076989e-05
10:02,-4.46E-05,0.003981262074461233,3723,6.524905838459365e-05
10:03,3.2826598942077426e-05,0.003943268533390373,3748,6.441048392367033e-05
10:04,6.242050153563613e-05,0.00396172253449086,3734,6.483311657555073e-05
10:05,6.234478740658508e-05,0.003900805673045213,3754,6.3665943777969e-05
10:06,-1.38E-05,0.003922313580295369,3736,6.417101044826352e-05
10:07,-5.84E-05,0.00383891442739751,3710,6.302625128184058e-05
10:08,6.575404849715435e-05,0.00380919669613291,3706,6.257209434979341e-05
10:09,-5.78E-05,0.0038418990043853447,3732,6.288906333551068e-05
10:10,-2.79E-05,0.0038294091369675946,3718,6.280252086309316e-05
10:11,-3.24E-05,0.003796737804927033,3724,6.221652784510293e-05
10:12,-7.16E-05,0.003791989877137993,3728,6.210537914853871e-05
10:13,3.6483160520843235e-06,0.0037650154659081892,3722,6.171327300638517e-05
10:14,9.150097711307072e-06,0.00382181036077224,3718,6.267790051476428e-05
10:15,-8.63E-05,0.003837812594530077,3746,6.270466864620487e-05
10:16,2.847330516274362e-05,0.003817405562318441,3714,6.263936583910124e-05
10:17,-0.000126443,0.003843701776694393,3727,6.296076381814654e-05
10:18,5.331676663272323e-05,0.003847715104153484,3709,6.317925369342575e-05
10:19,5.4844198155514084e-05,0.003902904201360382,3701,6.415468085958095e-05
10:20,-7.51E-05,0.0038405139199851886,3726,6.291698722252537e-05
10:21,2.2199127630821397e-05,0.00381542861668885,3710,6.264066763956982e-05
10:22,-1.02E-05,0.003814343198994266,3712,6.260597489533499e-05
