code,rank,q,mpb,n_total,cum1,cum5,cum10,cum20
IC0000,1,2.7393948233053357e-08,-86.833336,36504413,-29.5,27.5,-5.5,-42.0
IC0000,9129,0.0002500793534195441,-13.25,36504413,-21570.5,-21616.5,-22203.5,-20724.0
IC0000,18257,0.0005001313128908552,-11.5,36504413,-35333.0,-35837.5,-37750.0,-31813.0
IC0000,27386,0.0007502106663103993,-10.75,36504413,-47259.5,-47209.5,-48235.0,-41592.0
IC0000,36514,0.0010002626257817103,-10.0,36504413,-59225.5,-59380.5,-60009.5,-53576.0
IC0000,45642,0.0012503145852530214,-9.573529,36504413,-69828.5,-68724.5,-69626.5,-60946.0
IC0000,54771,0.0015003939386725655,-9.25,36504413,-79351.5,-78657.5,-79288.5,-69211.0
IC0000,63899,0.0017504458981438765,-9.0,36504413,-89225.0,-89026.0,-89176.5,-78548.5
IC0000,73028,0.0020005252515634207,-8.75,36504413,-98006.5,-97032.5,-97925.0,-87395.5
IC0000,82156,0.0022505772110347315,-8.5,36504413,-108378.0,-106637.0,-106118.0,-93421.0
IC0000,91284,0.0025006291705060428,-8.25,36504413,-117875.0,-114870.0,-112548.5,-98651.5
IC0000,100413,0.0027507085239255867,-8.0,36504413,-128701.0,-124791.0,-121207.0,-105339.5
IC0000,109541,0.003000760483396898,-7.818182,36504413,-138534.5,-135233.0,-130160.0,-113333.0
IC0000,118670,0.003250839836816442,-7.75,36504413,-145662.0,-142429.5,-137641.5,-119693.0
IC0000,127798,0.003500891796287753,-7.5,36504413,-156520.0,-152988.0,-149250.5,-131378.5
IC0000,136926,0.003750943755759064,-7.5,36504413,-163726.0,-159971.5,-156877.0,-138655.0
IC0000,146055,0.004001023109178608,-7.25,36504413,-175947.5,-173648.5,-171335.5,-153452.5
IC0000,155183,0.004251075068649919,-7.25,36504413,-181775.5,-178569.0,-176147.0,-154657.5
IC0000,164311,0.00450112702812123,-7.25,36504413,-188308.0,-185829.0,-182357.0,-160688.5
IC0000,173440,0.004751206381540775,-7.0,36504413,-200311.5,-198922.0,-195376.0,-172809.5
IC0000,182568,0.0050012583410120855,-7.0,36504413,-206202.0,-205133.5,-201612.5,-178415.0
IC0000,191697,0.005251337694431629,-6.83,36504413,-218398.0,-218026.0,-214418.5,-191190.5
IC0000,200825,0.00550138965390294,-6.75,36504413,-226730.0,-225973.5,-222922.0,-199296.5
IC0000,209953,0.005751441613374251,-6.75,36504413,-231851.0,-232363.5,-228646.5,-203175.0
IC0000,219082,0.006001520966793796,-6.75,36504413,-238059.5,-239775.0,-234888.0,-208224.5
IC0000,228210,0.006251572926265107,-6.5,36504413,-251090.5,-253183.5,-247884.5,-222114.0
