code,rank,q,mpb,n_total,cum1,cum5,cum10,cum20
IC0000,1,1.709104003935041e-07,-62.166668,5851019,-2.5,2.0,13.5,32.0
IC0000,1464,0.00025021282617609003,-15.75,5851019,-5339.0,-5511.5,-6127.0,-5229.5
IC0000,2927,0.0005002547419517865,-13.75,5851019,-8942.5,-10330.5,-11910.5,-11718.5
IC0000,4390,0.0007502966577274831,-12.5,5851019,-12166.5,-14771.5,-17174.5,-16137.0
IC0000,5853,0.0010003385735031795,-11.75,5851019,-15330.0,-17685.5,-19951.5,-18185.0
IC0000,7316,0.001250380489278876,-11.0,5851019,-18154.5,-20941.0,-23862.5,-22872.0
IC0000,8779,0.0015004224050545725,-10.5,5851019,-20725.5,-23850.0,-26295.0,-25568.0
IC0000,10242,0.001750464320830269,-10.25,5851019,-22786.0,-26785.0,-29614.0,-28440.0
IC0000,11705,0.0020005062366059657,-9.75,5851019,-25282.5,-29784.0,-33226.0,-30327.5
IC0000,13169,0.0022507190627820556,-9.5,5851019,-26999.0,-31101.0,-33609.0,-29343.0
IC0000,14632,0.002500760978557752,-9.25,5851019,-28960.5,-33619.5,-35806.5,-31456.5
IC0000,16095,0.0027508028943334486,-9.0,5851019,-30543.5,-35795.0,-38584.0,-33441.0
IC0000,17558,0.003000844810109145,-8.75,5851019,-32327.0,-38433.0,-40623.5,-34736.0
IC0000,19021,0.0032508867258848415,-8.75,5851019,-33667.5,-39764.5,-42135.5,-36852.5
IC0000,20484,0.003500928641660538,-8.5,5851019,-35528.0,-41922.0,-43806.0,-37998.5
IC0000,21947,0.0037509705574362345,-8.25,5851019,-37801.5,-44049.0,-45278.5,-38192.0
IC0000,23410,0.004001012473211931,-8.25,5851019,-39361.0,-45604.5,-45907.5,-38609.5
IC0000,24874,0.004251225299388021,-8.0,5851019,-41575.5,-48201.0,-48704.0,-41688.0
IC0000,26337,0.004501267215163717,-7.95,5851019,-43140.5,-50203.0,-49789.0,-41863.0
IC0000,27800,0.004751309130939414,-7.75,5851019,-45103.5,-52482.5,-51508.0,-42806.0
IC0000,29263,0.00500135104671511,-7.75,5851019,-46590.5,-54184.0,-53895.0,-44930.5
IC0000,30726,0.005251392962490807,-7.5,5851019,-48503.0,-56477.5,-56111.5,-47801.5
IC0000,32189,0.005501434878266503,-7.5,5851019,-49906.5,-57886.5,-58498.0,-50027.5
IC0000,33652,0.0057514767940422,-7.25,5851019,-52579.0,-61693.0,-61605.5,-53086.5
IC0000,35115,0.006001518709817896,-7.25,5851019,-53548.5,-62896.0,-62740.5,-54731.0
IC0000,36579,0.006251731535993987,-7.25,5851019,-54820.0,-64245.0,-63711.5,-55562.5
IC0000,38042,0.006501773451769683,-7.0,5851019,-57103.5,-67016.5,-66611.5,-57367.5
IC0000,39505,0.00675181536754538,-7.0,5851019,-58425.0,-68087.5,-67154.5,-57305.5
IC0000,40968,0.007001857283321076,-7.0,5851019,-59831.5,-70240.5,-69269.5,-60005.0
IC0000,42431,0.007251899199096773,-6.8333335,5851019,-61912.0,-73133.0,-72209.0,-63049.0
IC0000,43894,0.007501941114872469,-6.75,5851019,-63210.0,-74575.0,-73619.5,-64636.5
IC0000,45357,0.007751983030648166,-6.75,5851019,-64013.0,-75700.0,-74456.0,-65292.5
IC0000,46820,0.008002024946423863,-6.75,5851019,-65377.5,-77909.0,-76086.5,-67108.0
IC0000,48283,0.008252066862199559,-6.5833335,5851019,-67052.5,-79896.5,-78022.0,-67939.5
IC0000,49747,0.008502279688375648,-6.5,5851019,-68491.0,-81456.0,-79337.0,-69541.5
IC0000,51210,0.008752321604151346,-6.5,5851019,-69815.5,-82905.5,-80439.0,-70113.0
IC0000,52673,0.009002363519927042,-6.5,5851019,-70977.0,-85029.5,-83154.5,-73018.5
IC0000,54136,0.009252405435702738,-6.5,5851019,-72769.0,-87271.5,-85427.0,-74950.5
IC0000,55599,0.009502447351478436,-6.25,5851019,-74724.0,-89636.0,-87432.0,-76705.5
IC0000,57062,0.009752489267254132,-6.25,5851019,-76108.0,-91790.0,-89850.5,-79382.5
IC0000,58525,0.010002531183029828,-6.25,5851019,-76932.0,-92880.0,-90712.5,-80217.5
IC0000,59988,0.010252573098805524,-6.25,5851019,-77349.0,-93920.5,-91964.0,-81143.5
IC0000,61452,0.010502785924981614,-6.25,5851019,-78891.5,-96346.0,-94314.0,-82883.0
IC0000,62915,0.01075282784075731,-6.0833335,5851019,-80867.0,-98822.0,-96324.0,-84628.5
IC0000,64378,0.011002869756533007,-6.0,5851019,-82185.5,-100709.5,-98029.0,-85927.0
IC0000,65841,0.011252911672308704,-6.0,5851019,-83661.5,-102138.5,-99711.0,-87578.0
IC0000,67304,0.0115029535880844,-6.0,5851019,-84474.0,-103043.5,-100587.5,-88261.0
IC0000,68767,0.011752995503860096,-6.0,5851019,-86222.0,-105959.5,-103837.0,-91442.0
IC0000,70230,0.012003037419635793,-6.0,5851019,-87635.0,-107818.5,-105547.0,-92413.5
IC0000,71693,0.01225307933541149,-5.785714,5851019,-89933.5,-110916.0,-109019.0,-95982.5
IC0000,73157,0.01250329216158758,-5.75,5851019,-90738.5,-112025.0,-110169.5,-97459.0
IC0000,74620,0.012753334077363277,-5.75,5851019,-92211.5,-113744.5,-111720.0,-98616.5
IC0000,76083,0.013003375993138973,-5.75,5851019,-92841.5,-114662.0,-112689.0,-99573.5
IC0000,77546,0.01325341790891467,-5.75,5851019,-93522.5,-115422.0,-113362.0,-100260.5
IC0000,79009,0.013503459824690365,-5.75,5851019,-94576.0,-117957.0,-115590.5,-102313.5
IC0000,80472,0.013753501740466063,-5.75,5851019,-95954.0,-120415.5,-118402.0,-105728.0
IC0000,81935,0.014003543656241759,-5.6666665,5851019,-97764.5,-122685.5,-120846.5,-108394.0
IC0000,83398,0.014253585572017455,-5.5,5851019,-99977.5,-124651.0,-122401.0,-110250.5
IC0000,84861,0.014503627487793151,-5.5,5851019,-101139.5,-126024.5,-124172.0,-112125.0
IC0000,86325,0.014753840313969242,-5.5,5851019,-102618.0,-127963.0,-126029.0,-114032.5
IC0000,87788,0.015003882229744938,-5.5,5851019,-103373.5,-128991.0,-127380.5,-115755.0
IC0000,89251,0.015253924145520636,-5.5,5851019,-104161.5,-130036.0,-128244.0,-116690.0
IC0000,90714,0.015503966061296332,-5.5,5851019,-105376.0,-132450.0,-130963.5,-118861.5
IC0000,92177,0.015754007977072028,-5.5,5851019,-106700.0,-133917.5,-131893.5,-120166.0
IC0000,93640,0.016004049892847726,-5.464286,5851019,-108272.5,-135667.0,-133449.5,-121812.0
IC0000,95103,0.01625409180862342,-5.25,5851019,-110792.0,-139221.0,-136981.5,-124516.5
IC0000,96566,0.016504133724399118,-5.25,5851019,-111494.0,-140097.0,-138427.5,-126361.0
IC0000,98030,0.016754346550575207,-5.25,5851019,-112309.0,-141130.5,-139869.5,-127788.5
IC0000,99493,0.017004388466350905,-5.25,5851019,-113782.5,-142955.5,-141850.0,-130041.0
IC0000,100956,0.0172544303821266,-5.25,5851019,-114170.5,-143519.0,-142248.0,-130661.5
IC0000,102419,0.017504472297902297,-5.25,5851019,-115062.0,-144326.0,-142808.0,-130848.5
IC0000,103882,0.017754514213677994,-5.25,5851019,-115654.0,-144661.5,-142997.5,-130603.0
IC0000,105345,0.01800455612945369,-5.25,5851019,-116637.5,-145931.0,-144652.0,-132142.0
IC0000,106808,0.018254598045229387,-5.25,5851019,-117955.0,-148215.5,-146603.5,-134276.0
IC0000,108271,0.018504639961005084,-5.25,5851019,-119240.0,-149491.0,-147797.5,-135449.0
IC0000,109735,0.018754852787181173,-5.15,5851019,-120559.0,-151250.0,-149588.0,-136319.0
IC0000,111198,0.01900489470295687,-5.0,5851019,-122423.0,-153605.0,-151858.0,-138676.5
IC0000,112661,0.019254936618732565,-5.0,5851019,-123102.5,-154722.5,-152920.5,-139735.5
IC0000,114124,0.019504978534508263,-5.0,5851019,-124588.5,-156711.0,-155299.0,-142898.5
IC0000,115587,0.019755020450283958,-5.0,5851019,-125869.0,-158346.5,-157153.0,-144427.5
IC0000,117050,0.020005062366059655,-5.0,5851019,-126686.0,-159371.5,-158280.5,-145532.5
IC0000,118513,0.020255104281835353,-5.0,5851019,-127694.5,-160371.5,-158843.5,-146005.0
IC0000,119976,0.020505146197611047,-5.0,5851019,-128378.0,-161309.0,-159971.5,-147307.5
IC0000,121439,0.020755188113386745,-5.0,5851019,-129731.0,-163167.5,-161035.5,-147645.0
IC0000,122903,0.021005400939562834,-5.0,5851019,-131284.5,-164973.5,-163902.5,-151765.5
IC0000,124366,0.021255442855338532,-5.0,5851019,-132323.5,-166441.0,-164968.0,-153222.5
IC0000,125829,0.02150548477111423,-5.0,5851019,-133850.5,-168109.0,-166692.5,-155256.5
IC0000,127292,0.021755526686889924,-4.888889,5851019,-135666.5,-170188.0,-168364.5,-156573.0
IC0000,128755,0.022005568602665622,-4.75,5851019,-137556.5,-172206.5,-170739.5,-159062.0
IC0000,130218,0.022255610518441316,-4.75,5851019,-138288.5,-173180.5,-172524.0,-160938.5
IC0000,131681,0.022505652434217014,-4.75,5851019,-139354.0,-174680.0,-174054.0,-162382.0
IC0000,133144,0.022755694349992712,-4.75,5851019,-140763.5,-177061.5,-176715.0,-165270.5
IC0000,134608,0.0230059071761688,-4.75,5851019,-141747.0,-178194.5,-177444.0,-165730.0
IC0000,136071,0.0232559490919445,-4.75,5851019,-142335.0,-178970.0,-177995.0,-166284.5
IC0000,137534,0.023505991007720193,-4.75,5851019,-143064.5,-179690.0,-178863.0,-166803.0
IC0000,138997,0.02375603292349589,-4.75,5851019,-143717.5,-180675.5,-179830.0,-167614.0
IC0000,140460,0.024006074839271585,-4.75,5851019,-144370.5,-181410.5,-180657.5,-168581.0
IC0000,141923,0.024256116755047283,-4.75,5851019,-144859.5,-181896.0,-181659.5,-169521.5
IC0000,143386,0.02450615867082298,-4.75,5851019,-145668.0,-183184.5,-183383.0,-171080.5
IC0000,144849,0.024756200586598675,-4.75,5851019,-146634.5,-184415.0,-184545.0,-171793.0
IC0000,146313,0.025006413412774767,-4.75,5851019,-147995.0,-186763.0,-186592.0,-173346.0
IC0000,147776,0.02525645532855046,-4.75,5851019,-149422.5,-188528.0,-187930.5,-175095.0
IC0000,149239,0.02550649724432616,-4.714286,5851019,-150570.5,-189979.5,-189300.0,-176459.5
IC0000,150702,0.025756539160101857,-4.6,5851019,-152972.0,-192945.5,-192035.0,-178713.5
