code,rank,q,mpb,n_total,cum1,cum5,cum10,cum20
IC0000,1,1.709106340767433e-07,-62.166668,5851011,0.0,1.0,31.0,62.0
IC0000,1464,0.0002502131682883522,-15.75,5851011,16191.0,21196.0,21332.0,19516.0
IC0000,2927,0.0005002554259426276,-13.75,5851011,28322.0,37025.0,36759.0,33451.0
IC0000,4390,0.0007502976835969032,-12.5,5851011,38552.0,50721.0,50010.0,46968.0
IC0000,5853,0.0010003399412511786,-11.75,5851011,48533.0,65739.0,64483.0,61600.0
IC0000,7316,0.0012503821989054541,-11.0,5851011,57198.0,79042.0,77194.0,73816.0
IC0000,8779,0.0015004244565597297,-10.5,5851011,65120.0,91114.0,89767.0,86380.0
IC0000,10242,0.001750466714214005,-10.25,5851011,72968.0,102272.0,101333.0,97833.0
IC0000,11705,0.0020005089718682805,-9.75,5851011,80437.0,113258.0,112572.0,110208.0
IC0000,13169,0.002250722140156633,-9.5,5851011,88298.0,125301.0,126160.0,125108.0
IC0000,14632,0.0025007643978109083,-9.25,5851011,95285.0,135692.0,137299.0,136091.0
IC0000,16095,0.0027508066554651836,-9.0,5851011,102192.0,146174.0,148005.0,147304.0
IC0000,17558,0.0030008489131194594,-8.75,5851011,109065.0,155892.0,158445.0,158624.0
IC0000,19021,0.0032508911707737347,-8.75,5851011,115756.0,166740.0,169463.0,168833.0
IC0000,20484,0.00350093342842801,-8.5,5851011,122359.0,176558.0,180800.0,180127.0
IC0000,21947,0.0037509756860822857,-8.25,5851011,128045.0,186055.0,191385.0,192154.0
IC0000,23410,0.004001017943736561,-8.25,5851011,133624.0,196327.0,203109.0,204234.0
IC0000,24874,0.004251231112024913,-8.0,5851011,139093.0,205070.0,212338.0,213031.0
IC0000,26337,0.004501273369679188,-7.95,5851011,144947.0,214609.0,222557.0,224568.0
IC0000,27800,0.004751315627333465,-7.75,5851011,150543.0,223368.0,232339.0,235047.0
IC0000,29263,0.00500135788498774,-7.75,5851011,156129.0,232480.0,241455.0,244573.0
IC0000,30726,0.005251400142642015,-7.5,5851011,161497.0,240802.0,250304.0,252904.0
IC0000,32189,0.0055014424002962905,-7.5,5851011,167325.0,249443.0,258601.0,260736.0
IC0000,33652,0.005751484657950566,-7.25,5851011,172342.0,256413.0,266134.0,269018.0
IC0000,35115,0.006001526915604842,-7.25,5851011,177458.0,265567.0,275646.0,278416.0
IC0000,36578,0.006251569173259117,-7.25,5851011,182833.0,274215.0,284996.0,288236.0
IC0000,38042,0.006501782341547469,-7.0,5851011,187606.0,281538.0,293013.0,297074.0
IC0000,39505,0.006751824599201745,-7.0,5851011,192656.0,290547.0,303191.0,307760.0
IC0000,40968,0.00700186685685602,-7.0,5851011,197673.0,298023.0,310972.0,315070.0
IC0000,42431,0.007251909114510296,-6.8333335,5851011,202681.0,305394.0,318308.0,322702.0
IC0000,43894,0.0075019513721645715,-6.75,5851011,206961.0,313125.0,326647.0,331205.0
IC0000,45357,0.007751993629818847,-6.75,5851011,210893.0,321227.0,335867.0,340880.0
IC0000,46820,0.008002035887473122,-6.75,5851011,215904.0,328572.0,343316.0,348558.0
IC0000,48283,0.008252078145127397,-6.5833335,5851011,220684.0,335710.0,351163.0,357296.0
IC0000,49747,0.00850229131341575,-6.5,5851011,225021.0,343482.0,359332.0,365746.0
IC0000,51210,0.008752333571070026,-6.5,5851011,229479.0,350886.0,367777.0,374750.0
IC0000,52673,0.009002375828724301,-6.5,5851011,233894.0,357413.0,374436.0,380797.0
IC0000,54136,0.009252418086378576,-6.5,5851011,238280.0,364372.0,381870.0,388609.0
IC0000,55599,0.009502460344032852,-6.25,5851011,242493.0,370481.0,388905.0,395810.0
IC0000,57062,0.009752502601687127,-6.25,5851011,247591.0,377587.0,395804.0,402246.0
IC0000,58525,0.010002544859341402,-6.25,5851011,250997.0,384641.0,404178.0,410880.0
IC0000,59988,0.010252587116995678,-6.25,5851011,255406.0,391937.0,412349.0,419287.0
IC0000,61451,0.010502629374649953,-6.25,5851011,259411.0,398620.0,418598.0,426878.0
IC0000,62915,0.010752842542938306,-6.0833335,5851011,263537.0,405282.0,425866.0,434311.0
IC0000,64378,0.011002884800592581,-6.0,5851011,267415.0,411911.0,433024.0,441939.0
IC0000,65841,0.011252927058246856,-6.0,5851011,272004.0,418864.0,440591.0,449425.0
IC0000,67304,0.011502969315901132,-6.0,5851011,275160.0,425833.0,448751.0,457960.0
IC0000,68767,0.011753011573555407,-6.0,5851011,279774.0,431488.0,453809.0,463614.0
IC0000,70230,0.012003053831209684,-6.0,5851011,283866.0,438010.0,460701.0,471561.0
IC0000,71693,0.01225309608886396,-5.7826085,5851011,287675.0,443327.0,465776.0,476039.0
IC0000,73156,0.012503138346518235,-5.75,5851011,291429.0,450296.0,473163.0,483291.0
IC0000,74620,0.012753351514806586,-5.75,5851011,296530.0,457210.0,479906.0,490737.0
IC0000,76083,0.013003393772460861,-5.75,5851011,299433.0,463687.0,487376.0,498263.0
IC0000,77546,0.013253436030115138,-5.75,5851011,302351.0,470458.0,495270.0,506436.0
IC0000,79009,0.013503478287769414,-5.75,5851011,307049.0,476205.0,500999.0,512373.0
IC0000,80472,0.013753520545423689,-5.75,5851011,310940.0,482083.0,506735.0,517411.0
IC0000,81935,0.014003562803077964,-5.6666665,5851011,314727.0,487654.0,512937.0,523430.0
IC0000,83398,0.01425360506073224,-5.5,5851011,317738.0,492692.0,519132.0,529574.0
IC0000,84861,0.014503647318386515,-5.5,5851011,321429.0,499296.0,525950.0,536259.0
IC0000,86324,0.01475368957604079,-5.5,5851011,325650.0,505138.0,532053.0,542542.0
IC0000,87788,0.015003902744329143,-5.5,5851011,328431.0,511331.0,539026.0,549083.0
IC0000,89251,0.015253945001983418,-5.5,5851011,331248.0,517396.0,546053.0,556520.0
IC0000,90714,0.015503987259637694,-5.5,5851011,335915.0,522867.0,550857.0,561570.0
IC0000,92177,0.01575402951729197,-5.5,5851011,339675.0,528860.0,557792.0,568342.0
IC0000,93640,0.016004071774946244,-5.456897,5851011,343696.0,534840.0,564303.0,574656.0
IC0000,95103,0.01625411403260052,-5.25,5851011,346977.0,538913.0,568382.0,579263.0
IC0000,96566,0.016504156290254795,-5.25,5851011,349783.0,544688.0,574714.0,585307.0
IC0000,98029,0.01675419854790907,-5.25,5851011,353424.0,550843.0,581067.0,591811.0
IC0000,99493,0.01700441171619742,-5.25,5851011,357438.0,556401.0,586932.0,597465.0
IC0000,100956,0.0172544539738517,-5.25,5851011,360114.0,562807.0,594431.0,604895.0
IC0000,102419,0.017504496231505975,-5.25,5851011,362966.0,568988.0,601656.0,612501.0
IC0000,103882,0.01775453848916025,-5.25,5851011,365453.0,575163.0,609207.0,620694.0
IC0000,105345,0.018004580746814526,-5.25,5851011,369827.0,580632.0,614517.0,626296.0
IC0000,106808,0.0182546230044688,-5.25,5851011,373167.0,586071.0,620307.0,632160.0
IC0000,108271,0.018504665262123077,-5.25,5851011,377181.0,592368.0,626798.0,638998.0
IC0000,109734,0.018754707519777352,-5.15,5851011,380343.0,597099.0,632440.0,645212.0
IC0000,111197,0.019004749777431627,-5.0,5851011,383397.0,601586.0,637322.0,650286.0
IC0000,112661,0.01925496294571998,-5.0,5851011,386692.0,607352.0,643538.0,656894.0
IC0000,114124,0.019505005203374254,-5.0,5851011,390196.0,612180.0,648206.0,661169.0
