code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,1,2.73917751648033e-08,-0.9981025,36507309,-4.0,-5.0,1.0,9.0
IC0000,9130,0.0002500869072546541,-0.96363634,36507309,-4083.0,-5728.0,-6772.0,-7931.0
IC0000,18259,0.0005001464227341434,-0.95238096,36507309,-7420.0,-8200.0,-9829.0,-9724.0
IC0000,27388,0.0007502059382136328,-0.9444444,36507309,-10436.0,-10398.0,-12422.0,-9923.0
IC0000,36517,0.001000265453693122,-0.93650794,36507309,-12964.0,-11403.0,-11997.0,-5425.0
IC0000,45646,0.0012503249691726114,-0.9310345,36507309,-15779.0,-14328.0,-15179.0,-6437.0
IC0000,54775,0.0015003844846521008,-0.9230769,36507309,-18303.0,-16197.0,-16954.0,-5633.0
IC0000,63904,0.0017504440001315901,-0.92,36507309,-21256.0,-19703.0,-20775.0,-7505.0
IC0000,73033,0.0020005035156110793,-0.9166667,36507309,-23473.0,-21569.0,-22435.0,-6936.0
IC0000,82162,0.0022505630310905686,-0.9130435,36507309,-25470.0,-23890.0,-25037.0,-7719.0
IC0000,91292,0.002500649938345223,-0.90909094,36507309,-27838.0,-26967.0,-28451.0,-9606.0
IC0000,100421,0.0027507094538247122,-0.9047619,36507309,-30750.0,-29701.0,-31092.0,-11539.0
IC0000,109550,0.0030007689693042016,-0.9047619,36507309,-33665.0,-35375.0,-36745.0,-18141.0
IC0000,118679,0.003250828484783691,-0.9,36507309,-37353.0,-40184.0,-41514.0,-19928.0
IC0000,127808,0.0035008880002631803,-0.9,36507309,-40901.0,-46137.0,-47057.0,-24228.0
IC0000,136937,0.0037509475157426696,-0.8947368,36507309,-43282.0,-49571.0,-50276.0,-26397.0
IC0000,146066,0.0040010070312221585,-0.8947368,36507309,-46362.0,-52878.0,-53722.0,-29083.0
IC0000,155195,0.004251066546701648,-0.8947368,36507309,-48503.0,-54729.0,-54420.0,-27396.0
IC0000,164324,0.004501126062181137,-0.8888889,36507309,-51700.0,-57478.0,-57734.0,-29293.0
IC0000,173454,0.0047512129694357915,-0.8888889,36507309,-53701.0,-59964.0,-59050.0,-29808.0
IC0000,182583,0.005001272484915281,-0.88235295,36507309,-56039.0,-60708.0,-60160.0,-28650.0
IC0000,191712,0.00525133200039477,-0.88235295,36507309,-58561.0,-63319.0,-63089.0,-30970.0
IC0000,200841,0.0055013915158742595,-0.88235295,36507309,-60479.0,-64229.0,-63627.0,-29130.0
IC0000,209970,0.005751451031353749,-0.875,36507309,-63118.0,-65945.0,-66335.0,-32395.0
IC0000,219099,0.006001510546833238,-0.875,36507309,-66025.0,-69950.0,-70354.0,-35943.0
IC0000,228228,0.006251570062312728,-0.875,36507309,-67535.0,-70815.0,-70236.0,-34700.0
IC0000,237357,0.006501629577792217,-0.8666667,36507309,-69039.0,-71247.0,-69296.0,-33050.0
IC0000,246486,0.006751689093271706,-0.8666667,36507309,-72911.0,-75462.0,-73694.0,-36117.0
IC0000,255616,0.0070017760005263606,-0.8666667,36507309,-75053.0,-78022.0,-76232.0,-36076.0
IC0000,264745,0.00725183551600585,-0.8666667,36507309,-76281.0,-77914.0,-76169.0,-34025.0
IC0000,273874,0.007501895031485339,-0.85714287,36507309,-78659.0,-79360.0,-76463.0,-33541.0
IC0000,283003,0.007751954546964829,-0.85714287,36507309,-81958.0,-82656.0,-79185.0,-36103.0
IC0000,292132,0.008002014062444317,-0.85714287,36507309,-84336.0,-86397.0,-82955.0,-38556.0
IC0000,301261,0.008252073577923806,-0.85714287,36507309,-85520.0,-87168.0,-83665.0,-39503.0
