code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,1,1.7089716912257292e-07,-0.99572647,5851472,-27.0,-64.0,-80.0,-80.0
IC0000,1464,0.00025019345559544674,-0.95555556,5851472,-605.0,-593.0,-960.0,-1444.0
IC0000,2927,0.0005002160140217709,-0.9411765,5851472,-835.0,-325.0,-325.0,-958.0
IC0000,4390,0.0007502385724480951,-0.9310345,5851472,-1163.0,-23.0,-369.0,365.0
IC0000,5853,0.0010002611308744193,-0.9230769,5851472,-1530.0,157.0,462.0,1503.0
IC0000,7317,0.001250454586469866,-0.9148936,5851472,-1649.0,206.0,578.0,2199.0
IC0000,8780,0.0015004771448961902,-0.90909094,5851472,-1747.0,-70.0,-42.0,2146.0
IC0000,10243,0.0017504997033225144,-0.9047619,5851472,-1984.0,-586.0,-1264.0,1195.0
IC0000,11706,0.0020005222617488386,-0.9047619,5851472,-2307.0,-807.0,-1492.0,1166.0
IC0000,13170,0.0022507157173442855,-0.9,5851472,-2880.0,-1891.0,-2798.0,389.0
IC0000,14633,0.0025007382757706097,-0.9,5851472,-3258.0,-2973.0,-4643.0,-1203.0
IC0000,16096,0.002750760834196934,-0.8947368,5851472,-3618.0,-3151.0,-4708.0,-996.0
IC0000,17559,0.003000783392623258,-0.8888889,5851472,-4007.0,-3939.0,-5246.0,-394.0
IC0000,19023,0.0032509768482187045,-0.8888889,5851472,-4256.0,-3759.0,-4945.0,-436.0
IC0000,20486,0.0035009994066450287,-0.88235295,5851472,-4616.0,-4005.0,-5386.0,-286.0
IC0000,21949,0.003751021965071353,-0.88235295,5851472,-4909.0,-3719.0,-5231.0,139.0
IC0000,23412,0.004001044523497677,-0.875,5851472,-5212.0,-3580.0,-5038.0,267.0
IC0000,24875,0.004251067081924001,-0.875,5851472,-5614.0,-4294.0,-5405.0,-388.0
IC0000,26339,0.004501260537519448,-0.8666667,5851472,-5805.0,-3941.0,-4691.0,929.0
IC0000,27802,0.004751283095945772,-0.8666667,5851472,-5867.0,-3629.0,-3934.0,2175.0
IC0000,29265,0.005001305654372097,-0.8666667,5851472,-6028.0,-3696.0,-4390.0,2150.0
IC0000,30728,0.005251328212798421,-0.85714287,5851472,-6113.0,-3687.0,-4620.0,2370.0
IC0000,32192,0.005501521668393868,-0.85714287,5851472,-6492.0,-3971.0,-4655.0,2394.0
IC0000,33655,0.005751544226820192,-0.85714287,5851472,-6989.0,-3816.0,-5282.0,603.0
IC0000,35118,0.006001566785246516,-0.84615386,5851472,-7112.0,-3754.0,-4814.0,1858.0
IC0000,36581,0.00625158934367284,-0.84615386,5851472,-7471.0,-3966.0,-4344.0,3023.0
IC0000,38045,0.006501782799268286,-0.84615386,5851472,-7762.0,-4211.0,-4534.0,3014.0
IC0000,39508,0.0067518053576946105,-0.84615386,5851472,-7766.0,-4143.0,-4434.0,3702.0
IC0000,40971,0.007001827916120935,-0.84,5851472,-8009.0,-4378.0,-4579.0,4009.0
IC0000,42434,0.007251850474547259,-0.8333333,5851472,-8404.0,-4837.0,-4634.0,4809.0
IC0000,43898,0.007502043930142706,-0.8333333,5851472,-8605.0,-4759.0,-4572.0,4881.0
IC0000,45361,0.00775206648856903,-0.8333333,5851472,-8772.0,-4781.0,-4553.0,4800.0
IC0000,46824,0.008002089046995354,-0.8333333,5851472,-8889.0,-4913.0,-5086.0,4154.0
IC0000,48287,0.00825211160542168,-0.8333333,5851472,-9022.0,-5162.0,-5744.0,3457.0
IC0000,49750,0.008502134163848003,-0.82608694,5851472,-9168.0,-4970.0,-5302.0,4312.0
IC0000,51214,0.008752327619443449,-0.8181818,5851472,-9324.0,-5323.0,-5641.0,4217.0
IC0000,52677,0.009002350177869774,-0.8181818,5851472,-10145.0,-5520.0,-5660.0,3916.0
IC0000,54140,0.009252372736296097,-0.8181818,5851472,-10410.0,-5406.0,-5496.0,4350.0
IC0000,55603,0.009502395294722422,-0.8181818,5851472,-10681.0,-5611.0,-5790.0,4527.0
IC0000,57067,0.009752588750317868,-0.8181818,5851472,-10975.0,-6163.0,-6369.0,4205.0
IC0000,58530,0.010002611308744193,-0.8181818,5851472,-11364.0,-6566.0,-6686.0,4336.0
IC0000,59993,0.010252633867170517,-0.8181818,5851472,-11669.0,-6919.0,-6934.0,4205.0
IC0000,61456,0.010502656425596842,-0.8181818,5851472,-12059.0,-7477.0,-7160.0,3166.0
IC0000,62920,0.010752849881192288,-0.8181818,5851472,-12584.0,-8165.0,-8466.0,1834.0
IC0000,64383,0.011002872439618613,-0.8181818,5851472,-12811.0,-8395.0,-8776.0,1749.0
IC0000,65846,0.011252894998044936,-0.8095238,5851472,-13169.0,-8788.0,-9322.0,1538.0
IC0000,67309,0.011502917556471261,-0.8,5851472,-13765.0,-9234.0,-9948.0,987.0
IC0000,68772,0.011752940114897584,-0.8,5851472,-14359.0,-9398.0,-9370.0,1915.0
IC0000,70236,0.012003133570493032,-0.8,5851472,-14746.0,-9934.0,-9983.0,1110.0
IC0000,71699,0.012253156128919356,-0.8,5851472,-15076.0,-10283.0,-10539.0,438.0
IC0000,73162,0.01250317868734568,-0.8,5851472,-15474.0,-11015.0,-11636.0,-617.0
IC0000,74625,0.012753201245772004,-0.8,5851472,-15816.0,-11344.0,-12067.0,-1355.0
IC0000,76089,0.01300339470136745,-0.8,5851472,-16203.0,-11803.0,-12946.0,-2358.0
IC0000,77552,0.013253417259793775,-0.8,5851472,-16865.0,-11989.0,-12187.0,-1652.0
IC0000,79015,0.013503439818220098,-0.8,5851472,-17313.0,-12234.0,-12421.0,-1474.0
IC0000,80478,0.013753462376646423,-0.8,5851472,-17850.0,-12881.0,-13226.0,-1649.0
IC0000,81942,0.01400365583224187,-0.7894737,5851472,-18278.0,-13443.0,-13643.0,-1935.0
IC0000,83405,0.014253678390668195,-0.7777778,5851472,-18662.0,-13899.0,-13968.0,-1708.0
IC0000,84868,0.014503700949094518,-0.7777778,5851472,-19346.0,-14975.0,-14566.0,-1450.0
IC0000,86331,0.014753723507520843,-0.7777778,5851472,-20174.0,-15537.0,-15008.0,-2038.0
IC0000,87795,0.015003916963116289,-0.7777778,5851472,-20547.0,-15784.0,-15413.0,-2257.0
IC0000,89258,0.015253939521542614,-0.7777778,5851472,-20835.0,-16227.0,-15478.0,-2479.0
IC0000,90721,0.015503962079968937,-0.7777778,5851472,-21079.0,-16727.0,-15692.0,-2630.0
IC0000,92184,0.015753984638395262,-0.7777778,5851472,-21390.0,-17023.0,-16360.0,-3089.0
IC0000,93647,0.016004007196821587,-0.7777778,5851472,-21528.0,-17431.0,-16745.0,-3252.0
IC0000,95111,0.016254200652417033,-0.7777778,5851472,-21988.0,-18006.0,-17644.0,-4253.0
IC0000,96574,0.01650422321084336,-0.7777778,5851472,-22280.0,-18801.0,-18454.0,-4820.0
IC0000,98037,0.01675424576926968,-0.7777778,5851472,-22870.0,-19816.0,-19504.0,-7395.0
IC0000,99500,0.017004268327696005,-0.7777778,5851472,-23498.0,-20307.0,-19854.0,-7840.0
IC0000,100964,0.01725446178329145,-0.7777778,5851472,-23904.0,-21157.0,-20583.0,-8699.0
IC0000,102427,0.017504484341717776,-0.7777778,5851472,-24145.0,-21570.0,-21240.0,-8902.0
IC0000,103890,0.0177545069001441,-0.7777778,5851472,-24582.0,-21992.0,-21923.0,-9358.0
IC0000,105353,0.018004529458570423,-0.7647059,5851472,-24800.0,-22017.0,-22036.0,-9403.0
IC0000,106817,0.018254722914165872,-0.75,5851472,-25138.0,-22149.0,-21940.0,-9194.0
IC0000,108280,0.018504745472592194,-0.75,5851472,-25486.0,-22790.0,-22266.0,-8986.0
IC0000,109743,0.01875476803101852,-0.75,5851472,-25824.0,-22906.0,-22865.0,-9579.0
IC0000,111206,0.019004790589444844,-0.75,5851472,-26290.0,-23535.0,-23217.0,-10242.0
IC0000,112669,0.01925481314787117,-0.75,5851472,-26471.0,-23951.0,-23751.0,-10620.0
IC0000,114133,0.019505006603466615,-0.75,5851472,-26835.0,-24647.0,-24667.0,-11166.0
IC0000,115596,0.01975502916189294,-0.75,5851472,-26891.0,-25325.0,-25479.0,-11844.0
IC0000,117059,0.020005051720319262,-0.75,5851472,-27022.0,-25571.0,-25598.0,-12009.0
IC0000,118522,0.020255074278745587,-0.75,5851472,-27382.0,-25835.0,-26104.0,-12998.0
IC0000,119986,0.020505267734341033,-0.75,5851472,-27677.0,-26464.0,-26800.0,-13897.0
IC0000,121449,0.020755290292767358,-0.75,5851472,-27946.0,-27108.0,-27469.0,-14266.0
IC0000,122912,0.021005312851193683,-0.75,5851472,-28152.0,-27769.0,-28163.0,-14818.0
IC0000,124375,0.021255335409620008,-0.75,5851472,-28318.0,-28388.0,-29161.0,-16107.0
IC0000,125839,0.021505528865215454,-0.75,5851472,-28553.0,-28624.0,-29473.0,-16436.0
IC0000,127302,0.02175555142364178,-0.75,5851472,-28796.0,-29107.0,-30557.0,-17376.0
IC0000,128765,0.0220055739820681,-0.75,5851472,-29023.0,-29591.0,-31224.0,-17496.0
IC0000,130228,0.022255596540494426,-0.75,5851472,-29545.0,-29777.0,-31064.0,-17154.0
IC0000,131692,0.022505789996089872,-0.75,5851472,-29645.0,-29704.0,-31611.0,-17803.0
IC0000,133155,0.022755812554516197,-0.75,5851472,-29697.0,-29982.0,-31945.0,-18351.0
IC0000,134618,0.023005835112942522,-0.75,5851472,-30020.0,-30550.0,-32947.0,-19130.0
IC0000,136081,0.023255857671368844,-0.75,5851472,-30060.0,-31256.0,-34112.0,-19809.0
IC0000,137544,0.02350588022979517,-0.75,5851472,-30453.0,-31546.0,-34041.0,-19659.0
