code,rank,q,voi,n_total,cum1,cum20,cum120
IC0000,1,2.7775290346220104e-08,-578.0,36003224,-18.0,-11.0,-43.0
IC0000,9004,0.0002500887142773658,-31.0,36003224,-21830.0,-35416.0,-21916.0
IC0000,18007,0.0005001496532643855,-24.0,36003224,-37973.0,-64886.0,-37572.0
IC0000,27010,0.000750210592251405,-21.0,36003224,-53070.0,-97237.0,-63207.0
IC0000,36013,0.0010002715312384246,-20.0,36003224,-71223.0,-133880.0,-91977.0
IC0000,45016,0.0012503324702254444,-19.0,36003224,-84970.0,-163604.0,-116133.0
IC0000,54019,0.0015003934092124639,-18.0,36003224,-97813.0,-188132.0,-129870.0
IC0000,63022,0.0017504543481994834,-17.0,36003224,-110438.0,-212406.0,-147803.0
IC0000,72025,0.002000515287186503,-16.0,36003224,-122211.0,-236727.0,-165525.0
IC0000,81028,0.002250576226173523,-15.0,36003224,-134891.0,-259841.0,-180871.0
IC0000,90031,0.0025006371651605424,-14.0,36003224,-145396.0,-282235.0,-195854.0
IC0000,99034,0.002750698104147562,-14.0,36003224,-157293.0,-304045.0,-210650.0
IC0000,108037,0.0030007590431345814,-13.0,36003224,-168476.0,-327091.0,-223038.0
IC0000,117040,0.003250819982121601,-13.0,36003224,-179907.0,-348305.0,-238929.0
IC0000,126043,0.003500880921108621,-12.0,36003224,-190033.0,-370323.0,-256630.0
IC0000,135046,0.0037509418600956404,-12.0,36003224,-202213.0,-397723.0,-274701.0
IC0000,144049,0.00400100279908266,-12.0,36003224,-211847.0,-416477.0,-290657.0
IC0000,153052,0.004251063738069679,-11.0,36003224,-222610.0,-439954.0,-309711.0
IC0000,162056,0.004501152452347046,-11.0,36003224,-235777.0,-465288.0,-329155.0
IC0000,171059,0.004751213391334065,-11.0,36003224,-244845.0,-485135.0,-345506.0
IC0000,180062,0.005001274330321085,-11.0,36003224,-253490.0,-503882.0,-356358.0
IC0000,189065,0.005251335269308104,-10.0,36003224,-265209.0,-528934.0,-376710.0
IC0000,198068,0.005501396208295124,-10.0,36003224,-277905.0,-555339.0,-397790.0
IC0000,207071,0.005751457147282144,-10.0,36003224,-289392.0,-581422.0,-419724.0
IC0000,216074,0.006001518086269163,-10.0,36003224,-300226.0,-609184.0,-439726.0
IC0000,225077,0.006251579025256183,-10.0,36003224,-309577.0,-629012.0,-458917.0
IC0000,234080,0.006501639964243202,-10.0,36003224,-319301.0,-647229.0,-471660.0
IC0000,243083,0.006751700903230222,-10.0,36003224,-330351.0,-669328.0,-483239.0
IC0000,252086,0.007001761842217242,-9.0,36003224,-340755.0,-691212.0,-505188.0
IC0000,261089,0.007251822781204261,-9.0,36003224,-352118.0,-717109.0,-520308.0
IC0000,270092,0.007501883720191281,-9.0,36003224,-363480.0,-737937.0,-535812.0
IC0000,279095,0.007751944659178301,-9.0,36003224,-371930.0,-755493.0,-547363.0
IC0000,288098,0.00800200559816532,-9.0,36003224,-380019.0,-774674.0,-557702.0
IC0000,297101,0.008252066537152339,-9.0,36003224,-387524.0,-790258.0,-570137.0
IC0000,306104,0.008502127476139359,-9.0,36003224,-395586.0,-809597.0,-584432.0
IC0000,315107,0.008752188415126379,-9.0,36003224,-403642.0,-825367.0,-592905.0
IC0000,324111,0.009002277129403744,-9.0,36003224,-413358.0,-843926.0,-607075.0
IC0000,333114,0.009252338068390764,-8.0,36003224,-423260.0,-866096.0,-629259.0
IC0000,342117,0.009502399007377784,-8.0,36003224,-431471.0,-884300.0,-640136.0
IC0000,351120,0.009752459946364804,-8.0,36003224,-443842.0,-904578.0,-656587.0
IC0000,360123,0.010002520885351822,-8.0,36003224,-454827.0,-925912.0,-672924.0
IC0000,369126,0.010252581824338842,-8.0,36003224,-462955.0,-944286.0,-686548.0
IC0000,378129,0.010502642763325862,-8.0,36003224,-470688.0,-962397.0,-703560.0
IC0000,387132,0.010752703702312882,-8.0,36003224,-478095.0,-976098.0,-719673.0
IC0000,396135,0.011002764641299902,-8.0,36003224,-485693.0,-992840.0,-735132.0
IC0000,405138,0.01125282558028692,-8.0,36003224,-493268.0,-1.010884e+06,-750784.0
IC0000,414141,0.01150288651927394,-8.0,36003224,-500452.0,-1.024219e+06,-761854.0
IC0000,423144,0.01175294745826096,-8.0,36003224,-508050.0,-1.04191e+06,-775349.0
IC0000,432147,0.01200300839724798,-8.0,36003224,-517435.0,-1.059718e+06,-790667.0
IC0000,441150,0.012253069336235,-7.0,36003224,-525219.0,-1.081244e+06,-812704.0
IC0000,450153,0.012503130275222018,-7.0,36003224,-533217.0,-1.09817e+06,-828749.0
IC0000,459156,0.012753191214209038,-7.0,36003224,-543007.0,-1.121081e+06,-833497.0
IC0000,468159,0.013003252153196058,-7.0,36003224,-554162.0,-1.139911e+06,-849982.0
IC0000,477162,0.013253313092183078,-7.0,36003224,-563055.0,-1.159333e+06,-864935.0
IC0000,486166,0.013503401806460444,-7.0,36003224,-572313.0,-1.177571e+06,-883908.0
IC0000,495169,0.013753462745447463,-7.0,36003224,-578886.0,-1.195381e+06,-900933.0
IC0000,504172,0.014003523684434483,-7.0,36003224,-585458.0,-1.212541e+06,-910423.0
IC0000,513175,0.014253584623421502,-7.0,36003224,-592581.0,-1.227278e+06,-926685.0
IC0000,522178,0.014503645562408522,-7.0,36003224,-598504.0,-1.241898e+06,-940962.0
IC0000,531181,0.014753706501395542,-7.0,36003224,-605324.0,-1.25679e+06,-952389.0
IC0000,540184,0.015003767440382561,-7.0,36003224,-610923.0,-1.269958e+06,-965765.0
IC0000,549187,0.015253828379369581,-7.0,36003224,-618855.0,-1.290593e+06,-982911.0
IC0000,558190,0.015503889318356601,-7.0,36003224,-625248.0,-1.302459e+06,-992321.0
IC0000,567193,0.01575395025734362,-7.0,36003224,-631199.0,-1.314966e+06,-1.000509e+06
IC0000,576196,0.01600401119633064,-7.0,36003224,-638655.0,-1.331702e+06,-1.013775e+06
IC0000,585199,0.016254072135317658,-7.0,36003224,-648018.0,-1.349425e+06,-1.024004e+06
IC0000,594202,0.016504133074304678,-6.0,36003224,-655474.0,-1.366716e+06,-1.040067e+06
IC0000,603205,0.016754194013291698,-6.0,36003224,-664327.0,-1.390241e+06,-1.067558e+06
IC0000,612208,0.017004254952278718,-6.0,36003224,-670519.0,-1.401707e+06,-1.076578e+06
IC0000,621211,0.017254315891265738,-6.0,36003224,-676104.0,-1.415674e+06,-1.077514e+06
IC0000,630214,0.017504376830252757,-6.0,36003224,-687817.0,-1.443601e+06,-1.105065e+06
IC0000,639218,0.017754465544530123,-6.0,36003224,-697719.0,-1.460919e+06,-1.124957e+06
IC0000,648221,0.018004526483517143,-6.0,36003224,-705729.0,-1.475634e+06,-1.136065e+06
IC0000,657224,0.018254587422504163,-6.0,36003224,-714591.0,-1.498058e+06,-1.159767e+06
IC0000,666227,0.018504648361491183,-6.0,36003224,-722432.0,-1.510873e+06,-1.173264e+06
IC0000,675230,0.018754709300478203,-6.0,36003224,-729184.0,-1.528699e+06,-1.189511e+06
