code,rank,q,voi,n_total,cum1,cum5,cum10,cum20
IC0000,1,1.709106340767433e-07,-470.0,5851011,0.0,-64.0,-75.0,-57.0
IC0000,1464,0.0002502131682883522,-27.0,5851011,-2642.0,-5120.0,-6406.0,-6184.0
IC0000,2927,0.0005002554259426276,-20.0,5851011,-5194.0,-10096.0,-11992.0,-11788.0
IC0000,4390,0.0007502976835969032,-19.0,5851011,-7767.0,-14613.0,-17568.0,-18255.0
IC0000,5853,0.0010003399412511786,-18.0,5851011,-9746.0,-18863.0,-23295.0,-24008.0
IC0000,7316,0.0012503821989054541,-16.0,5851011,-11542.0,-22500.0,-27537.0,-28051.0
IC0000,8779,0.0015004244565597297,-15.0,5851011,-13114.0,-25732.0,-31596.0,-32363.0
IC0000,10242,0.001750466714214005,-14.0,5851011,-14708.0,-28718.0,-35011.0,-36277.0
IC0000,11705,0.0020005089718682805,-14.0,5851011,-16199.0,-32176.0,-39001.0,-39886.0
IC0000,13169,0.002250722140156633,-13.0,5851011,-17767.0,-35031.0,-42426.0,-43590.0
IC0000,14632,0.0025007643978109083,-12.0,5851011,-19589.0,-38595.0,-45782.0,-46333.0
IC0000,16095,0.0027508066554651836,-12.0,5851011,-21132.0,-41600.0,-49530.0,-49476.0
IC0000,17558,0.0030008489131194594,-11.0,5851011,-22642.0,-44739.0,-53439.0,-52611.0
IC0000,19021,0.0032508911707737347,-11.0,5851011,-24026.0,-47338.0,-56453.0,-55229.0
IC0000,20484,0.00350093342842801,-11.0,5851011,-25468.0,-50497.0,-60225.0,-58733.0
IC0000,21947,0.0037509756860822857,-10.0,5851011,-27233.0,-54462.0,-64473.0,-63159.0
IC0000,23410,0.004001017943736561,-10.0,5851011,-29129.0,-57798.0,-68411.0,-67566.0
IC0000,24874,0.004251231112024913,-10.0,5851011,-30466.0,-60100.0,-71097.0,-70290.0
IC0000,26337,0.004501273369679188,-10.0,5851011,-31619.0,-62116.0,-73378.0,-72486.0
IC0000,27800,0.004751315627333465,-10.0,5851011,-34039.0,-67096.0,-79469.0,-78735.0
IC0000,29263,0.00500135788498774,-9.0,5851011,-35766.0,-70055.0,-83054.0,-82558.0
IC0000,30726,0.005251400142642015,-9.0,5851011,-37523.0,-73248.0,-86948.0,-87035.0
IC0000,32189,0.0055014424002962905,-9.0,5851011,-38749.0,-75424.0,-89360.0,-89239.0
IC0000,33652,0.005751484657950566,-9.0,5851011,-39788.0,-77516.0,-91873.0,-91752.0
IC0000,35115,0.006001526915604842,-9.0,5851011,-40806.0,-79189.0,-93756.0,-93746.0
IC0000,36578,0.006251569173259117,-9.0,5851011,-42356.0,-82679.0,-97701.0,-98336.0
IC0000,38042,0.006501782341547469,-9.0,5851011,-43836.0,-85906.0,-101716.0,-102606.0
IC0000,39505,0.006751824599201745,-9.0,5851011,-45554.0,-89256.0,-105270.0,-106128.0
IC0000,40968,0.00700186685685602,-8.0,5851011,-47147.0,-92269.0,-109001.0,-109914.0
IC0000,42431,0.007251909114510296,-8.0,5851011,-48797.0,-94755.0,-111607.0,-112894.0
IC0000,43894,0.0075019513721645715,-8.0,5851011,-49806.0,-96704.0,-113969.0,-115289.0
IC0000,45357,0.007751993629818847,-8.0,5851011,-51055.0,-98907.0,-116451.0,-118135.0
IC0000,46820,0.008002035887473122,-8.0,5851011,-51923.0,-100539.0,-118368.0,-120197.0
IC0000,48283,0.008252078145127397,-8.0,5851011,-53150.0,-102653.0,-120935.0,-122656.0
IC0000,49747,0.00850229131341575,-8.0,5851011,-54130.0,-105020.0,-123572.0,-125224.0
IC0000,51210,0.008752333571070026,-8.0,5851011,-55831.0,-108827.0,-128170.0,-130035.0
IC0000,52673,0.009002375828724301,-8.0,5851011,-57161.0,-111963.0,-131846.0,-133652.0
IC0000,54136,0.009252418086378576,-8.0,5851011,-58717.0,-114597.0,-134980.0,-136688.0
IC0000,55599,0.009502460344032852,-7.0,5851011,-59653.0,-116474.0,-137220.0,-138772.0
IC0000,57062,0.009752502601687127,-7.0,5851011,-60526.0,-119416.0,-140958.0,-142814.0
IC0000,58525,0.010002544859341402,-7.0,5851011,-62012.0,-122010.0,-143223.0,-144748.0
IC0000,59988,0.010252587116995678,-7.0,5851011,-63191.0,-124136.0,-145374.0,-147183.0
IC0000,61451,0.010502629374649953,-7.0,5851011,-64247.0,-126231.0,-147802.0,-149826.0
IC0000,62915,0.010752842542938306,-7.0,5851011,-65155.0,-127729.0,-149773.0,-151890.0
IC0000,64378,0.011002884800592581,-7.0,5851011,-66115.0,-129890.0,-152073.0,-154413.0
IC0000,65841,0.011252927058246856,-7.0,5851011,-66873.0,-131548.0,-154025.0,-156129.0
IC0000,67304,0.011502969315901132,-7.0,5851011,-67756.0,-133574.0,-156464.0,-158336.0
IC0000,68767,0.011753011573555407,-7.0,5851011,-68681.0,-135085.0,-158336.0,-160218.0
IC0000,70230,0.012003053831209684,-7.0,5851011,-69660.0,-137221.0,-161204.0,-162858.0
IC0000,71693,0.01225309608886396,-7.0,5851011,-71361.0,-142962.0,-168282.0,-169557.0
IC0000,73156,0.012503138346518235,-7.0,5851011,-72793.0,-146012.0,-171928.0,-173131.0
IC0000,74620,0.012753351514806586,-7.0,5851011,-74234.0,-148724.0,-174789.0,-175954.0
IC0000,76083,0.013003393772460861,-7.0,5851011,-75540.0,-151347.0,-178085.0,-179078.0
IC0000,77546,0.013253436030115138,-6.0,5851011,-76501.0,-153289.0,-180367.0,-181604.0
IC0000,79009,0.013503478287769414,-6.0,5851011,-77570.0,-155648.0,-183479.0,-184699.0
IC0000,80472,0.013753520545423689,-6.0,5851011,-78758.0,-159514.0,-188254.0,-190289.0
IC0000,81935,0.014003562803077964,-6.0,5851011,-80083.0,-162910.0,-191569.0,-194302.0
IC0000,83398,0.01425360506073224,-6.0,5851011,-81505.0,-165513.0,-194386.0,-197085.0
IC0000,84861,0.014503647318386515,-6.0,5851011,-82555.0,-167654.0,-196555.0,-199524.0
IC0000,86324,0.01475368957604079,-6.0,5851011,-83554.0,-169924.0,-199024.0,-201712.0
IC0000,87788,0.015003902744329143,-6.0,5851011,-84677.0,-172330.0,-201836.0,-204313.0
IC0000,89251,0.015253945001983418,-6.0,5851011,-85439.0,-173856.0,-203559.0,-205429.0
IC0000,90714,0.015503987259637694,-6.0,5851011,-86211.0,-175677.0,-205649.0,-207598.0
IC0000,92177,0.01575402951729197,-6.0,5851011,-87153.0,-177619.0,-207725.0,-209850.0
IC0000,93640,0.016004071774946244,-6.0,5851011,-88089.0,-179607.0,-209859.0,-211878.0
IC0000,95103,0.01625411403260052,-6.0,5851011,-88968.0,-181388.0,-211930.0,-213777.0
IC0000,96566,0.016504156290254795,-6.0,5851011,-89758.0,-183140.0,-214380.0,-216054.0
IC0000,98029,0.01675419854790907,-6.0,5851011,-90537.0,-184653.0,-216044.0,-217539.0
IC0000,99493,0.01700441171619742,-6.0,5851011,-91324.0,-186616.0,-218527.0,-220147.0
IC0000,100956,0.0172544539738517,-6.0,5851011,-92287.0,-188198.0,-220271.0,-221864.0
IC0000,102419,0.017504496231505975,-6.0,5851011,-93178.0,-189955.0,-222477.0,-224412.0
IC0000,103882,0.01775453848916025,-6.0,5851011,-94055.0,-191923.0,-224908.0,-226873.0
IC0000,105345,0.018004580746814526,-6.0,5851011,-96190.0,-197872.0,-232698.0,-236397.0
IC0000,106808,0.0182546230044688,-6.0,5851011,-97799.0,-202115.0,-237255.0,-241180.0
IC0000,108271,0.018504665262123077,-6.0,5851011,-99047.0,-204758.0,-240548.0,-244324.0
IC0000,109734,0.018754707519777352,-6.0,5851011,-100552.0,-207693.0,-243935.0,-247374.0
IC0000,111197,0.019004749777431627,-6.0,5851011,-101965.0,-210622.0,-247562.0,-250497.0
IC0000,112661,0.01925496294571998,-6.0,5851011,-103499.0,-213623.0,-251208.0,-254088.0
IC0000,114124,0.019505005203374254,-6.0,5851011,-104777.0,-215855.0,-254036.0,-257043.0
IC0000,115587,0.01975504746102853,-6.0,5851011,-105722.0,-217926.0,-256120.0,-259432.0
IC0000,117050,0.020005089718682804,-5.0,5851011,-106675.0,-219717.0,-258258.0,-261991.0
IC0000,118513,0.02025513197633708,-5.0,5851011,-107645.0,-221551.0,-260567.0,-264582.0
IC0000,119976,0.020505174233991355,-5.0,5851011,-108864.0,-224931.0,-265659.0,-270872.0
IC0000,121439,0.02075521649164563,-5.0,5851011,-110066.0,-227667.0,-268104.0,-273727.0
IC0000,122902,0.021005258749299906,-5.0,5851011,-111598.0,-231944.0,-273007.0,-278999.0
IC0000,124366,0.02125547191758826,-5.0,5851011,-112974.0,-234926.0,-275917.0,-282274.0
IC0000,125829,0.021505514175242536,-5.0,5851011,-114144.0,-236855.0,-277468.0,-284261.0
IC0000,127292,0.02175555643289681,-5.0,5851011,-115258.0,-238965.0,-279897.0,-287098.0
IC0000,128755,0.022005598690551086,-5.0,5851011,-116512.0,-241354.0,-282491.0,-289751.0
IC0000,130218,0.02225564094820536,-5.0,5851011,-117327.0,-242945.0,-284568.0,-291671.0
IC0000,131681,0.022505683205859637,-5.0,5851011,-118321.0,-244933.0,-287034.0,-294302.0
IC0000,133144,0.022755725463513912,-5.0,5851011,-119198.0,-247043.0,-289816.0,-297122.0
IC0000,134607,0.023005767721168188,-5.0,5851011,-120071.0,-249087.0,-292531.0,-299845.0
IC0000,136071,0.02325598088945654,-5.0,5851011,-121048.0,-251455.0,-295120.0,-302346.0
IC0000,137534,0.023506023147110814,-5.0,5851011,-121846.0,-253260.0,-296786.0,-303584.0
IC0000,138997,0.02375606540476509,-5.0,5851011,-122578.0,-254490.0,-298198.0,-305109.0
IC0000,140460,0.024006107662419368,-5.0,5851011,-123233.0,-256068.0,-300223.0,-307183.0
IC0000,141923,0.024256149920073643,-5.0,5851011,-123988.0,-257488.0,-302191.0,-309766.0
IC0000,143386,0.02450619217772792,-5.0,5851011,-124888.0,-259544.0,-304761.0,-311998.0
IC0000,144849,0.024756234435382194,-5.0,5851011,-125937.0,-261750.0,-307631.0,-314673.0
IC0000,146312,0.02500627669303647,-5.0,5851011,-126768.0,-263488.0,-309063.0,-315860.0
IC0000,147775,0.025256318950690745,-5.0,5851011,-127486.0,-265211.0,-311135.0,-318415.0
IC0000,149239,0.025506532118979096,-5.0,5851011,-128253.0,-266913.0,-313401.0,-320507.0
IC0000,150702,0.02575657437663337,-5.0,5851011,-129145.0,-268725.0,-315515.0,-322901.0
IC0000,152165,0.026006616634287646,-5.0,5851011,-129902.0,-270288.0,-317146.0,-324169.0
IC0000,153628,0.026256658891941922,-5.0,5851011,-130591.0,-271803.0,-318776.0,-326200.0
IC0000,155091,0.026506701149596197,-5.0,5851011,-131376.0,-273423.0,-320902.0,-328270.0
IC0000,156554,0.026756743407250472,-5.0,5851011,-132292.0,-275266.0,-323721.0,-330814.0
IC0000,158017,0.027006785664904748,-5.0,5851011,-132987.0,-276665.0,-325177.0,-332422.0
IC0000,159480,0.027256827922559023,-5.0,5851011,-133747.0,-277934.0,-326780.0,-334184.0
IC0000,160944,0.027507041090847378,-5.0,5851011,-134568.0,-279325.0,-328142.0,-335193.0
IC0000,162407,0.027757083348501653,-5.0,5851011,-135447.0,-280918.0,-329852.0,-336684.0
IC0000,163870,0.02800712560615593,-5.0,5851011,-136404.0,-283016.0,-332136.0,-339273.0
IC0000,165333,0.028257167863810204,-5.0,5851011,-137314.0,-284885.0,-334756.0,-341919.0
IC0000,166796,0.02850721012146448,-5.0,5851011,-138627.0,-287853.0,-338580.0,-345764.0
IC0000,168259,0.028757252379118754,-5.0,5851011,-140843.0,-294205.0,-345569.0,-354398.0
IC0000,169722,0.02900729463677303,-5.0,5851011,-142454.0,-298440.0,-350693.0,-360523.0
IC0000,171185,0.029257336894427305,-5.0,5851011,-143848.0,-301136.0,-353423.0,-363157.0
IC0000,172648,0.02950737915208158,-5.0,5851011,-144977.0,-303790.0,-356182.0,-365872.0
IC0000,174112,0.02975759232036993,-5.0,5851011,-146189.0,-306504.0,-358772.0,-367784.0
IC0000,175575,0.030007634578024207,-5.0,5851011,-147534.0,-309518.0,-362129.0,-372127.0
IC0000,177038,0.030257676835678482,-5.0,5851011,-148648.0,-312057.0,-365053.0,-374340.0
IC0000,178501,0.03050771909333276,-5.0,5851011,-149555.0,-314593.0,-367926.0,-377002.0
IC0000,179964,0.030757761350987036,-5.0,5851011,-150676.0,-316746.0,-370417.0,-379166.0
IC0000,181427,0.03100780360864131,-5.0,5851011,-151661.0,-319304.0,-373203.0,-381901.0
IC0000,182890,0.03125784586629558,-5.0,5851011,-153047.0,-321786.0,-375997.0,-384538.0
