code,factor,basis,J,k,bucket,mean_dy,n,nrows
IC0000,voi,last,1,1,neg0.1,-1.9738611,37339,36566022
IC0000,voi,last,1,1,neg1,-1.1968967,446107,36566022
IC0000,voi,last,1,1,neg5,-0.79822445,2071683,36566022
IC0000,voi,last,1,1,pos5,0.79463613,2062685,36566022
IC0000,voi,last,1,1,pos1,1.1920778,440306,36566022
IC0000,voi,last,1,1,pos0.1,1.8734686,44977,36566022
IC0000,voi,last,1,5,neg0.1,-3.6223466,37312,36553929
IC0000,voi,last,1,5,neg1,-2.3116412,445894,36553929
IC0000,voi,last,1,5,neg5,-1.6567059,2070973,36553929
IC0000,voi,last,1,5,pos5,1.680333,2061996,36553929
IC0000,voi,last,1,5,pos1,2.3567123,440125,36553929
IC0000,voi,last,1,5,pos0.1,3.5613656,44960,36553929
IC0000,voi,last,1,20,neg0.1,-3.8321059,37202,36504599
IC0000,voi,last,1,20,neg1,-2.5101411,444873,36504599
IC0000,voi,last,1,20,neg5,-1.8593477,2067645,36504599
IC0000,voi,last,1,20,pos5,1.9363106,2058759,36504599
IC0000,voi,last,1,20,pos1,2.6692574,439248,36504599
IC0000,voi,last,1,20,pos0.1,4.121851,44858,36504599
IC0000,voi,last,1,60,neg0.1,-3.2731915,36813,36336438
IC0000,voi,last,1,60,neg1,-2.1930044,441337,36336438
IC0000,voi,last,1,60,neg5,-1.7302276,2055688,36336438
IC0000,voi,last,1,60,pos5,1.9129558,2046936,36336438
IC0000,voi,last,1,60,pos1,2.5760221,435919,36336438
IC0000,voi,last,1,60,pos0.1,3.9107938,44414,36336438
IC0000,voi,last,1,120,neg0.1,-2.5698252,36083,36004909
IC0000,voi,last,1,120,neg1,-1.8389903,434564,36004909
IC0000,voi,last,1,120,neg5,-1.546244,2031735,36004909
IC0000,voi,last,1,120,pos5,1.7788826,2022907,36004909
IC0000,voi,last,1,120,pos1,2.3088367,429541,36004909
IC0000,voi,last,1,120,pos0.1,3.5248911,43590,36004909
