code,factor,J,k,bucket,mean_dy,n,nrows
IC0000,voi,1,1,neg0.1,-1.8612175,37339,36566020
IC0000,voi,1,1,neg1,-1.0779142,446106,36566020
IC0000,voi,1,1,neg5,-0.7629022,2071683,36566020
IC0000,voi,1,1,pos5,0.77461576,2062684,36566020
IC0000,voi,1,1,pos1,1.1077753,440305,36566020
IC0000,voi,1,1,pos0.1,1.7972363,44976,36566020
IC0000,voi,1,20,neg0.1,-2.8914306,37202,36504641
IC0000,voi,1,20,neg1,-1.7853334,444869,36504641
IC0000,voi,1,20,neg5,-1.3548533,2067643,36504641
IC0000,voi,1,20,pos5,1.4454881,2058750,36504641
IC0000,voi,1,20,pos1,1.9797441,439254,36504641
IC0000,voi,1,20,pos0.1,3.210923,44860,36504641
IC0000,voi,1,60,neg0.1,-2.4334664,36816,36336822
IC0000,voi,1,60,neg1,-1.5376184,441313,36336822
IC0000,voi,1,60,neg5,-1.2729672,2055668,36336822
IC0000,voi,1,60,pos5,1.466787,2046980,36336822
IC0000,voi,1,60,pos1,1.9425853,435925,36336822
IC0000,voi,1,60,pos0.1,3.0605183,44408,36336822
IC0000,voi,1,120,neg0.1,-1.8186278,36075,36005938
IC0000,voi,1,120,neg1,-1.216647,434497,36005938
IC0000,voi,1,120,neg5,-1.119614,2031739,36005938
IC0000,voi,1,120,pos5,1.368729,2022883,36005938
IC0000,voi,1,120,pos1,1.724535,429570,36005938
IC0000,voi,1,120,pos0.1,2.7750401,43590,36005938
IC0000,voi,1,240,neg0.1,-0.9204882,43591,35182119
IC0000,voi,1,240,neg1,-0.8028378,419936,35182119
IC0000,voi,1,240,neg5,-0.9334271,1975797,35182119
IC0000,voi,1,240,pos5,1.2282554,1968225,35182119
IC0000,voi,1,240,pos1,1.4946666,415770,35182119
IC0000,voi,1,240,pos0.1,2.2569668,41984,35182119
IC0000,voi,1,600,neg0.1,-0.15704677,38358,32275279
IC0000,voi,1,600,neg1,-0.4757654,375785,32275279
IC0000,voi,1,600,neg5,-0.7728333,1792133,32275279
IC0000,voi,1,600,pos5,0.94988483,1783252,32275279
IC0000,voi,1,600,pos1,1.1917648,371567,32275279
IC0000,voi,1,600,pos0.1,1.601943,36849,32275279
IC0000,voi,5,1,neg0.1,-0.94860125,37462,36553997
IC0000,voi,5,1,neg1,-0.70818186,380917,36553997
IC0000,voi,5,1,neg5,-0.47621667,1977584,36553997
IC0000,voi,5,1,pos5,0.4855658,1977390,36553997
IC0000,voi,5,1,pos1,0.7118815,382308,36553997
IC0000,voi,5,1,pos0.1,0.8998388,37225,36553997
IC0000,voi,5,20,neg0.1,-1.4211563,37308,36492773
IC0000,voi,5,20,neg1,-1.3164078,380027,36492773
IC0000,voi,5,20,neg5,-0.94544435,1973829,36492773
IC0000,voi,5,20,pos5,1.0811127,1974068,36492773
IC0000,voi,5,20,pos1,1.5647491,381573,36492773
IC0000,voi,5,20,pos0.1,2.0155058,37115,36492773
IC0000,voi,5,60,neg0.1,-0.7473472,36942,36325215
IC0000,voi,5,60,neg1,-0.9537122,376968,36325215
IC0000,voi,5,60,neg5,-0.78641444,1962455,36325215
IC0000,voi,5,60,pos5,1.080833,1963012,36325215
IC0000,voi,5,60,pos1,1.5372477,378869,36325215
IC0000,voi,5,60,pos0.1,1.9844936,36759,36325215
IC0000,voi,5,120,neg0.1,0.28583518,36040,35994498
IC0000,voi,5,120,neg1,-0.46211335,370698,35994498
IC0000,voi,5,120,neg5,-0.5597729,1938153,35994498
IC0000,voi,5,120,pos5,0.91265845,1938951,35994498
IC0000,voi,5,120,pos1,1.2361494,372944,35994498
IC0000,voi,5,120,pos0.1,1.5341647,36046,35994498
IC0000,voi,5,240,neg0.1,1.0691751,37022,35171220
IC0000,voi,5,240,neg1,0.0906773,357493,35171220
IC0000,voi,5,240,neg5,-0.29433483,1881670,35171220
IC0000,voi,5,240,pos5,0.7107419,1885392,35171220
IC0000,voi,5,240,pos1,1.0124123,360852,35171220
IC0000,voi,5,240,pos0.1,1.2735705,37356,35171220
IC0000,voi,5,600,neg0.1,1.6172082,32374,32265530
IC0000,voi,5,600,neg1,0.22682513,368330,32265530
IC0000,voi,5,600,neg5,-0.17896082,1699006,32265530
IC0000,voi,5,600,pos5,0.5025438,1698430,32265530
IC0000,voi,5,600,pos1,0.6529457,369762,32265530
IC0000,voi,5,600,pos0.1,0.905483,32555,32265530
