code,J,k,bucket,mean_dy,n,nrows
IC0000,1,1,neg0.1,-1.9738611,37339,36566022
IC0000,1,1,neg1,-1.1968967,446107,36566022
IC0000,1,1,neg5,-0.79822445,2071683,36566022
IC0000,1,1,pos5,0.79463613,2062685,36566022
IC0000,1,1,pos1,1.1920778,440306,36566022
IC0000,1,1,pos0.1,1.8734686,44977,36566022
IC0000,1,20,neg0.1,-3.8321059,37202,36504599
IC0000,1,20,neg1,-2.5101411,444873,36504599
IC0000,1,20,neg5,-1.8593477,2067645,36504599
IC0000,1,20,pos5,1.9363106,2058759,36504599
IC0000,1,20,pos1,2.6692574,439248,36504599
IC0000,1,20,pos0.1,4.121851,44858,36504599
IC0000,1,60,neg0.1,-3.2731915,36813,36336438
IC0000,1,60,neg1,-2.1930044,441337,36336438
IC0000,1,60,neg5,-1.7302276,2055688,36336438
IC0000,1,60,pos5,1.9129558,2046936,36336438
IC0000,1,60,pos1,2.5760221,435919,36336438
IC0000,1,60,pos0.1,3.9107938,44414,36336438
IC0000,1,120,neg0.1,-2.5698252,36083,36004909
IC0000,1,120,neg1,-1.8389903,434564,36004909
IC0000,1,120,neg5,-1.546244,2031735,36004909
IC0000,1,120,pos5,1.7788826,2022907,36004909
IC0000,1,120,pos1,2.3088367,429541,36004909
IC0000,1,120,pos0.1,3.5248911,43590,36004909
IC0000,1,240,neg0.1,-1.6850085,43598,35181178
IC0000,1,240,neg1,-1.3764288,420013,35181178
IC0000,1,240,neg5,-1.3187947,1975958,35181178
IC0000,1,240,pos5,1.6010054,1968388,35181178
IC0000,1,240,pos1,2.0201943,415810,35181178
IC0000,1,240,pos0.1,2.9823968,41981,35181178
IC0000,1,600,neg0.1,-0.711811,38388,32279516
IC0000,1,600,neg1,-0.91437405,375914,32279516
IC0000,1,600,neg5,-1.0581695,1792743,32279516
IC0000,1,600,pos5,1.2451423,1783662,32279516
IC0000,1,600,pos1,1.5969435,371670,32279516
IC0000,1,600,pos0.1,2.183118,36856,32279516
IC0000,5,1,neg0.1,-1.1051198,37462,36553999
IC0000,5,1,neg1,-0.86931014,380917,36553999
IC0000,5,1,neg5,-0.64139223,1977584,36553999
IC0000,5,1,pos5,0.64497936,1977392,36553999
IC0000,5,1,pos1,0.86041135,382309,36553999
IC0000,5,1,pos0.1,1.0352988,37225,36553999
IC0000,5,20,neg0.1,-2.0979095,37310,36492730
IC0000,5,20,neg1,-2.0076048,380027,36492730
IC0000,5,20,neg5,-1.5980184,1973839,36492730
IC0000,5,20,pos5,1.7223587,1974072,36492730
IC0000,5,20,pos1,2.2223346,381569,36492730
IC0000,5,20,pos0.1,2.587698,37116,36492730
IC0000,5,60,neg0.1,-1.3123274,36942,36324841
IC0000,5,60,neg1,-1.5587392,376963,36324841
IC0000,5,60,neg5,-1.363663,1962372,36324841
IC0000,5,60,pos5,1.6574838,1962979,36324841
IC0000,5,60,pos1,2.124757,378848,36324841
IC0000,5,60,pos0.1,2.5121036,36766,36324841
IC0000,5,120,neg0.1,-0.17637429,36037,35993481
IC0000,5,120,neg1,-0.9798201,370764,35993481
IC0000,5,120,neg5,-1.0904323,1938269,35993481
IC0000,5,120,pos5,1.4378009,1938893,35993481
IC0000,5,120,pos1,1.7517021,372923,35993481
IC0000,5,120,pos0.1,1.9243681,36043,35993481
