year,mode,kind,w,x,n,Sx,Sy,Sxx,Syy,Sxy,hit,nynz
2022,contemp,ofi,1,1,2531116,-2100.0,-778.3999999999933,23682270.0,1066449.9200000213,2924635.0000000224,1876485,2145797
2023,contemp,ofi,1,1,4644331,8994.0,-398.6999999999598,43104072.0,827190.2500000229,3455891.000000038,3398813,3830182
2024,contemp,ofi,1,1,6232335,-136513.0,-974.5000000000164,131988253.0,2107351.9900000542,8760096.500000127,4592353,5248620
2025,contemp,ofi,1,1,6520055,59780.0,1655.6999999999825,232147510.0,1432170.0700000573,9669707.400000198,4672948,5392206
2026,contemp,ofi,1,1,2394068,46766.0,571.5999999999949,66980230.0,974009.8400000007,4380105.400000037,1776892,2064797
2022,contemp,ofi,5,5,2530236,-10575.0,-3861.700000000007,147079767.0,3612030.6700000437,15539092.400000082,1915305,2409304
2023,contemp,ofi,5,5,4642595,43198.0,-2496.69999999995,279717994.0,3129596.150000053,20502771.90000016,3508165,4340445
2024,contemp,ofi,5,5,6230439,-684728.0,-5728.800000000048,970247280.0,9684374.300000118,63155197.80000029,4872614,5900914
2025,contemp,ofi,5,5,6518175,297322.0,7623.99999999993,1797058482.0,6723604.300000112,73858810.4000002,5079975,6147653
2026,contemp,ofi,5,5,2393380,231865.0,2233.499999999979,490310705.0,4688843.810000003,32574815.50000002,1889116,2294615
2022,contemp,ofi,10,10,2529136,-21526.0,-8192.10000000002,328458696.0,7115274.730000063,34053108.700000115,1954691,2453184
2023,contemp,ofi,10,10,4640425,85549.0,-5076.999999999959,621743413.0,6218949.300000072,44959519.80000026,3608583,4446441
2024,contemp,ofi,10,10,6228069,-1368543.0,-11814.000000000058,2233157839.0,20723510.300000153,146605179.5000004,5001922,6017285
2025,contemp,ofi,10,10,6515825,593814.0,14682.099999999944,4155412686.0,14002758.990000136,169029339.20000032,5221526,6279932
2026,contemp,ofi,10,10,2392520,463064.0,3930.099999999973,1123157016.0,9781022.529999994,74611120.29999998,1930501,2330768
2022,contemp,ofi,20,20,2526936,-42236.0,-16853.700000000128,731324698.0,14202974.150000086,73741929.70000021,1988638,2478007
2023,contemp,ofi,20,20,4636085,180214.0,-8728.599999999784,1378715772.0,12471025.860000111,97221840.9000003,3687590,4512230
2024,contemp,ofi,20,20,6223329,-2706291.0,-21526.20000000012,4989467629.0,43296874.64000026,326829450.9000007,5081686,6085179
2025,contemp,ofi,20,20,6511125,1238318.0,32848.39999999992,9474053478.0,28477770.080000203,373926386.20000064,5292058,6358253
2026,contemp,ofi,20,20,2390800,928163.0,7751.300000000016,2516502985.0,20093174.98999998,164774681.99999988,1947380,2350600
2022,contemp,ofi,50,50,2520336,-76506.0,-38262.000000000095,2138525234.0,35735267.82000015,204208582.2000004,2008624,2491872
2023,contemp,ofi,50,50,4623065,461399.0,-18725.599999999755,4003411243.0,31336249.920000162,267401449.60000038,3730799,4550762
2024,contemp,ofi,50,50,6209109,-6715554.0,-54651.200000000055,14319602416.0,113699265.22000024,917170453.1999996,5111009,6128516
2025,contemp,ofi,50,50,6497025,3286731.0,92646.99999999997,28639887673.0,71613207.92000026,1054813157.8000005,5303757,6406383
2026,contemp,ofi,50,50,2385640,2315825.0,14057.800000000032,7384058413.0,50845925.03999995,459993550.1999996,1952912,2361821
2022,contemp,tfi,1,1,2531116,566839.0,-778.3999999999933,18988131.0,1066449.9200000213,1875132.5000000107,1007953,2145797
2023,contemp,tfi,1,1,4644331,669236.0,-398.6999999999598,28965668.0,827190.2500000229,1921229.3000000226,1611178,3830182
2024,contemp,tfi,1,1,6232335,3291795.0,-974.5000000000164,236842361.0,2107351.9900000542,9118994.600000085,3302365,5248620
2025,contemp,tfi,1,1,6520055,4263287.0,1655.6999999999825,501661087.0,1432170.0700000573,12537129.100000149,3688787,5392206
2026,contemp,tfi,1,1,2394068,20388.0,571.5999999999949,134392658.0,974009.8400000007,5744500.700000024,1226151,2064797
2022,contemp,tfi,5,5,2530236,2822590.0,-3861.700000000007,117192372.0,3612030.6700000437,9308675.300000038,1477061,2409304
2023,contemp,tfi,5,5,4642595,3330666.0,-2496.69999999995,178625494.0,3129596.150000053,10213090.000000035,2567661,4340445
2024,contemp,tfi,5,5,6230439,16413947.0,-5728.800000000048,1581780379.0,9684374.300000118,57485276.500000104,3845943,5900914
2025,contemp,tfi,5,5,6518175,21228577.0,7623.99999999993,3369091693.0,6723604.300000112,81088908.20000003,4149116,6147653
2026,contemp,tfi,5,5,2393380,88210.0,2233.499999999979,866005808.0,4688843.810000003,37858948.90000002,1603969,2294615
2022,contemp,tfi,10,10,2529136,5627427.0,-8192.10000000002,265672823.0,7115274.730000063,20089263.500000067,1574587,2453184
2023,contemp,tfi,10,10,4640425,6637849.0,-5076.999999999959,396410691.0,6218949.300000072,21862799.60000008,2813831,4446441
2024,contemp,tfi,10,10,6228069,32750758.0,-11814.000000000058,3614314378.0,20723510.300000153,129416607.20000029,4004970,6017285
2025,contemp,tfi,10,10,6515825,42321003.0,14682.099999999944,7556184089.0,14002758.990000136,177297322.30000034,4308366,6279932
2026,contemp,tfi,10,10,2392520,165543.0,3930.099999999973,1835642465.0,9781022.529999994,81806164.19999996,1663161,2330768
2022,contemp,tfi,20,20,2526936,11207953.0,-16853.700000000128,622105829.0,14202974.150000086,42993994.60000007,1627797,2478007
2023,contemp,tfi,20,20,4636085,13217003.0,-8728.599999999784,898660867.0,12471025.860000111,46287136.300000116,2965861,4512230
2024,contemp,tfi,20,20,6223329,65269692.0,-21526.20000000012,8476271952.0,43296874.64000026,284604932.8000002,4114439,6085179
2025,contemp,tfi,20,20,6511125,84338553.0,32848.39999999992,17375920909.0,28477770.080000203,377941862.5000005,4417794,6358253
2026,contemp,tfi,20,20,2390800,329463.0,7751.300000000016,3846610337.0,20093174.98999998,172417593.29999986,1701809,2350600
2022,contemp,tfi,50,50,2520336,27804962.0,-38262.000000000095,2101960288.0,35735267.82000015,120439167.50000013,1638954,2491872
2023,contemp,tfi,50,50,4623065,32736097.0,-18725.599999999755,2836123719.0,31336249.920000162,123392206.40000011,3038016,4550762
2024,contemp,tfi,50,50,6209109,161826220.0,-54651.200000000055,28518641488.0,113699265.22000024,806211627.2000004,4129656,6128516
2025,contemp,tfi,50,50,6497025,209076608.0,92646.99999999997,56572559740.0,71613207.92000026,1031223872.7000021,4440392,6406383
2026,contemp,tfi,50,50,2385640,705647.0,14057.800000000032,10334648007.0,50845925.03999995,460721097.30000013,1730090,2361821
2022,pred,ofi,5,5,2529356,-10698.0,-4179.000000000016,147072002.0,3599189.4000000446,1568270.0999999614,1173167,2408438
2023,pred,ofi,5,5,4640859,43182.0,-2666.7999999999656,279716100.0,3115981.5200000517,2331096.6999999257,2126993,4338742
2024,pred,ofi,5,5,6228543,-683382.0,-6338.600000000037,970225418.0,9640729.420000095,8812951.799999915,2973888,5899038
2025,pred,ofi,5,5,6516295,301007.0,6934.499999999964,1797138213.0,6694872.730000106,6887266.499999909,3113234,6145813
2026,pred,ofi,5,5,2392692,232928.0,1665.9000000000024,490482482.0,4663064.349999998,3593132.5000000135,1167107,2293931
2022,pred,ofi,5,10,2528256,-10746.0,-8619.800000000034,147028166.0,7089158.720000064,1837334.5999999247,1179994,2452318
2023,pred,ofi,5,10,4638689,43324.0,-4738.99999999995,279593626.0,6195350.960000078,2764422.299999896,2159567,4444729
2024,pred,ofi,5,10,6226173,-683081.0,-11710.60000000004,969894235.0,20639004.88000017,9875602.999999791,2976391,6015406
2025,pred,ofi,5,10,6513945,305996.0,14901.699999999968,1796603400.0,13950449.770000136,7018149.199999831,3123354,6278075
2026,pred,ofi,5,10,2391832,233192.0,3565.299999999974,490361064.0,9718277.209999992,4111086.8000000394,1160507,2330084
2022,pred,ofi,5,20,2526056,-12127.0,-16930.90000000009,146922017.0,14167755.430000078,2112446.399999918,1185628,2477142
2023,pred,ofi,5,20,4634349,42202.0,-8014.7999999998,279403464.0,12435252.820000112,3084855.8999998607,2174784,4510505
2024,pred,ofi,5,20,6221433,-682987.0,-20968.700000000055,969325985.0,43160573.13000018,10302750.29999975,2958388,6083296
2025,pred,ofi,5,20,6509245,311932.0,34077.5,1795630658.0,28388477.830000214,7447238.799999712,3115842,6356386
2026,pred,ofi,5,20,2390112,233138.0,7280.100000000013,490061862.0,19973376.44999998,4035346.400000063,1148496,2349915
2022,pred,ofi,10,5,2528256,-21516.0,-4403.300000000022,328490660.0,3588245.4500000454,1821106.4999999234,1198265,2407353
2023,pred,ofi,10,5,4638689,85166.0,-2042.5999999999494,621694964.0,3104765.020000054,2759769.399999898,2166668,4336614
2024,pred,ofi,10,5,6226173,-1368668.0,-5545.800000000019,2233208346.0,9610801.100000106,9838344.899999786,3002228,5896695
2025,pred,ofi,10,5,6513945,601585.0,7914.89999999995,4155266195.0,6670102.770000104,6991771.899999822,3135500,6143485
2026,pred,ofi,10,5,2391832,464154.0,1888.7999999999893,1123438924.0,4640414.439999997,4053675.500000037,1172865,2293080
2022,pred,ofi,10,10,2527156,-22693.0,-8499.200000000046,328392835.0,7070194.580000065,2243899.399999881,1207483,2451233
2023,pred,ofi,10,10,4636519,84983.0,-3834.8999999999232,621451267.0,6173906.670000074,3323667.1999998423,2205338,4442584
2024,pred,ofi,10,10,6223803,-1368412.0,-10229.900000000038,2232497992.0,20572364.310000136,11056503.299999645,3006528,6013056
2025,pred,ofi,10,10,6511595,610393.0,17089.39999999995,4154159405.0,13899880.940000158,7578394.599999683,3154720,6275756
2026,pred,ofi,10,10,2390972,464213.0,3733.8999999999596,1123142253.0,9667101.829999996,4439467.5000001,1167701,2329229
2022,pred,ofi,10,20,2524956,-23656.0,-16391.40000000012,328198950.0,14135824.520000096,2652489.4999998626,1214922,2476056
2023,pred,ofi,10,20,4632179,83365.0,-6687.799999999821,621110351.0,12398408.040000122,3917697.499999792,2222525,4508356
2024,pred,ofi,10,20,6219063,-1366662.0,-19800.60000000008,2231287746.0,43047303.2000002,11882108.499999577,2991190,6080937
2025,pred,ofi,10,20,6506895,621908.0,36362.2999999999,4151815598.0,28293200.47000021,7700589.099999496,3148766,6354058
2026,pred,ofi,10,20,2389252,465449.0,6929.199999999988,1122408047.0,19880942.25999998,4412632.4000001075,1159470,2349057
2022,pred,ofi,20,5,2526056,-43994.0,-3970.999999999999,731411142.0,3575900.8400000436,2085640.3999999196,1218199,2405202
2023,pred,ofi,20,5,4634349,178015.0,-1551.7999999999747,1378740189.0,3089261.72000005,3071963.3999998635,2196016,4332377
2024,pred,ofi,20,5,6221433,-2708796.0,-4854.499999999997,4989380874.0,9569843.590000125,10209016.999999754,3006627,5892054
2025,pred,ofi,20,5,6509245,1247036.0,9321.199999999935,9473307350.0,6633115.300000103,7400906.499999714,3142802,6138872
2026,pred,ofi,20,5,2390112,929155.0,1748.2999999999756,2516825129.0,4612618.23,3882830.200000063,1171619,2291387
2022,pred,ofi,20,10,2524956,-44753.0,-7648.000000000014,731213003.0,7044946.980000068,2639114.199999861,1230094,2449069
2023,pred,ofi,20,10,4632179,177336.0,-2921.199999999996,1378313118.0,6140988.08000007,3910770.6999997953,2236093,4438329
2024,pred,ofi,20,10,6219063,-2706884.0,-9851.200000000026,4987954884.0,20483025.640000183,11809016.599999586,3012557,6008359
2025,pred,ofi,20,10,6506895,1261423.0,18592.79999999991,9470410519.0,13826270.940000148,7666846.79999949,3163688,6271105
2026,pred,ofi,20,10,2389252,930504.0,3073.8999999999432,2516006248.0,9603636.86999999,4301525.700000109,1169352,2327519
2022,pred,ofi,20,20,2522756,-44350.0,-14281.100000000064,730770154.0,14080088.55000009,3264566.0999998185,1234248,2473878
2023,pred,ofi,20,20,4627839,172907.0,-6209.099999999857,1377642821.0,12323609.69000011,4668325.499999707,2249540,4504063
2024,pred,ofi,20,20,6214323,-2704471.0,-20451.900000000125,4985012721.0,42865693.4900002,13417084.099999437,3002542,6076237
2025,pred,ofi,20,20,6502195,1287489.0,37175.49999999991,9464553479.0,28155903.050000217,7924016.599999279,3161239,6349393
2026,pred,ofi,20,20,2387532,938723.0,4783.399999999967,2514176863.0,19776430.379999973,4656931.5000001555,1165681,2347346
2022,pred,tfi,5,5,2529356,2826671.0,-4179.000000000016,117656657.0,3599189.4000000446,979996.0999999789,1074740,2408438
2023,pred,tfi,5,5,4640859,3336716.0,-2666.7999999999656,179294540.0,3115981.5200000517,1067967.3999999778,1849026,4338742
