product,thr_ticks,month,active_mins,pct_profitable,mean_ret_active,mean_daily_pnl
IC0000,1,ALL,8321,0.49188799423146257,1.4793052363545325e-06,0.0003239289176764754
IC0000,1,2023-01,3229,0.4927222050170331,3.279911378541134e-06,0.0007060555894206215
IC0000,1,2023-02,4444,0.4939243924392439,3.0518263946265862e-06,0.0006781158248860275
IC0000,1,2023-03,648,0.4737654320987654,-1.8277548560684888e-05,-0.003947950489107936
IC0000,2,ALL,7815,0.4948176583493282,4.0773805621969815e-06,0.0008385455024623529
IC0000,2,2023-01,2987,0.4944760629394041,5.419281855130219e-06,0.001079159660084931
IC0000,2,2023-02,4222,0.4966840360018948,5.4815125362037314e-06,0.0011571472963926078
IC0000,2,2023-03,606,0.4834983498349835,-1.2319491312799852e-05,-0.00248853724518557
IC0000,3,ALL,7398,0.49283590159502566,2.1893645349089545e-06,0.00042623470603306437
IC0000,3,2023-01,2801,0.4905390931810068,4.726832867081759e-06,0.0008826572573797339
IC0000,3,2023-02,4029,0.4959046909903202,2.37762165706075e-06,0.0004789718828148881
IC0000,3,2023-03,568,0.4823943661971831,-1.1659115647424867e-05,-0.002207459229245775
IC0000,5,ALL,6217,0.4938073025575036,5.0979341112412906e-06,0.0008340488518312395
IC0000,5,2023-01,2266,0.4885260370697264,6.205292295303272e-06,0.0009374128227438143
IC0000,5,2023-02,3478,0.4968372627947096,5.120561391710974e-06,0.0008904656260185384
IC0000,5,2023-03,473,0.49682875264270615,-3.734640421583053e-07,-5.888283064695946e-05
IC0000,8,ALL,5029,0.4917478623980911,4.534662537500632e-06,0.0006001267868708073
IC0000,8,2023-01,1738,0.4844649021864212,4.837197522462162e-06,0.0005604699529359492
IC0000,8,2023-02,2908,0.4958734525447043,4.863823191918832e-06,0.0007071998921049982
IC0000,8,2023-03,383,0.4934725848563969,6.625868536592104e-07,8.459025498382584e-05
IC0000,10,ALL,4140,0.4929951690821256,3.748417128233091e-06,0.00040838018186539467
IC0000,10,2023-01,1371,0.48723559445660103,6.253893242478393e-07,5.716058423625251e-05
IC0000,10,2023-02,2461,0.49451442503047544,4.811281584482198e-06,0.0005920281989705345
IC0000,10,2023-03,308,0.5064935064935064,9.157383662112079e-06,0.00094015805597684
IC0000,15,ALL,2579,0.4939899185730903,6.5632434832494525e-06,0.00044543697219211415
IC0000,15,2023-01,733,0.4597544338335607,-9.80318510547716e-06,-0.00047904897882098394
IC0000,15,2023-02,1651,0.5069654754694125,1.347906559774828e-05,0.0011126968650941205
IC0000,15,2023-03,195,0.5128205128205128,9.5302683268343e-06,0.0006194674412442295
IC0000,20,ALL,1541,0.4925373134328358,1.4059326270621815e-05,0.0005701426785007425
IC0000,20,2023-01,384,0.4348958333333333,-2.3580409421458438e-05,-0.0006036584811893361
IC0000,20,2023-02,1063,0.510818438381938,2.8164152135314234e-05,0.0014969246859919516
IC0000,20,2023-03,94,0.5212765957446809,8.317077457757703e-06,0.00026060176034307475
IC01,1,ALL,8300,0.49855421686746987,1.912104220623635e-06,0.0004176438166098993
IC01,1,2023-01,3224,0.4987593052109181,-1.7572950345858278e-06,-0.00037770127943364726
IC01,1,2023-02,4428,0.5020325203252033,7.538354943542161e-06,0.0016689917845002344
IC01,1,2023-03,648,0.4737654320987654,-1.8277548560684888e-05,-0.003947950489107936
IC01,2,ALL,7792,0.49974332648870634,1.6113308545268228e-06,0.00033040763206507905
IC01,2,2023-01,2992,0.49732620320855614,-4.222398914750116e-06,-0.0008422278368621565
IC01,2,2023-02,4194,0.5038149737720553,7.786008418445889e-06,0.001632725965348103
IC01,2,2023-03,606,0.4834983498349835,-1.2319491312799852e-05,-0.00248853724518557
IC01,3,ALL,7368,0.4979641693811075,1.06115363210831e-06,0.00020575210424668495
IC01,3,2023-01,2799,0.49517684887459806,-4.15409986204463e-06,-0.0007751550342575279
IC01,3,2023-02,4001,0.5021244688827793,6.515441930261003e-06,0.0013034141581487134
