code,d,mn,close
IC0000,2023-01-04,1970-01-01 09:30:00,5950.7
IC0000,2023-01-04,1970-01-01 09:31:00,5944.3
IC0000,2023-01-04,1970-01-01 09:32:00,5944.9
IC0000,2023-01-04,1970-01-01 09:33:00,5943.200000000001
IC0000,2023-01-04,1970-01-01 09:34:00,5944.8
IC0000,2023-01-04,1970-01-01 09:35:00,5946.1
IC0000,2023-01-04,1970-01-01 09:36:00,5952.200000000001
IC0000,2023-01-04,1970-01-01 09:37:00,5949.6
IC0000,2023-01-04,1970-01-01 09:38:00,5945.6
IC0000,2023-01-04,1970-01-01 09:39:00,5942.6
IC0000,2023-01-04,1970-01-01 09:40:00,5941.200000000001
IC0000,2023-01-04,1970-01-01 09:41:00,5941.4
IC0000,2023-01-04,1970-01-01 09:42:00,5946.200000000001
IC0000,2023-01-04,1970-01-01 09:43:00,5950.799999999999
IC0000,2023-01-04,1970-01-01 09:44:00,5953.3
IC0000,2023-01-04,1970-01-01 09:45:00,5954.5
IC0000,2023-01-04,1970-01-01 09:46:00,5951.799999999999
IC0000,2023-01-04,1970-01-01 09:47:00,5952.0
IC0000,2023-01-04,1970-01-01 09:48:00,5953.8
IC0000,2023-01-04,1970-01-01 09:49:00,5952.3
IC0000,2023-01-04,1970-01-01 09:50:00,5951.7
IC0000,2023-01-04,1970-01-01 09:51:00,5949.6
IC0000,2023-01-04,1970-01-01 09:52:00,5951.3
IC0000,2023-01-04,1970-01-01 09:53:00,5953.0
IC0000,2023-01-04,1970-01-01 09:54:00,5953.9
IC0000,2023-01-04,1970-01-01 09:55:00,5955.299999999999
IC0000,2023-01-04,1970-01-01 09:56:00,5956.4
IC0000,2023-01-04,1970-01-01 09:57:00,5956.6
IC0000,2023-01-04,1970-01-01 09:58:00,5955.4
IC0000,2023-01-04,1970-01-01 09:59:00,5954.3
IC0000,2023-01-04,1970-01-01 10:00:00,5955.4
IC0000,2023-01-04,1970-01-01 10:01:00,5956.3
IC0000,2023-01-04,1970-01-01 10:02:00,5957.7
IC0000,2023-01-04,1970-01-01 10:03:00,5957.6
IC0000,2023-01-04,1970-01-01 10:04:00,5957.3
IC0000,2023-01-04,1970-01-01 10:05:00,5957.4
IC0000,2023-01-04,1970-01-01 10:06:00,5956.4
IC0000,2023-01-04,1970-01-01 10:07:00,5956.6
IC0000,2023-01-04,1970-01-01 10:08:00,5955.5
IC0000,2023-01-04,1970-01-01 10:09:00,5953.4
IC0000,2023-01-04,1970-01-01 10:10:00,5954.4
IC0000,2023-01-04,1970-01-01 10:11:00,5957.3
IC0000,2023-01-04,1970-01-01 10:12:00,5955.3
IC0000,2023-01-04,1970-01-01 10:13:00,5956.7
IC0000,2023-01-04,1970-01-01 10:14:00,5957.5
IC0000,2023-01-04,1970-01-01 10:15:00,5955.0
IC0000,2023-01-04,1970-01-01 10:16:00,5954.0
IC0000,2023-01-04,1970-01-01 10:17:00,5957.5
IC0000,2023-01-04,1970-01-01 10:18:00,5959.1
IC0000,2023-01-04,1970-01-01 10:19:00,5961.3
IC0000,2023-01-04,1970-01-01 10:20:00,5959.6
IC0000,2023-01-04,1970-01-01 10:21:00,5960.9
IC0000,2023-01-04,1970-01-01 10:22:00,5961.4
IC0000,2023-01-04,1970-01-01 10:23:00,5957.6
IC0000,2023-01-04,1970-01-01 10:24:00,5955.9
IC0000,2023-01-04,1970-01-01 10:25:00,5954.8
IC0000,2023-01-04,1970-01-01 10:26:00,5954.8
IC0000,2023-01-04,1970-01-01 10:27:00,5955.7
IC0000,2023-01-04,1970-01-01 10:28:00,5954.5
IC0000,2023-01-04,1970-01-01 10:29:00,5953.6
IC0000,2023-01-04,1970-01-01 10:30:00,5950.1
IC0000,2023-01-04,1970-01-01 10:31:00,5951.5
IC0000,2023-01-04,1970-01-01 10:32:00,5954.5
IC0000,2023-01-04,1970-01-01 10:33:00,5956.799999999999
IC0000,2023-01-04,1970-01-01 10:34:00,5957.1
IC0000,2023-01-04,1970-01-01 10:35:00,5956.0
IC0000,2023-01-04,1970-01-01 10:36:00,5955.7
IC0000,2023-01-04,1970-01-01 10:37:00,5956.200000000001
IC0000,2023-01-04,1970-01-01 10:38:00,5956.5
IC0000,2023-01-04,1970-01-01 10:39:00,5957.2
IC0000,2023-01-04,1970-01-01 10:40:00,5957.3
IC0000,2023-01-04,1970-01-01 10:41:00,5956.7
IC0000,2023-01-04,1970-01-01 10:42:00,5957.1
IC0000,2023-01-04,1970-01-01 10:43:00,5956.5
IC0000,2023-01-04,1970-01-01 10:44:00,5958.5
IC0000,2023-01-04,1970-01-01 10:45:00,5958.1
IC0000,2023-01-04,1970-01-01 10:46:00,5960.9
IC0000,2023-01-04,1970-01-01 10:47:00,5962.799999999999
IC0000,2023-01-04,1970-01-01 10:48:00,5963.1
IC0000,2023-01-04,1970-01-01 10:49:00,5963.6
IC0000,2023-01-04,1970-01-01 10:50:00,5964.7
IC0000,2023-01-04,1970-01-01 10:51:00,5962.1
IC0000,2023-01-04,1970-01-01 10:52:00,5962.5
IC0000,2023-01-04,1970-01-01 10:53:00,5962.6
IC0000,2023-01-04,1970-01-01 10:54:00,5961.799999999999
IC0000,2023-01-04,1970-01-01 10:55:00,5962.9
IC0000,2023-01-04,1970-01-01 10:56:00,5964.3
IC0000,2023-01-04,1970-01-01 10:57:00,5965.2
IC0000,2023-01-04,1970-01-01 10:58:00,5965.4
IC0000,2023-01-04,1970-01-01 10:59:00,5963.3
IC0000,2023-01-04,1970-01-01 11:00:00,5964.1
IC0000,2023-01-04,1970-01-01 11:01:00,5961.7
IC0000,2023-01-04,1970-01-01 11:02:00,5959.7
IC0000,2023-01-04,1970-01-01 11:03:00,5958.799999999999
IC0000,2023-01-04,1970-01-01 11:04:00,5956.9
IC0000,2023-01-04,1970-01-01 11:05:00,5957.5
IC0000,2023-01-04,1970-01-01 11:06:00,5956.1
