product,minute,thr,n,total_bp,mean_bp,median_bp,hit,t,top3_share,jan_bp,feb_bp
IC0000,09:31,5,31,-96.6,-3.12,-1.66,0.355,-1.94,0.68,-48.6,-48.0
IC0000,09:31,10,31,-96.6,-3.12,-1.66,0.355,-1.94,0.68,-48.6,-48.0
IC0000,09:31,15,22,-83.2,-3.78,-1.61,0.364,-1.92,0.79,-52.9,-30.3
IC0000,09:31,20,19,-88.4,-4.65,-2.04,0.316,-2.11,0.75,-57.2,-31.2
IC0000,09:32,5,28,55.6,1.98,0.65,0.5,1.12,1.1,24.4,31.1
IC0000,09:32,10,22,53.5,2.43,1.67,0.5,1.15,1.14,27.0,26.5
IC0000,09:32,15,14,63.8,4.56,3.98,0.571,1.89,0.88,22.9,40.9
IC0000,09:32,20,11,66.9,6.08,4.46,0.636,2.13,0.83,21.4,45.5
IF0000,09:31,5,29,-168.8,-5.82,-5.4,0.241,-3.69,0.43,-79.9,-88.9
IF0000,09:31,10,25,-172.1,-6.89,-6.44,0.16,-3.99,0.42,-76.9,-95.3
IF0000,09:31,15,22,-168.1,-7.64,-6.63,0.136,-4.08,0.43,-69.6,-98.4
IF0000,09:31,20,15,-142.8,-9.52,-7.4,0.067,-4.15,0.5,-54.2,-88.6
IF0000,09:32,5,27,-3.9,-0.15,-1.21,0.444,-0.09,8.95,6.5,-10.4
IF0000,09:32,10,17,43.0,2.53,2.5,0.588,1.43,0.89,21.2,21.7
IF0000,09:32,15,12,29.3,2.44,1.37,0.583,1.35,1.1,10.7,18.6
IF0000,09:32,20,8,26.4,3.3,1.54,0.5,1.36,1.22,1.7,24.7
IH0000,09:31,5,30,-222.4,-7.41,-5.89,0.233,-3.4,0.47,-129.0,-93.4
IH0000,09:31,10,24,-209.0,-8.71,-7.01,0.208,-3.46,0.49,-105.4,-103.6
IH0000,09:31,15,17,-181.0,-10.65,-10.83,0.176,-3.16,0.57,-97.7,-83.3
IH0000,09:31,20,12,-159.6,-13.3,-10.92,0.083,-3.12,0.65,-83.1,-76.4
IH0000,09:32,5,25,3.9,0.16,0.35,0.52,0.08,13.34,-13.4,17.3
IH0000,09:32,10,18,22.1,1.23,1.09,0.556,0.48,2.36,-10.7,32.8
IH0000,09:32,15,11,33.2,3.02,1.83,0.636,0.97,1.35,32.9,0.4
IH0000,09:32,20,6,15.8,2.63,3.85,0.667,0.8,1.66,8.1,7.7
IM0000,09:31,5,31,-136.8,-4.41,-4.42,0.323,-2.22,0.61,-46.8,-90.0
IM0000,09:31,10,30,-152.0,-5.07,-4.43,0.3,-2.61,0.55,-62.0,-90.0
IM0000,09:31,15,29,-142.8,-4.92,-4.42,0.31,-2.46,0.58,-62.0,-80.8
IM0000,09:31,20,26,-113.6,-4.37,-4.0,0.346,-2.0,0.74,-37.2,-76.4
IM0000,09:32,5,29,-11.6,-0.4,0.29,0.517,-0.18,4.57,6.6,-18.2
IM0000,09:32,10,26,10.9,0.42,1.84,0.538,0.18,6.16,6.6,4.3
IM0000,09:32,15,21,53.6,2.55,2.42,0.571,1.03,1.25,23.9,29.7
IM0000,09:32,20,17,41.0,2.41,2.32,0.529,0.83,1.6,6.2,34.8
