period,N,days,contracts,n,win,mean_bp,t
2016-06,1,13,IC+IF+IH,13,0.538,-0.096,-0.64
2016-06,2,13,IC+IF+IH,13,0.385,-0.156,-1.04
2016-06,4,13,IC+IF+IH,13,0.462,-0.189,-1.42
2016-06,8,13,IC+IF+IH,13,0.154,-0.273,-2.11
2016-06,12,13,IC+IF+IH,13,0.154,-0.373,-2.65
2016-06,20,13,IC+IF+IH,13,0.308,-0.344,-2.52
2016-06,30,13,IC+IF+IH,13,0.231,-0.422,-2.24
2019-06,1,14,IC+IF+IH,14,0.429,-0.163,-1.52
2019-06,2,14,IC+IF+IH,14,0.5,-0.156,-1.48
2019-06,4,14,IC+IF+IH,14,0.286,-0.274,-2.58
2019-06,8,14,IC+IF+IH,14,0.286,-0.405,-3.35
2019-06,12,14,IC+IF+IH,14,0.214,-0.435,-3.36
2019-06,20,14,IC+IF+IH,14,0.071,-0.381,-3.27
2019-06,30,14,IC+IF+IH,14,0.071,-0.314,-2.6
2021-06,1,14,IC+IF+IH,14,0.571,0.126,1.38
2021-06,2,14,IC+IF+IH,14,0.643,0.126,1.25
2021-06,4,14,IC+IF+IH,14,0.571,0.096,0.91
2021-06,8,14,IC+IF+IH,14,0.571,0.029,0.26
2021-06,12,14,IC+IF+IH,14,0.571,0.01,0.12
2021-06,20,14,IC+IF+IH,14,0.5,0.017,0.15
2021-06,30,14,IC+IF+IH,14,0.571,0.089,0.92
2023-orig,1,38,IC+IF+IH+IM,38,0.579,0.03,0.73
2023-orig,2,38,IC+IF+IH+IM,38,0.474,0.003,0.07
2023-orig,4,38,IC+IF+IH+IM,38,0.421,-0.027,-0.71
2023-orig,8,38,IC+IF+IH+IM,38,0.395,-0.081,-2.41
2023-orig,12,38,IC+IF+IH+IM,38,0.368,-0.08,-2.55
2023-orig,20,38,IC+IF+IH+IM,38,0.421,-0.067,-1.63
2023-orig,30,38,IC+IF+IH+IM,38,0.395,-0.051,-1.09
2024-06,1,14,IC+IF+IH+IM,14,0.5,0.038,0.9
2024-06,2,14,IC+IF+IH+IM,14,0.429,0.006,0.12
2024-06,4,14,IC+IF+IH+IM,14,0.214,-0.082,-2.23
2024-06,8,14,IC+IF+IH+IM,14,0.357,-0.101,-2.18
2024-06,12,14,IC+IF+IH+IM,14,0.357,-0.117,-1.58
2024-06,20,14,IC+IF+IH+IM,14,0.357,-0.024,-0.27
2024-06,30,14,IC+IF+IH+IM,14,0.429,-0.011,-0.11
2025-06,1,14,IC+IF+IH+IM,14,0.429,-0.046,-1.49
2025-06,2,14,IC+IF+IH+IM,14,0.357,-0.035,-1.04
2025-06,4,14,IC+IF+IH+IM,14,0.429,-0.013,-0.44
2025-06,8,14,IC+IF+IH+IM,14,0.643,0.077,1.72
2025-06,12,14,IC+IF+IH+IM,14,0.643,0.085,1.58
2025-06,20,14,IC+IF+IH+IM,14,0.714,0.046,1.04
2025-06,30,14,IC+IF+IH+IM,14,0.714,0.065,1.53
