bucket,code,n,mean_bp,t
09:30,IC0000,1054,-0.465,-2.75
09:30,IF0000,1051,0.046,0.22
09:30,IH0000,1052,0.274,1.35
09:30,IM0000,1060,-0.476,-2.34
10:00,IC0000,1123,-0.207,-1.54
10:00,IF0000,1126,0.022,0.16
10:00,IH0000,1116,0.209,1.31
10:00,IM0000,1126,-0.135,-0.9
10:30,IC0000,1132,0.141,1.2
10:30,IF0000,1111,0.114,0.72
10:30,IH0000,1104,0.202,1.14
10:30,IM0000,1130,0.156,1.17
11:00,IC0000,1091,-0.061,-0.4
11:00,IF0000,1082,-0.163,-1.26
11:00,IH0000,1065,0.058,0.45
11:00,IM0000,1091,0.013,0.09
13:00,IC0000,1050,0.159,1.15
13:00,IF0000,1046,0.124,1.06
13:00,IH0000,1030,0.119,1.05
13:00,IM0000,1047,0.166,1.31
13:30,IC0000,1128,0.306,2.38
13:30,IF0000,1116,0.206,2.08
13:30,IH0000,1107,0.168,1.29
13:30,IM0000,1129,0.069,0.58
14:00,IC0000,1119,-0.061,-0.4
14:00,IF0000,1114,0.054,0.46
14:00,IH0000,1100,-0.046,-0.43
14:00,IM0000,1123,0.071,0.48
14:30,IC0000,1083,0.002,0.01
14:30,IF0000,1086,-0.07,-0.64
14:30,IH0000,1047,0.008,0.07
14:30,IM0000,1084,-0.065,-0.51
