group,N,n,win,mean_bp,t
IC0000,1,8901,0.502,-0.021,-0.38
IF0000,1,8868,0.494,0.032,0.59
IH0000,1,8765,0.499,0.134,2.18
IM0000,1,8895,0.5,-0.023,-0.44
组合(4合约等权),1,9034,0.516,0.03,0.73
IC0000,2,8872,0.497,-0.029,-0.52
IF0000,2,8796,0.489,-0.006,-0.12
IH0000,2,8695,0.494,0.102,1.55
IM0000,2,8878,0.497,-0.054,-0.9
组合(4合约等权),2,8968,0.509,0.007,0.16
IC0000,4,8839,0.495,-0.043,-0.85
IF0000,4,8788,0.488,-0.032,-0.56
IH0000,4,8694,0.49,0.065,1.04
IM0000,4,8875,0.497,-0.097,-1.79
组合(4合约等权),4,8968,0.503,-0.025,-0.65
IC0000,8,8858,0.488,-0.115,-2.62
IF0000,8,8786,0.486,-0.065,-1.32
IH0000,8,8710,0.48,-0.018,-0.28
IM0000,8,8864,0.484,-0.126,-2.46
组合(4合约等权),8,8968,0.498,-0.081,-2.4
IC0000,10,8848,0.487,-0.103,-2.46
IF0000,10,8801,0.484,-0.05,-1.04
IH0000,10,8705,0.481,-0.014,-0.24
IM0000,10,8855,0.486,-0.115,-2.35
组合(4合约等权),10,8968,0.501,-0.065,-2.06
IC0000,12,8854,0.484,-0.116,-2.7
IF0000,12,8789,0.484,-0.086,-2.05
IH0000,12,8721,0.478,-0.033,-0.56
IM0000,12,8875,0.49,-0.086,-1.82
组合(4合约等权),12,8968,0.496,-0.075,-2.42
IC0000,14,8862,0.486,-0.11,-2.35
IF0000,14,8765,0.481,-0.055,-1.28
IH0000,14,8718,0.478,-0.039,-0.65
IM0000,14,8859,0.488,-0.14,-2.53
组合(4合约等权),14,8968,0.5,-0.084,-2.63
IC0000,16,8856,0.491,-0.065,-1.26
IF0000,16,8773,0.478,-0.089,-2.04
IH0000,16,8723,0.476,-0.034,-0.56
IM0000,16,8870,0.489,-0.114,-2.17
组合(4合约等权),16,8968,0.501,-0.071,-2.09
IC0000,18,8855,0.488,-0.083,-1.65
IF0000,18,8790,0.481,-0.078,-1.49
IH0000,18,8723,0.48,-0.011,-0.19
IM0000,18,8858,0.482,-0.121,-2.56
组合(4合约等权),18,8968,0.5,-0.071,-1.83
IC0000,20,8840,0.488,-0.049,-0.93
IF0000,20,8791,0.482,-0.049,-0.82
IH0000,20,8695,0.48,-0.018,-0.28
IM0000,20,8847,0.479,-0.151,-3.34
组合(4合约等权),20,8968,0.501,-0.063,-1.52
IC0000,22,8859,0.491,-0.016,-0.29
IF0000,22,8767,0.481,-0.069,-1.21
IH0000,22,8711,0.48,-0.032,-0.5
IM0000,22,8853,0.487,-0.138,-2.8
组合(4合约等权),22,8968,0.5,-0.061,-1.52
IC0000,26,8830,0.493,-0.019,-0.32
IF0000,26,8776,0.487,-0.013,-0.21
IH0000,26,8686,0.472,-0.069,-1.03
IM0000,26,8837,0.483,-0.122,-2.37
组合(4合约等权),26,8968,0.502,-0.056,-1.17
IC0000,30,8813,0.493,-0.004,-0.06
IF0000,30,8802,0.49,0.003,0.05
IH0000,30,8673,0.484,-0.022,-0.31
IM0000,30,8789,0.478,-0.183,-3.42
组合(4合约等权),30,8968,0.505,-0.049,-1.04
