group,N,n,win,mean_bp,t
IC0000,1,8812,0.503,-0.015,-0.29
IF0000,1,8779,0.494,0.043,0.81
IH0000,1,8662,0.501,0.142,2.25
IM0000,1,8823,0.501,-0.013,-0.26
IC0000,2,8780,0.501,-0.014,-0.25
IF0000,2,8732,0.49,0.035,0.65
IH0000,2,8621,0.5,0.155,2.52
IM0000,2,8790,0.5,-0.017,-0.31
IC0000,4,8780,0.5,-0.003,-0.06
IF0000,4,8732,0.494,0.037,0.74
IH0000,4,8621,0.496,0.149,2.61
IM0000,4,8790,0.501,-0.027,-0.51
IC0000,8,8780,0.499,-0.004,-0.08
IF0000,8,8732,0.491,0.035,0.67
IH0000,8,8621,0.488,0.112,1.97
IM0000,8,8790,0.496,-0.008,-0.15
IC0000,10,8780,0.496,-0.021,-0.41
IF0000,10,8732,0.492,0.038,0.75
IH0000,10,8621,0.495,0.125,2.37
IM0000,10,8790,0.494,-0.023,-0.44
IC0000,12,8780,0.492,-0.015,-0.31
IF0000,12,8732,0.494,0.041,0.79
IH0000,12,8621,0.492,0.122,2.26
IM0000,12,8788,0.493,-0.012,-0.25
IC0000,14,8780,0.492,-0.01,-0.22
IF0000,14,8732,0.49,0.041,0.81
IH0000,14,8621,0.49,0.105,2.0
IM0000,14,8788,0.498,-0.0,-0.01
IC0000,16,8780,0.493,0.006,0.12
IF0000,16,8732,0.491,0.054,1.14
IH0000,16,8621,0.488,0.113,2.05
IM0000,16,8788,0.496,0.017,0.32
IC0000,18,8780,0.491,-0.007,-0.13
IF0000,18,8732,0.491,0.054,1.11
IH0000,18,8621,0.493,0.113,1.98
IM0000,18,8784,0.493,0.015,0.28
IC0000,20,8780,0.493,-0.008,-0.15
IF0000,20,8732,0.49,0.046,0.89
IH0000,20,8621,0.488,0.113,1.97
IM0000,20,8782,0.494,0.001,0.03
IC0000,22,8780,0.496,-0.006,-0.12
IF0000,22,8732,0.491,0.04,0.7
IH0000,22,8619,0.49,0.108,1.89
IM0000,22,8780,0.495,-0.0,-0.01
IC0000,26,8774,0.493,0.0,0.01
IF0000,26,8732,0.488,0.013,0.22
IH0000,26,8619,0.489,0.09,1.48
IM0000,26,8768,0.497,-0.014,-0.26
IC0000,30,8769,0.495,-0.01,-0.19
IF0000,30,8730,0.49,0.011,0.19
IH0000,30,8596,0.492,0.072,1.19
IM0000,30,8735,0.5,-0.013,-0.25
