product,minute,thr,n_trades,win_rate,avg_bp,total_bp,t
IC0000,09:31,5,31,0.645,3.12,96.6,1.94
IC0000,09:31,10,31,0.645,3.12,96.6,1.94
IC0000,09:31,15,22,0.636,3.78,83.2,1.92
IC0000,09:31,20,19,0.684,4.65,88.4,2.11
IC0000,09:31,25,17,0.706,5.43,92.4,2.29
IC0000,09:31,30,16,0.75,5.82,93.2,2.33
IC0000,09:32,5,28,0.5,-1.98,-55.6,-1.12
IC0000,09:32,10,22,0.5,-2.43,-53.5,-1.15
IC0000,09:32,15,14,0.429,-4.56,-63.8,-1.89
IC0000,09:32,20,11,0.364,-6.08,-66.9,-2.13
IC0000,09:32,25,9,0.333,-6.97,-62.8,-2.03
IC0000,09:32,30,7,0.429,-4.67,-32.7,-1.33
IF0000,09:31,5,29,0.759,5.82,168.8,3.69
IF0000,09:31,10,25,0.84,6.89,172.1,3.99
IF0000,09:31,15,22,0.864,7.64,168.1,4.08
IF0000,09:31,20,15,0.933,9.52,142.8,4.15
IF0000,09:31,25,9,0.889,12.32,110.9,3.57
IF0000,09:31,30,6,1.0,16.98,101.9,4.43
IF0000,09:32,5,27,0.556,0.15,3.9,0.09
IF0000,09:32,10,17,0.412,-2.53,-43.0,-1.43
IF0000,09:32,15,12,0.417,-2.44,-29.3,-1.35
IF0000,09:32,20,8,0.5,-3.3,-26.4,-1.36
IF0000,09:32,25,4,0.75,0.13,0.5,0.05
IF0000,09:32,30,4,0.75,0.13,0.5,0.05
IH0000,09:31,5,30,0.767,7.41,222.4,3.4
IH0000,09:31,10,24,0.792,8.71,209.0,3.46
IH0000,09:31,15,17,0.824,10.65,181.0,3.16
IH0000,09:31,20,12,0.917,13.3,159.6,3.12
IH0000,09:31,25,7,1.0,19.13,133.9,3.03
IH0000,09:31,30,5,1.0,23.63,118.1,3.0
IH0000,09:32,5,25,0.48,-0.16,-3.9,-0.08
IH0000,09:32,10,18,0.444,-1.23,-22.1,-0.48
IH0000,09:32,15,11,0.364,-3.02,-33.2,-0.97
IH0000,09:32,20,6,0.333,-2.63,-15.8,-0.8
IH0000,09:32,25,3,0.333,-1.76,-5.3,-0.73
IH0000,09:32,30,2,0.5,-1.72,-3.4,-0.42
IM0000,09:31,5,31,0.677,4.41,136.8,2.22
IM0000,09:31,10,30,0.7,5.07,152.0,2.61
IM0000,09:31,15,29,0.69,4.92,142.8,2.46
IM0000,09:31,20,26,0.654,4.37,113.6,2.0
IM0000,09:31,25,22,0.682,5.43,119.4,2.31
IM0000,09:31,30,21,0.667,5.25,110.3,2.13
IM0000,09:32,5,29,0.483,0.4,11.6,0.18
IM0000,09:32,10,26,0.462,-0.42,-10.9,-0.18
IM0000,09:32,15,21,0.429,-2.55,-53.6,-1.03
IM0000,09:32,20,17,0.471,-2.41,-41.0,-0.83
IM0000,09:32,25,15,0.467,-2.9,-43.5,-1.01
IM0000,09:32,30,14,0.5,-2.79,-39.1,-0.91
