code,half,k,n,mean_bp,hit,t
IC0000,full,0,1054,-0.553,0.482,-2.93
IC0000,H1,0,527,-0.466,0.491,-2.03
IC0000,H2,0,527,-0.639,0.472,-2.1
IC0000,full,1,1015,-0.503,0.485,-2.58
IC0000,H1,1,510,-0.334,0.498,-1.48
IC0000,H2,1,505,-0.675,0.471,-2.11
IC0000,full,2,964,-0.603,0.478,-3.11
IC0000,H1,2,484,-0.429,0.492,-1.96
IC0000,H2,2,480,-0.779,0.465,-2.4
IC0000,full,3,927,-0.623,0.475,-3.09
IC0000,H1,3,459,-0.432,0.488,-1.9
IC0000,H2,3,468,-0.81,0.462,-2.42
IC0000,full,4,882,-0.619,0.477,-3.01
IC0000,H1,4,437,-0.452,0.487,-2.04
IC0000,H2,4,445,-0.783,0.467,-2.23
IC0000,full,5,826,-0.639,0.479,-2.94
IC0000,H1,5,411,-0.416,0.491,-1.68
IC0000,H2,5,415,-0.859,0.467,-2.41
IC0000,full,6,789,-0.64,0.479,-3.09
IC0000,H1,6,395,-0.492,0.489,-1.83
IC0000,H2,6,394,-0.788,0.47,-2.48
IC0000,full,7,746,-0.685,0.479,-3.17
IC0000,H1,7,370,-0.565,0.486,-2.15
IC0000,H2,7,376,-0.803,0.471,-2.28
IC0000,full,8,715,-0.669,0.483,-3.02
IC0000,H1,8,355,-0.557,0.487,-2.15
IC0000,H2,8,360,-0.78,0.478,-2.1
IC0000,full,9,667,-0.643,0.484,-2.61
IC0000,H1,9,324,-0.564,0.488,-1.88
IC0000,H2,9,343,-0.717,0.481,-1.77
IC0000,full,10,625,-0.702,0.482,-2.7
IC0000,H1,10,306,-0.751,0.474,-2.19
IC0000,H2,10,319,-0.655,0.489,-1.58
IC0000,full,11,604,-0.714,0.478,-2.76
IC0000,H1,11,295,-0.705,0.475,-2.07
IC0000,H2,11,309,-0.724,0.482,-1.77
IC0000,full,12,567,-0.797,0.476,-2.86
IC0000,H1,12,277,-0.828,0.469,-2.22
IC0000,H2,12,290,-0.767,0.483,-1.78
IC0000,full,13,534,-0.86,0.47,-2.53
IC0000,H1,13,259,-0.873,0.467,-1.84
IC0000,H2,13,275,-0.848,0.473,-1.69
IC0000,full,14,494,-0.843,0.476,-2.43
IC0000,H1,14,235,-0.773,0.481,-1.7
IC0000,H2,14,259,-0.907,0.471,-1.7
IC0000,full,15,453,-0.788,0.475,-2.09
IC0000,H1,15,216,-0.716,0.477,-1.44
IC0000,H2,15,237,-0.853,0.473,-1.47
IC0000,full,16,432,-0.621,0.491,-1.44
IC0000,H1,16,206,-0.519,0.495,-0.89
IC0000,H2,16,226,-0.713,0.487,-1.11
IC0000,full,17,408,-0.649,0.493,-1.2
IC0000,H1,17,192,-0.434,0.5,-0.45
IC0000,H2,17,216,-0.84,0.486,-1.27
IC0000,full,18,391,-0.674,0.494,-1.29
IC0000,H1,18,181,-0.255,0.514,-0.18
IC0000,H2,18,210,-1.035,0.476,-1.68
IC0000,full,19,364,-0.716,0.489,-1.29
IC0000,H1,19,170,-0.358,0.5,-0.29
IC0000,H2,19,194,-1.03,0.479,-1.62
IC0000,full,20,328,-0.909,0.479,-1.89
IC0000,H1,20,157,-0.603,0.49,-0.77
IC0000,H2,20,171,-1.189,0.468,-1.84
IC0000,full,21,311,-0.959,0.476,-1.96
IC0000,H1,21,152,-0.718,0.487,-0.84
IC0000,H2,21,159,-1.19,0.465,-1.82
IC0000,full,22,289,-0.883,0.481,-1.44
IC0000,H1,22,142,-0.621,0.493,-0.31
IC0000,H2,22,147,-1.136,0.469,-1.65
IC0000,full,23,275,-0.864,0.484,-1.24
IC0000,H1,23,133,-0.513,0.511,0.2
IC0000,H2,23,142,-1.192,0.458,-1.91
IC0000,full,24,254,-0.697,0.496,-0.92
IC0000,H1,24,125,-0.376,0.52,0.56
IC0000,H2,24,129,-1.008,0.473,-1.78
IC0000,full,25,228,-0.856,0.504,-1.49
IC0000,H1,25,112,-0.348,0.536,0.31
IC0000,H2,25,116,-1.345,0.474,-2.16
IC0000,full,26,212,-0.928,0.5,-1.54
IC0000,H1,26,105,-0.13,0.552,0.63
IC0000,H2,26,107,-1.711,0.449,-2.65
IC0000,full,27,194,-0.944,0.485,-1.58
IC0000,H1,27,98,0.055,0.551,0.75
IC0000,H2,27,96,-1.963,0.417,-2.7
IC0000,full,28,182,-0.838,0.489,-1.38
IC0000,H1,28,92,0.228,0.565,1.12
IC0000,H2,28,90,-1.929,0.411,-2.66
