year,code,N,ndays,n,win,mean_bp,t,se_bp
2016,IC0000,16,35,7781,0.503,14.618,1.04,14.056
2016,IF0000,16,35,7764,0.5,-14.339,-1.0,14.339
2016,IH0000,16,35,7506,0.489,0.269,0.62,0.434
2019,IC0000,16,37,8558,0.472,-0.408,-4.66,0.088
2019,IF0000,16,37,8463,0.48,-0.282,-3.22,0.088
2019,IH0000,16,37,8387,0.469,-0.303,-3.16,0.096
2022,IC0000,16,35,8107,0.491,-0.043,-0.63,0.068
2022,IF0000,16,35,8072,0.482,-0.096,-1.56,0.062
2022,IH0000,16,35,7987,0.49,-0.023,-0.35,0.066
2023,IC0000,16,36,8319,0.492,-0.009,-0.17,0.053
2023,IF0000,16,36,8274,0.49,0.048,1.01,0.048
2023,IH0000,16,36,8166,0.488,0.132,2.3,0.057
2023,IM0000,16,36,8327,0.495,0.031,0.59,0.053
2024,IC0000,16,36,8350,0.494,0.242,1.14,0.212
2024,IF0000,16,36,8293,0.498,0.185,2.1,0.088
2024,IH0000,16,36,8196,0.493,0.12,1.47,0.082
2024,IM0000,16,36,8364,0.498,0.431,1.67,0.258
2025,IC0000,16,35,8108,0.496,0.214,2.32,0.092
2025,IF0000,16,35,8033,0.493,0.057,0.93,0.061
2025,IH0000,16,35,7950,0.495,0.162,2.45,0.066
2025,IM0000,16,35,8128,0.505,0.161,1.2,0.134
