exit,group,N,n,win,mean_bp,se_bp,t
09:31,IC0000,6,36,0.444,-0.43,1.35,-0.32
09:31,IC0000,8,37,0.378,0.53,1.34,0.4
09:31,IC0000,10,38,0.474,0.17,1.33,0.13
09:31,IC0000,12,38,0.526,1.33,1.38,0.97
09:31,IF0000,6,35,0.457,0.49,1.56,0.31
09:31,IF0000,8,35,0.429,-0.08,1.48,-0.05
09:31,IF0000,10,37,0.541,0.03,1.42,0.02
09:31,IF0000,12,38,0.447,-0.42,1.32,-0.32
09:31,IH0000,6,38,0.526,1.29,2.39,0.54
09:31,IH0000,8,36,0.5,0.11,2.0,0.06
09:31,IH0000,10,37,0.459,0.22,1.85,0.12
09:31,IH0000,12,38,0.474,1.37,2.24,0.61
09:31,IM0000,6,38,0.553,1.13,1.84,0.61
09:31,IM0000,8,38,0.5,-0.11,1.86,-0.06
09:31,IM0000,10,38,0.395,-0.14,1.86,-0.07
09:31,IM0000,12,38,0.447,1.25,1.86,0.67
09:31,组合(4合约等权),6,38,0.421,0.58,1.05,0.55
09:31,组合(4合约等权),8,38,0.421,0.1,1.05,0.1
09:31,组合(4合约等权),10,38,0.447,0.1,1.04,0.1
09:31,组合(4合约等权),12,38,0.474,0.88,1.16,0.76
09:32,IC0000,6,36,0.556,-1.77,2.24,-0.79
09:32,IC0000,8,37,0.541,0.17,2.2,0.08
09:32,IC0000,10,38,0.553,-0.18,2.23,-0.08
09:32,IC0000,12,38,0.579,1.43,2.35,0.61
09:32,IF0000,6,35,0.543,-1.27,2.91,-0.44
09:32,IF0000,8,35,0.6,0.23,2.91,0.08
09:32,IF0000,10,37,0.541,-1.9,2.68,-0.71
09:32,IF0000,12,38,0.526,-0.23,2.62,-0.09
09:32,IH0000,6,38,0.447,-1.18,4.14,-0.29
09:32,IH0000,8,36,0.444,-2.74,3.6,-0.76
09:32,IH0000,10,37,0.405,-3.48,3.41,-1.02
09:32,IH0000,12,38,0.395,-0.92,4.02,-0.23
09:32,IM0000,6,38,0.5,-0.73,2.5,-0.29
09:32,IM0000,8,38,0.5,-2.98,2.44,-1.22
09:32,IM0000,10,38,0.526,-2.32,2.55,-0.91
09:32,IM0000,12,38,0.526,-1.1,2.62,-0.42
09:32,组合(4合约等权),6,38,0.526,-1.16,1.61,-0.72
09:32,组合(4合约等权),8,38,0.474,-1.14,1.7,-0.67
09:32,组合(4合约等权),10,38,0.447,-1.91,1.65,-1.16
09:32,组合(4合约等权),12,38,0.447,-0.21,2.16,-0.1
